@RELATION 'church0.names'

@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
55,1.33,2.85,0,0,0,0,12/01/01@12/04@16/01
20,1.59,2.25,0,0,0,0,16/01@20/01/10@20/09/07
21,0.54,0.58,0.45,1,0,0,99
20,0.29,0.24,0.09,0,0,0,20/01/10@20/01/21@20/09/01
20,0.35,0.54,0.05,0,0,0,14/04@20/01/10@20/03@20/09/04
20,0.16,0.26,0.01,0,0,0,14/10@16/01@16/07@20/09/14@34/05@40/01@42/04/03
20,0.52,0.58,0.12,0,0,0,14/04
21,0.1,0.15,0.03,0,0,0,11/04/01@12/01/01@16/01
21,1.02,1.05,0.11,0,0,0,16/01@18/02/01/02@40/01/03@42/25@43/01/03/05
21,1.24,1.12,0.21,0,0,0,16/01@20/01/10@20/09/07/03@20/09/07/25@42/09
20,5.23,7.14,-0.3,1,0,0,12/01/01@12/04@16/01
21,0.25,0.33,-0.02,0,0,0,40/01/03@42/01@42/04@43/01/03/05
20,7.05,7.67,0.05,0,0,0,10/01/05/01@12/01/01@12/04@16/01@32/01/09
20,0.1,0.17,0.08,0,0,0,01/01/09/03@12/10@16/03/03@16/17/09
21,1.35,1.63,0.07,0,0,0,11/02/01@11/02/02@11/02/03/01@16/01@16/03/01
20,0.1,0.21,0,0,0,0,20/09/18/09/01@32/01@40/01@42/04@43/01/03/05
20,0.1,0.16,0,0,0,0,01/05@14/07/02/01@14/07/02/02@42/01
21,0.99,1.06,-0.02,0,0,0,11/04/01@12/01@12/04/01@16/01@16/13/01@30/05/02/26
20,0.33,0.31,0.18,0,0,0,12/04@12/10@16/19/03
20,2.24,1.79,0.11,0,0,0,01/01/09@01/05/11/04@01/20/15
20,3.84,4.11,0.13,0,0,0,01/03/01@01/04@14/04@14/07/02@14/07/09@14/10@16/01@16/19/05@18/02/01/01@20/01/10@20/09/07/03@20/09/07/05@20/09/13@20/09/16@20/09/18/09/01/01@30/01/05/05/01@30/05/02/24@34/05@34/07@40/01@42/04/03@42/08@42/09@42/25
21,0.1,0.12,-0.05,0,0,0,10/03/01/01/11@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/01@42/10
20,1.33,1.02,0.07,0,0,0,14/04@16/01@20/03/01/05@20/09/01
41,3.81,4.11,0.01,0,0,0,11/02/03/04@12/01/01@12/04@16/01@16/03/03
21,0.11,0.15,0.35,1,0,0,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
20,0.94,1.16,0,0,0,0,16/01@18/02/01/01@32/01/07@32/05/01
41,0.41,0.58,0,0,0,0,01/03/01/01/03@01/03/01/03@16/17/03@40/01/01
20,0.26,0.25,0.41,1,0,0,11/02/03/04@14/07/11@14/13/01@16/19@32/05/01/01@32/07@34/11/03
20,0.36,0.58,0.21,1,0,0,14/04@20/01/10@20/03@20/09/04
20,0.1,0.18,0,0,0,0,99
20,0.19,0.24,0.07,0,0,0,01/03/01/03
64,1.87,2.69,0.06,0,0,0,12/01/01@12/04@16/01
20,4.53,4.95,0.01,0,0,0,20/01/01/01/01@20/09/18/07@34/01/01/01
21,2.26,2.95,0.33,1,0,0,01/06@16/09@16/13/03@20/01/13
21,0.2,0.37,-0.16,0,0,0,01/03/01/03
20,0.37,0.59,0.41,1,0,0,01/02@02/13/01@20/01/15@32/01@32/05/01/03
21,0.13,0.17,0.06,0,0,0,14/07/11@14/13/01/01
20,6.8,6.52,-0.05,0,0,0,99
21,0.8,1.3,0,0,0,0,02/11@02/13/03@02/45/15@16/19/03@20/01/15@20/03/22@34/01/01/03
40,0.51,0.84,-0.18,0,0,0,12/04/02@12/07@16/01@16/19/05@18/02/01/01/01
20,0.76,0.93,0,0,0,0,11/04/02@20/01/07
20,0.14,0.28,0.04,0,0,0,01/04@01/05/03@10/03/02@11/02/03/04@14/07/03@14/13@16/01@16/19/03@18/01/01@18/02/01@30/01/05/01/06@30/05/02/20@32/01@40/01/03@40/10/02/01@43/01/03/09
20,0.51,0.54,0.12,0,0,0,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
20,0.47,0.51,0.02,0,0,0,14/13
20,0.79,0.81,0.01,0,0,0,42/19
20,1.34,1.16,0.23,1,0,0,01/05@14/07/02/01@14/07/02/02@42/01
21,3.54,3.26,0.06,0,0,0,12/01/01@12/04@16/01
20,0.38,0.43,0.03,0,0,0,10/01/03/05@10/01/05/01@16/01@16/03/01@18/02/01
20,5.02,5.31,-0.14,0,0,0,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
20,3.58,2.94,0.16,0,0,0,12/01/01@12/04@16/01
20,15.3,26,-0.07,0,0,0,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
20,0.47,0.89,0.11,0,0,0,01/01/11/02/01@01/01/11/02/02@01/01/11/03/01@01/01/11/03/02@01/01/11/04/01@01/01/11/04/02@01/02/02@10/03/01/01/03@16/21/17
21,0.1,0.11,0,0,0,0,14/07@14/13@16/01
20,0.8,1.46,0.05,0,0,0,01/03/16@11/02/02@12/04@12/10@16/19/03
20,8.13,9.17,-0.25,1,0,0,12/01/01@12/04/02@16/01@16/07
20,2.55,1.8,0.1,0,0,0,10/01/09/05@10/03/04/03@11/02/03/04@16/03/01@42/10/03
20,1.09,0.9,0.47,1,0,0,02/11@02/13/01@02/13/03@20/01/15
21,2.49,2.75,0.16,0,0,0,01/01/06/06/02@01/05@01/06/05@01/06/06/11@01/20/25@02/25
20,0.76,0.47,-0.02,0,0,0,01/02@01/07@14/10@16/01@34/01/01/01
94,1.05,1.34,-0.05,0,0,0,12/01/01@12/04@12/07@16/01@16/03
19,14.8,22.8,-0.89,0,0,0,12/01/01@12/04@16/01
20,12.8,13.2,-0.05,0,0,0,12/01/01@12/04@16/01@16/17/09
20,10.7,10.3,-0.17,0,0,0,16/01@40/10/02/01
21,0.98,1.19,0,0,0,0,14/01@14/04@14/07@16/01@16/03/01@20/01/10@20/09/04@32/01/05@40/10
40,9.06,8.98,-0.29,1,0,0,01/01/13@02/16@12/01@12/04@14/07/04@30/01/05/05/03
20,0.82,0.79,0.13,0,0,0,01/04@01/06/02/01@20/09
20,0.14,0.16,0.03,0,0,0,01/05@14/07/02/02@42/01
20,0.96,0.94,0.06,0,0,0,12/01/01@12/04@16/01@42/16
46,0.43,0.33,0,0,0,0,12/01/01@12/04@16/01
21,6.11,8.08,-0.06,0,0,0,14/04@14/10@16/01@18/01@18/02/01/01/03@20/01/01/01@20/01/15@20/03/22@20/09/13@20/09/18/09/01@32/07@34/01/01/01@34/01/01/03@42/25
21,0.89,0.77,0.06,0,0,0,01/01/11/02/01@01/03/01@11/02/03/04@32/01/05@34/11/03/07@42/16
21,0.18,0.25,0,0,0,0,20/09/07@20/09/13@40/01@42/04@43/01/03/05
32,3.68,4.12,-0.02,0,0,0,12/01/01@12/04@14/07/05@14/07/07@14/13/01/01@16/01@16/17/09@32/01
21,0.1,0.09,0.01,0,0,0,12/01/01@14/10
20,7.13,9.29,-0.3,1,0,0,12/01/01@12/04@16/01@16/03/03@16/05
21,0.36,0.44,0,0,0,0,01/01@01/05/13@01/20/31@14/07/09
20,0.4,0.47,0,0,0,0,01/05/03@02/19@42/01@43/01/03/09
21,0.94,1.18,0,0,0,0,10/01/03@20/01/03@20/09/04@42/16
20,0.15,0.27,0.18,0,0,0,01/05/06/07@01/06@02/01@02/16/01@16/17/09@32/07
21,0.1,0.18,0,0,0,0,20/01/01/01@20/03/01/01@34/01/01@34/11/03/07
21,0.11,0.12,0.05,0,0,0,01/03/01@01/04@10/01/09/05@10/03/01@10/03/03@11/02/03/04@14/04@16/01@16/19/03@16/19/05@20/01/10@20/01/26@20/09/07/03@20/09/07/25@20/09/07/27@20/09/13@20/09/16/09/03@20/09/18/09/01@30/01/05/05/01@32/05@42/10/03@42/22@43/01/03/05
20,0.7,0.61,0.24,1,0,0,14/04@16/01@20/01/10@20/03@20/09/05
21,0.42,0.42,0.11,0,0,0,14/04@14/07/11/01@14/13/04@20/09/13@42/25
21,0.09,0.13,0.02,0,0,0,01/03/07
21,0.52,0.64,0.03,0,0,0,01/01/06/05/01/01@01/01/09/03/01@01/02@01/07@11/02/02@11/04/02@16/21/17@34/01/01/01
20,0.1,0.14,0,0,0,0,99
20,0.15,0.18,0,0,0,0,01/04@10/01/02@10/01/03@10/01/05@10/01/09/05@11/02/03/01@11/02/03/04@11/04/01@16/01@16/03/01@16/19/03
21,0.48,0.6,0,0,0,0,01/03/01@01/04@10/03/01/01/11@10/03/02@10/03/04/05@10/03/04/09@10/03/05/01@14/10@16/01@16/07@16/19/05@20/09/14/01@30/01/09@30/05/02/24@32/05/01/07@34/05@34/11/01@41/01/01@42/04/05@42/05@42/10
21,0.18,0.2,0,0,0,0,10/03/04/05@14/13/01/01@20/01/21@20/09/01
38,4.7,4.6,-0.17,0,0,0,12/01/01@12/04@16/01@16/03/03
20,0.1,0.11,-0,0,0,0,11/04/02@11/06/02@12/04/01
20,0.19,0.25,0.01,0,0,0,01/03/01@01/04@10/03/03@10/03/04/09@16/01@16/19/05@18/02/01/01/05@20/09/18/09/01@30/01/05/05/01@32/01/03@34/05/01@34/07@34/11/03/03@34/11/03/13@40/01/03/03@42/04/03
20,1.18,1.05,0.28,1,0,0,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
21,0.52,0.41,0.08,0,0,0,01/04/04@01/05/25@02/19@10/01/03@10/01/05/01@10/01/09/05@10/03/01/01/03@10/03/01/01/05@10/03/01/01/09@10/03/01/01/11@10/03/02/01@10/03/03@10/03/04/07@11/02/03/01/01@11/02/03/04@14/07/03@16/01@16/03/01@16/03/03@16/19/03@18/01/01@18/02/01/01@30/01/05/01/03@30/01/05/01/06@34/05/01@34/11/03/07@40/01@42/10/03@43/01/03/05
20,1.33,0.86,0.05,0,0,0,01/01/03/02/02@01/01/03/03/01@01/01/05/01/02@01/01/09/04/01@01/01/09/05@01/01/11@01/02@01/05/06/07@01/05/11/07/01@01/06/06@01/07/01@01/20/05@01/20/17/01@01/20/29@01/20/31@02/11@02/13@02/16/01@02/45@16/13@16/21/07@20/01/15@32/01/01@32/01/03@32/05/01@32/05/03@32/07/03@32/07/09@42/16
40,3.53,4.34,0.05,0,0,0,12/01/01@12/04@12/07@16/01
21,0.1,0.04,0,0,0,0,10/03/02@42/10@43/01/03/09
21,0.1,0.05,0,0,0,0,11/02/03/01/07@11/04/02@11/04/03/01@11/04/03/05@16/03/03
21,0.1,0,0,0,0,0,01/05/06/07@01/06/05@01/07/01@02/01@02/10@02/45
20,0.1,0.08,0,0,0,0,01/01/03/01/02@01/01/03/02/01@01/01/03/02/02@01/01/03/03/02@01/01/03/05/02@01/02@02/10@16/21/07@42/01
20,0.12,0.05,0.01,0,0,0,01/03/01
21,0.1,0.15,-0.1,0,0,0,01/06/06/11@10/01/09/05
20,0.13,0.06,0,0,0,0,01/06/02/01@20/03
20,0.1,0,0,0,0,0,01/05/25@10/01/09/05@11/02/03/04/01@16/01@16/03/01@42/10/03
36,0.1,0,0,0,0,0,01/03@11/04/01@11/04/03/01@16/01@16/03/03
21,0.1,0,0,0,0,0,42/04/05
21,0.1,0.05,0,0,0,0,42/01
21,0.21,0.05,0,0,0,0,02/19@10/03/01@10/03/02@12/07@14/13/01/01@43/01/03/05@43/01/03/09
20,0.1,0,0,0,0,0,10/03/01/01/11@20/09/14@42/04/05
21,0.25,0.24,0,0,0,0,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
21,0.1,0,0,0,0,0,14/04
20,0.1,0.05,0,0,0,0,14/04@14/07/05@14/07/11/01@14/13/04@16/01/01@20/01/10@20/09/07/05@20/09/13@20/09/14@30/05/02/24/04@42/04/05@42/25
20,0.1,0.05,0,0,0,0,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
21,0.1,0,1.62,1,0,0,01/03@01/04@01/05/02/01@01/05/02/04@01/05/02/07@16/17/09
20,0.1,0,1.57,1,0,0,01/05/02/04@01/05/02/07
20,0.1,0.1,0,0,0,0,01/05/03@10/03/03@32/01/03@42/01@43/01/03/05
20,0.1,0.11,0,0,0,0,01/06/02/01
20,0.1,0.04,0,0,0,0,20/01/27@32/07
20,0.1,0.07,0,0,0,0,11/02/01@11/02/03/01/07@11/02/03/04
21,0.1,0.06,0.11,0,0,0,11/04/01@11/06/02
20,0.19,0.13,-0.09,0,0,0,14/07/02
20,0.1,0.07,0,0,0,0,10/01/02@10/01/05/01@10/01/05/03/01@10/03/02@16/03/01@32/01/09@34/11/03/07@41/01/01
20,0.1,0.11,0.08,0,0,0,14/04@20/01/10@20/09/04@42/16
20,0.15,0.1,0,0,0,0,02/01/03@14/13/04@20/09/13
20,0.1,0,0,0,0,0,01/01@01/05/02/04@01/05/02/07@01/06/06@02/01@02/07/03@16/21/11
20,0.1,0,0,0,0,0,11/02/01@11/02/02@11/02/03/01@42/01
20,0.18,0.16,0.01,0,0,0,10/03/01/02@18/02/01/01/05
21,0.11,0.1,-0.03,0,0,0,11/02/01@11/02/02@11/02/03/01@16/01@16/03/01
20,0.2,0.06,-0.2,1,0,0,14/01@16/01@16/19/03@32/01/05@32/01/07@34/11/09@34/11/12@40/01/03
17,28.8,26.1,-0.1,0,0,0,12/01/01@12/04@16/01
21,0.1,0,-0.05,0,0,0,01/01@01/02/03/01@01/02/07@01/20/19/01@16/21/07
21,0.1,0.09,0,0,0,0,20/01/01/01@20/01/01/07@20/03@34/01/01@34/01/03/05
20,0.1,0.08,0.01,0,0,0,01/01/09/07/01@01/03/01/03
21,0.09,0.07,0,0,0,0,01/04@10/03/01/02@10/03/01/03@14/07/03@32/01/09
21,0.13,0.08,0,0,0,0,12/01/01@42/16
20,0.14,0.08,0,0,0,0,32/01@42/27/03
20,0.1,0.05,0,0,0,0,10/03/01/01/09@10/03/04/03
21,0.1,0.08,0,0,0,0,34/11/03/07@41/01/01
21,0.1,0.06,0,0,0,0,10/03/01/01/11@10/03/05/01@16/01@34/11/03/07
20,0.12,0.07,0,0,0,0,14/04@14/07/11/01@20/09/13@20/09/18/09/01
21,0.1,0.05,0,0,0,0,01/04@10/03/01/01/03@14/07/03@30/01/05@32/01@34/01/01
21,0.1,0.08,0,0,0,0,01/03/16/01@11/04/01
20,0.1,0.08,0,0,0,0,01/04@01/05@02/07/03@16/19/03
20,0.37,0.14,-0.12,0,0,0,14/01
21,0.1,0,0,0,0,0,12/01/01@42/16
20,0.1,0,0,0,0,0,11/04/01@12/01@14/10@16/01@18/02/01@20/09/01@30/05/02/14@43/01/03
20,0.12,0.07,0,0,0,0,01/03/07
21,0.1,0.04,0,0,0,0,01/04@01/05@01/07/04@20/01/25@32/01/11@43/01/03/05
20,0.1,0.06,0,0,0,0,10/01/03@10/01/05/01@10/01/09/05@11/02/03/04@14/07/04@16/01@34/11/03/07@40/20
21,0.25,0.25,-0.02,0,0,0,10/01/03@10/01/05/01@10/03/01/01/09@10/03/01/01/11@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@32/01/09@34/11/03/07@42/04/05@43/01/03/09
20,0.1,0.05,0,0,0,0,10/01/03/05@10/01/05/01@16/01@16/03/01@32/01/09
20,0.13,0.09,0,0,0,0,16/01@18/01/07@18/02/01/02/01@18/02/05@30/01/05/05/01@34/07@40/01/03@42/04/03@43/01/03/05
20,0.1,0.09,0,0,0,0,11/02/03/01@16/01@16/03/01
20,0.1,0,0,0,0,0,01/07/04@14/07/09
21,0.1,0.05,0,0,0,0,14/07/11@14/10@14/13/01/01@16/01@18/01/07@18/02/01@32/01
20,0.1,0.05,0,0,0,0,10/01/09/05@11/02/03/04@11/04/01@16/03/03
20,0.1,0.06,0,0,0,0,01/05@02/16/03@02/45@16/01@42/04@42/16
20,2.15,2.03,-0.03,0,0,0,12/01/01@12/04@16/01
20,0.1,0.07,0,0,0,0,01/07/01@01/20/19/01
20,0.1,0.08,0,0,0,0,14/04@20/01/10@20/03@20/09/04
20,0.1,0.11,0,0,0,0,16/03/03@40/01/05@43/01/03/05
20,0.1,0.05,0,0,0,0,01/04@16/01@30/05/01/10@32/01/03@34/11/03/13
20,0.1,0.05,0,0,0,0,20/09/07@42/01@42/04/03
20,0.1,0.06,0.07,0,0,0,12/01/01@42/16
20,0.29,0.09,-0.11,0,0,0,01/05/03
20,0.13,0.16,0,0,0,0,01/03/16/01@01/04@11/02/03@11/04/03/11@12/01/01@12/04/01@16/01@16/17@16/19/03@18/01/07@18/02/01/02@20/03/25@32/05/03
20,0.1,0.1,0,0,0,0,20/01/09@20/01/10@20/01/13@20/03/22
20,0.1,0.05,0,0,0,0,16/01@30/01/05/01/03@30/05@34/11/03/07
20,0.11,0.1,0,0,0,0,02/13/03@12/01/01@42/16
20,0.1,0.07,0,0,0,0,14/04@16/03/03@20/09
20,0.1,0.1,0,0,0,0,99
20,0.1,0.05,0,0,0,0,10/01/03/05@10/01/09/05@11/02/03/01
21,0.1,0.04,0,0,0,0,99
20,0.1,0,0,0,0,0,01/04@01/06/02/01
21,0.1,0.05,0,0,0,0,10/03/03@16/01@20/09/07/27@20/09/16/09/03@43/01/03/05
20,0.1,0,0,0,0,0,10/01/09/05@10/03/01/01/01@11/02/03/01/01@11/02/03/04@14/07/04@42/10/03
20,0.1,0.05,0,0,0,0,01/04@01/06/02/01@30/01/09/11@42/04/03@43/01/03/05@43/01/03/09
20,0.1,0.07,0,0,0,0,01/05/25@11/02/03/04@42/19
21,0.1,0.05,0.02,0,0,0,01/02
20,0.1,0,-0.07,0,0,0,01/05/25@11/02/03/04@12/04/03@14/04@16/01@32/01/07
20,0.13,0,0,0,0,0,01/04@14/01@14/04@14/13@16/01@16/19/03@20/01/10@20/09/04@32/01/05@32/01/07
20,0.1,0.06,0,0,0,0,14/04@16/01@16/19/05@20/01/10@20/09/05
21,0.1,0.06,0,0,0,0,10/03/01@16/03/03@32/01@40/01@42/01@43/01/03/05
20,0.1,0.05,0,0,0,0,10/03/01@11/02/03/04@16/03/01
20,0.1,0.05,0,0,0,0,11/02/03/01@11/02/03/04
20,0.1,0.04,0,0,0,0,01/04@01/05@01/06/02/01@30/01/09/11
20,0.1,0.06,0,0,0,0,14/04@20/09/07/27@20/09/13@20/09/16/09/03
20,0.1,0.06,0,0,0,0,14/04@20/09/03
21,0.1,0.05,0,0,0,0,11/02/01@11/02/02@11/02/03/01
21,0.1,0.05,0,0,0,0,10/03/05/03@14/10@18/02/01/01/01@30/01/05/05/01
20,0.1,0.05,0,0,0,0,11/04/03@14/07/05@14/07/07@14/13/01@16/01@16/19/03@18/02/01/01
21,0.1,0.04,-0.02,0,0,0,10/01/09/05@11/02/03/01@11/02/03/04@14/07/04@18/02/09@34/11/03/07@41/01/01@42/10/03@43/01/03/05@43/01/03/09
20,0.1,0,0,0,0,0,11/02/03/01@11/02/03/04@18/02/09
21,0.11,0.07,0,0,0,0,11/02/03/01@11/02/03/04@32/05/01/03/03@32/07
21,0.13,0.07,0,0,0,0,14/07/09
