@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
-0.171,-0.301,-0.177,-0.159,-0.252,-0.513,-0.529,0.02,-0.343,-0.206,-0.322,0.27,?,-0.323,-0.108,0.273,-0.667,-0.409,0.495,0.039,1.709,2.226,1.126,-0.344,0.049,-1.04,99
-0.12,0.47,1.24,1.4,1.23,0.524,-0.34,-0.03,-0.15,-0.14,0.42,2.51,1.381,0.2,0.12,1.054,0.98,0.63,1.19,0.12,0.97,1.33,0.77,-0.01,0.18,-0.37,01/04@01/05/02/07@01/05/03/01/07@02/19@16/19@16/21/17
-0.137,1.206,1.301,1.485,1.927,-0.451,-0.16,0.196,0.132,0.185,0.886,2.609,0.43,0.097,-0.195,0.629,-0.863,-0.746,1.048,-0.127,-1.076,-0.003,-0.485,0.198,?,-1.774,01/03/04@01/05/02/07@01/05/03/01/04@01/05/25@02/19@16/01
0.09,-0.003,0.324,0.497,0.309,0.1,-0.144,0.057,-0.228,-0.24,0.29,-0.149,-0.06,0.014,0.295,-0.037,0.031,-0.269,0.009,0.112,0.46,0.813,0.675,-0.046,-0.374,-0.076,01/05/03/01/04@02/19
0.033,0.625,0.572,0.744,0.469,-0.439,0.043,0.298,0.489,0.259,0.297,1.214,0.083,-0.704,-0.175,0.348,-0.404,-0.735,0.484,-0.423,-0.18,0.47,0.073,-0.056,0.045,-1.041,01/05/03/01/04@02/19
0.438,0.237,0.061,0.034,0.188,0.221,0.425,0.416,0.54,0.23,-0.606,1.037,0.461,-0.008,-0.081,-0.005,-0.732,-1.032,1.38,-0.401,-0.275,-0.339,-0.658,0.097,-0.228,0.093,01/05/06/07@01/06@02/01@02/16/01@16/17/09@32/07
0.436,0.93,0.46,0.08,0.4,0.248,0.39,0.62,0.6,0.41,0.428,1.46,0.3,-0.37,-0.38,-0.013,-0.1,-0.29,-0.118,-0.177,-0.58,-0.32,-0.32,-0.04,0.039,-0.03,01/05/06/07@01/06@02/01@02/16/01@16/17/09@32/07
-0.137,-0.534,-1.14,-1.162,-0.683,?,0.314,0.142,-0.015,-0.348,?,0.189,-0.726,-1.211,-1.645,-0.092,-0.117,-0.063,0.156,0.12,0.485,0.495,-0.183,-0.333,-0.05,0.019,01/05/25@02/01/03@11/02/03/04
0.073,0.22,0.34,0.29,0.5,0.05,-0.12,-0.1,-0.02,-0.02,0.276,0.05,-0.17,-0.52,-0.31,0.16,-0.32,-0.869,0.27,-0.1,-0.03,-0.06,-0.16,-0.08,-0.34,-0.52,01/05@02/01@02/08@02/10@14/10@16/01@16/21/15
0.24,0,-0.12,-0.06,-0.18,0.07,0.31,0.62,0.47,0.23,0.31,0.62,0.29,-0.08,-0.22,0.35,-0.88,-0.721,0.52,-0.88,0.61,0.5,0.31,0.07,-0.29,0.11,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
0.39,0.463,-0.235,-0.156,0.122,0.02,0.371,0.748,0.605,0.416,0.4,0.533,0.461,-0.087,0.368,0.487,-0.711,-0.512,0.432,-0.332,0.489,0.514,0.453,-0.087,-0.026,-0.004,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
-0.405,1.59,2.27,1.97,2.18,-0.585,-0.4,0.61,0.84,0.81,-0.206,2.876,2.321,0.459,0.892,?,?,?,1.508,-0.299,1.77,1.96,1.2,0.032,-0.584,-1.644,01/04@01/05/25@02/01/03@20/01/03@20/09/18@43/01/03/09
?,1.227,1.867,1.812,1.707,0.013,0.275,0.763,0.744,0.828,0.68,3.002,2.774,0.074,0.684,2.517,-0.284,-0.944,1.797,0.089,2.937,3.815,2.32,-0.084,-0.435,-1.753,01/04@01/05/02/04@01/05/02/07@01/05/25@02/01/03@16/01@16/19/03@20/01/03@20/09/18@43/01/03/09
-0.185,-0.423,-0.715,-0.537,-0.372,-0.196,-0.161,0.134,-0.03,0.074,-0.132,0.569,0.416,0.158,-0.064,0.324,-0.618,-0.247,0.059,0.273,0.317,-1.864,-0.141,-0.186,0.751,-0.056,01/04@01/05/02/04@01/05/02/07@01/05/25@02/01/03@16/17/07@16/19/03
0.098,0.03,0.431,0.414,0.443,0.083,-0.079,-0.022,-0.071,-0.121,0.448,-0.056,-0.113,0.268,0.19,-0.325,-0.604,-1.018,0.323,0.09,-0.119,-0.32,-0.389,0.014,0.202,-0.268,01/04@01/05/02/04@01/05/02/07@01/05/09/04@01/05/09/07@02/01@02/07@02/19@14/13@16/07@34/07@40/01
0.271,0.889,1.599,2.233,2.365,-0.242,-0.128,0.383,0.482,0.316,1.138,3.31,1.916,0.024,0.462,1.334,-0.364,-0.945,2.028,-0.449,3.384,4.011,3.439,-0.03,-0.47,-2.457,01/04@01/05/02/04@01/05/02/07@01/05/09/04@01/05/09/07@02/01@02/07@02/19@14/13@16/07@34/07@40/01
0.341,0.42,0.2,-0.15,0.07,0.244,0.2,0.34,0.5,0.3,0.19,0.503,0.024,-0.322,-0.252,0.074,-0.961,?,0.417,-0.571,1.03,1.02,0.71,0.088,-0.046,-0.256,01/03/01@01/04@01/05/02/04@01/05/02/07@01/05/07@02/01@16/19/03
0.208,0.152,0.036,0.009,-0.05,0.397,0.148,0.313,0.355,0.088,0.114,0.555,0.315,-0.142,-0.486,0.364,0.571,0.279,-0.164,-0.863,0.481,0.16,0.015,-0.217,-0.154,0.358,01/04@01/05/02/04@01/05/02/07@02/01
0.1,0.038,-0.197,-0.083,-0.135,0.229,0.25,0.43,0.369,0.292,0.289,0.079,-0.681,-0.32,-0.7,-0.063,-0.093,-0.079,0.109,-0.53,-0.772,-0.211,0.094,-0.099,0.304,0.176,01/04@01/05/02/04@01/05/02/07@02/01
0.04,0.15,-0.15,0.05,0.34,-0.28,-0.38,0.41,-0.34,-0.71,0.18,-0.44,-0.23,0.32,0.19,0.05,-0.71,-0.71,0.68,0.055,-0.45,-0.4,-0.44,-0.01,0.76,0.13,01/01/09/04/02@01/01/11/04/02@01/05/06/07@01/07/01@01/07/07@02/13@02/16/01@11/02/03/04/01
0,-0.167,-0.222,-0.131,0.133,-0.304,-0.452,0.138,0.012,-0.729,0.254,-0.454,-0.507,0.222,0.191,-0.096,-0.573,-0.623,0.261,-0.095,-0.849,-0.712,-0.093,-0.057,0.529,0.258,01/01/09/04/02@01/01/11/04/02@01/05/06/07@01/07/01@01/07/07@02/13@02/16/01@11/02/03/04/01
0.066,0.11,0.14,0.22,0.1,0.003,0.178,0.24,0.08,0.1,0.291,0.198,0.325,0.069,-0.083,0.167,?,0.231,-0.016,?,-0.02,-0.5,-0.23,-0.088,0.421,-0.511,01/01/11/02@01/01/11/03@01/01/11/04@01/05@01/06@02/01@02/08@02/10@02/16/05
0.261,0.987,1.008,0.885,0.939,-0.29,-0.309,0.061,0.129,-0.041,-0.103,?,0.1,0.097,?,0.237,?,-0.258,0.692,-0.158,0.199,0.418,0.243,-0.063,0.251,?,01/03@01/04@01/05/02/04@01/05/02/07@02/01/03@16/17/07@20/03/09@30/01/05
-0.144,-0.072,-0.089,-0.217,0.831,?,0.088,-0.114,0.306,0.272,-0.244,0.028,-0.361,-0.183,-0.075,-0.063,0.133,-0.165,0.356,0.528,-0.046,-0.209,-0.251,0.866,0.299,-0.053,01/05@01/07/01@02/16/01@11/02/03/01@11/02/03/04
-0.223,-0.333,-0.686,-0.51,-0.871,0.469,0.279,0.136,0.227,0.437,-0.133,0.093,0.093,-0.437,-0.322,-0.081,0.493,0.204,-0.246,0.245,0.098,-0.201,-0.133,-0.121,0.024,-0.005,01/05/25@02/01/03@11/02/03/04/01
-0.12,0.02,-0.51,-0.68,-0.35,-0.06,0.13,-0.24,-0.39,-0.15,-0.72,0.29,0.11,-0.47,-0.24,0.37,-0.2,-0.25,0.49,0.18,0.408,0.176,-0.57,-0.03,0.263,0.37,01/05/25@02/01/03@11/02/03/04/01@16/03/01
0.014,-0.018,0.395,0.327,0.083,-0.445,-0.313,0.184,-0.3,-0.227,0.301,0.194,-0.122,-0.284,-0.18,0.386,0.19,?,0.83,?,-2.708,-0.894,0.087,0.083,-0.064,-0.472,01/01/06/04/02@01/05/06/07@02/01@02/16/11
0.496,-0.48,-0.17,0.09,0.41,0.196,0.03,0.172,0.05,0.1,0.247,0.325,-1.279,-0.892,-0.356,1.081,-1.069,-1.467,0.769,-0.687,-0.372,0.6,-0.05,0.036,-0.624,-0.568,01/01/03/02/01@01/05/02/04@01/05/02/07@01/05/06/07@02/10@42/16
-0.001,-0.807,-0.314,-0.342,-0.684,?,-0.611,-0.478,-0.705,-0.908,?,-0.491,-0.222,0.099,-0.064,-0.285,-0.37,?,-0.058,0.168,-0.702,-1.366,-0.782,-0.147,0.616,-0.405,01/03/04@01/04@14/07/02
-0.191,-0.51,-0.41,-0.49,-0.35,0.064,-0.03,-0.21,-0.46,-0.54,-0.283,-0.63,0.39,0.4,-0.11,0.28,-0.11,-0.302,0.6,0.25,-0.8,-1.2,-0.28,-0.05,0.658,0.14,02/11@20/01/01/01@20/01/15@20/03/22@34/01/01/03
0.108,0.128,0.256,0.207,0.263,-0.204,-0.334,0.011,-0.245,-0.273,0.281,0.289,0.018,0.055,-0.032,0.06,-0.129,-0.274,0.309,-0.421,-0.414,-0.555,-0.532,-0.01,-0.267,0.002,01/01/11/02/01@01/03/01@11/02/03/04@32/01/05@34/11/03/07@42/16
0.452,0.85,0.77,0.97,0.42,0.022,0.28,0.7,0.76,0.61,0.404,0.825,0.236,0.353,0.917,0.674,?,0.444,0.999,?,2.9,3.71,3.19,-0.228,?,-0.402,14/01@16/01@16/19/03@32/01/05@32/01/07@34/11/09@34/11/12@40/01/03
0.993,2.265,1.833,1.79,2.086,0.547,0.525,1.121,1.041,1.105,1.034,1.087,0.018,-0.362,-0.205,0.902,-1.125,-0.698,0.632,0.581,4.417,4.226,3.246,-0.057,?,-0.868,01/04@14/01@14/04@14/13@16/01@16/19/03@20/01/10@20/09/04@32/01/05@32/01/07
0.099,0.432,0.419,0.336,0.456,-0.302,-0.066,0.237,0.616,0.446,-0.269,0.312,0.259,0.002,-0.013,0.041,0.067,-0.39,0.653,-0.165,0.044,0.15,0.055,0.026,0.181,-0.242,10/03/01@11/02/03/04/01@20/01/27@32/01@34/11/11@40/01@40/20@43/01/03/05@43/01/03/09
-0.21,-0.62,0,-0.41,-0.34,-0.51,-0.58,-0.12,-0.58,-0.53,-0.5,-0.04,-0.43,0.02,-0.25,0.3,-1.16,-1.09,0.71,-0.191,-0.77,-0.96,-0.35,0.84,-0.373,-0.37,01/07/01@01/20/19/01@01/20/19/03@16/21/17
0.175,0.533,0.593,0.542,0.719,-0.373,-0.127,0.289,-0.101,-0.287,0.494,0.842,0.499,-0.358,-0.025,0.475,-0.199,-0.423,0.964,-0.314,0.448,1.071,0.634,-0.18,-0.058,-0.3,01/07/01@01/20/19/01@16/17@16/21/08@34/01/01/01
-0.37,-0.916,-0.731,-0.761,-0.813,-0.349,-0.769,-0.743,-0.863,-0.444,-0.415,-0.7,0.027,-0.722,-0.965,-0.231,-0.329,-0.684,-0.504,-0.121,-0.925,-0.147,-0.462,?,-0.213,-0.503,01/07/01@01/20/19/01
0.199,0.173,-0.303,0.081,-0.062,0.127,-0.055,0.252,-0.018,0.001,0,0.234,0.285,-0.257,0.389,-0.35,-0.263,-0.427,0.216,-0.494,-0.472,-0.264,-0.268,-0.025,0.062,-0.326,01/07/01@01/20/19/01@16/17/09
-0.045,-0.13,-0.09,-0.43,-0.09,0.113,-0.1,-0.2,0.03,0.23,-0.45,0.053,-0.327,-0.127,-0.152,0.195,-0.273,-0.628,0.393,0.185,-1.35,0.05,0.093,-0.572,?,-0.101,10/01/05/03@16/03/01@32/01/09@43/01/03/09
0.404,0.023,0.12,0.379,0.127,-0.357,-0.421,-0.345,-0.321,-0.167,-0.688,0.766,0.185,0.11,0.392,0.448,-0.403,-0.967,1.55,0.146,-0.407,0.49,-0.289,0.792,0.034,-0.483,01/05/25@11/02/03/04@18/02/01/01/05@20/01/03/01@32/01/03@34/11/03/13
0.223,0.81,0.39,0.05,0.15,0.545,0.63,0.49,0.91,0.81,0.695,0.405,-0.311,-0.345,-0.331,-0.274,?,-0.063,-0.624,-0.039,-0.32,-0.61,-0.69,-0.047,0.247,0.193,01/01/09/07/01@01/03/01/03
0.364,1.56,0.92,0.32,0.22,0.588,1.14,0.39,1.37,1.09,1.061,1.659,0.759,-0.34,-0.419,0.034,1.283,0.851,0.494,0.146,-0.31,0.502,-0.288,-0.046,1.013,-0.138,01/01/09/07/01@01/03/01/03@01/04
0.163,0.58,0.7,0.677,0.749,0.184,0.027,0.906,0.204,0.342,0.468,0.379,-0.106,-0.26,-0.133,-0.161,0.346,-0.193,0.487,0.004,-0.181,-0.564,0.077,0.113,0.042,-0.028,01/01/09/07/01@01/04
0.429,0.823,0.442,0.01,0.03,0.323,0.525,0.08,0.4,0.321,-0.111,0.195,-0.006,-0.37,-0.485,-0.226,0.536,-0.08,0.437,?,-1.051,0.029,-0.061,0.819,-0.207,0.377,01/01/09/07/01
-0.262,-0.676,-1.181,-0.589,-1.023,0.322,-0.031,-0.233,-0.131,0.097,-0.282,0.458,0.165,0.017,-0.163,0.012,0.718,0.364,0.121,0.569,-0.415,-1.3,-0.703,-0.188,0.602,0.134,01/01/09/07/01@01/01/13@01/03/01/03@11/02/03/01@11/02/03/04@16/03/01@30/01/05/07
-0.008,0.35,-0.64,-1.14,-0.6,-0.039,0.27,0.48,0.69,0.31,-1.195,1.093,1.786,-2.301,-1.504,1.775,3.563,1.431,0.113,1.658,1.54,2.84,2.22,-0.114,1.257,0.982,01/01/06/04/02@01/01/09/02/02@02/01
-0.06,-0.238,-0.193,-0.137,-0.295,0.18,0.293,0.116,0.388,0.424,-0.09,-1.068,-0.85,-0.494,-0.598,-0.397,-0.081,-0.146,-0.067,0.077,-0.728,-1.158,-0.95,-0.022,0.112,-0.048,01/01/05@01/05@01/20/31@14/01
-0.21,0.52,0.55,-0.882,0.503,-0.29,-0.536,0.08,-0.186,-0.31,0.2,0.727,0.727,0.037,-0.133,0.376,0.512,0.204,0.061,-0.474,?,1.548,0.107,-0.074,0.193,0.794,01/05/02/04@01/20/01/01@16/21/07
-0.033,-0.159,-0.259,-0.125,-0.03,-0.124,-0.413,-1.184,-0.23,-0.13,-0.052,0.755,0.229,0.405,0.092,0.109,0.094,-0.087,-0.279,0.51,0.3,0.562,0,?,?,0.211,42/01@43/01/03/05
?,0.696,0.386,0.548,0.523,-0.005,0.324,0.455,0.607,0.243,0.54,1.158,0.728,0.102,0.248,0.373,-0.154,-0.438,1.052,0.277,0.901,0.385,0.09,-0.037,0.147,0.344,01/02@01/07@14/10@16/01@34/01/01/01
?,0.51,0.28,0.13,-0.19,-1.249,-0.68,0.62,-0.39,-0.71,0.275,0.519,0.332,0.251,0.296,-0.388,-0.76,-0.534,0.313,-0.064,-1.531,-0.933,-0.597,0.021,0.156,0.24,01/01/11/03/01@01/05@18/02/01
0.1,-0.284,-0.491,-0.718,-0.864,-0.04,-0.237,-0.321,-0.728,-0.673,0.08,-0.039,-0.68,-0.001,-0.326,-0.324,-0.179,-0.7,0.341,-0.361,-2.501,-1.696,-0.955,0.027,-0.803,-0.837,01/01/11/02/01@01/01/11/03/01@01/01/11/04/01
-0.044,0.229,0.023,0.142,-0.196,-0.12,-0.648,-0.392,-0.527,-0.554,-0.6,0.681,0.719,0.443,-0.013,0.418,0.55,-0.13,0.583,?,2.506,2.917,1.164,-0.11,-0.562,-0.579,01/05@02/11@02/13@02/16/03@20/01/15@42/16
-0.29,-3.085,-3.051,-3.316,-3.225,-0.036,-1.777,-1.763,-2.894,-3.094,-2.867,0.05,0.729,-0.261,-0.179,-0.472,1.704,0.83,-2.074,0.11,0.622,-0.465,0.31,-0.185,0.327,0.459,01/06/06/11@02/11/05@16/21/01@20/01/15
-0.037,-0.127,-0.518,-0.425,-0.523,-0.446,0.028,-0.062,-0.587,-0.598,-0.447,-0.903,-1.029,-0.299,0.208,-0.135,-0.367,-0.71,0.375,0.562,-6.173,-2.276,?,0.744,?,0.719,01/01/06/06/01/03
0.343,0.821,0.707,0.677,0.858,0.387,0.646,0.607,0.999,0.78,0.989,?,-0.997,-0.578,-0.318,-0.399,0.737,-0.377,0.037,-0.154,-0.847,-1.465,-0.887,0.946,1.153,0.75,01/01/06/06/01/03@01/05
0.148,0.58,0.22,-0.004,-0.04,0.018,0.04,0.2,-0.21,-0.04,0.114,-0.1,-0.33,-0.16,-0.3,0.162,-0.179,-0.71,?,0.228,-0.59,-0.81,-0.23,-0.08,0.825,1.48,01/01/06/06/01/03
0.333,0.738,0.531,0.416,0.629,0.483,0.286,0.268,0.536,0.632,0.918,0.422,-0.07,-0.438,?,-0.5,-0.069,-0.539,-0.932,-0.565,-0.567,-1.528,-1.266,-0.085,1.254,1.448,01/01/06/06/01@01/01/06/06/02
-0.27,0.39,-0.156,-0.06,0.05,0.11,0.069,0.385,0.127,-0.081,-0.26,0.31,0.376,-0.688,-0.229,0.13,0.842,0.852,-0.467,-0.491,0.573,1.23,0.802,-0.091,-0.154,-0.221,01/01/11/02/01@01/03/01@11/02/03/04@32/01/05@34/11/03/07@42/16
0.16,0.22,0.49,0.55,0.2,-0.05,-0.25,-0.16,-0.19,-0.02,0.04,0.54,0.77,-0.265,0.43,0.83,0.19,-0.04,-0.14,0.47,0.09,0.29,-0.06,-0.04,0.312,0.05,01/05/02/04@01/05/02/07@01/05/03@02/16@02/19
-0.1,0.01,0.08,?,0.27,0.07,-0.29,0.04,-0.19,-0.14,-0.26,0.86,0.77,0.546,0.43,0.4,-0.068,-0.89,0.788,-0.123,0.56,-0.772,0.031,0.58,0.373,0.353,01/05/02/04@01/05/02/07@01/05/03@02/16@02/19
0.1,0.572,1.317,?,0.491,-0.19,-0.333,0.109,-0.146,-0.008,0.39,0.694,-0.018,0.082,0.19,0.179,?,-0.298,-0.272,?,-0.351,-0.193,-0.062,-0.258,?,-0.333,01/05/25@11/02/03/04@16/03/01
