@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.032,-0.307,-0.852,-0.585,-0.625,0.243,-0.096,0.396,-0.117,0.015,0.06,-1.132,-0.156,0.02,0.335,0.338,-0.14,0.721,?,0.355,-0.207,0.174,0.254,0.22,0.268,-0.113,0.65,0.766,-0.222,0.333,0.019,?,-0.167,-0.11,-0.217,-0.067,-0.154,0.257,1.133,99
-0.09,-0.199,-0.095,-0.252,-0.03,0.1,0.093,0.048,0.155,0.18,0.121,0.094,0.03,0.118,-0.121,0.008,0.169,-0.084,-0.323,-0.401,-0.142,0.149,-0.349,-0.04,0.197,-0.072,-0.331,0.157,-0.62,-0.392,-0.474,-0.022,-0.533,-0.179,-0.083,0.264,-0.384,0.148,0.1,10/01/03/03@10/01/09/05@11/02/03/04@34/11/03/07
-0.057,-0.05,-0.33,-0.4,-0.45,0.356,0.17,0.3,0.33,0.4,0.23,0.07,-0.158,-0.33,-0.48,-0.5,-0.59,-0.59,-0.44,-0.39,-0.455,0.261,0.202,-0.27,-0.03,-0.18,0.001,-0.24,0.43,0.476,0.171,0.17,0,-0.15,-0.2,0.209,0.056,-0.065,-0.16,10/01/03/03@10/01/09/05@11/02/03/04@34/11/03/07
-0.111,0.481,0.184,0.274,0.044,0.379,0.291,0.376,0.252,0.43,0.285,0.113,0.369,-0.008,-0.153,0.163,0.363,0.686,0.136,0.418,-0.176,0.417,0.131,0.423,0.379,0.131,0.402,0.038,-0.081,0.448,0.309,0.144,0.174,0.395,-0.127,0.114,0.378,-0.064,0.081,10/01/03/05@10/01/05/01
0.078,0.378,0.447,0.531,?,0.017,0.06,-0.05,-0.089,0.094,0.217,-0.006,0.298,0.616,-0.091,0.317,0.214,0.371,0.351,-0.147,0.208,0.636,0.3,-0.061,-0.03,-0.02,0.112,0.069,0.086,0.076,0.291,-0.014,-0.457,-0.299,-0.189,0.101,-0.08,-0.15,-0.021,10/01/03/05@10/01/05/01
0.239,0.08,-0.13,-0.13,-0.14,0.147,0.25,0.21,0.57,0.23,0.26,0.32,0.053,0.429,0.123,0.13,0.067,0.089,-0.326,-0.128,0.094,-0.067,-0.499,-0.049,0.198,0.031,-0.003,0.064,0.124,-0.023,-0.127,-0.28,-0.51,-0.32,0.096,0.233,-0.096,-0.128,0.163,10/01/03/05@10/01/05/01@10/01/09/05
-0.21,0.05,0.19,-0.04,0.06,-0.06,-0.14,-0.09,-0.4,-0.18,-0.46,-0.18,-0.21,0.16,0.17,0.13,0.22,0.17,0.11,0.01,0.22,0.57,0.5,-0.3,-0.11,-0.693,0.05,0.01,0.25,0.15,0.05,-0.6,-0.77,-0.58,-0.09,0.16,0.06,0.1,0.15,10/01/03/05@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@16/01@16/03/01@16/17/09@32/01/09
-0.22,?,?,?,0.907,0.874,?,?,?,?,-2.115,?,-1.415,2.245,1.862,0.415,?,?,1.815,?,0.838,0.294,0.435,?,?,?,?,?,-1.605,0.32,0.697,?,?,?,0.415,-0.604,0.408,0.197,?,01/04@10/01/03/03@10/03/01@16/01@16/03/01@16/19/03@18/02/01@42/02
0.229,1.743,1.718,1.908,1.689,-0.168,0.133,1.147,0.912,0.789,?,0.909,1.192,1.9,1.388,0.893,0.369,0.187,0.69,1.372,1.731,0.128,1.151,1.6,-0.184,-0.21,0.028,0.258,0.789,0.58,0.57,2.116,2.594,-2.132,0.772,-0.581,-1.05,0.747,0.015,01/03/07@10/01/03@10/01/05/01@16/01@16/19/03
-0.04,1.36,2.507,2.771,3.407,0.36,0.161,0.071,0.387,0.825,0.936,1.131,1.38,1.649,1.882,1.719,1.715,1.418,1.617,1.531,-0.146,-0.013,-0.048,1.148,1.219,0.663,0.669,0.35,-0.185,-0.064,-0.337,-0.379,-0.019,-1.125,0.01,?,-0.33,3.26,3.583,01/03/07@10/01/03@10/01/05/01@16/01@16/17/09@32/01/09
-0.39,0.103,0.166,0.365,0.042,0.08,0.3,0.485,0.477,0.147,0.621,?,0.27,-0.21,0.077,0.057,0.154,0.218,-0.022,0.036,-0.118,0.035,-0.166,0.117,0.211,0.197,0.289,0.35,-0.414,-0.163,-0.012,-0.344,-0.308,-0.294,-0.067,0.064,0.172,-0.222,0.105,01/03/04/03@01/03/07@01/04@10/01/03@10/01/05/01@16/19/03@30/01
-0.121,0.665,0.814,0.788,0.648,-0.091,0.181,0.269,0.353,0.408,0.297,0.2,0.612,0.137,0.256,1.239,0.295,0.164,-0.002,-0.284,0.051,0.229,-0.039,0.087,0.138,-0.134,-0.062,0.299,-0.476,0.147,0.187,-0.447,-0.441,-0.557,-0.22,0.079,0.272,-0.235,-0.484,01/03/04/03@01/03/07@01/05/13/03@10/01/03@10/01/05/01@16/19@30/01/09/11
-0.303,0.727,0.081,0.106,0.223,-0.288,0.175,0.332,0.252,0.388,0.438,0.165,0.426,0.848,0.746,0.755,1.121,1.181,0.35,0.221,0.176,0.608,0.685,0.629,0.473,0.322,0.293,0.412,0.618,0.635,0.292,-1.043,-5.821,-1.49,-0.211,0.086,-0.537,?,-0.003,99
0.035,0.541,0.106,0.122,0.28,?,0.248,0.478,0.608,0.385,0.237,0.414,0.592,0.6,0.383,0.392,0.453,0.253,-0.128,0.041,0.167,-0.002,-0.183,0.24,0.391,-0.073,0.179,-0.272,0.029,0.328,0.282,0.609,0.839,0.259,0.036,0.245,0.237,0.28,0.039,01/04@10/03/01@10/03/02@14/01@14/04@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
0.199,0.789,0.652,0.656,0.977,0.815,0.721,0.551,1.156,1.3,0.995,0.905,0.91,0.558,0.353,0.497,0.575,0.626,0.235,0.036,0.39,0.546,0.288,0.216,0.608,0.234,0.273,0.433,-0.314,0.234,-0.09,0.258,0.169,-0.201,-0.053,0.126,-0.303,?,0.413,10/01/03@10/01/05@10/01/09/05@11/02/03@16/01
0.025,0.222,-0.003,-0.279,?,-0.433,0.053,0.216,0.162,-0.071,0.353,0.245,-0.176,0.288,0.273,0.416,0.985,0.592,0.054,0.597,0.084,0.039,-0.242,0.04,0.452,0.513,0.148,0.19,0.606,-0.047,0.165,-0.204,0.037,0.446,-0.224,0.084,-0.159,?,-0.21,10/01/05/01@10/03/02@16/07@43/01/03/09
-0.03,0.113,0.241,0.295,0.154,0.49,0.6,0.519,0.837,0.916,0.715,1.379,0.51,0.09,-0.044,0.136,0.092,-0.036,-0.258,-0.328,-0.362,-0.408,-0.754,-0.271,0.186,-0.207,0.309,0.037,-1.119,-0.027,-0.325,0.361,0.03,-0.195,-0.175,0.212,0.16,-0.135,0.007,99
-0.187,-0.293,-0.32,-0.419,-0.439,0.055,0.055,0.085,0.042,-0.219,0.155,-0.128,-0.279,-0.211,-0.478,-0.214,-0.207,-0.445,-0.473,-0.332,-0.348,-0.317,-0.422,-0.282,-0.264,-0.587,-0.159,-0.176,-0.46,-0.079,0.17,0.263,-0.007,0.099,-0.148,0.224,-0.488,-0.327,-0.098,01/03/16@10/01/03@16/03/01@16/03/03@16/17/07@42/01
-0.115,0.342,0.546,0.723,0.506,-0.108,-0.052,-0.004,0.073,0.075,0.203,-0.003,0.309,0.372,0.186,0.189,0.169,-0.117,0.041,0.076,0.141,0.396,0.138,0.146,-0.042,-0.149,0.077,0.305,0.143,0.064,0.388,-0.295,-0.139,0.071,0.608,-0.706,-0.068,0.31,-0.284,10/01/03/05@10/01/05/01@10/01/05/03@16/01@16/03/01@16/19/03
-0.01,-0.329,-0.469,-0.392,-0.452,0.25,0.235,-0.127,0.181,0.11,0.06,0.14,-0.19,-0.76,-0.905,-0.784,-0.401,-0.558,-0.224,-0.458,-0.673,0.408,0.198,-0.322,0.149,0.018,0.241,-0.003,-0.18,0.432,0.417,-1.292,-1.872,-1.671,-0.043,0.191,-0.476,0.61,0.189,16/01@18/02/01/01@32/01/07@32/05/01
0.126,-0.151,-0.033,0.077,0.207,-0.17,-0.261,0.109,-0.166,-0.017,0.1,0.142,0.552,-0.314,-0.162,-0.144,0.197,0.661,0.632,0.689,-0.104,0.435,0.169,-0.467,-0.147,0.156,0.562,-0.16,-0.413,1.023,0.786,-0.761,-1.228,-1.177,-0.173,0.089,-0.545,?,0.13,14/04@20/01/10@20/09/01@32/05/01/03@42/10
0.186,0.494,0.629,0.755,0.766,-0.303,-0.408,-0.121,-0.105,0.023,-0.127,0.019,0.052,0.299,1.356,0.937,0.189,0.083,0.015,0.324,0.521,0.635,0.065,0.203,-0.212,-0.894,-0.431,-0.408,1.206,0.219,0.355,1.151,1.44,0.665,0.782,-0.559,0.86,0.44,-0.416,10/03/01@16/03/03@32/01@40/01@42/01@43/01/03/05
-0.056,-0.07,-0.11,0.01,-0.27,-0.206,-0.46,-0.56,-0.55,-0.4,-0.43,-0.43,-0.238,-0.61,0.76,0.38,-0.51,0.97,0.23,-0.1,0.438,0.566,-0.105,0.554,0.553,0.628,1.67,0.111,-0.058,?,0.11,0.99,-0.35,-0.24,-0.26,-0.17,0.433,0.308,0.45,20/01/01/01@20/01/01/07@20/01/25@20/03
-0.322,-0.12,-0.13,-0.415,0,-0.08,-0.05,-0.18,-0.2,-0.18,-0.2,0.08,-0.69,0.93,0.74,0.64,0.57,0.62,0.684,0.32,0.36,0.62,0.48,0.03,-0.027,0.2,-0.1,0.45,0.27,0.19,0.38,-0.66,-1.276,-0.24,-0.11,-0.11,-0.266,0.37,0.6,01/04@01/05@16/19/03@20/01/01/01@20/01/03@20/01/13@20/01/27@20/03/22@20/03/25@20/09/16/01@32/01/01@32/05/01/03@32/07/05@34/01/01/01
-0.32,-0.034,0.069,0.041,0.095,-1.26,-0.902,0.138,-0.557,-0.989,-0.392,-0.397,-0.485,?,-0.17,-0.257,-0.452,-0.583,-0.121,-0.215,0.263,0.053,-0.325,-0.288,-0.642,-1.087,-0.935,-0.637,1.032,-0.354,0.155,-1.252,-0.494,0.015,0.085,0.083,-0.066,0.573,-0.376,10/01/05/01@10/03/05/01@16/01@18/01/01@18/02/01@30/01@32/01/03
-0.364,-0.22,-0.02,0.34,-0.19,-0.155,-0.08,0.58,-0.14,-0.27,-0.04,-0.06,0.231,-0.359,-0.014,0.131,0.235,0.571,-0.002,-0.323,0.222,0.355,-0.064,-0.004,0.323,0.284,0.182,0.386,-0.139,0.058,0.38,-0.113,-0.025,0.119,-0.067,0.14,0.49,0.023,0,01/01/03/05/01@01/20/17@14/07/04
-0.038,-0.043,-0.255,-0.313,-0.28,-0.162,-0.324,-0.247,-0.38,-0.191,?,-0.216,0.155,0.109,-0.063,-0.531,0.292,-0.371,-0.559,-1.032,-0.462,?,-0.265,-0.152,?,-1.146,0.21,0.076,-1.107,?,0.427,-0.395,-0.933,-0.32,-0.343,-0.035,-0.21,0.269,0.209,01/01/03/05/01@01/20/17@02/13@14/07/04
0.117,0.036,0.323,0.632,0.766,0.025,-0.476,-0.028,-0.565,-0.565,-0.701,-0.713,-0.271,0.485,0.486,0.242,0.257,-0.281,0.209,0.273,-0.074,0.214,0.42,0.93,0.327,-0.181,-0.235,0.281,0.019,-0.131,-0.492,2.078,2.553,1.892,-0.145,0.267,0.342,-0.997,-0.691,01/06/05@02/13@16/17/09@20/01/15
-0.04,0.466,0.573,0.532,0.533,-0.11,0.092,0.352,0.591,0.562,0.439,0.224,-0.12,0.583,0.336,0.275,0.376,0.115,0.226,0.337,0.494,0.33,0.327,0.32,-0.074,-0.344,-0.18,-0.106,0.698,0.152,0.408,0.621,0.523,0.417,0.033,0.121,0.066,0.186,-0.316,16/01@20/09/13
-0.189,-0.02,0.403,0.469,0.213,-0.741,-0.161,0.191,-0.445,-0.248,-0.25,-0.1,0.05,?,0.565,0.729,0.676,0.292,0.192,0.262,0.19,0.003,-0.358,0.925,0.084,0.004,-0.169,0.021,0.455,-0.347,-0.582,0.523,0.977,1.048,-0.181,0.166,0.304,0.097,-0.589,01/03/01@01/04@10/03/01@14/04@16/01@16/19/03@16/19/05@20/01/10@20/09/07/03@20/09/13@20/09/18/09/01@30/01/05/05/01@42/08@42/22
-0.013,0.244,0.051,-0.146,0.206,0.225,0.449,0.365,0.7,0.498,0.526,0.644,-0.154,0.274,0.151,0.044,0.108,-0.218,-0.329,-0.243,0.246,-0.048,0.017,0.622,0.449,0.067,0.149,0.319,-0.446,-0.181,-0.249,0.695,0.624,0.535,0.637,-0.58,-0.173,-0.294,-0.1,14/04@20/09/07/27@20/09/13@20/09/18@42/07@42/25
0.077,0.377,0.049,-0.202,0.329,0.378,0.281,0.255,0.345,0.327,0.204,0.185,0.051,0.478,0.249,0.016,-0.204,-0.162,-0.528,-0.217,0.253,-0.184,-0.438,0.417,0.257,-0.419,-0.389,-0.136,-0.13,-0.486,-0.393,0.234,0.333,-0.059,-0.009,0.228,-0.016,?,0.235,01/03/01@01/04@10/01/09/05@10/03/01@10/03/03@11/02/03/04@14/04@16/01@16/19/03@16/19/05@20/01/10@20/01/26@20/09/07/03@20/09/07/25@20/09/07/27@20/09/13@20/09/16/09/03@20/09/18/09/01@30/01/05/05/01@32/05@42/10/03@42/22@43/01/03/05
0.185,0.591,0.2,0.129,0.466,0.361,0.356,0.564,0.749,0.773,0.579,0.629,0.582,1.002,0.558,0.326,0.294,0.411,-0.336,-0.046,0.595,?,-0.043,0.452,0.355,-0.039,0.077,-0.107,-0.249,0.316,0.236,0.107,?,-0.403,-0.193,0.113,0.126,?,-0.091,14/04@20/09/07/27@20/09/13@20/09/18@42/25
0.02,0.11,0.12,-0.216,0.34,-0.097,-0.4,-0.17,-0.25,0.02,-0.05,0.22,0,-0.08,0.26,0.23,-0.21,0.01,-0.12,0.16,0.09,0.268,0.02,0.32,0.15,-0.25,0.14,0.09,0.6,-0.01,0.27,0.24,0.45,-0.32,-0.13,0.17,-0.74,0.62,0,01/04@01/06@20/09/18/09/01@30/01/09/11@42/01
0.123,0.583,0.335,0.302,0.32,0.386,0.235,0.235,0.892,0.73,0.398,0.509,?,0.629,0.492,0.519,0.734,0.155,0.202,0.24,0.259,0.101,-0.101,0.526,0.398,-0.368,-0.014,-0.098,0.17,0.09,0.014,0.598,0.319,0.028,0.812,-0.577,-0.311,-0.154,-0.111,14/10@16/01@20/09/18/09/01@42/04/03@43/01/03/05
0.37,0.913,0.826,1.132,1.365,0.42,0.013,0.157,0.549,0.549,0.317,0.414,0.88,0.44,0.43,0.424,0.217,0.124,0.089,0.083,0.312,0.371,0.194,0.844,0.392,-0.202,0.053,0.156,0.903,0.417,0.119,1.255,0.622,-0.301,0.016,0.312,-0.005,0.32,-0.451,14/10@16/01@20/09/07@20/09/18/09/01@42/04/03@43/01/03/05
0.13,0.181,0.522,0.656,0.345,-0.11,-0.037,-0.051,-0.078,0.069,-0.032,-0.01,0.27,0.501,0.231,0.043,0.165,-0.138,0.145,0.003,0.672,0.71,0.398,0.693,-0.213,-0.748,-0.63,-0.368,0.752,0.334,0.44,?,0.034,?,-0.185,?,0.343,0.48,-0.195,14/10@16/01@20/09/18/09/01@40/01@42/04@43/01/03/05
-0.321,0.11,-0.65,-0.07,-0.05,-0.38,-0.07,-0.1,-0.19,-0.23,-0.09,-0.05,-0.35,0.21,0.34,0.24,-0.02,0.46,0.12,0.47,0.76,0.53,0.43,0.34,0.14,0.04,0.2,-0.59,0.38,0.58,0.9,-0.04,-0.07,0.08,-0.27,-0.06,0.08,0.65,-0.056,14/04@16/01@16/07@20/09/07/25@20/09/13@20/09/18/09/01/01@42/09
-0.027,-0.258,-0.067,0.037,0.119,0.185,-0.152,0.455,-0.277,0.005,0.042,0.084,0.059,0.257,0.022,-0.116,-0.002,0.106,0.653,0.423,-0.216,0.225,0.039,-0.643,-0.884,-0.266,-0.913,0.24,0.373,0.068,-0.011,-0.293,-0.093,-0.095,-0.204,0.222,0.486,?,-0.179,14/07/01@20/09/18/09/01@30/05@34/11/03/07
?,0.58,0.06,-0.11,-0.14,?,0.45,0.39,0.41,0.12,0.11,0.45,-1.415,-0.64,-0.07,-0.05,0.02,0.36,0.38,0.7,0.058,0.694,0.583,-0.09,-0.23,0.27,0.52,0.24,0.478,?,0.291,0.3,0.78,0.57,-0.06,-0.101,0.5,?,0.32,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
0.048,0.14,0.1,0.23,0.14,0.204,0.2,0.22,0.21,0.23,0.32,0.33,0.475,-0.24,-0.23,-0.13,-0.11,-0.5,-0.38,-0.55,-0.291,-0.251,-0.223,-0.15,-0.199,-0.089,0.1,0.17,-1.47,-0.734,-0.665,0.92,0.44,0.38,-0.12,0.134,-0.11,-0.916,-0.24,14/04@16/02@20/01/10@20/09/07/03
