@RELATION 'eisen0.names'

@ATTRIBUTE alpha_14                                numeric
@ATTRIBUTE alpha_21                                numeric
@ATTRIBUTE alpha_28                                numeric
@ATTRIBUTE alpha_42                                numeric
@ATTRIBUTE alpha_49                                numeric
@ATTRIBUTE alpha_56                                numeric
@ATTRIBUTE alpha_63                                numeric
@ATTRIBUTE alpha_70                                numeric
@ATTRIBUTE alpha_91                                numeric
@ATTRIBUTE alpha_105                               numeric
@ATTRIBUTE alpha_112                               numeric
@ATTRIBUTE alpha_119                               numeric
@ATTRIBUTE elu_90                                  numeric
@ATTRIBUTE elu_120                                 numeric
@ATTRIBUTE elu_150                                 numeric
@ATTRIBUTE elu_180                                 numeric
@ATTRIBUTE elu_210                                 numeric
@ATTRIBUTE elu_240                                 numeric
@ATTRIBUTE elu_270                                 numeric
@ATTRIBUTE elu_330                                 numeric
@ATTRIBUTE elu_360                                 numeric
@ATTRIBUTE cdc15_10                                numeric
@ATTRIBUTE cdc15_90                                numeric
@ATTRIBUTE cdc15_150                               numeric
@ATTRIBUTE cdc15_170                               numeric
@ATTRIBUTE cdc15_190                               numeric
@ATTRIBUTE cdc15_230                               numeric
@ATTRIBUTE cdc15_250                               numeric
@ATTRIBUTE cdc15_270                               numeric
@ATTRIBUTE cdc15_290                               numeric
@ATTRIBUTE spo_0                                   numeric
@ATTRIBUTE spo5_2                                  numeric
@ATTRIBUTE spo__early                              numeric
@ATTRIBUTE heat_160                                numeric
@ATTRIBUTE dtt_30                                  numeric
@ATTRIBUTE cold_0                                  numeric
@ATTRIBUTE cold_160                                numeric
@ATTRIBUTE diau_540                                numeric
@ATTRIBUTE diau_660                                numeric
@ATTRIBUTE diau_900                                numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/05,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/18,30/05/02,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,43/03,99

@DATA
-0.04,0.18,-0.3,-0.06,?,-0.06,-0.34,-0.36,-0.43,-0.23,-0.1,-0.2,?,0.08,0.03,-0.03,-0.25,-0.62,-0.47,-0.43,-0.56,-0.94,0.38,0.1,0.41,0.67,0.33,0.5,0.12,0.37,-0.14,0.58,-1.84,0.44,0.07,-0.09,0.46,0.15,0.14,-0.27,01/04@01/07/01@16/19/03
-0.03,-0.29,0.15,0.36,0.19,0.11,0.1,0.42,0.03,0.28,0.3,-0.01,-0.42,-0.29,-0.25,-0.18,0.08,0.29,0.01,0.34,0.12,-0.12,0.15,-0.22,-0.03,-0.04,-0.47,0.11,-0.23,-0.01,-0.34,-0.2,-0.97,-0.54,-0.38,?,0.28,-0.03,-0.25,0.1,12/04/01
0.06,-0.15,-0.14,0.03,?,-0.01,-0.38,0.06,-0.32,-0.38,-0.3,0.12,-0.45,-0.45,-0.25,-0.23,0.14,0.15,0.2,0.04,-0.4,-0.18,0.08,0.32,0.41,0.23,-0.62,0.69,0.48,0.7,-0.36,0.23,-1.6,0.15,-0.23,-0.34,-0.03,-0.34,-0.17,?,12/04@12/10@16/03@16/19/03
-0.06,0.6,0.19,0.25,-0.17,-0.01,-0.27,-0.12,-0.32,-0.17,?,-0.29,-0.09,-0.17,-0.4,-0.03,-0.04,0.21,0.28,0.44,-0.09,0.12,0.07,0.15,0.07,0.11,-0.51,-0.04,-0.01,-0.1,-0.2,0.41,-2,0.23,-0.4,0.53,0.9,0.07,0.14,-0.36,01/07/01
0.48,0.19,?,0.03,-0.04,-0.1,-0.22,0.12,-0.03,-0.04,0.04,-0.45,-0.03,-0.17,-0.42,-0.15,-0.03,0.04,-0.25,0.2,-0.06,-0.17,-0.32,-0.18,-0.36,-0.34,-0.04,0.12,-0.07,0.15,-0.06,0.37,-1.15,0.21,-0.45,0.33,0.6,0.23,0.52,-0.01,16/01@16/06@16/17/01@20/09/16@20/09/18/09/01@32/01/03@40/01/03@42/04/03@43/01/03/05
-0.01,-0.03,0.11,0.42,0.07,0.12,-0.03,-0.12,0.08,-0.09,0.3,0.01,-0.07,0.2,0.15,0.01,0.32,-0.01,0.24,0.11,0.03,0.37,0.21,0.25,-0.06,0.46,-0.18,0.52,0.24,0.43,-0.22,0.04,-1.47,-0.14,-0.38,-0.43,0.24,-0.2,-0.01,0.04,14/07/04
0.1,0.11,0.25,0.26,0.19,0.14,0.08,0.06,-0.18,-0.03,-0.14,-0.06,0.15,-0.09,-0.17,-0.32,-0.23,-0.17,0.18,0.14,-0.01,0.36,0.06,-0.03,-0.15,0.06,0.7,0.1,-0.12,-0.14,-0.6,-0.12,-1.12,-0.56,-0.45,-0.04,0.04,0.34,0.55,0.07,01/04@16/19/03@18/02/01/01@20/03/25@32/01/11
0.1,0.11,0.31,0.39,0.25,0.12,-0.29,0.04,0.11,0.11,-0.09,-0.22,0.01,0.08,-0.1,-0.09,-0.29,-0.49,-0.58,-0.74,-0.54,-0.04,-0.4,0.34,-0.01,-0.45,-0.69,-0.42,-0.23,-0.45,-0.07,0.2,-1.6,-0.07,-0.2,0.01,0.08,-0.06,0.19,-0.4,20/01/01/01/01@32/07@34/01/01/01
?,0.03,0.2,0.24,-0.12,0.2,-0.01,0.18,-0.29,-0.07,-0.15,-0.2,0.08,-0.14,0.01,0.3,0.14,0.23,-0.2,0.12,-0.01,-0.22,0.21,-0.12,0.29,0.03,0.52,0.15,?,0.08,-0.49,0.36,-1.09,-0.64,0.1,0.12,0.15,-0.2,-0.23,-0.23,14/04@20/01/10@20/03@20/09/04
-0.15,0.11,0.15,-0.1,-0.04,0.11,-0.22,0.21,-0.22,0.24,-0.32,-0.42,-0.17,-0.09,-0.22,-0.14,-0.12,-0.18,-0.3,-0.32,-0.15,-0.38,0.06,-0.14,0.01,-0.64,-0.12,0.26,0.06,0.36,0.1,?,-0.86,-0.34,0.11,-0.4,0.43,0.14,0.12,0.03,11/04/03/01@16/03/03
-0.43,-0.89,-0.32,-0.25,-0.42,-0.27,-0.22,-0.56,-0.49,-0.29,-0.17,-0.12,0.08,-0.2,-0.01,-0.4,-0.15,-0.18,-0.1,-0.51,-0.38,1.27,0.53,0.26,0.43,0.34,-0.42,0.18,0.3,0.52,-0.42,0.18,-2.25,0.25,0.48,0.28,-0.3,-0.25,-0.23,-0.01,01/05@14/07/02/01@14/07/02/02@42/01
0.2,0.07,-0.1,?,-0.12,0.36,-0.01,0.26,-0.15,0.03,-0.23,0.04,-0.06,-0.23,0.1,0.23,0.5,0.36,0.54,0.3,0.42,0.25,0.1,0.65,0.33,0.19,0.1,0.49,0.3,0.45,-0.14,0.04,-1.89,-0.22,-0.18,-0.07,0.7,0.19,0.31,-0.27,14/07/11@16/17/09
0.46,-0.51,0.36,0.57,-0.15,0.24,0.18,0.08,-0.2,-0.17,-0.03,-0.14,0.25,0.6,0.24,-0.42,0.2,0.1,0.01,0.26,0.57,-0.86,0.15,0.43,0.37,0.58,-0.54,0.87,0.8,0.74,0.06,1.85,-3.47,-1.09,-0.22,-0.6,-1.69,0.1,0.43,0.11,01/04@01/05/02/04@01/05/02/07@02/01
0.62,0.42,0.41,0.65,0.45,0.59,0.3,0.28,0.32,0.28,0.08,0.06,0.91,0.42,0.01,-0.34,-0.01,0.23,0.52,0.61,0.76,-1.18,-0.23,-0.03,-0.18,0.07,-0.36,-0.32,0.1,-0.09,0.07,1.52,-2.74,-0.14,-0.49,0.6,-0.69,0.1,0.18,0.62,01/03/01@01/04@01/05/02/04@01/05/02/07@01/05/07@02/01@16/19/03
0.23,0.44,0.3,0.2,0.04,0.34,0.36,0.16,0.14,0.41,0.14,0.15,1,0.44,0.56,0.24,0.44,0.11,0.19,0.15,0.66,-1.25,0.06,0.43,0.29,0.4,0.58,-0.07,-0.1,-0.1,0.31,1.81,-2.84,-0.43,-0.25,0.31,-0.43,0.1,0.24,0.06,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
0.72,0.28,0.76,0.64,0.65,0.5,0.57,0.5,0.65,0.46,0.7,0.43,0.28,0.48,0.16,0.11,0.33,0.06,0.06,0.23,0.23,-0.38,-0.58,0.8,0.44,-0.76,-0.01,-1,0.56,-1.03,-0.29,1.26,-2.32,0.61,-1.79,1.18,-0.03,0.29,0.5,-0.15,01/01/09/04/02@01/01/11/04/02@01/05/06/07@01/07/01@01/07/07@02/13@02/16/01@11/02/03/04/01
-0.03,-0.01,?,0.11,0.12,0.31,0.56,0.39,0.21,0.4,?,0.25,0.67,0.28,0.44,0.41,0.45,0.15,0.19,0.1,0.39,-1.03,-0.47,0.08,-0.14,-0.2,0.19,-0.6,-0.56,-0.62,0.24,0.74,-1.6,-0.18,-1.43,0.08,-0.27,0.21,0.18,-0.36,01/01/09/04/02@01/01/11/04/02@01/05/06/07@01/07/01@01/07/07@02/13@02/16/01@11/02/03/04/01
0.16,0.15,-0.12,0.03,-0.04,-0.17,0.19,-0.4,-0.09,-0.56,-0.38,-0.34,0.31,0.33,-0.18,-0.38,-0.32,-0.74,-0.56,-0.4,-0.58,-0.47,-0.09,0.87,1.38,-0.42,-0.06,-0.84,0.08,-0.47,0.04,0.81,-0.92,-0.94,0.34,-0.58,-0.71,0.11,0.15,-0.3,01/05/25@02/01/03@11/02/03/04
-0.09,-0.07,-0.2,-0.07,0.03,0.26,-0.18,0.42,-0.03,0.31,-0.18,0.16,-0.01,-0.04,-0.18,-0.12,-0.09,-0.15,0.14,0.08,-0.15,-0.49,-0.97,0.23,0.37,-1.03,0.1,-1.18,-0.03,-1.15,0.18,1.2,-0.69,-0.71,-0.2,-0.23,-0.25,0.36,0.23,-0.43,01/01/09/06/01@01/07/01@01/20/33
0.25,-0.1,0.3,0.11,-0.09,0.18,-0.2,0.61,0.16,0.18,0.25,-0.27,-0.06,0.12,-0.2,0.03,0.04,-0.15,-0.22,0.1,-0.36,-0.34,-0.76,0.7,-0.03,-0.76,0.31,-1.32,-0.51,-1.36,-0.29,1.76,-1.06,-0.42,-0.97,0.2,-0.34,0.3,0.51,-0.38,11/02/02@12/10
?,0.04,-0.1,0.07,-0.15,0.03,0.23,0.04,-0.18,-0.15,-0.29,-0.09,-0.12,0.24,0.26,0.2,0.53,0.37,0.36,0.34,0.29,-0.34,0.1,0.1,-0.07,-0.25,-0.18,-0.36,-0.51,-0.27,-0.18,0.6,-0.2,-0.04,-0.56,-0.3,-1.09,-0.07,-0.2,-0.04,01/06/05@01/06/06/11@02/11@02/13@16/21/01@16/21/05@16/21/07@20/01/15@20/03
-0.27,-0.15,0.52,0.86,0.11,0.53,0.16,?,0.46,-0.03,0.15,0.4,-1.25,-0.43,0.15,0.36,0.7,0.54,0.48,0.21,0.07,-0.49,0.94,0.45,0.48,0.79,-0.06,-0.23,-0.36,-0.2,-0.03,1.53,-1.51,-0.56,-1.15,-0.54,-1.25,0.21,0.18,0.26,10/03/02@42/01@43/01/03/09
-0.04,0.28,?,0.24,0.14,0.12,-0.22,0.18,-0.3,-0.18,-0.25,-0.1,0.15,-0.17,0.01,0.14,0.28,0.08,0.36,0.41,0.37,0.07,0.3,0.58,0.37,0.49,-0.1,0.39,0.43,0.66,0.04,0.16,-1.56,-0.17,-0.69,0.12,-0.76,0.21,0.16,?,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@16/03/03@16/19@30/05@32/01/11@36/20/18@40/01/03@40/10/02
0.56,0.38,0.66,0.76,1.02,1.04,0.2,0.75,0.24,0.72,0.33,0.4,-0.23,-0.09,0.15,0.42,0.4,0.23,0.19,0.37,-0.01,0.11,1.11,0.63,0.34,0.81,0.29,0.26,0.25,0.54,-0.12,0.11,-1.25,-0.54,-0.74,0.19,-0.92,0.19,0.52,0.65,01/05@42/01
0.08,0.39,-0.01,-0.15,-0.01,0.11,-0.3,-0.04,0.19,0.03,-0.38,-0.01,-0.12,-0.34,-0.17,?,0.24,0.52,0.46,0.3,0.71,-0.25,-0.14,0.01,-0.2,-0.17,0.16,-0.34,-0.27,-0.14,0.01,0.57,-1.22,-0.84,-0.62,-0.3,-0.34,0.34,0.2,0.37,10/01/09/05@10/03/01/01/11@10/03/03@10/03/05/01@10/03/05/03@11/02/03/04@14/04@14/07/04@14/10@16/01@16/03/01@16/06@16/07@16/17/09@16/19/03@20/01/10@20/09/07@20/09/14/02@20/09/16/09/03@20/09/18/09/01@32/01/03@34/05@40/01@42/01@42/04/03@42/10/03@42/29@43/01/03/05@43/01/03/09
-0.3,-0.58,-0.06,0.04,-0.51,-0.34,-0.64,-0.42,-0.84,-0.43,-0.3,-0.6,-0.42,-0.04,-0.3,?,0.04,0.24,0.18,0.24,0.1,-0.22,-0.18,-0.47,-0.32,-0.27,-0.92,-0.27,-0.47,-0.3,-0.47,0.11,-1.4,-0.27,-0.84,0.18,-0.94,0.08,0.33,-0.14,01/05@10/03/01@14/07/02/02@20/09/16/02@42/01@43/01/03/09
0.34,0.19,0.57,0.51,0.12,0.14,-0.04,0.19,-0.4,-0.29,0.15,-0.47,0.14,-0.01,-0.62,?,0.68,0.86,0.49,0.76,0.91,0.2,-0.54,0.62,-0.4,-1.47,0.4,-0.94,0.21,-0.38,-0.09,1.63,-0.6,?,-0.38,0.49,-0.62,0.21,0.14,0.43,01/05/06/07@01/06@02/01@02/16/01@16/17/09@32/07
0.12,0.37,0.04,-0.51,0.06,0.33,-0.07,0.83,0.19,0.5,-0.06,-0.3,0.12,-0.03,-0.18,-0.06,0.07,-0.43,-0.14,-0.32,-0.03,-0.51,-0.79,0.51,0.15,-0.79,0.31,-0.45,-0.47,-0.74,0.1,0.16,-1.18,0.12,-0.12,-0.06,0.92,-0.15,0.08,-0.32,01/06/02/01@01/06/10@11/02/03/01@11/02/03/04
-0.09,0.07,-0.3,-0.17,?,-0.01,-0.07,-0.06,-0.17,-0.03,-0.36,-0.06,0.63,-0.06,0.14,0.1,0.26,0.1,0.29,-0.1,-0.03,-0.03,0.18,0.33,-0.04,0.53,-0.03,0.54,0.36,0.52,0.06,0.57,-1.15,-0.3,-0.34,0.08,0.23,0.54,0.28,-0.04,01/03/07@10/01/03@10/01/05/01@16/01@16/17/09@32/01/09
0.19,-0.4,0.33,0.18,-0.14,0.15,-0.09,0.96,0.04,0.2,0.08,-0.2,-0.1,-0.01,-0.58,-0.43,-0.32,-0.3,-0.15,-0.03,-0.2,-0.47,-0.34,-0.51,-0.36,-0.43,-0.09,-0.22,-0.58,-0.45,-0.42,0.08,-0.71,-0.56,-0.3,0.11,-0.14,?,0.07,0.01,01/06/02/01@01/20/19
-0.18,-0.47,-0.12,-0.1,0.25,-0.2,-0.23,-0.1,-0.27,0.12,0.3,-0.27,0.43,0.1,-0.42,-0.34,-0.38,-0.2,-0.4,-0.38,-0.3,-0.51,-0.03,-0.62,-0.29,-0.25,0.04,-0.45,-0.6,-0.54,-0.54,0.45,-0.97,0.41,-0.32,0.18,-0.04,0.2,0.04,-0.17,01/05/25@02/01/03@11/02/03/04/01@16/03/01
-0.15,-0.32,0.03,-0.04,-0.12,0.03,-0.14,0.06,?,-0.01,0.01,-0.22,-0.2,-0.18,-0.14,-0.36,-0.4,-0.25,-0.36,-0.1,-0.32,-0.45,-0.1,0.75,-0.4,-0.2,-0.14,-0.47,-0.47,-0.54,-0.43,0.15,-0.51,0.06,-0.67,-0.34,-0.51,0.19,0.1,-0.54,01/05@01/07/01@02/16/01@11/02/03/01@11/02/03/04
-0.54,0.69,0.07,0.33,-0.14,-0.29,-0.45,-0.58,-0.14,-0.09,-0.29,-0.18,-0.38,-0.04,0.24,0.31,0.04,-0.04,-0.09,-0.2,-0.69,-0.32,0.44,0.16,-0.17,-0.2,0.46,-0.29,-0.4,-0.27,-0.07,-0.58,-0.79,0.07,-0.84,-0.36,-0.43,-0.3,-0.12,-0.43,10/03/01@30/05/01@30/05/02/24@34/11/03/07@40/01@41/01/01@42/01
0.39,0.33,0.18,0.3,0.54,0.57,0.26,0.31,0.11,0.37,0.32,0.36,0.1,-0.22,-0.12,0.14,0.11,-0.34,-0.36,0.18,-0.54,0.03,0.19,0.38,0.31,?,0.4,0.08,0.19,0.2,-0.27,0.56,-0.64,0.54,0.63,0.15,0.93,0.18,0.25,-0.38,11/04/03/01@20/01/01/01/01@20/03@20/09/04
1.04,0.52,0.42,-0.01,0.28,0.33,0.03,0.03,-0.43,-0.25,0.2,-0.22,-0.36,-0.51,0.52,-0.27,-0.15,-0.03,-0.27,0.06,-0.03,-2.94,0.41,-0.27,-0.74,-0.81,-2,-1.03,-0.49,-0.3,-0.23,1.69,-1.29,0.99,-0.81,0.12,0.58,-0.06,-0.09,-0.54,20/01/07@20/09/18/07
1.69,1.06,0.38,-0.14,0.04,0.21,0.34,0.68,-1.09,-0.84,-0.45,-0.34,0.82,0.76,0.29,0.39,0.39,0.11,0.21,0.1,-0.17,-2.47,0.85,-0.76,-1,-0.29,0.41,-0.29,-0.36,0.28,0.03,1.86,-2.06,1.79,-0.54,1.08,2.03,0.39,-0.12,-0.92,01/01/03/02/02@01/01/03/03/01@01/01/05/01/02@01/01/09/04/01@01/01/09/05@01/01/11@01/02@01/05/06/07@01/05/11/07/01@01/06/06@01/07/01@01/20/05@01/20/17/01@01/20/29@01/20/31@02/11@02/13@02/16/01@02/45@16/13@16/21/07@20/01/15@32/01/01@32/01/03@32/05/01@32/05/03@32/07/03@32/07/09@42/16
0.06,-0.15,0.3,0.31,0.18,0.15,-0.14,0.41,-0.07,0.04,0.4,-0.29,-0.07,0.29,-0.1,0.34,0.24,0.21,0.12,0.16,-0.15,-0.22,-0.1,-0.04,-0.01,-0.27,-0.06,-0.29,-0.3,-0.45,-0.36,0.2,0.04,0.39,-0.69,0.38,0.95,-0.1,0.07,-0.45,14/07/11/01@16/01@20/09/07/03@20/09/07/25
0.29,0.32,0.14,-0.04,0.37,0.28,-0.17,0.15,0.01,0.58,-0.03,0.23,0.51,-0.25,0.12,0.15,0.59,0.49,0.58,0.72,0.77,-0.67,-0.67,-0.45,-0.01,-0.07,0.18,0.06,0.04,0.19,0.14,0.75,-0.64,1.12,-0.67,0.67,0.59,0.16,0.1,-0.03,14/10@16/01@40/01@42/04/03@43/01/03/05
0.15,?,0.08,0.03,?,-0.2,-0.01,-0.38,-0.29,-0.12,0.16,-0.12,-0.18,-0.51,-0.32,-0.2,-0.04,0.06,-0.3,0.01,0.11,-0.56,0.07,-0.04,-0.17,-0.3,-1,-0.51,-0.29,-0.42,-0.27,0.26,0.08,0.61,-0.54,0.53,0.44,-0.47,-0.23,-0.38,10/03/03@14/10@16/01@20/09/18/09/01@32/01/03@40/01@42/04/03@43/01/03/05
0.08,0.03,-0.25,-0.04,0.08,-0.14,-0.15,-0.36,-0.25,-0.12,0.19,0.03,0.06,0.01,-0.32,-0.42,-0.25,-0.3,-0.56,-0.27,-0.1,-0.23,-0.64,0.51,0.95,-0.27,0.6,-0.54,-0.54,-0.45,-0.29,0.24,-0.64,0.94,-0.01,-0.6,0.31,-0.45,0.31,-0.12,16/01@20/09/13
-0.12,-0.18,0.03,0.16,0.12,0.12,0.32,-0.01,0.07,0.06,-0.12,0.43,0.26,0.28,0.1,0.14,0.26,0.11,0.15,-0.01,-0.29,0.45,0.32,-0.07,-0.29,0.07,-0.92,-0.4,-0.58,-0.54,-0.14,-0.04,-0.62,0.23,-1.15,0.41,1.71,-0.1,-0.06,-0.27,01/07/01@01/20/19/01@01/20/19/03@16/21/17
0.12,0.38,0.45,-0.01,0.11,0.4,-0.15,1.21,0.01,0.71,-0.04,-0.1,0.04,-0.58,-0.29,-0.18,-0.04,-0.15,?,0.26,0.26,-0.09,-0.36,1.62,-0.34,-0.49,-0.4,-0.12,-0.22,-0.4,-0.03,0.33,-0.38,0.28,-0.25,0.37,1.08,0.16,0.15,-0.4,10/03/01@16/03/03@32/01@40/01@42/01@43/01/03/05
0.12,-0.54,-0.01,-0.22,0.15,-0.25,0.34,-0.36,-0.67,0.21,0.15,0.18,-0.67,-0.56,-1.03,-0.86,-0.58,-0.34,-0.64,-0.36,-0.56,-0.29,-0.29,0.04,-0.3,-0.42,-0.01,-0.3,-0.6,-0.34,-0.29,0.19,-0.67,0.48,0.21,0.11,0.28,-0.17,-0.04,-0.06,01/07/01@42/01
