@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
-0.15,-0.02,-0.26,-0.21,-0.13,-0.32,-0.35,-0.344,-0.12,-0.101,-0.17,0.08,0.2,0.11,0.05,-0.17,0.13,0.29,-0.2,-0.01,0.35,?,-0.16,0.16,0.04,0.055,14/07/02/02
0.14,0.228,0.041,-0.026,0.023,0.161,0.055,0.155,0.202,0.14,0.033,0.036,0.124,0.16,0.203,-0.385,0.182,-0.336,0.032,-0.14,-0.315,-0.009,-0.059,0.127,0.075,0.076,14/07/02/02
0.08,0.42,0.62,0.24,0.2,0.32,0.26,0.44,0.28,0.32,-0.222,-0.01,0.19,0.13,0.36,0.25,0.38,-0.057,-0.23,0.46,-0.226,-0.69,-0.44,0.05,0.34,0.43,01/05@14/07/02/01@14/07/02/02@42/01
?,-0.09,0.028,0.113,0.428,0.035,-0.068,0.082,0.14,?,-0.078,0.011,0.762,0.14,0.003,-0.183,0.124,0.472,0.26,0.218,-0.265,-0.585,-0.133,0.026,0.038,0.69,01/05@14/07/02/02@42/01
-0.044,0.164,0.514,-0.018,0.322,0.425,0.244,0.423,0.186,0.173,0.059,0.293,0.214,0.313,0.273,-0.189,-0.056,0.145,-0.253,0.673,-0.676,-0.083,-0.132,0.131,0.507,-0.423,01/05@14/07/02/01@14/07/02/02@42/01
0.216,-0.046,-0.121,0.224,0.189,0.132,-0.011,0.194,0.293,-0.004,-0.025,0.111,0.235,0.257,0.135,-0.406,0.276,-0.234,-0.112,-0.143,-0.482,-0.072,-0.139,0.095,0.105,0.188,14/07/02@14/10
0.1,0.068,0.362,-0.288,0,-0.299,-0.132,-0.224,-0.436,0.09,0.016,-0.025,0.076,0.067,-0.212,-0.306,-1.819,0,0.4,-0.242,-0.607,-0.512,-0.042,0.157,-0.104,-0.085,01/05@14/07/02/02
0.339,-0.108,-0.009,0.064,-0.191,0.408,0.171,0.302,0.306,0.01,-0.314,-0.417,-0.33,-0.032,0.28,0.158,-0.106,-0.262,-0.13,-0.33,-0.607,-0.314,0.066,0.108,0.433,-0.008,01/05@10/03/01@14/07/02/02@20/09/16/02@42/01@43/01/03/09
?,0.468,0.856,0.051,0.334,0.25,0.384,0.197,0.408,0.703,0.232,0.196,0.036,-0.22,-0.573,-0.172,-0.212,-0.577,-0.253,0.807,0.66,0.749,0.61,-0.464,-0.018,0.354,14/07/09
-0.409,-0.946,-0.582,-0.456,-0.238,-0.337,-0.254,-0.143,-0.27,-0.309,-0.105,-0.319,-0.323,-0.017,-0.579,0.096,0.004,-0.684,?,-0.949,?,-1.175,-0.081,0.196,0.088,-0.354,14/07
0.168,0.181,-0.153,-0.41,0.093,-0.156,-0.257,-0.416,-0.003,-0.171,-0.21,0.063,0.138,0.039,0.064,-0.244,-0.125,0.115,0.918,-0.298,0.567,0.945,0.887,-0.609,-0.068,-0.11,01/07/04@14/07/09
0.079,0.098,0.146,-0.097,-0.05,-0.018,0.049,-0.135,-0.087,0.313,-0.302,-0.357,-0.35,-0.204,-0.354,-0.002,-0.056,-0.462,-0.34,0.538,-0.488,-0.168,-0.007,0.035,?,0.06,01/06/06/11
0.23,0.788,0.633,0.689,0.793,1.09,0.837,0.889,0.668,0.79,0.589,-0.457,-0.315,-1.136,-0.632,0.369,0.282,0.136,-0.96,0.366,0.526,0.378,-0.173,0.088,-0.562,-0.066,01/06@14/07/01
0.31,-0.03,0.21,-0.21,0.01,-0.24,-0.31,-0.06,0.02,0.27,-0.43,0.3,0.43,-0.45,-0.03,-0.65,-0.35,-0.27,0.79,-0.12,0.749,0.101,-0.04,0.08,-0.094,0.04,14/07/11@14/13/01
0.2,0.875,0.991,0.116,0.478,0.581,0.712,0.238,0.461,0.923,0.394,0.005,-0.224,-0.051,-0.115,0.286,-0.276,-0.129,0.194,1.544,0.054,0.673,-0.067,0.29,-0.293,-0.062,14/07
0.08,0.46,0.13,-0.07,-0.02,-0.07,0.18,-0.18,-0.14,0.27,0.14,-0.07,-0.01,0,0.07,0.33,-0.09,0.05,-0.09,-0.44,-0.545,-0.46,-0.03,0.17,-0.177,-0.02,14/07/11@16/17/09
0.096,-0.019,0.544,0.222,0.332,0.362,0.215,0.469,0.246,0.48,0.03,0.09,-0.055,0.283,0.241,0.254,0.201,0.325,0.002,0.036,-0.313,-1.119,-0.086,0.104,0.02,-0.189,14/07/04
0.066,0.171,0.382,0.406,0.364,0.662,0.557,0.463,0.495,0.487,-0.289,-0.241,-0.277,-0.041,-0.135,0.363,-0.004,-0.171,-0.156,0.033,-0.288,-0.704,-0.002,0.129,-0.095,-0.329,01/06@14/07/01
-0.121,-0.368,0.016,0.088,-0.301,-0.116,-0.061,0.013,0.069,-0.018,-0.349,0.374,0.419,-0.5,-0.447,-0.788,-0.004,-0.155,-0.426,-0.24,-0.534,0.131,-0.013,0.235,-0.141,-0.427,14/07/11@14/13
-0.32,-0.251,-0.093,-0.395,-0.075,-0.244,-0.131,-0.175,-0.116,0.06,-0.341,-0.463,-0.811,1.137,0.884,-0.204,-0.864,-0.295,0.502,-0.994,?,-1.146,-0.062,0.14,0.402,0.472,01/06@14/07/01@14/07/11
0.054,0.051,-0.012,0.163,-0.093,0.352,0.41,0.302,0.039,0.187,-0.024,-0.276,-0.62,-0.043,0.16,0.051,0.431,0.026,-1.557,0.288,-0.137,?,-0.261,0.005,-0.103,-0.304,01/05@01/06@14/07/04
?,0.404,0.222,0.13,0.277,0.34,0.01,-0.041,0.034,0.304,0.16,-0.021,-0.363,-0.562,-0.276,-0.387,0.025,-0.197,-0.16,0.656,-0.265,-0.213,0.058,0.129,-0.473,0.362,01/06/02/01@01/06/02/02@14/07/01
0.01,-0.244,-0.248,0.102,0.293,?,0.033,0.102,0.178,0.28,0.552,-0.338,-0.043,-0.614,-0.59,-0.22,-0.435,-0.361,-1,0.501,0.081,0.15,-0.089,0.181,-0.141,-0.261,12/04/03
0.072,0.087,-0.138,0.144,-0.04,0.475,0.471,0.379,0.323,?,-0.454,-0.355,-0.272,0.305,0.043,-0.016,-0.05,-0.65,0.176,0.26,-0.405,0.227,0.245,0.143,0.2,0.137,01/04@16/19/03@18/02/01/01@20/03/25@32/01/11
-0.1,-0.163,0.02,-0.134,-0.3,-0.145,?,-0.263,?,?,?,-0.393,-0.36,0.033,-0.156,?,?,-0.07,0.26,0.12,0.82,?,0.659,?,0.507,-0.064,01/01@01/04@12/07@14/07/03
0.105,-0.395,-0.383,0.408,-0.092,0.045,0.114,0.146,0.188,-0.11,-0.713,-0.278,-0.442,-0.149,-0.374,0.019,0.368,0.078,-0.945,-1.104,-0.295,-0.773,-0.128,0.169,-0.023,-0.024,12/04@12/07
0.04,-0.006,-0.255,-0.232,-0.129,-0.054,-0.025,-0.165,-0.254,-0.159,0.015,-0.025,0.021,0.282,0.218,-0.27,-0.263,-0.43,0.785,0.188,0.56,0.031,-0.072,0.132,-0.293,-1.094,12/04/01
0.378,-0.299,-0.33,-0.338,-0.305,-0.516,-0.818,-0.209,0.028,0.15,-0.7,0.688,0.395,0.08,?,-0.935,-0.299,0.181,?,-1.531,-0.32,0.065,-0.092,0.137,0.212,?,12/01/01@12/04/02@16/01@16/07
0.34,-0.001,-0.315,0.401,-0.171,0.127,-0.003,0.064,0.167,-0.08,-0.631,-0.348,0.2,0.635,0.141,0.212,0.516,0.402,-0.347,-1.576,-0.13,-0.188,0.557,-0.562,-0.45,0.223,12/01/01@12/04@16/01@16/03/03
0.14,-0.071,-0.243,0.448,-0.062,0.186,-0.009,-0.011,0.308,-0.08,-0.831,0.027,0.1,0.121,0.264,-0.372,0.279,0.108,-0.7,-1.129,-0.848,-0.528,0.119,0.162,0.099,-0.763,12/01/01@16/03/03
0.467,-0.231,-0.101,0.523,-0.03,0.256,0.085,0.162,0.167,0.025,-0.628,0.353,0.363,0.129,0.286,-0.275,0.596,0.348,-0.81,-1.953,-0.77,-0.514,-0.057,?,0.425,-0.314,12/01/01@12/04@16/01@16/03/03
0.18,-0.333,-0.746,?,-0.097,0.226,0.021,0.093,0.282,-0.39,-1.137,-0.16,-0.27,-0.098,0.089,-0.717,0.077,-0.136,-0.981,-1.391,-0.765,-0.5,0.029,0.187,-0.098,-0.038,12/01/01@12/04@16/01@16/03/03
0.5,0.16,-0.213,0.599,0.219,0.391,0.041,0.329,0.19,0.009,-0.705,0.03,0.436,0.279,0.161,0.123,0.507,0.243,-1.054,-1.825,-0.703,-0.408,-0.122,0.118,-0.102,0.294,12/01/01@12/04@16/01@16/03/03
0.35,-0.106,-0.327,0.261,-0.087,0.067,-0.019,-0.016,0.057,-0.08,-1.067,-0.267,-0.288,0.16,-0.004,-0.367,0.001,-0.078,-0.947,-1.329,-0.816,-0.515,-0.066,0.217,-0.422,-0.185,12/01/01@12/04@16/01@16/03/03
-0.129,-0.261,-0.587,0.23,0.157,0.113,-0.385,0.135,0.092,-0.096,-0.657,0.282,0.271,0.582,0.446,-0.348,0.175,0.423,-0.299,-1.419,-0.795,-0.519,-0.24,0.084,0.248,0.137,12/01/01@12/04@16/01
-0.02,-0.501,-0.465,0.157,-0.031,-0.216,-0.112,-0.126,-0.025,-0.125,-0.711,0.059,-0.181,0.561,0.463,-0.482,0.17,0.308,-1.027,-1.272,-0.892,?,-0.143,0.186,0.131,0.018,12/01/01@12/04@16/01
0.074,-0.21,-0.52,0.56,0.13,0.54,0.38,0.35,0.38,-0.266,-0.55,-0.12,-0.13,0.436,0.303,0.14,0.48,0.41,-0.403,-1.36,-0.486,-0.881,0.04,0.218,-0.15,-0.05,12/01/01@12/04@16/01
0.097,-0.188,-0.573,0.361,-0.684,0.276,0.103,0.146,0.245,0.168,-0.784,0.043,0.251,0.113,0.15,-0.152,0.533,0.442,-1.372,-1.106,-0.619,0.046,-0.118,0.142,-0.513,-0.168,12/01/01@16/01
0.359,-0.22,-0.53,0.46,0.01,0.15,-0.02,0.11,0.22,-0.083,-0.925,-0.16,0.304,-0.003,0.096,-0.251,0.315,0.339,-0.949,-1.431,-0.661,-0.501,-0.01,0.181,-0.21,0.174,12/01/01@12/04@16/01
0.465,-0.171,-0.462,0.269,-0.216,0.156,0.033,0.142,0.164,0.029,-0.752,-0.114,-0.067,0.231,0.475,-0.386,0.245,0.059,-1.212,-0.993,-0.661,-0.602,-0.072,0.109,0.35,-0.536,12/01/01@12/04@16/01@16/03/03@16/05
-0.037,-0.631,-1.129,-0.039,-0.322,-0.106,-0.152,-0.071,?,-0.339,-0.659,-0.579,-0.818,-0.869,-0.735,0.057,0.304,-0.12,-1.348,0.523,?,?,-0.12,0.119,0.28,-0.466,12/01/01@12/04@16/01@16/03/03@16/05
0.16,-0.4,-0.47,0.04,-0.47,-0.21,-0.25,-0.36,-0.14,-0.604,-0.82,-0.16,-0.14,-0.194,-0.063,-0.15,0.19,0.38,-0.729,-1.46,-0.747,-0.782,-0.03,0.131,0.482,-0.061,12/01/01@12/04@16/01
0.138,-0.33,-0.47,0.15,-0.07,0.02,-0.32,0.1,0.03,-0.158,-0.68,-0.07,0.45,0.146,0.09,-0.15,0.64,0.52,-0.095,-1.28,-0.793,-0.406,-0.05,0.082,0.29,0.326,12/01/01@12/04@16/01
-0.014,-0.348,-0.41,0.264,0.042,0.068,-0.213,0.308,0.11,-0.384,-0.717,0.105,0.495,0.296,0.226,-0.1,0.626,0.568,-0.014,-1.23,-1.392,-0.789,-0.075,0.155,-0.18,0.346,12/01/01@12/04@16/01
0.25,-0.276,-0.54,0.606,0.127,0.459,0.285,0.223,0.356,-0.3,-0.684,-0.246,-0.094,-0.296,0.079,-0.309,0.067,0.389,-0.739,-1.851,-0.415,-0.887,0.019,0.29,0.15,-0.154,12/01/01@12/04@16/01@16/03/03
-0.164,-0.938,-1.256,0.358,-0.307,0.143,0.159,0.256,0.043,-0.035,-0.548,-0.141,-0.269,-0.828,-0.874,0.202,0.081,-0.189,-2.003,-0.8,0.402,-0.455,-0.047,0.099,0.207,-0.376,12/01/01@12/04
?,-0.576,-0.797,0.158,0.515,-0.212,-0.279,-0.151,-0.025,?,-0.861,-0.126,-0.096,-0.119,-0.032,0.02,0.352,0.347,-1.698,-1.279,-0.933,-0.325,-0.102,0.222,0.58,-0.024,12/01/01@12/04@16/01@16/03/03
0.25,-0.427,-0.769,0.451,0.012,0.208,0.14,0.177,0.041,-0.09,-0.808,-0.358,-0.172,-0.292,-0.013,-0.322,0.264,0.234,-1.353,-1.243,-0.606,-0.329,0.262,-0.055,-0.583,0.201,12/01/01@12/04@16/01
0.11,-0.349,-0.51,0.208,-0.034,0.094,0.051,0.01,0.098,-0.005,-0.999,-0.059,-0.308,-0.039,-0.343,-0.647,-0.142,-0.095,-0.557,-1.839,-1.156,-0.775,-0.02,-0.027,-0.074,-0.259,12/01/01@12/04@16/01
0.07,-0.299,-0.409,0.145,-0.034,0.069,-0.051,-0.005,0.159,0.05,-0.967,-0.084,-0.182,-0.121,-0.272,-0.584,-0.161,-0.182,-0.228,-1.888,-1.16,-1.031,0.19,0.118,-1.161,-0.074,12/01/01@12/04@16/01
-0.008,-0.654,-0.614,-0.045,-0.214,-0.392,-0.6,-0.319,-0.117,-0.427,-0.763,-0.265,-0.253,-0.002,0.023,-0.449,0.002,0.314,-0.639,-1.118,-0.531,-0.364,-0.111,0.137,0.285,-0.169,11/04/01@11/04/03/01/10@12/01/01@12/04@12/07@16/01
0.335,-0.344,-0.475,0.542,0.049,0.092,-0.026,0.123,-0.03,-0.167,-0.372,-0.286,-0.37,0.043,0.214,?,0.14,0.415,-1.39,-1.224,0.415,0.322,0.905,-0.497,1.27,-0.195,12/01/01@12/04@16/01
0.31,-0.102,-0.23,0.09,-0.16,-0.27,-0.15,-0.11,0.02,-0.136,-0.08,-0.09,0.05,0.23,0.24,-0.1,0.3,0.08,-0.11,-1.27,0.06,-0.145,-0.31,-0.12,-0.76,0.19,12/01/01@12/04@16/01
0.093,-0.583,-0.658,-0.01,0.092,-0.135,-0.153,-0.171,0.085,-0.278,-0.85,-0.165,-0.272,0.075,0.029,0.019,0.203,0.084,-1.534,-0.607,-0.841,-0.369,-0.16,0.194,0.176,0.094,12/01/01@12/04@16/01
0.17,-0.255,-0.37,0.495,-0.172,0.147,-0.137,0.208,0.234,-0.186,-0.927,-0.252,-0.443,0.178,0.372,-0.209,0.196,0.3,-1.286,-1.252,-0.476,-0.673,-0.173,0.083,-0.16,-0.011,12/01/01@12/04@16/01
0.24,-0.27,-0.411,0.376,-0.151,0.051,-0.012,0.178,0.101,-0.24,-0.793,-0.4,-0.261,0.031,0.191,-0.222,-0.04,0.332,-0.736,-1.558,-0.48,-1.014,-0.018,0.028,0.324,0.016,12/01/01@12/04@16/01
0.194,-0.475,-1.04,0.199,-0.082,0.076,0.036,0.041,0.052,-0.587,-0.608,-0.313,-0.25,-0.341,-0.103,-0.342,0.154,0.232,-1.083,-0.957,0.381,0.592,0.763,-0.634,0.17,0.012,12/01/01@12/04@16/01
0.108,-0.36,-0.394,0.355,-0.674,-0.136,-0.33,-0.049,0.076,-0.151,-0.742,-0.004,-0.059,0.15,0.287,-0.161,0.292,0.204,-1.399,-0.874,0.108,0.085,0.663,-0.575,-2.25,0.256,12/01/01@12/04@16/01@16/03/03@16/17/09
-0.33,-0.581,-0.402,0.125,-0.007,-0.028,-0.252,0.041,0.127,-0.24,-0.566,-0.078,-0.254,0.087,0.373,-0.136,0.181,0.356,-0.967,-0.817,-0.472,-0.449,-0.041,0.032,-0.43,0.248,12/01/01@12/04@14/07/05@14/07/07@14/13/01/01@16/01@16/17/09@32/01
0.26,-0.339,-0.733,0.315,0.117,0.122,0.035,0.191,0.211,-0.24,-0.323,0.079,0.401,-0.372,-0.204,-0.071,0.626,0.611,-1.457,-1.637,-0.59,-0.074,-0.096,0.203,0.036,0.157,12/01/01@16/01
0.419,-0.43,-0.65,0.14,-0.15,0.08,-0.07,0.15,0.13,-0.346,-0.52,0.27,0.15,0.17,-0.126,-1.23,-0.38,0.15,-0.071,-1.35,-0.504,-0.101,0.6,-0.192,0.802,-0.196,12/01/01@12/04@16/01
0.428,0.201,-0.377,-0.02,-0.162,-0.007,-0.26,-0.122,0.077,0.141,-0.787,-0.086,0.069,?,?,-0.357,-0.001,-0.005,?,-1.352,-1,-0.422,0.035,?,0.264,-0.45,12/01/01@12/04@16/01@16/03/03
0.184,-0.044,-0.653,0.256,-0.21,-0.059,-0.056,-0.08,-0.167,-0.228,-0.98,0.092,-0.05,0.649,0.615,-0.172,0.305,0.256,-1.334,-1.486,-0.323,-0.51,-0.017,0.282,0.252,0.084,12/01/01@16/03/03
0.104,-0.472,-0.628,0.106,-0.636,-0.19,-0.219,-0.24,-0.316,-0.19,-1.184,-0.366,-0.563,0.483,0.324,-0.024,0.167,-0.03,-1.298,-1.418,-0.784,-0.287,-0.209,0.139,-0.48,-0.174,11/02/03/04@12/01/01@12/04@16/01@16/03/03
0.431,-0.407,-0.74,0.178,-0.188,-0.118,-0.051,-0.216,-0.008,-0.14,-1.16,-0.343,0.6,-0.141,0.002,-0.235,0.175,0.043,-1.015,-1.466,-1.211,-0.479,-0.035,0.228,-0.417,-0.258,12/01/01@12/04@16/01@16/03/03
?,-0.242,-0.505,0.573,0.25,0.32,0.174,0.254,0.068,-0.059,-0.841,-0.149,-0.27,0.07,0.205,-0.003,0.338,0.26,-0.765,-1.162,-0.839,-0.413,-0.07,0.151,-0.183,-0.175,12/01/01@12/04@16/01@16/03/03
0.36,-0.269,-0.515,0.166,-0.114,0.105,-0.051,0.132,0.224,-0.21,-0.973,-0.328,-0.194,0.148,0.207,-0.524,0.056,-0.166,-0.313,-1.829,-1.003,-0.748,-0.042,0.262,0.514,-0.143,12/01/01@12/04@14/10@16/01@43/01/03/05
