@RELATION 'derisi0.names'

@ATTRIBUTE r1                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
2264,3211,2937,2337,2555,0.78,0.94,0.77,1.28,1.43,1.3,1442,1114,1121,1485,1882,14/04@14/10@16/01@20/01/10@20/09/07/26@20/09/13@20/09/16/09/03@32/01/07@34/11/03/13@40/01/03@42/25@43/01/03/05
2687,3769,4718,2114,2539,1.14,1,0.57,0.88,2.33,1.75,903,1327,1287,3211,1588,11/02/03/04@34/01/01/01
1787,2761,1830,1085,798,1,1.07,1.55,1,0.65,0.65,214,668,711,344,138,10/03/01@11/04/01@11/04/02@11/04/03@12/01@20/01/21@20/09/01@30/01@34/11/03/07
4842,4219,3777,4008,2051,0.76,1.41,2.22,1.32,1.03,0.45,3115,3677,1925,2047,1401,11/06/02@12/10@14/10@16/03/03@20/01/21
7535,6037,4482,7050,2863,0.88,1.09,2.83,1.14,0.74,0.35,5944,6274,3102,2594,2099,11/02/03/04
3397,3498,3518,2968,2538,0.75,0.9,1.12,1.33,1.39,0.89,2161,2308,1121,1854,1931,01/04@01/05/25@01/06/05@11/02/03/04@14/07/03@18/01/01@18/02/01/01/05@30/01/09/07@32/01/11@42/19
1832,2727,2494,1746,1772,0.76,1.02,0.77,1.32,1.67,1.3,852,722,848,1143,1109,01/04@01/20/15/03@02/13@14/10
9486,7917,6043,6522,3464,1,1.04,2.08,1,0.81,0.48,5028,8188,5192,4409,2419,11/04/03/05@16/03/03@20/01/21
2629,3423,2920,2431,2339,0.87,1.08,0.88,1.15,1.27,1.14,1489,1458,1313,1499,1687,01/01/06/05/01@01/02@01/05/13/03@01/07/01@12/01/01@16/01@16/21/07@34/11/13/07
6736,6986,6444,4822,4568,1.14,1.12,1.01,0.88,1.09,0.99,3557,5346,3660,4818,3507,01/06
3341,3775,2748,2564,1818,1.34,1.34,1.44,0.75,0.8,0.69,1666,2132,1487,1326,1154,10/01/05/01@11/02/03/01
3169,3871,2985,2835,1592,1.62,1.67,2.12,0.62,0.83,0.47,1746,1825,882,1084,822,11/04/03/01@32/01
1708,3500,3443,2274,2310,0.76,1.07,0.75,1.32,1.61,1.33,1156,467,417,1512,1544,01/05/25@02/19@18/02/01
2304,3800,3185,2294,1282,1.05,1.34,2.25,0.95,1.27,0.44,1074,1066,618,1532,477,01/06
12420,8247,4263,10515,3146,0.65,0.94,3.84,1.54,0.47,0.26,9543,11282,6894,2787,2487,12/01/01@12/04@16/01@16/03/03
4748,6642,4912,5501,2530,0.82,1.14,2.46,1.22,0.81,0.41,4057,3566,1882,3246,1650,01/01/09/04/01@01/01/09/05/01@01/01/09/06/01@01/07@01/20/15@20/01/15
6961,6771,5001,4865,2930,1.07,1.12,1.76,0.93,0.79,0.57,3659,5699,2961,3245,2075,01/04@10/01/05/01@10/01/09/05@11/02/03/01@11/02/03/04@16/19/03
1735,3217,3484,2121,3010,0.8,1.09,0.48,1.25,1.92,2.08,1083,533,346,1612,2264,01/04@02/13@10/03/01@10/03/02@14/07/03
2314,3335,3350,1544,1602,0.85,1.25,0.76,1.18,1.32,1.32,747,1324,1473,1570,982,10/01/02@10/01/05/01@10/01/05/03/03@10/01/09/05@10/03/02@16/03/01@16/19/03@32/01/09@34/11/03/07@41/01/01@42/10/03
2145,3742,3571,1779,1347,0.87,1.17,1.18,1.15,1.52,0.85,711,856,1008,1989,603,11/02/03/01/01@11/02/03/04@32/05/01/03/03@34/01/01/01
6545,5969,4111,4686,3942,0.77,1.17,1.15,1.3,0.7,0.87,3825,5504,3513,2721,3325,16/01@16/17/01@16/17/03@16/17/05@16/17/07@16/19/03@20/01/01/01/01@20/01/15@20/01/26@20/03/22@20/09/07@20/09/16@30/01/05/01/04@32/01@34/01/01/01@34/05@34/07/01@34/11/13/07@42/04/03
2666,3559,2548,2054,1327,0.7,1.75,1.73,1.43,0.76,0.58,1252,1679,1016,1164,725,01/04@11/04/01@16/03/03@16/19/03
1637,3684,3782,2602,2416,0.83,1.02,0.91,1.2,1.61,1.1,1545,524,846,2263,1689,11/04/02@12/01@14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
6668,7482,5034,4070,3044,1.04,1.24,1.34,0.96,0.67,0.75,3231,5654,4233,3592,2416,01/03/16/01@01/03/16/03@10/01/05@10/03/01@11/04/01@11/04/03@43/01/03/05
2078,3359,3429,2043,2589,1.04,1.19,0.55,0.96,1.67,1.82,1001,916,463,1568,1828,01/04@14/07/03@14/07/11/01@14/13/04@20/09/13@30/01/05/01@32/01/11@43/01/03/09
1590,3118,3104,1362,1308,0.85,1.18,0.87,1.18,1.3,1.15,617,643,774,1321,713,10/03/01@11/02/03/04/01@20/01/27@32/01@34/11/11@40/01@40/20@43/01/03/05@43/01/03/09
21219,22471,14570,13321,4127,0.79,1.14,3.58,1.27,0.64,0.28,12447,20250,16776,13046,3480,12/01/01@12/04@16/01
5525,5335,19609,2724,10384,0.98,0.98,0.2,1.02,5.56,5,1916,4506,7630,18063,9744,02/11@02/13/03@18/02/01@20/01/15
2388,3572,3973,2645,4327,0.65,0.92,0.46,1.54,1.82,2.17,1533,1290,1269,2539,3360,10/03/02@11/02/03/04@11/06/03@43/01/03/09
4645,7578,4738,3102,3148,1.19,1.35,0.92,0.84,0.59,1.09,2298,3632,4998,3218,2504,43/01/03/09
6180,5250,5243,5490,3336,0.62,0.89,1.73,1.61,1.22,0.58,4584,4929,1595,3346,2646,16/01@20/01/10@20/09/07/03@20/09/07/25@42/09
2957,4729,2956,1842,1456,1.03,1.16,1.34,0.97,0.47,0.75,1054,2050,1834,1234,788,10/01/02@10/01/03/03@10/03/01/01@11/02/03/04@16/01@16/03/01@16/19/03
5334,5237,4912,2904,2566,1.2,1.24,1.03,0.83,1.12,0.97,1926,4006,4627,3265,1872,14/04@16/01@16/07@20/09/07/25@20/09/13@20/09/18/09/01/01@42/09
7368,4923,4310,4694,3727,0.88,1.08,1.25,1.14,0.98,0.8,3739,6121,1566,2527,3003,10/01/03@10/01/05/01@10/01/09/05@10/03/01@11/02/03/01/04@11/02/03/04@14/13@16/17@32/01/09@42/10/03
7845,13131,8536,5260,4967,1.09,2.2,1.03,0.92,0.64,0.97,4424,6901,6757,7096,4316,10/03/01@18/02/01
3249,4943,3234,1995,1139,1.04,1.29,2.11,0.96,0.7,0.47,1093,2095,1979,2049,519,99
9915,6778,5135,5235,3654,1.02,1.17,1.43,0.98,0.79,0.7,4173,8581,4772,3638,2919,99
3969,3592,3361,3246,3390,0.83,1.06,0.84,1.2,1.18,1.19,2301,2792,902,1601,2729,10/03/03@16/01@20/09/07/27@20/09/16/09/03@40/01@42/04@43/01/03/05
1654,2545,1869,1380,1341,1.09,1.25,0.7,0.92,0.97,1.43,459,458,587,417,654,01/05/25@11/02/03/04/01
7195,7637,4454,5037,1990,0.9,1.45,2.98,1.11,0.58,0.34,4035,5912,3364,3161,1352,14/04@20/01/10@20/09/01@40/10/02@42/10
2492,2918,2552,2116,1761,0.9,1.06,1.13,1.11,1.37,0.88,1235,1370,1043,1143,1094,11/06/02
2578,4816,4203,3080,2608,0.89,1.36,1.08,1.12,1.14,0.93,1720,1369,1013,2873,1586,11/02/03/01/04
6404,4696,3230,6015,3081,0.81,1.29,2.1,1.23,0.71,0.48,5095,5243,3355,1880,2428,11/02/02@12/10
2179,3805,3086,1626,1477,0.96,0.98,0.93,1.04,0.86,1.08,729,1042,837,1359,785,10/01/05@10/03/02
2143,3028,2644,1643,1872,0.82,0.99,0.61,1.22,1.25,1.64,707,995,901,988,1152,10/01/02@10/01/05/03/01@10/03/02
2309,3810,3536,2328,2081,0.94,1.43,0.94,1.06,1.28,1.06,1104,1092,695,1856,1176,01/02/07@11/02/03/04@20/01/01/07@32/07
3025,3012,2463,2271,1682,0.63,1.57,1.35,1.59,0.93,0.74,1430,1852,697,719,1056,20/01/01/01/01@20/09/18/07@34/01/01/01
4706,3997,2803,3502,2032,0.81,0.97,1.93,1.23,0.61,0.52,2610,3555,1834,1061,1353,01/05@14/07/02/01
3439,4490,4517,2832,2052,0.79,1.16,1.31,1.27,1.43,0.76,1746,2273,1271,3079,1334,11/02/03/01/01@11/02/03/04
1960,2910,2286,1673,1552,1.15,1.08,0.87,0.87,1.14,1.15,775,846,823,921,892,11/04/03/01@16/01
3936,4341,3556,3074,2184,0.86,0.97,1.41,1.16,1.05,0.71,1934,2724,2295,2154,1376,01/04@01/06/02/01
2322,3052,2706,1920,1748,1.09,1.14,1,0.92,1.23,1,1068,1219,873,1068,1072,01/01/09/03/01@01/02
4093,4192,5938,3293,5950,0.86,0.82,0.41,1.16,2.5,2.44,2085,2660,2032,3994,5036,01/01@01/02/07@01/05@01/20/17@16/21/17
5045,4401,4414,5571,5161,0.81,0.91,1.05,1.23,1.22,0.95,4717,3937,2478,2782,4499,02/45/15@16/17@20/01/01/01@20/01/15@20/03/22@20/09/13@34/01/01/03
1878,2867,3123,1716,2498,0.68,0.75,0.46,1.47,2.33,2.17,838,806,1200,1665,1836,01/04@14/04@16/19/03@20/09/04
2130,3087,2894,1957,1775,0.87,1.36,0.94,1.15,1.54,1.06,1084,1076,1076,1431,1158,11/04/01@11/04/02
10135,8039,6527,6775,3040,0.99,1.22,2.5,1.01,0.84,0.4,5545,8691,3300,4569,2216,01/06@16/09@16/13/03@20/01/13
2072,2940,2591,1822,1582,0.69,1.09,1.03,1.45,1.14,0.97,1001,971,732,959,975,01/04/04@01/05/02@01/05/25@01/06/05@02/19@02/25@10/01/03@10/03/01/01/03@10/03/01/01/05@10/03/01/01/09@10/03/01/01/11@10/03/01/02@10/03/01/03@10/03/02/01@10/03/03@11/02/03/04@14/07/03@16/01@16/17/07@16/19/03@18/01/01@18/02/01/01@18/02/05@18/02/09@30/01/05/01/02@30/01/05/01/03@30/01/05/01/06@30/05/01/18@32/01/03@32/01/09@34/05/01@34/11/03/03@34/11/03/07@34/11/03/13@40/01/03@42/01@43/01/03/05@43/01/03/09
2070,3332,11753,2472,9328,1.04,1.08,0.16,0.96,11.11,6.25,1330,814,603,9800,8436,01/05/02/04@01/05/02/07@02/07@16/01
4277,4311,7459,2890,4460,0.83,0.79,0.54,1.2,2.78,1.85,2087,3193,2978,5775,3848,10/03/01@10/03/02@11/02/03/04/03
5868,6367,4288,5356,3186,0.94,1.28,1.77,1.06,0.72,0.56,4148,4617,2271,2719,2342,01/01@20/01/07@20/09/18/07
3066,3960,2407,2355,1353,1.28,1.84,2,0.78,0.55,0.5,1492,2069,1070,1027,746,10/01/09/05@10/03/01/01/09@42/10/03
1917,3171,2954,1760,1478,0.97,0.78,0.91,1.03,1.56,1.1,662,627,462,1117,725,34/11/03/07@40/01@41/01/01@42/01@42/04@43/01/03/05@43/01/03/09
15375,11469,5524,11959,4870,0.97,1.14,2.66,1.03,0.41,0.38,10887,13991,4875,3681,4096,01/03/01/03
4781,5154,4376,3659,2462,0.99,1.2,1.57,1.01,0.93,0.64,2627,3491,1751,2522,1670,10/01/05@10/01/09/05@10/03/04/05@11/02/03/01/04@11/02/03/04@16/17/09
3083,3906,4131,3283,12568,0.89,1.27,0.19,1.12,1.52,5.26,2243,1887,743,2367,11704,99
3082,3893,3372,2242,1848,0.91,1.4,1.14,1.1,1.05,0.88,1435,2144,1532,1949,1264,99
8748,10312,7007,8137,3757,0.75,0.95,2.36,1.33,0.69,0.42,6639,7438,4866,5387,2810,11/04/03/01
3053,4340,3530,2037,1365,1.08,1.5,1.64,0.93,0.89,0.61,1248,2072,1976,2102,759,10/03/01@14/01@16/01@42/04/03@42/04/05
5189,4211,3255,4378,2064,0.87,1.62,2.53,1.15,0.78,0.4,3250,3929,763,1330,1286,12/04/01
8201,8988,5479,6970,3502,0.8,1.28,2.14,1.25,0.56,0.47,5926,6904,3220,3588,2768,01/01/09/04/02@01/01/11/04/02@01/05/06/07@01/07/01@01/07/07@02/13@02/16/01@11/02/03/04/01
1480,2861,1952,991,771,0.94,1.57,1.42,1.06,0.42,0.7,307,513,476,400,216,01/04@10/03/01@10/03/04/07@11/02/03/04@14/07/03
11045,17088,5039,11487,9260,1.01,1.66,1.23,0.99,0.24,0.81,10608,10099,8484,3564,8597,12/04/02@12/10@16/19/03
4714,4817,3038,3759,1767,1.22,1.35,2.67,0.82,0.58,0.37,2553,3481,1756,1419,957,01/03/16/01@11/04/01
2516,4391,3433,3467,4529,0.97,1.37,0.67,1.03,0.82,1.49,2411,1579,2019,1877,3587,20/01/25@20/03@20/09/04
7917,12420,9282,7511,6041,1.04,1.31,1.24,0.96,0.75,0.81,6707,6992,6183,7766,5417,10/03/01@14/13/01
2639,3791,2896,2398,1784,0.99,1.09,1.31,1.01,0.96,0.76,1244,1457,1426,1278,949,16/03/01@32/01/09@42/10/03
2368,3978,3828,1508,1639,0.93,0.98,0.72,1.08,1.2,1.39,766,1432,2844,2415,1060,11/02/03/04@18/02/01/01/01@32/01
2420,4529,3575,1608,1403,1.06,1.28,1.1,0.94,0.85,0.91,834,1492,2471,2191,761,11/02/03/01@11/02/03/04
2587,3495,3080,1753,1243,1.16,1.38,1.4,0.86,1.12,0.71,814,1316,1229,1613,581,10/01/03@10/03/01/01/03@10/03/01/01/09@10/03/02@18/02/01
3391,6045,4667,2204,1462,0.86,1.27,1.52,1.16,0.9,0.66,1293,2149,2260,3536,849,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
2555,3132,2612,2076,1805,1.01,1.09,1,0.99,1.32,1,1131,1341,1075,1166,1129,16/01@20/09/07/03@20/09/07/05@20/09/07/29
3460,5757,4149,2569,1904,1.05,1.57,1.29,0.95,0.82,0.78,1621,2242,1485,2995,1256,20/01/01/01@20/01/01/07@20/03@20/09/18/07@34/01/01@43/01/03/05
2611,3332,2948,1786,1336,1.03,0.98,1.14,0.97,1.25,0.88,685,1355,1160,1276,600,14/04@20/01/10@20/09/16
3791,3301,4589,3022,4022,0.7,0.78,0.64,1.43,2.5,1.56,2130,2640,1038,2859,3341,10/01/03@10/03/01@14/10@14/13@16/01@18/01/07@18/02/01/02/03@40/01/03@40/20@42/16
5864,5145,5884,3954,3350,0.73,0.87,1.12,1.37,1.49,0.89,2808,4646,4189,4157,2516,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
3350,3252,3284,2493,4696,0.24,0.36,0.39,4.17,1.49,2.56,1576,2215,1760,1672,4021,20/01/11@20/01/27@32/07
2533,3160,2305,1768,1387,0.97,1.05,1.24,1.03,0.66,0.81,889,1417,713,633,719,10/03/01/03@10/03/04/05@16/03/01
2030,3000,3860,2336,6331,0.9,0.9,0.25,1.11,2.63,4,1415,854,1450,2394,5655,20/01/10@34/01/01/03
3360,4263,4329,2785,2407,0.86,0.97,1.1,1.16,1.43,0.91,1507,2136,1507,3019,1373,14/07/04
22395,19158,6318,18795,3610,0.96,1.22,6.13,1.04,0.28,0.16,17797,21166,13510,4774,2903,12/01/01@12/04@16/01@16/03/03
2990,3128,2527,2652,1588,0.71,1.19,1.83,1.41,1.12,0.55,1731,1853,1385,1147,947,01/03/01@01/03/13@01/04@01/05/13@01/05/25@10/03/01@10/03/03@16/01@16/03@16/19/05@30/01/05/05/01@30/01/09/07@32/01@34/11/12@40/01@40/10@40/20@42/04/03@43/01/03/05@43/01/03/09
3579,3329,2465,2813,1703,0.84,1.27,1.84,1.19,0.72,0.54,1934,2428,919,811,1051,01/03/16/01@11/04/01@11/04/03@20/01/21
6210,6663,3856,6404,2067,0.92,2.09,4,1.09,0.5,0.25,5280,4907,1480,2120,1321,99
2108,4199,3779,2252,1753,0.85,1.18,1.15,1.18,1.25,0.87,1143,909,844,2386,991,01/03/04@01/03/10@11/06/02
2287,3175,2802,2036,1928,0.89,0.99,0.91,1.12,1.22,1.1,1153,1229,1192,1418,1271,01/06/02/01@01/20/19
2145,3745,3483,2087,1802,0.99,1.14,1.01,1.01,1.41,0.99,1035,1046,872,2105,1024,12/04@12/10@16/19
3161,3153,2784,2744,2108,0.68,0.81,1.31,1.47,1.32,0.76,1860,2076,1631,1444,1421,20/09/07@20/09/13@40/01@42/04@43/01/03/05
9341,8649,6081,8728,5149,0.56,0.96,2.06,1.79,0.75,0.49,6397,8087,5309,4576,3111,01/06/06/09@01/06/06/11@16/21/05@20/01/15
1901,3514,3472,2114,1548,0.78,0.91,1.3,1.28,1.72,0.77,915,615,663,1632,704,10/03/04/05@16/01
9039,4948,6412,6875,5845,0.67,1.03,1.16,1.49,1.69,0.86,6013,7945,2872,4762,5180,01/03/07@10/01/03@10/01/05/01@16/01@16/17/09@32/01/09
4633,5090,3746,3179,2841,1.21,1.26,1.07,0.83,0.72,0.93,2372,3546,2131,2163,2221,14/07/05@14/10@14/13/01/01@16/01@16/19/03
5832,4652,5214,3694,4111,0.88,1.23,0.82,1.14,1.45,1.22,2844,4740,1859,3600,3475,11/02/03/01/01@11/02/03/04
1983,2808,2371,1392,1164,0.84,1.17,1.03,1.19,1.18,0.97,596,904,624,776,580,99
6405,5995,4911,4974,2905,0.61,0.97,1.94,1.64,0.96,0.52,3650,4951,3420,3383,1879,20/01/01/01/01@20/01/03@20/01/07@20/03@20/09/16@20/09/18/07@34/01/01/01
1847,3045,3948,1890,3185,0.81,0.67,0.42,1.23,2.78,2.38,1038,712,1443,2455,2496,01/04@01/05/02/07@16/19/03
16213,4768,4353,2934,2506,0.9,1.17,1.07,1.11,1.23,0.93,1874,13712,1329,2743,1755,32/07
3269,3503,3777,2739,2332,0.77,0.91,1.03,1.3,1.85,0.97,1576,1910,1072,1968,1536,01/06@02/11/05@02/13@02/25@14/10@20/01/15
3485,4017,3076,2582,1978,0.6,1.04,1.31,1.67,0.8,0.76,1810,2477,1688,1448,1379,01/01/09/02/01@01/04
21549,19138,6753,22307,4530,0.73,1.29,5.47,1.37,0.31,0.18,21398,20616,11438,5309,3915,12/01/01@12/04@14/10@16/01@43/01/03/05
2003,3151,3434,1815,2059,0.68,0.9,0.71,1.47,1.82,1.41,1008,1027,1284,2042,1412,11/04/03/01@12/07@16/03/03
1731,2980,2770,2754,4287,0.76,1.24,0.52,1.32,1.41,1.92,1923,788,757,1335,3682,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
4309,4171,3755,3352,3414,0.64,1.24,0.87,1.56,1.14,1.15,2216,2959,1109,1990,2540,01/05/25@14/07/02/02
3963,3952,3408,3527,2023,0.75,1.11,2.05,1.33,1.04,0.49,2433,2702,876,1618,1185,01/05/03@01/05/25@02/19@42/01
2068,3575,3830,1527,1711,0.85,0.91,0.67,1.18,1.49,1.49,750,1067,1668,1972,1126,10/03/01@10/03/02
2548,3540,4826,2710,3468,0.67,0.98,0.62,1.49,2.56,1.61,1664,1331,585,2991,2680,10/01/03@10/03/01@14/10@14/13@16/01@18/01/07@18/02/01/02/03@40/01/03@40/20
3400,4837,6506,2316,2806,0.7,0.89,0.69,1.43,1.82,1.45,1531,2399,2897,4702,2207,14/07/11@14/13/01/01@16/01@18/01/07@18/02/01@32/01
