@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1                                      numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE r3                                      numeric
@ATTRIBUTE r3_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r5                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r1_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g3dashbkg                               numeric
@ATTRIBUTE g6dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r3dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
6214,2642,4891,0,3179,1622,2830,1407,6210,2628,5486,2520,3146,3336,1236,1886,1.25,1.21,1.89,0.99,0.8,0.52,0.53,1780,2966,2100,3529,1557,1423,1504,1546,1110,01/05/03@01/05/25@02/19@42/01@43/01/03/05
4871,2172,3775,0,4373,1432,2680,1072,2679,3181,4596,2261,4628,3178,974,2997,1.12,1.09,0.95,0.94,0.89,1.33,1.05,1798,2335,2204,2548,2941,1608,1795,3120,2320,01/01/09@11/02/03/01@11/02/03/04
3240,2083,2211,0,2700,1367,1906,981,1512,2188,2899,2199,2858,1802,941,2113,0.81,1.05,0.6,0.92,1.23,1.92,1.67,753,700,861,1063,1333,925,1015,1358,1434,11/02/03/01@11/02/03/04@32/05/01/03/03@32/07
5050,2576,3501,0,2672,1572,2733,1358,8479,2786,4314,2599,4044,2630,1254,1970,0.98,0.89,1.21,0.88,1.02,1.41,0.83,1346,1715,1376,2188,1100,1375,1699,2423,1138,01/02@10/03/05/03@16/01@16/06@20/09/14/01@34/05/02@42/04/03@42/04/05
3689,1947,2917,0,3595,2053,3370,1184,2182,2239,3464,2178,4181,2394,822,2802,1.01,0.97,0.72,1.06,0.99,1.89,1.39,2205,1286,1572,1859,1542,2186,1121,2419,2173,14/07/09
3810,1930,2771,0,4887,1390,2500,937,2320,2287,5455,2404,4216,2567,868,2028,1.16,1.2,1.23,0.9,0.86,0.85,0.81,1808,3051,1699,1690,3497,1563,1248,2604,1376,01/05/25@11/02/03/01@11/02/03/04
5381,2776,3790,0,3188,1584,2840,1296,2734,2645,4616,2744,3860,2617,1147,1801,0.97,1.12,1.46,0.88,1.03,1.15,0.68,1492,1872,1470,2310,1604,1544,1587,2144,1005,01/06
4889,2601,3090,0,2658,1598,2451,1170,2310,1830,4346,2621,2714,3239,1104,1284,1.34,1.56,3.8,0.74,0.75,0.63,0.26,1721,1725,2135,1698,1060,1281,813,1092,562,42/01
13676,2000,13192,0,13542,1366,6862,986,7315,8128,13761,2417,4866,11372,905,3185,1.18,1.42,4.16,1.04,0.85,0.29,0.24,6935,11344,10467,12146,12176,5876,7019,3269,2518,12/01/01@12/04@16/01
14100,2552,17025,0,9091,2663,18549,1773,15504,7680,9432,2089,4553,15658,1219,4443,0.92,1.27,3.93,1.35,1.09,0.4,0.25,15464,7343,14439,15684,6428,16776,6413,2923,3676,12/01/01@12/04@16/01
3475,1933,2744,0,3321,2098,3665,1112,2167,2275,3331,2212,3001,1935,804,1597,0.72,0.79,1.15,1.14,1.39,1.08,0.87,1831,1119,1131,1753,1223,2553,1227,1199,985,10/03/02@11/02/03/01@11/02/03/04
6131,2410,5337,0,4623,2448,8503,1621,7124,3866,4759,2327,6466,5342,1122,4955,0.8,0.91,1.04,1.09,1.25,1.89,0.96,5483,2432,4220,4046,2175,6882,2793,4589,4069,01/04
4755,1985,4417,0,5228,2347,3481,1144,3597,3051,4673,2274,9344,3231,821,4438,0.79,0.84,0.64,1.22,1.27,3.13,1.56,1856,2399,2410,3383,2881,2337,1965,7484,3794,01/20/37/01@16/14@20/01/10@20/09/01@30/01/05@32/01/01@32/07/07/05@40/10/02/01
4722,2440,3675,0,4094,2429,10365,1716,7336,2077,4119,2329,4477,4304,1002,5681,0.66,1.01,0.68,1.06,1.52,1.45,1.47,5688,1790,3302,2425,1665,8649,997,2612,4885,20/01/01/01@20/03/02/03/01@20/09/07@20/09/13@32/01@34/01/01/01@34/01/01/03
10531,2011,9825,0,10847,2285,8347,1096,5696,7334,10783,2221,10095,6453,840,6837,0.92,1.07,0.91,1.03,1.09,0.96,1.1,6697,8562,5613,8789,8562,7251,6159,8267,6166,10/03/01/01/11@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/01@42/10
3231,2409,1782,0,3290,2434,3269,1595,2017,1390,3192,2347,3281,2175,1104,1856,1.02,1.49,1,0.7,0.98,1.67,1,1700,845,1071,574,856,1674,461,1408,1067,10/01/05/01@11/02/03/01/01@11/02/03/04@14/10
4156,2484,2810,0,3018,1595,2800,1176,2356,2145,4056,2695,4090,2508,1189,1975,0.83,1.1,1.11,0.92,1.2,1.69,0.9,1345,1361,1319,1527,1423,1624,1002,2322,1191,14/04@20/09/07/27@20/09/13@20/09/18@42/07@42/25
4576,2427,3288,0,3876,1581,3481,1138,2610,2105,4642,2505,3693,3095,1202,1895,1.01,1.27,1.69,0.95,0.99,0.93,0.59,2357,2137,1893,2056,2295,2343,1110,1986,1117,20/09/07/03
3994,2440,2748,0,3963,2520,4120,1704,3027,1723,3591,2462,3418,2741,1106,2256,0.77,1.08,1.11,0.96,1.3,1.3,0.9,1852,1129,1635,1498,1443,2416,685,1458,1468,11/04/01
6043,2434,5466,0,4189,2458,6289,1450,4985,2450,4432,2385,4130,4760,1094,3608,0.88,1.07,1.33,1.16,1.14,1.08,0.75,4272,2047,3666,4211,1731,4839,1407,2192,2756,10/03/05/03@16/01@20/09/07@42/04/03
3703,2288,2384,0,3685,2569,4646,1649,2458,1580,3450,2410,3567,2546,1064,2099,0.83,1.25,1.12,0.85,1.2,1.54,0.89,2493,1040,1482,1203,1116,2997,588,1597,1323,14/04@20/09/07/27
10423,2376,10453,0,5936,2560,13381,1676,8759,3669,8353,2533,4539,8904,1088,2899,0.77,1.19,3.61,1.15,1.3,0.43,0.28,9055,5820,7816,9204,3376,11705,2564,2518,2167,12/01/01@12/04@16/01@16/03/03@16/17/09
5322,2179,4766,0,4925,2423,5159,1462,2901,2299,4304,2346,3405,3507,949,3021,0.99,1.15,1.13,1.12,1.01,0.79,0.88,3644,1958,2558,3539,2502,3697,1289,1547,2272,01/04@10/03/01/03@10/03/03@14/07/03@42/29@43/01/03/05
8048,2442,7900,0,5188,1723,5669,1193,5424,5765,6096,2517,6661,5401,1173,3811,1.14,1.01,1.42,1.18,0.88,1.37,0.7,5102,3579,4228,6607,3465,4476,4479,4936,2974,10/01/05@14/07/05@14/07/07@14/10@16/01@20/09/01
2703,1753,1717,0,2183,1067,1274,758,1186,2690,3674,2004,3801,1531,809,1702,1.03,1.22,0.68,0.84,0.97,1.41,1.47,532,1670,722,801,1116,516,1435,2337,1056,12/07@16/03/03@34/01/01/01
5249,2714,3511,0,2552,1101,2895,979,2942,2944,6345,2180,5477,2336,910,1850,0.89,1.29,1.15,0.89,1.12,1.02,0.87,1710,4165,1426,2258,1451,1916,1971,4247,1237,14/01@14/07@20/01/13
5332,2211,4670,0,5543,2634,6900,1342,4678,4135,4158,2300,10421,3229,877,14476,0.77,0.55,0.17,1.12,1.3,4.55,5.88,4261,1858,2352,3517,2909,5558,3126,8441,13773,02/11@02/13/03@14/10@20/01/15@20/03
4748,2700,3238,0,4057,2194,3534,1365,4198,3125,4508,2446,5262,2850,1090,3042,0.88,1.03,0.77,0.93,1.14,1.67,1.3,1916,2062,1760,1923,1863,2169,2036,3421,2298,01/03/01/01@01/03/04@01/03/10@01/04
4022,2771,2147,0,1732,1213,1612,1000,1390,1655,4022,2103,3546,1852,896,5299,1.04,1.88,0.21,0.68,0.96,1.2,4.76,635,1919,956,850,519,612,611,2323,4580,20/01/03@20/03@20/09/18
5610,2248,5296,0,5439,2422,18885,1602,4679,2251,4158,2206,3905,4819,891,4192,0.48,0.89,1.12,1.2,2.08,1.14,0.89,8280,1952,3928,4066,3017,17283,1133,2215,3494,10/03@14/07/02/02
11776,2799,11238,0,8797,2380,18185,1800,16378,8828,10932,2590,8025,8569,1240,9677,0.69,1.14,0.85,1.1,1.45,0.72,1.18,11235,8342,7329,9854,6417,16385,7677,6056,8655,01/01/13@11/02/03/04/01@16/03/01
3110,2175,2008,0,3432,2541,2247,1293,1523,1864,3233,2274,4269,1666,841,4909,0.95,0.95,0.2,0.94,1.05,2.5,5,910,959,825,883,891,954,651,2391,4224,02/01/03@10/03/01/01@10/03/02@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@34/11/03/07@40/01@42/10@43/01/03/09
5388,2651,4199,0,3903,1407,4624,1185,4402,3467,5816,2439,5004,4166,1460,4085,0.7,0.76,0.97,1.09,1.43,1.05,1.03,2411,3377,2706,2972,2496,3439,2445,3572,2785,14/04@14/13/04@16/01@20/09/13@42/25
2919,2139,1845,0,2266,1312,1545,923,1299,1899,2936,2284,2362,1636,942,1414,1.01,1.33,0.93,0.88,0.99,1.25,1.08,627,652,694,685,954,622,593,819,743,10/01/05/01
3962,2543,2263,0,2576,1357,2566,1098,2047,1939,4725,2310,4995,2798,1378,3019,0.9,1.21,0.8,0.74,1.11,1.47,1.25,1322,2415,1420,1051,1219,1468,861,3532,1767,01/05@01/06@02/45@16/21/11
4415,2176,3460,0,4347,1428,3517,1016,2958,4088,3214,2040,3687,2820,897,3153,0.73,0.95,0.78,1.01,1.37,2.04,1.28,1814,1174,1923,2270,2919,2501,2760,2374,2478,01/03/04/03
4957,2593,3839,0,4979,2436,6086,1793,8176,5447,4233,2553,8547,3125,1252,10479,0.68,0.54,0.2,1.06,1.47,3.85,5,2921,1680,1873,2513,2543,4293,4331,6479,9493,02/11/05@02/13/03@16/21/08@20/01/15
15456,2181,14818,0,18252,2869,21203,1345,13802,10732,13020,2306,13126,12413,878,8816,0.67,0.79,1.42,1.02,1.49,1.06,0.7,13329,10714,11535,13591,15383,19858,9297,11341,8123,14/04@14/10@16/01@18/01@18/02/01/01/03@20/01/01/01@20/01/15@20/03/22@20/09/13@20/09/18/09/01@32/07@34/01/01/01@34/01/01/03@42/25
26912,2595,24517,0,16026,2653,20049,1762,19164,12060,16522,2309,10361,22482,1382,7551,1.19,1.61,3.19,0.95,0.84,0.61,0.31,21693,14213,21100,23102,13373,18287,10938,8611,6605,01/03/16@12/04/01@16/01@40/10/02
7055,2636,6383,0,5292,1570,10293,1230,8784,3483,7808,2584,4784,6407,1192,2843,0.69,1.16,2.56,1.12,1.45,0.63,0.39,6269,5224,5215,4990,3722,9063,2377,3259,2035,01/03/04@01/04@14/07/02
11140,2746,9999,0,7807,1549,12494,1293,7387,4642,11084,2642,4586,12178,1402,4182,1,1.62,3.38,1.02,1,0.35,0.3,11257,8442,10776,8549,6258,11201,3518,2970,3190,01/01/06/04/02@01/01/09/01/01@01/01/09/01/02@01/20/19
4672,1972,4192,0,6615,1354,5691,960,4086,3863,3682,2201,3826,3744,863,3540,0.51,0.7,0.99,1.16,1.96,1.59,1.01,2411,1481,2881,3128,5261,4731,2647,2349,2912,01/05@02/10@02/11@02/13@16/21/05@16/21/07@20/01/15@32/01
3909,2081,3243,0,3555,2226,3982,1134,1561,1608,3132,2248,2643,2143,811,1609,0.8,1.39,1.3,1.22,1.25,1.02,0.77,2270,884,1332,2216,1329,2848,581,898,1022,01/01/03/05/01@01/20/17@02/13@14/07/04
3508,2364,2044,0,4002,2432,5764,1605,2387,1743,3564,2470,3623,2469,1036,1943,0.65,1.05,1.22,0.76,1.54,1.56,0.82,2693,1094,1433,871,1570,4159,762,1720,1177,01/04@01/05/02@01/05/09/04@01/05/09/07@16/17/07
3708,2585,2261,0,2397,1464,2243,1127,1705,1739,4566,2570,4620,2186,1168,1753,1.04,1.34,1.05,0.79,0.96,1.49,0.95,1163,1996,1018,885,933,1116,678,2982,965,01/02/07@20/01/07@20/01/11
4346,1960,3937,0,5059,1363,4067,911,2597,2774,3754,2269,3019,3178,897,3269,0.73,1.12,0.87,1.22,1.37,1.02,1.15,2305,1485,2281,2897,3696,3156,1586,1511,2617,20/01/07@20/03@20/09/18/07
3865,2542,2340,0,2539,1561,2798,1071,2208,2031,4000,2638,3516,2280,1142,2142,0.76,0.97,0.93,0.78,1.32,1.33,1.08,1305,1362,1138,1035,978,1727,992,1804,1230,20/03
3957,1885,3525,0,3410,1327,2798,949,1590,1802,3679,2254,2747,3387,841,3771,1.3,2.29,0.83,1.2,0.77,0.89,1.2,2412,1425,2546,2507,2083,1849,716,1276,3064,01/07@20/01/01/01/01/01@20/01/27@20/03@20/09/18@32/07@34/01/01/01
5323,2553,3992,0,3470,1573,3290,1148,3035,3159,4455,2564,4640,2874,1229,2936,0.9,0.99,0.83,0.96,1.11,1.54,1.2,1920,1891,1645,2663,1897,2142,2032,2925,1980,10/01/09/05@14/07/04@42/10/03
3702,2465,2101,0,2459,1673,2344,1111,1776,1715,3560,2502,3267,2156,1214,1546,0.84,1.32,1.26,0.69,1.19,1.49,0.79,1040,1058,942,855,786,1233,737,1590,750,10/03/01@14/01@16/01
11585,2552,11579,0,8072,1754,9850,1290,8462,8844,9217,2686,6722,7194,1428,3141,0.77,0.97,2.69,1.14,1.3,0.76,0.37,6615,6531,5766,10240,6318,8560,7705,4964,2143,14/04@16/01@20/03/01/05@20/09/01
5361,1864,4786,0,3713,1274,5482,924,2990,3600,4208,2163,4362,3658,892,3155,0.82,1.21,1.11,1.09,1.22,1.39,0.9,3735,2045,2766,3782,2439,4558,2354,2855,2496,14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
2693,1805,1575,0,1957,1079,1286,834,1059,2208,3116,1944,2237,1421,814,1302,0.94,1.62,0.9,0.75,1.06,0.79,1.11,426,1172,607,667,878,452,904,933,672,10/03/01@10/03/04/01@10/03/04/05@42/04/05@42/05
4750,1807,4848,0,5663,2322,5893,1160,5129,5742,6493,2198,9846,3682,804,4232,0.97,1.05,0.81,1.3,1.03,1.85,1.23,4614,4295,2878,3845,3341,4733,4199,7978,3556,14/13/01/01
3468,2335,2231,0,3645,2290,3903,1536,7928,1484,3263,2353,3160,2294,970,1967,0.89,0.86,1.07,0.88,1.12,1.47,0.93,2113,910,1324,1007,1355,2367,502,1340,1235,11/02/03/01@11/02/03/04
7474,1795,9084,0,7852,2704,9617,1217,5418,6442,11689,2284,5463,5618,906,2604,0.77,1.41,2.46,1.41,1.3,0.38,0.41,6481,9405,4712,8039,5148,8400,5219,3531,1917,12/04/01@16/19/05
5683,2386,4640,0,4510,1463,3456,1157,2905,3054,5237,2639,4192,3346,1268,2057,1.02,1.21,1.77,1.01,0.98,0.94,0.56,2356,2598,2078,3324,3047,2299,1974,2444,1173,11/04/03/05
10805,2373,11366,0,11512,1762,6659,1053,4991,4042,10755,2537,3420,7858,1096,2245,1.25,1.92,4.45,1.19,0.8,0.22,0.22,7026,8218,6762,10044,9750,5606,3087,1838,1519,01/04@16/19/03@18/02/01/01@20/03/25@20/09/16/01@32/01/11
4202,2376,3028,0,4389,2518,6264,1561,2730,1576,3776,2395,3429,3034,1014,1906,0.88,1.33,1.66,0.96,1.14,1.08,0.6,4157,1381,2020,1764,1871,4703,600,1478,1216,18/01/01@18/02/01@20/01/15@32/01/01@32/07/07
5726,1892,5607,0,6254,2267,4466,1026,4430,8284,7129,2282,16610,2724,843,3294,0.78,0.87,0.73,1.18,1.28,3.03,1.37,2668,4847,1881,4487,3987,3440,6975,14616,2564,01/06/06/11
3939,2642,2129,0,4431,1845,1951,1099,1992,2502,3690,2301,3756,1702,978,1453,1.1,1.49,0.93,0.67,0.91,1.45,1.08,937,1389,724,866,2586,852,1479,2003,775,99
3680,2156,2914,0,5845,2520,7304,1409,2667,1687,3358,2296,4087,2823,912,3100,0.71,0.95,0.8,1.14,1.41,2.13,1.25,4156,1062,1911,1735,3325,5895,652,2249,2393,14/01@16/01@20/01/10@20/09/03
3539,2239,2714,0,5288,2591,4149,1329,2200,1681,3126,2240,3500,2278,897,2409,0.66,0.84,0.8,1.19,1.52,1.89,1.25,1870,886,1381,1545,2697,2820,724,1684,1725,12/01/01@42/16
3623,1708,2514,0,4724,1116,2732,757,3475,3029,8835,2161,6403,2587,747,2054,1.09,1.35,1.29,0.83,0.92,0.72,0.78,2160,6674,1840,1580,3608,1975,1819,4828,1431,01/04/04@01/05/25@02/19@14/07/03@18/02/01
11643,3023,11133,0,7271,1235,10382,1059,9847,7650,15789,2412,5820,6669,1002,2301,0.62,1.23,3.51,1.1,1.61,0.34,0.28,5754,13377,5667,9502,6036,9323,6665,4545,1613,01/03/13@20/01/17@20/09/18
4458,2191,3783,0,4408,1604,5010,1099,3417,4160,4273,2292,3700,3067,1027,2574,0.64,0.92,1.13,1.16,1.56,1.08,0.88,2510,1981,2040,2640,2804,3911,2917,2129,1808,01/01/11/02/01@01/03/01@11/02/03/04@32/01/05@34/11/03/07@42/16
3004,2192,1979,0,3424,2181,2773,1291,1589,1675,3038,2339,2840,1490,859,8874,0.69,0.94,0.08,1.09,1.45,1.45,12.5,1016,699,631,883,1243,1482,714,1011,8179,01/01/06/04/02@01/05/06/07@02/01@02/16/11
4497,2634,2918,0,5212,1843,2779,1306,3297,2625,3916,2338,3847,2164,1054,1752,0.91,1.08,1.08,0.88,1.1,1.37,0.93,1344,1578,1110,1634,3369,1473,1452,2165,1032,10/03/01
4345,2702,2794,0,5543,2170,3191,1346,3106,2482,4168,2345,3695,2289,1095,1608,0.97,1.29,1.37,0.92,1.03,1.04,0.73,1781,1823,1194,1502,3373,1845,1377,1899,872,01/03/16/01@11/02/03/04/03@11/04@34/11/03/07@41/01/01
4083,2101,3303,0,4305,2195,5822,1355,2356,1876,3466,2286,3175,2578,901,3115,0.83,1.02,0.69,1.1,1.2,1.18,1.45,3698,1180,1677,2184,2110,4467,918,1391,2414,01/01/03/05/01@01/04@01/20/17/01
9352,2707,9041,0,8506,2150,13363,1448,14223,6772,10518,2543,4400,7818,1220,3309,0.85,1.19,2.64,1.16,1.18,0.32,0.38,10109,7975,6598,7720,6356,11915,5630,2574,2497,01/03/07@10/01/03@10/01/05/01@16/01@16/19/03
7592,2752,6574,0,7259,2163,8073,1585,9585,5413,6610,2493,4548,5728,1132,3234,0.79,1.07,1.9,1.04,1.27,0.68,0.53,5146,4117,4596,5022,5096,6488,4289,2780,2419,16/01@18/02/01/02@40/01/03@42/25@43/01/03/05
4149,2150,3452,0,4389,2417,5980,1383,2140,1752,3581,2168,2702,3323,915,1976,0.95,1.59,1.79,1.11,1.05,0.71,0.56,4387,1413,2408,2228,1972,4597,734,1010,1347,01/01/03/02@01/01/03/03/01@01/01/05/01/02@01/01/09/04/01@01/01/11@01/02@01/05/06/07@01/05/11/07/01@01/06/06@01/07/01@01/20/05@01/20/17/01@01/20/29@01/20/31@02/11@02/13@02/16/01@02/45@16/13@16/21/07@20/01/15@32/01/03@32/05/01@32/05/03@32/07/03@32/07/09@42/16
