@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red                            numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t2_red                                  numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green                  numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1882,1271,1158,3737,0,1952,2562,2382,1424,0,1499,989,1772,1012,2283,2643,1153,1140,0,1916,0.828,0.814,0.805,0.967,0.193,0.32,0.288,0.256,0.366,0.58,0.194,0.159,1.16,0.39,0.31,0.33,0.45,0.65,1.31,0.2,14/13@16/01@42/01
8822,9140,1248,9284,0,7179,5723,10321,1648,0,1702,1049,6692,1022,12714,7765,1119,4799,0,13622,0.928,0.94,0.899,0.859,0.748,1.128,2.076,3.803,2.404,1.571,2.014,7.766,0.9,1.16,2.11,4.12,2.46,1.64,1.87,2.02,01/04@01/05/07@01/06
8994,9023,1334,5798,0,5627,5496,6621,1521,0,1755,1226,5672,1050,8890,4497,1191,2293,0,3918,0.898,0.91,0.917,0.837,1.162,0.859,0.673,1.078,1.542,2.005,0.715,0.672,0.92,0.9,0.72,1.16,1.6,2.1,0.86,0.74,11/04/01@16/03/03
1130,690,1073,538,0,1369,826,1582,1331,0,1320,871,1596,1208,1074,695,1454,652,0,1118,0.046,0.225,0.423,0.033,0.525,0.971,0.331,0.486,0.294,0.569,0.037,0.107,0.83,1.4,1.66,1.29,1.02,0.88,5.23,0.78,01/04@16/19/03@20/01/03@20/01/13@20/03/25@34/11/03
2120,1497,1330,1941,0,1935,1440,2452,1462,0,1475,1025,1760,918,2328,2060,1191,919,0,1945,0.827,0.929,0.807,0.888,0.579,0.721,1.171,0.728,0.849,0.791,1.127,0.82,1.06,0.85,1.2,0.91,1.03,0.93,0.96,1.11,01/01@20/01/07@20/09/18
2181,1304,1291,1704,0,1574,1157,2102,1644,0,1465,918,1961,1101,1158,717,1040,1435,0,1960,0.788,0.701,0.898,1.156,0.663,0.638,0.41,0.868,0.528,0.762,0.525,0.531,1.33,0.85,0.59,0.9,1,1.35,2.42,0.55,11/04/03/01
5276,3904,1204,3855,0,2756,2473,4122,1620,0,1582,984,3917,1346,2004,1827,1102,3152,0,4768,0.919,0.957,0.962,1.137,1.009,0.811,0.89,0.578,0.601,0.774,0.785,0.621,1.2,0.83,0.93,0.59,0.65,0.83,1.21,0.83,32/01@42/27/03
1193,660,1132,571,0,1281,702,1552,1336,0,1351,868,1358,925,1038,707,1282,647,0,986,0.148,0.23,0.304,0.152,0.651,-0.094,0.337,0.456,0.062,0.342,-0.103,0.159,1.05,1.7,1.44,1.26,0.84,1.03,1.87,1.11,01/07/01
1678,1129,1343,1779,0,2595,1884,2559,1478,0,1615,1103,2082,1107,2271,1973,1113,925,0,1973,0.764,0.925,0.92,0.941,1.206,0.989,1.011,0.996,1.01,0.857,1.113,1.168,1.1,1.16,1.22,1.09,1.06,0.91,1.09,1.24,11/02/03/01@11/02/03/04@11/04/02
3926,3433,1466,1301,0,4294,1937,5168,1542,0,1593,1083,3960,1119,5389,4517,1143,1820,0,3840,0.92,0.894,0.905,0.902,6.289,2.991,4.856,4.583,2.179,1.079,6.176,12.802,0.96,3.12,4.41,4.96,2.14,1.13,2.31,6.73,12/01/01@12/04@16/01
3537,2423,1151,2718,0,2373,2301,3523,1576,0,1513,938,3253,1234,1651,1096,1102,2299,0,3195,0.888,0.938,0.939,1.191,0.989,0.656,0.877,0.827,0.959,1.36,0.784,0.785,1.25,0.68,0.94,0.87,1.05,1.47,1.07,0.85,14/04@20/09/07@20/09/13@42/25
2004,1205,1292,3541,0,2028,4686,2328,1606,0,1482,1048,2594,1398,1403,1533,1115,782,0,1178,0.533,0.664,0.705,0.707,0.171,0.129,0.048,0.048,0.026,0.267,0.016,0.011,1.14,0.19,0.06,0.06,0.11,0.46,0.91,0.02,10/01/09/05@10/03/02@10/03/04/03@16/01
2068,1111,1236,1098,0,1566,1061,1985,1470,0,1848,12759,2038,1792,1249,15165,1050,970,0,1073,0.504,0.799,0.764,0.792,1.593,0.642,0.043,0.019,0.019,0.01,0.481,0.128,1.71,0.91,0.05,0.01,0.03,0.01,0.09,0.67,10/01/05/01@11/04/03@12/04@16/03/03@20/01/21
5521,4279,1347,5907,0,3431,3637,4994,1706,0,1658,1116,4875,1232,1728,1158,1169,6231,0,6874,0.92,0.949,0.934,1.082,0.801,0.694,0.785,0.929,1.246,1.101,0.665,0.493,1.18,0.73,0.86,0.97,1.28,1.36,1.2,0.73,20/09/18/09/01@40/01@42/04/03@43/01/03/05
6593,4769,1881,5058,0,3929,1799,4482,1970,0,3519,2478,2822,1062,2621,1517,1080,3764,0,2753,0.917,0.848,0.95,1.121,1.904,2.088,1.681,1.287,1.59,1.626,3.894,6.202,1.25,2.21,2.08,1.34,1.7,1.8,1.91,4.44,12/04@12/10@16/03@16/19/03
4522,3199,1562,1874,0,3270,1778,4342,1867,0,1473,1014,4665,1589,1665,2040,1040,4759,0,7415,0.908,0.952,0.947,1.172,2.456,1.713,1.062,0.346,0.275,0.443,4.683,5.373,1.27,1.78,1.11,0.36,0.3,0.49,0.43,5.18,12/10
3702,1973,1331,818,0,2153,982,2803,1578,0,2268,1286,2197,1038,1774,1094,1062,1059,0,1190,0.832,0.798,0.882,1.632,3.566,2.174,2.218,2.81,1.516,1.284,1.285,1.074,1.88,2.33,3.09,3.18,1.9,1.56,3.14,2.5,12/01/01@12/04@16/01@16/17/09
1183,654,1137,601,0,1203,676,1546,1340,0,1276,839,1503,1086,1042,666,1349,652,0,989,0.044,0.416,0.569,0.058,0.418,0.322,0.658,0.549,0.118,0.089,0.014,0.023,1.21,1.23,1.51,1.21,0.81,1.07,2.01,0.56,01/04@02/45/11@10/03/01/01/11@10/03/03@10/03/04/09@16/01@16/19/03@20/09/14/02@20/09/16/09/03@32/01/03@34/05/01@34/05/02@40/01/03/01@40/01/03/03@42/02@42/04@42/27/01@43/01/03/05
3346,2696,1410,2562,0,3240,1683,4139,1462,0,1666,1069,3242,892,5436,2637,1084,2221,0,6893,0.838,0.808,0.895,0.933,1.202,2.156,2.039,2.606,2.421,2.062,3.704,4.07,1.07,2.16,2.56,2.83,2.42,2.31,1.59,3.77,14/07/11@16/17/09
2731,2357,1422,3726,0,2850,3682,3319,1505,0,1614,1129,2841,954,4109,4943,1153,1823,0,4852,0.575,0.926,0.947,0.411,0.752,0.493,0.719,0.696,0.69,0.657,0.741,0.909,0.91,0.5,0.8,0.78,0.7,0.7,1.37,0.72,02/11@02/45/15@16/17@20/01/01/01@20/01/15@20/03/01/01@20/03/22@20/09/13@34/01/01/03@34/11/03/13
1165,637,1098,576,0,1305,763,1642,1283,0,1303,852,1537,1095,1008,639,1565,621,0,4525,-0.009,0.966,0.378,-0.01,0.662,0.505,1.085,0.411,0.162,0.611,0.03,0.793,1.11,1.35,1.31,1.17,0.7,1.18,1.7,0.74,14/07/11@14/13/01/01
3181,2866,1420,4086,0,2984,3265,4142,1770,0,1635,998,3259,1006,5176,4930,1101,1386,0,4313,0.804,0.934,0.903,0.468,0.501,0.586,1.302,1.901,1.618,0.876,0.618,1.717,0.91,0.63,1.35,2,1.59,0.97,1.61,0.65,14/07/11@14/13/04/02
1171,663,1154,837,0,1257,687,1958,1297,1,1200,821,1425,991,1015,681,1418,603,0,964,0.069,0.818,0.415,0.073,1.173,0.593,0.868,0.44,0.235,0.697,-0.136,0.097,1.05,1.05,1.1,1.09,0.86,1.43,2.58,0.85,10/01/02@10/01/05@16/19/03
1140,611,1074,573,0,1288,745,2142,1350,1,1208,897,1338,918,1006,737,1615,591,0,934,0.016,0.76,0.408,0.016,0.358,0.114,0.829,0.401,0.277,0.679,0.013,0.513,1.01,1.34,1.16,1.25,0.86,1.4,1.03,0.84,01/01/03/03/01@01/04
3743,2599,1486,1868,0,2928,2004,4018,2121,0,1604,983,4563,1638,1741,1209,1202,2536,0,5850,0.88,0.891,0.937,1.116,1.859,1.128,1.498,1.688,1.946,1.136,1.804,2.415,1.23,1.17,1.66,1.78,1.91,1.37,1.78,1.97,12/04/03
2478,1493,1645,1289,0,1850,1147,2330,1932,0,1694,1092,2592,1376,1702,1261,1197,1824,0,2767,0.535,0.614,0.883,0.835,1.084,1.043,0.757,1.062,0.781,0.831,1.109,1.592,1.49,1.3,1.27,1.17,0.91,1.03,1.83,1.35,01/01@01/05@02/16@10/01/05/03/01
3814,2353,1759,2863,0,2863,2181,3752,2150,0,1980,1374,4017,1758,2540,1917,1231,1963,0,2909,0.822,0.943,0.887,1.406,1.349,0.926,1.173,0.858,1.132,1.12,1.195,1.701,1.65,0.95,1.2,1.03,1.23,1.15,1.36,1.29,11/02/03/01@11/02/03/04
14349,11467,2056,9496,0,6506,4589,8549,2466,0,4670,2722,5793,1232,3147,1217,1224,6407,0,4824,0.859,0.933,0.946,1,1.432,1.272,1.753,1.974,2.571,3.046,0.834,1.09,1.2,1.34,1.86,2.03,2.98,3.41,2.56,0.95,01/05/11/07/01@01/06/06/11@01/20/35/01@16/21/05@16/21/07@20/01/15@32/07/01
4282,2555,1791,1867,0,2916,1856,3979,2352,0,2132,1296,4993,1701,2056,1622,1242,3055,0,6378,0.72,0.814,0.881,1.23,2.114,1.281,1.472,1.576,2.101,0.366,1.915,2.717,1.86,1.35,2.05,1.87,2.7,0.96,1.84,2.13,01/04@01/05@01/06@32/01/01@32/01/03
1973,1346,1158,2579,0,1346,749,2529,1382,0,1415,1035,2002,1076,2460,2235,1045,2332,0,2410,0.877,0.934,0.943,1.007,0.96,0.912,0.918,0.864,0.911,0.89,0.658,0.386,1.11,1.44,1,0.94,0.97,0.92,1.54,0.7,01/01@01/05/25@02/19@14/07/11@14/13/01@16/17/09
1298,854,1035,558,0,1423,820,2013,1694,0,1367,872,1472,947,1155,884,1752,609,0,912,0.537,0.264,0.49,0.392,0.666,0.729,0.352,0.478,0.432,0.525,-0.016,0.642,0.77,1.31,1.34,0.99,0.84,1.18,1.91,0.9,10/03/01@14/04@20/01/01/01/01@20/09/04@20/09/18/07@34/01/01/01
3811,2792,1067,6312,0,3358,2411,3933,1450,0,1451,1073,2976,1005,4456,6440,941,3006,0,3084,0.927,0.96,0.955,1.08,0.222,1.2,1.318,0.497,0.451,0.572,1.208,0.574,1.21,1.23,1.35,0.53,0.45,0.59,1.03,1.22,99
3128,2166,1165,4577,0,2700,2659,3298,1417,0,1538,1042,2398,992,3923,4529,891,4050,0,3669,0.889,0.959,0.968,1.134,0.639,0.687,0.782,0.624,0.837,0.73,0.917,0.648,1.25,0.75,0.82,0.64,0.92,0.75,0.84,0.91,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
2088,1334,1265,2733,0,1560,829,2238,1310,0,1616,918,2926,909,1685,1015,1546,2183,0,2485,0.8,0.92,0.925,0.855,0.86,1.663,1.502,1.409,1.288,1.395,1.486,1.592,1.17,1.47,1.83,1.56,1.51,1.56,0.75,1.57,11/02/03/01@11/02/03/04
3508,2343,1297,2922,0,2477,1733,3339,1695,0,1995,1386,2897,1093,2488,2009,1227,1926,0,2473,0.856,0.885,0.869,1.169,1.08,1.081,1.296,0.669,0.767,1.008,1.009,0.951,1.37,1.18,1.53,0.81,0.92,1.06,1.97,1.13,99
3450,2397,1630,3323,0,5494,2397,5243,1532,0,1943,921,9450,1091,5623,2003,1173,5092,0,4487,0.855,0.901,0.897,1.087,2.712,2.216,2.617,4.942,3.877,3.24,2.428,4.225,1.31,2.42,3.13,5.23,4.24,3.36,2.45,3.59,16/01@18/02/01/01@32/01/07@32/05/01
2736,1661,1134,1618,0,2089,1275,2687,1548,0,1412,843,2861,1281,1938,1475,1195,1811,0,2329,0.859,0.863,0.934,1.218,1.435,1.189,1.074,0.964,0.849,0.935,1.329,1.276,1.46,1.36,1.24,1,0.93,1.07,1.63,1.44,01/03@10/01/02@10/01/03@10/01/05/01@10/01/05/03@11/02/03/04@11/04/01@11/04/03/01@11/04/03/11@16/03/03@16/19/03
1841,1081,1306,1621,0,2198,1369,2359,1261,0,1647,969,3113,975,2081,1234,1345,1799,0,2025,0.807,0.811,0.941,0.926,2.113,1.109,0.979,1.289,1.421,1.519,2.436,1.857,1.22,1.25,1.25,1.37,1.63,1.69,1.61,2.62,01/01/05@01/05@01/20/31@14/01
1526,1044,1159,2376,0,1695,1501,2054,1511,0,1383,948,1638,1058,2223,2673,1061,2586,0,2103,0.853,0.898,0.953,0.797,0.513,0.486,0.604,0.885,0.659,0.584,0.781,0.578,1.04,0.61,0.7,0.94,0.98,0.62,1.94,0.8,01/06/06/11@01/20
2280,1470,1035,2268,0,2452,1757,3089,1369,0,1450,1030,2398,1028,2894,2694,1451,1972,0,2582,0.908,0.96,0.948,1.191,1.165,1.128,0.979,0.92,0.959,0.816,1.262,1.126,1.33,1.18,1.02,0.94,1,0.92,1.4,1.31,01/03/16/01@12/07@16/01
2100,1651,1230,1900,0,2356,1167,2621,1375,0,1598,1027,1920,1132,3723,1910,1762,2142,0,2407,0.923,0.931,0.962,0.867,1.328,2.074,2.38,2.88,1.889,2.209,2.098,1.604,0.97,2.09,2.42,2.56,2.09,2.12,1.73,2.09,01/04@01/05@01/06/10@11/04/03@14/07/03@30/01@32/01/07
4791,3409,1212,3070,0,2588,1461,3379,1552,0,1642,965,3002,1108,1836,1022,1202,1872,0,2001,0.941,0.937,0.906,1.152,1.666,1.533,1.316,1.255,0.285,1.432,1.231,1.269,1.24,1.65,1.39,1.34,1.6,2.14,1.6,1.26,10/01/05@10/03/02@11/04/03/01@16/03/03
3592,2193,1234,1438,0,2558,1082,3278,1452,0,1492,854,3024,1199,2240,1262,1123,2956,0,4985,0.929,0.916,0.932,1.385,5.531,2.507,1.766,1.917,1.484,1.687,2.952,4.62,1.49,2.74,1.85,1.99,1.72,1.96,1.01,3.1,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
2163,1492,1228,2825,0,2034,1871,4409,1718,1,1572,1194,1708,1031,3305,4054,1422,1395,0,1401,0.872,0.959,0.914,1.034,0.712,0.565,1.509,0.529,0.564,0.636,0.513,0.57,1.14,0.65,1.16,0.55,0.71,0.68,1.4,0.51,99
2668,2235,1186,3954,0,2456,2038,2913,1639,0,1394,953,2175,920,3120,2382,1232,1584,0,2053,0.891,0.941,0.924,0.832,0.747,0.865,0.843,1.136,1.156,1.157,0.529,0.413,0.9,0.88,0.9,1.19,1.28,1.19,1.94,0.54,01/04@10/03/01@40/01@42/01
6869,5210,1258,6453,0,3480,6033,4628,1764,0,1979,2483,3843,1073,2269,2178,1081,2006,0,2607,0.928,0.9,0.914,1.129,0.774,0.406,0.554,0.358,0.48,0.659,0.366,0.478,1.24,0.42,0.59,0.42,0.51,0.79,0.87,0.39,14/04@20/09/07/03@20/09/16
4335,4075,1284,4638,0,2813,2307,3011,1474,0,1850,1168,3094,1248,2489,1845,1468,2233,0,2272,0.975,0.892,0.901,0.744,0.933,0.905,1.215,1.392,1.209,1.083,1.089,1.535,0.87,0.97,1.4,1.53,1.38,1.21,1.44,1.14,01/07/01@14/07/07@18/02/01
1980,1509,1153,1767,0,2118,1657,2182,1430,0,1434,965,1829,1112,1954,1982,1163,1327,0,1952,0.874,0.941,0.913,0.816,1.196,0.813,0.673,0.593,0.624,0.712,0.969,0.598,0.92,0.84,0.74,0.64,0.9,0.77,1.23,1,10/01/03/03@10/01/09/05@11/02/03/04@34/11/03/07
2400,1705,1190,1583,0,2386,1390,2507,1420,0,1486,1111,2149,1223,2174,30967,1131,822,0,1285,0.807,0.913,0.877,0.943,1.476,1.527,0.1,0.036,0.048,0.039,1.191,1.079,1.09,1.71,0.11,0.04,0.05,0.03,0.02,1.22,10/03/02@11/02/03/04
2139,1519,1297,1459,0,2120,1265,2498,1490,0,1575,1128,1923,1017,2280,3704,1371,2767,0,3849,0.871,0.918,0.895,0.942,1.882,1.477,0.373,0.264,0.297,0.379,1.855,0.932,1.08,1.59,0.39,0.29,0.35,0.4,0.74,1.91,01/03/04@01/04/04
2771,1795,1235,1665,0,2335,1212,2520,1447,0,1758,1126,2448,1188,2163,8705,1154,1440,0,1613,0.823,0.914,0.86,1.106,3.511,1.918,2.134,2.195,0.975,0.065,2.424,0.724,1.4,2.06,2.43,2.29,1.12,0.1,0.93,3.02,32/01@34/11/12
2507,2220,1109,988,0,2796,1289,3141,1488,0,1496,1026,2166,1163,3502,2599,1298,2324,0,2500,0.921,0.883,0.929,0.846,4.442,2.322,2.639,3.441,1.893,1.209,6.996,10.031,0.88,2.32,2.85,3.38,1.52,1.27,4,6.04,12/01/01@16/01
2863,2212,1241,2127,0,2694,1895,3217,1539,0,1515,1087,2358,1018,2936,5164,1212,1926,0,3127,0.907,0.936,0.929,0.946,1.185,1.1,1.099,0.507,0.412,0.41,1.753,2.368,1.06,1.17,1.13,0.56,0.47,0.42,1.31,1.76,01/05/03/03/04@20/09/07/03@42/01
1560,1103,1095,975,0,3145,3709,2043,1376,0,1618,1214,1592,1091,1925,1193,1411,1038,0,1468,0.805,0.863,0.715,0.818,1.317,0.618,1.041,0.984,0.246,1.38,0.812,0.491,0.96,0.64,1.25,1.33,0.87,1.71,2.16,0.86,01/03/04
6948,7393,1072,8425,0,6220,5791,6493,1397,0,1705,1508,3382,1316,10151,29401,1412,4303,0,2554,0.872,0.943,0.91,0.783,1.153,0.957,0.436,0.38,0.382,0.319,0.551,0.426,0.85,0.98,0.45,0.4,0.42,0.31,1.05,0.55,16/03/01@30/01/05/05@34/11/03/07
2740,2203,1401,2001,0,2778,1650,3460,1514,0,1547,1011,2368,1050,3315,2189,1137,1747,0,2985,0.856,0.904,0.858,0.853,1.551,1.524,1.79,2.221,1.593,1.442,2.363,2.78,0.97,1.55,2.13,2.32,1.84,1.51,1.73,2.34,12/01/01@42/16
