@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE g2                                      numeric
@ATTRIBUTE g2_bkg                                  numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE g5_bkg                                  numeric
@ATTRIBUTE r5_bkg                                  numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7_bkg                                  numeric
@ATTRIBUTE f7                                      numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE g2dashbkg                               numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r4dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
6232,2033,1092,0,5717,2246,4994,1357,0,3643,1112,2822,761,0,1501,1060,0,2158,1614,0,3694,850,636,0,0.89,0.82,1.14,3471,2531,2844,3637,2061,11/02/03/01/01@11/02/03/04
2913,2006,1079,0,3108,2277,1968,1271,0,1629,1080,1230,762,0,1513,1163,0,2148,1595,0,1392,796,584,0,1,1.03,1.19,831,549,596,697,468,99
7496,2818,1454,0,5509,2516,5154,1427,0,5222,1404,4837,889,0,1746,1121,0,2467,1528,0,4974,1324,1026,0,0.94,1.94,1.64,2993,3818,3650,3727,3948,20/01/01/01/01@20/01/03@20/01/07@20/03@20/09/16@20/09/18/07@34/01/01/01
2992,2052,1135,0,3617,2377,2658,1383,0,1765,1113,1769,793,0,1444,1238,0,2171,1493,0,1890,852,689,0,1.32,0.42,1.23,1240,652,1038,1275,976,01/04@01/05/02/07@16/19/03
17210,3463,2501,0,5052,2634,3841,1477,0,3370,1448,2549,911,0,1698,1166,0,2536,1610,0,2934,1060,751,0,1,1.07,1.11,2418,1922,1874,2364,1638,32/07
4389,2542,1359,0,3702,2580,2537,1506,0,3946,1814,3730,1390,0,1535,1091,0,2443,1809,0,2739,1163,796,0,0.97,1.03,1.3,1122,2132,1576,1031,2340,01/06@02/11/05@02/13@02/25@14/10@20/01/15
4252,1910,1008,0,4276,2307,3960,1392,0,2892,1068,2469,718,0,1385,1234,0,2202,1628,0,2582,772,599,0,0.95,1.31,1.67,1969,1824,1810,2568,1751,01/01/09/02/01@01/04
19060,1858,933,0,27097,2274,28849,1352,0,17548,1201,13505,813,0,1606,1317,0,2261,1444,0,22307,909,615,0,0.83,5.47,1.37,24823,16347,21398,27497,12692,12/01/01@12/04@14/10@16/01@43/01/03/05
2966,1845,976,0,3494,2224,2557,1255,0,1884,1039,1627,687,0,1347,1129,0,2035,1392,0,1815,807,647,0,1.09,0.71,1.47,1270,845,1008,1302,940,11/04/03/01@12/07@16/03/03
2652,1789,943,0,3122,2188,2208,1193,0,1522,974,1140,698,0,1323,1173,0,2035,1435,0,2754,831,605,0,1.1,0.52,1.32,934,548,1923,1015,442,01/01/03/05@01/01/06/06@01/01/09/07@16/19/03@20/01/07@20/01/27@20/03/02/03/01@20/03/22@20/09/13@32/05/01/03@32/07@42/25
5334,2449,1350,0,4806,2569,3442,1547,0,4925,1533,3861,1136,0,1502,1024,0,2417,1765,0,3352,1136,874,0,0.97,0.87,1.56,2237,3392,2216,1895,2725,01/05/25@14/07/02/02
4686,2404,1261,0,4331,2612,3483,1563,0,4426,1617,3670,1130,0,1491,1063,0,2400,1790,0,3527,1094,838,0,0.84,2.05,1.33,1719,2809,2433,1920,2540,01/05/03@01/05/25@02/19@42/01
3021,1846,1001,0,3559,2085,3084,1215,0,1918,1090,1709,798,0,1743,1707,0,2248,1858,0,1527,777,585,0,1.1,0.67,1.18,1474,828,750,1869,911,10/03/01@10/03/02
3734,2394,1217,0,3665,2603,2636,1554,0,3387,1532,3029,1136,0,1372,957,0,2375,1835,0,2710,1046,788,0,1.01,0.62,1.49,1062,1855,1664,1082,1893,10/01/03@10/03/01@14/10@14/13@16/01@18/01/07@18/02/01/02/03@40/01/03@40/20
3929,1877,1001,0,4841,2251,4035,1413,0,2958,1096,2844,762,0,1603,1619,0,2240,1804,0,2316,785,599,0,0.86,0.69,1.43,2590,1862,1531,2622,2082,14/07/11@14/13/01/01@16/01@18/01/07@18/02/01@32/01
5064,2374,1187,0,4798,2633,3675,1517,0,4339,1575,3011,1136,0,1385,1022,0,2381,1827,0,3229,1061,766,0,0.92,1.65,1.41,2165,2764,2168,2158,1875,01/04/04@10/03/01@16/01@18/02/01/02/05@34/11/03/07@40/01
7140,1821,998,0,5667,2131,5987,1163,0,6846,1146,4393,756,0,1536,1396,0,2292,1764,0,4670,784,593,0,0.86,1.43,1.27,3536,5700,3886,4824,3637,01/02@02/13/01@20/01/15@32/01@32/05/01/03
2695,1872,940,0,3142,2130,2198,1232,0,1529,952,1171,645,0,1192,1131,0,2114,1463,0,1494,783,574,0,1.09,0.46,1.08,1012,577,711,966,526,34/11/03/07@41/01/01@43/01/03/05
4000,2420,1233,0,4551,2816,3287,1603,0,3024,1360,2207,886,0,1727,1035,0,2488,1623,0,2762,1142,847,0,0.91,1.4,0.91,1735,1664,1620,1684,1321,14/10@16/01@20/09/18/09/01@40/01@42/04@43/01/03/05
3254,1854,928,0,3496,1974,2692,1063,0,1874,984,1528,679,0,1415,1344,0,2019,1585,0,1837,797,609,0,1.04,0.8,1.33,1522,890,1040,1629,849,11/02/01@11/02/02@11/02/03/01
2710,1748,929,0,3029,1922,1898,1052,0,1556,965,1633,689,0,1348,1295,0,2048,1705,0,1574,781,617,0,1.23,0.18,1.35,1107,591,793,846,944,02/07/01@11/04/02
4803,1791,969,0,5439,1963,4867,1166,0,3483,993,3098,666,0,1205,1342,0,2102,1701,0,2528,758,593,0,1.01,1.19,1.04,3476,2490,1770,3701,2432,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
3395,2361,1249,0,3619,2616,2539,1557,0,3033,1489,2723,1138,0,1385,989,0,2297,1781,0,2433,892,677,0,1.07,0.88,1.54,1003,1544,1541,982,1585,01/07/01@01/20/15/03@16/21/05@20/01/15
4748,1749,919,0,3921,1924,3377,1143,0,3306,991,2218,690,0,1369,1272,0,2088,1833,0,2552,772,692,0,0.86,0.37,1.28,1997,2315,1780,2234,1528,01/05@02/07/01@16/21/07
4936,2811,1334,0,3090,2053,2020,1162,0,3931,1284,3049,930,0,1873,1021,0,2118,1429,0,1808,957,664,0,1.11,1.04,0.93,1037,2647,851,858,2119,14/01@20/01/01/01/01@20/03@20/09/04
6717,2327,1213,0,7466,2787,6630,1652,0,6003,1389,4749,932,0,1650,1176,0,2368,1610,0,5149,1253,867,0,0.89,1.89,1.05,4679,4614,3896,4978,3817,20/09/07@20/09/18
6443,2318,1244,0,6114,2674,5185,1549,0,4667,1375,3600,968,0,1718,1293,0,2368,1564,0,4033,1160,835,0,0.87,1.17,1.08,3440,3292,2873,3636,2632,01/01/09/04/02@01/01/09/05/02@01/01/09/06/01@01/01/09/06/02@01/02/02/07@01/07/01@16/17/09
4581,2152,1123,0,4318,2438,3618,1521,0,3521,1283,3017,876,0,1408,1213,0,2318,1745,0,5492,974,729,0,0.85,0.62,1.3,1880,2238,4518,2097,2141,99
13884,2814,1439,0,8941,2375,7385,1400,0,12493,1514,11247,1190,0,1817,1090,0,2396,1753,0,5742,1095,750,0,1.07,1.24,0.96,6566,10979,4647,5985,10057,01/04@16/19/03@20/01/27@20/03/22@20/03/25@32/05/01/03
14398,2219,1261,0,10179,2448,12464,1401,0,10236,1322,14943,988,0,1552,1228,0,2198,1736,0,10242,914,667,0,0.88,0.89,1.52,7731,8914,9328,11063,13955,01/05@42/01
10516,2843,1340,0,6385,2250,5172,1268,0,8736,1208,5401,748,0,1687,976,0,2144,1143,0,5203,938,632,0,0.99,3.83,1.1,4135,7528,4265,3904,4653,14/01@16/01@32/01/07
3607,2187,1184,0,3921,2496,2793,1368,0,2344,1225,1654,813,0,1784,1202,0,2169,1405,0,2235,967,685,0,1.01,1.4,1.04,1425,1119,1268,1425,841,01/07/01
2758,2070,1090,0,3651,2586,2506,1481,0,1914,1254,1425,843,0,1659,1132,0,2120,1428,0,1848,875,661,0,1.4,0.69,1.39,1065,660,973,1025,582,01/05/25@11/02/03/04@16/03/01
4590,2097,1101,0,6409,2556,5519,1620,0,3691,1222,2919,830,0,1559,1241,0,2165,1481,0,3260,929,689,0,1.04,1.27,0.92,3853,2469,2331,3899,2089,01/05/02/04@01/05/02/07@01/05/03@02/16@02/19
8302,2606,1276,0,5406,2432,4492,1476,0,8977,1558,9926,1156,0,1767,1134,0,2332,1693,0,4465,1131,812,0,0.94,1.75,1.35,2974,7419,3334,3016,8770,01/06/02/02@14/04@20/09/07/03@40/10@40/20
4532,2512,1177,0,3586,2383,2373,1419,0,4323,1600,3167,1188,0,1807,1085,0,2287,1608,0,2696,1088,808,0,0.96,1.61,1.06,1203,2723,1608,954,1979,01/04@14/07/03@30/05@34/11/03/07@40/01@42/04@43/01/03/05
3815,2481,1172,0,3253,2420,2036,1363,0,2953,1582,2585,1164,0,1601,1029,0,2274,1662,0,2004,1090,744,0,1.13,0.92,1.41,833,1371,914,673,1421,11/02/03/04
10936,2542,1321,0,6173,2408,5249,1456,0,12960,1749,9019,1266,0,1668,1060,0,2305,1679,0,5983,1174,788,0,0.95,1.98,1.25,3765,11211,4809,3793,7753,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
3201,2189,1190,0,3498,2481,2418,1477,0,2013,1166,1255,817,0,1365,1041,0,2182,1663,0,1862,841,657,0,0.96,1.53,1.04,1017,847,1021,941,438,01/03/04@01/04@01/05/02/01@01/05/02/04@01/05/02/07@02/19@14/07/02
32004,2724,1354,0,13463,2374,15265,1365,0,20208,1551,18799,1120,0,1991,1169,0,2386,1333,0,16799,1206,797,0,0.89,7.24,1.08,11089,18657,15593,13900,17679,12/01/01@12/04@16/01
2750,2001,1038,0,3504,2449,2387,1397,0,1198,550,900,527,0,1667,1162,0,2217,1491,0,1660,881,632,0,1.28,0.73,1.16,1055,648,779,990,373,20/01/01/01@34/01/01
3742,2454,1132,0,4308,2327,3715,1249,0,3234,1260,2637,819,0,1724,1005,0,2077,1255,0,1808,1030,726,0,1.38,1.2,1.08,1981,1974,778,2466,1818,16/01@20/09/13
2578,2002,1000,0,3201,2264,1993,1174,0,1527,1105,1130,722,0,1660,1246,0,1960,1255,0,1351,856,623,0,1.37,0.78,1.14,937,422,495,819,408,01/03/16/03@10/01/05/03/01@10/03/02/01
2662,1990,1048,0,3413,2287,2379,1274,0,1617,1094,1285,714,0,1550,1218,0,2058,1339,0,1582,836,618,0,1.18,0.37,1.33,1126,523,746,1105,571,99
2776,2073,1098,0,3173,2393,2281,1460,0,1642,1078,1732,731,0,1320,1114,0,2160,1583,0,1602,841,660,0,1.17,0.75,2.27,780,564,761,821,1001,30/01/05/05/01@30/05/01@32/01/05@34/11/09@42/01@42/04/03
4722,2102,1136,0,4538,2377,3913,1483,0,2503,1060,2047,726,0,1594,1111,0,2098,1465,0,2381,880,660,0,1.02,1.16,0.96,2161,1443,1501,2430,1321,14/13@16/01@42/01
2725,2021,1105,0,3360,2426,2365,1495,0,1551,1078,1163,751,0,1447,1121,0,2116,1529,0,1576,885,620,0,1.11,0.34,1.18,934,473,691,870,412,01/04@01/05/07@01/06
3938,2028,1050,0,4429,2557,3700,1566,0,2696,1143,2120,786,0,1543,1065,0,2149,1660,0,2595,857,639,0,0.82,1.04,1.56,1872,1553,1738,2134,1334,11/04/01@16/03/03
6679,2759,1547,0,13195,3034,16449,2618,1,6234,1858,4651,1436,0,1661,1067,0,2558,1792,0,4538,1267,897,0,1.01,1.36,0.75,10161,4376,3271,13831,3215,01/04@16/19/03@20/01/03@20/01/13@20/03/25@34/11/03
3048,2051,1079,0,3473,2498,2431,1566,0,1913,1118,1445,784,0,1358,1097,0,2138,1596,0,1783,811,616,0,1.12,0.87,1.45,975,795,972,865,661,01/01@20/01/07@20/09/18
2766,1973,1074,0,3353,2289,2266,1318,0,1629,1048,1238,694,0,1550,1122,0,2028,1328,0,1638,900,649,0,1.36,0.87,1.19,1064,581,738,948,544,11/04/03/01
6087,1947,1048,0,7040,2340,6650,1340,0,3396,1145,2953,774,0,1461,1164,0,1998,1323,0,3792,910,713,0,0.95,0.98,1.08,4700,2251,2882,5310,2179,32/01@42/27/03
3179,2324,1196,0,3209,2419,2014,1400,0,3029,1600,2372,1148,0,1562,1015,0,2322,1704,0,2412,1132,801,0,1.4,0.98,1.47,790,1429,1280,614,1224,01/07/01
3785,1923,1006,0,4614,2296,3740,1367,0,2327,1130,1714,802,0,1503,1074,0,2094,1584,0,1995,804,583,0,1.06,1.21,1.02,2318,1197,1191,2373,912,11/02/03/01@11/02/03/04@11/04/02
6164,2000,1099,0,7417,2302,8079,1335,0,6854,1146,6552,802,0,1550,1166,0,2177,1625,0,8146,832,572,0,0.68,3.84,1.54,5115,5708,7314,6744,5750,12/01/01@12/04@16/01
2971,1876,1028,0,3887,2230,3164,1256,0,1849,1075,1540,715,0,1499,1254,0,1989,1299,0,2047,882,639,0,1.13,0.82,1.41,1657,774,1165,1908,825,14/04@20/09/07@20/09/13@42/25
2552,1857,999,0,3299,2272,2195,1211,0,1619,1096,1182,703,0,1361,1084,0,1987,1323,0,1819,868,624,0,1.47,0.82,1.33,1027,523,951,984,479,10/01/09/05@10/03/02@10/03/04/03@16/01
17802,3012,1568,0,3227,2505,1855,1413,0,1867,1356,1228,830,0,1832,1227,0,2412,1552,0,4527,1362,1108,3,0.93,0.56,0.93,722,511,3165,442,398,10/01/05/01@11/04/03@12/04@16/03/03@20/01/21
3027,1909,984,0,3995,2202,3244,1242,0,1770,1083,1506,724,0,1511,1178,0,2140,1435,0,1934,869,611,0,1.04,0.57,1.11,1793,687,1065,2002,782,20/09/18/09/01@40/01@42/04/03@43/01/03/05
11062,2695,1425,0,10305,2508,11724,1434,0,10469,1412,8811,931,0,1650,1115,0,2467,1504,0,10797,1239,830,0,0.92,3.03,1.35,7797,9057,9558,10290,7880,12/04@12/10@16/03@16/19/03
2020,1793,928,0,2303,2082,1380,1169,0,1206,1077,850,731,0,1346,1104,0,2007,1315,0,895,821,593,0,1.09,1,0.93,221,129,74,211,119,12/10
5972,2614,1380,0,5902,2693,4383,1561,0,5474,1397,5036,866,0,1707,1087,0,2577,1527,0,5242,1098,748,0,1.27,2.52,1.39,3209,4077,4144,2822,4170,12/01/01@12/04@16/01@16/17/09
6180,2473,1296,0,5559,2683,4635,1681,0,5853,1778,5340,1457,0,1530,1073,0,2521,1791,0,3681,1164,810,0,1,1.44,1.37,2876,4075,2517,2954,3883,01/04@02/45/11@10/03/01/01/11@10/03/03@10/03/04/09@16/01@16/19/03@20/09/14/02@20/09/16/09/03@32/01/03@34/05/01@34/05/02@40/01/03/01@40/01/03/03@42/02@42/04@42/27/01@43/01/03/05
4444,2003,1123,0,3893,2306,3330,1359,0,2834,1042,2182,696,0,1438,1137,0,2140,1552,0,2631,801,599,0,0.88,1.21,1.25,1587,1792,1830,1971,1486,14/07/11@16/17/09
9134,1968,1147,0,7072,2283,6933,1319,0,6297,1043,7097,708,0,1338,1239,0,2158,1505,0,5855,798,631,0,0.93,1.32,1.85,4789,5254,5057,5614,6389,02/11@02/45/15@16/17@20/01/01/01@20/01/15@20/03/01/01@20/03/22@20/09/13@34/01/01/03@34/11/03/13
6621,2410,1309,0,5455,2568,4440,1545,0,7845,2056,6875,1833,0,1596,1039,0,2574,1862,0,5452,1142,773,0,0.89,1.63,1.12,2887,5789,4310,2895,5042,14/07/11@14/13/01/01
3857,1908,1051,0,3791,2243,3422,1269,0,2777,1047,3157,702,0,1220,1273,0,2190,1666,0,2406,791,615,0,0.93,0.5,1.69,1548,1730,1615,2153,2455,14/07/11@14/13/04/02
3202,2338,1228,0,3322,2583,2138,1490,0,2617,1583,1965,1172,0,1483,960,0,2362,1714,0,2047,1010,707,0,1.31,1.18,1.75,739,1034,1037,648,793,10/01/02@10/01/05@16/19/03
3717,2459,1274,0,3828,2670,2595,1632,0,2922,1638,2140,1222,0,1406,1056,0,2441,1800,0,2651,1067,794,0,1.11,0.7,1.72,1158,1284,1584,963,918,01/01/03/03/01@01/04
3222,1812,950,0,3423,2128,2488,1181,0,2019,1037,1467,687,0,1311,1203,0,2020,1301,0,1989,798,596,0,1.25,0.96,1.14,1295,982,1191,1307,780,12/04/03
4121,1828,953,0,5532,2174,4534,1308,0,3116,1050,2434,698,0,1413,1146,0,2074,1386,0,2826,813,600,0,1.15,1.52,1.06,3358,2066,2013,3226,1736,01/01@01/05@02/16@10/01/05/03/01
3725,1780,901,0,3901,2046,3059,1196,0,2123,1047,1533,681,0,1274,1151,0,2054,1456,0,1978,770,579,0,1.29,1,1.12,1855,1076,1208,1863,852,11/02/03/01@11/02/03/04
4704,2499,1250,0,7669,2684,7263,1630,0,3883,1251,3006,796,0,1785,1177,0,2288,1477,0,4633,1144,762,0,0.89,1.25,1.25,4985,2632,3489,5633,2210,01/05/11/07/01@01/06/06/11@01/20/35/01@16/21/05@16/21/07@20/01/15@32/07/01
3970,1818,944,0,3845,2184,2913,1150,0,2310,1011,1945,682,0,1287,1206,0,2080,1425,0,2285,772,553,0,1.11,1.06,1.33,1661,1299,1513,1763,1263,01/04@01/05@01/06@32/01/01@32/01/03
9079,1843,1069,0,8282,2113,7541,1224,0,5993,1094,4398,762,0,1465,1288,0,2330,1843,0,5544,817,630,0,1.04,1.58,0.82,6169,4899,4727,6317,3636,01/01@01/05/25@02/19@14/07/11@14/13/01@16/17/09
4503,2398,1297,0,4336,2659,3634,1644,0,4307,1594,4501,1244,0,1401,1038,0,2440,1836,0,3160,1054,804,0,1.03,0.64,1.45,1677,2713,2106,1990,3257,10/03/01@14/04@20/01/01/01/01@20/09/04@20/09/18/07@34/01/01/01
14190,1833,965,0,13462,2101,9573,1219,0,9178,1032,5347,700,0,1268,1303,0,2340,1835,0,5866,754,607,0,1.04,0.52,0.85,11361,8146,5112,8354,4647,99
4348,1810,966,0,4830,2196,3545,1203,0,2641,997,2333,675,0,1293,1366,0,2288,1790,0,2317,737,596,0,1,0.59,1.05,2634,1644,1580,2342,1658,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
4656,2452,1325,0,4918,2957,3363,1742,0,3028,1429,2127,902,0,1685,1276,0,2582,1731,0,2541,1211,850,0,1.17,1.17,0.83,1961,1599,1330,1621,1225,11/02/03/01@11/02/03/04
5577,1875,992,0,5436,2009,4223,1112,0,3256,979,2159,672,0,1330,1313,0,2071,1405,0,2946,788,574,0,1.03,1.29,0.85,3427,2277,2158,3111,1487,99
10845,2478,1316,0,12565,2864,14172,1644,0,10556,1437,8049,955,0,1747,1285,0,2496,1556,0,9908,1640,982,0,0.78,3.44,1.08,9701,9119,8268,12528,7094,16/01@18/02/01/01@32/01/07@32/05/01
