@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1                                      numeric
@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE g2                                      numeric
@ATTRIBUTE g2_bkg                                  numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g3                                      numeric
@ATTRIBUTE g3_bkg                                  numeric
@ATTRIBUTE r3                                      numeric
@ATTRIBUTE r3_bkg                                  numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE g5_bkg                                  numeric
@ATTRIBUTE r5_bkg                                  numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7_bkg                                  numeric
@ATTRIBUTE f7                                      numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g2_ratio                                numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g5_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r4_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g1dashbkg                               numeric
@ATTRIBUTE g2dashbkg                               numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r3dashbkg                               numeric
@ATTRIBUTE r4dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
6180,2473,5009,1296,0,5559,2683,4635,1681,0,5895,2189,6890,1785,5853,1778,5340,1457,0,1530,1073,0,5070,2521,1791,0,3681,1164,810,0,1,0.97,0.73,1.05,1.23,1.44,1.37,0.95,0.73,0.69,3707,2876,4075,2517,3713,2954,5105,3883,01/04@02/45/11@10/03/01/01/11@10/03/03@10/03/04/09@16/01@16/19/03@20/09/14/02@20/09/16/09/03@32/01/03@34/05/01@34/05/02@40/01/03/01@40/01/03/03@42/02@42/04@42/27/01@43/01/03/05
4444,2003,3912,1123,0,3893,2306,3330,1359,0,3857,1435,4174,1160,2834,1042,2182,696,0,1438,1137,0,3745,2140,1552,0,2631,801,599,0,0.88,0.81,0.8,1.21,1.25,1.21,1.25,0.83,1.2,0.83,2441,1587,1792,1830,2789,1971,3014,1486,14/07/11@16/17/09
9134,1968,8884,1147,0,7072,2283,6933,1319,0,6384,1427,10343,1101,6297,1043,7097,708,0,1338,1239,0,6450,2158,1505,0,5855,798,631,0,0.93,0.85,0.54,0.82,0.83,1.32,1.85,1.22,1.2,0.76,7166,4789,5254,5057,7737,5614,9242,6389,02/11@02/45/15@16/17@20/01/01/01@20/01/15@20/03/01/01@20/03/22@20/09/13@34/01/01/03@34/11/03/13
6621,2410,6026,1309,0,5455,2568,4440,1545,0,17929,5799,22658,8993,7845,2056,6875,1833,0,1596,1039,0,5478,2574,1862,0,5452,1142,773,0,0.89,1,0.89,1.15,1.16,1.63,1.12,0.87,1.03,0.61,4211,2887,5789,4310,4717,2895,13665,5042,14/07/11@14/13/01/01
3857,1908,3150,1051,0,3791,2243,3422,1269,0,3951,1459,5385,1141,2777,1047,3157,702,0,1220,1273,0,3764,2190,1666,0,2406,791,615,0,0.93,0.72,0.59,0.7,0.88,0.5,1.69,1.43,2.08,2,1949,1548,1730,1615,2099,2153,4244,2455,14/07/11@14/13/04/02
3202,2338,1888,1228,0,3322,2583,2138,1490,0,9150,2450,13952,2163,2617,1583,1965,1172,0,1483,960,0,3171,2362,1714,0,2047,1010,707,0,1.31,1.14,0.57,1.3,1.4,1.18,1.75,0.77,1.3,0.85,864,739,1034,1037,660,648,11789,793,10/01/02@10/01/05@16/19/03
3717,2459,2409,1274,0,3828,2670,2595,1632,0,10094,2437,15552,2275,2922,1638,2140,1222,0,1406,1056,0,3618,2441,1800,0,2651,1067,794,0,1.11,1.2,0.58,1.4,1.45,0.7,1.72,0.71,1.52,1.43,1258,1158,1284,1584,1135,963,13277,918,01/01/03/03/01@01/04
3222,1812,2080,950,0,3423,2128,2488,1181,0,1678,1143,1415,810,2019,1037,1467,687,0,1311,1203,0,3121,2020,1301,0,1989,798,596,0,1.25,0.99,0.88,1.26,1.11,0.96,1.14,0.79,1.67,1.04,1410,1295,982,1191,1130,1307,605,780,12/04/03
4121,1828,2942,953,0,5532,2174,4534,1308,0,2924,1254,2668,883,3116,1050,2434,698,0,1413,1146,0,4844,2074,1386,0,2826,813,600,0,1.15,1.04,0.94,1.19,1.14,1.52,1.06,0.84,0.69,0.66,2293,3358,2066,2013,1989,3226,1785,1736,01/01@01/05@02/16@10/01/05/03/01
3725,1780,2403,901,0,3901,2046,3059,1196,0,1849,1206,1579,858,2123,1047,1533,681,0,1274,1151,0,4149,2054,1456,0,1978,770,579,0,1.29,1,0.89,1.26,1.1,1,1.12,0.79,0.9,1,1945,1855,1076,1208,1502,1863,721,852,11/02/03/01@11/02/03/04
4704,2499,3741,1250,0,7669,2684,7263,1630,0,7938,1582,9048,1114,3883,1251,3006,796,0,1785,1177,0,5026,2288,1477,0,4633,1144,762,0,0.89,0.88,0.8,1.19,1.36,1.25,1.25,0.84,0.95,0.8,2205,4985,2632,3489,2491,5633,7934,2210,01/05/11/07/01@01/06/06/11@01/20/35/01@16/21/05@16/21/07@20/01/15@32/07/01
3970,1818,2885,944,0,3845,2184,2913,1150,0,2006,1160,1892,757,2310,1011,1945,682,0,1287,1206,0,3981,2080,1425,0,2285,772,553,0,1.11,0.94,0.75,1.03,0.84,1.06,1.33,0.97,1.85,0.94,2152,1661,1299,1513,1941,1763,1135,1263,01/04@01/05@01/06@32/01/01@32/01/03
9079,1843,8053,1069,0,8282,2113,7541,1224,0,6565,1417,5304,1077,5993,1094,4398,762,0,1465,1288,0,9112,2330,1843,0,5544,817,630,0,1.04,0.98,1.22,1.35,1.33,1.58,0.82,0.74,0.64,0.63,7236,6169,4899,4727,6984,6317,4227,3636,01/01@01/05/25@02/19@14/07/11@14/13/01@16/17/09
4503,2398,3334,1297,0,4336,2659,3634,1644,0,6882,2148,8518,1695,4307,1594,4501,1244,0,1401,1038,0,4074,2440,1836,0,3160,1054,804,0,1.03,0.84,0.69,0.83,1.05,0.64,1.45,1.2,1.2,1.56,2105,1677,2713,2106,2037,1990,6823,3257,10/03/01@14/04@20/01/01/01/01@20/09/04@20/09/18/07@34/01/01/01
14190,1833,12843,965,0,13462,2101,9573,1219,0,7833,1320,6509,1001,9178,1032,5347,700,0,1268,1303,0,16180,2340,1835,0,5866,754,607,0,1.04,1.36,1.18,1.75,1.31,0.52,0.85,0.57,0.72,1.92,12357,11361,8146,5112,11878,8354,5508,4647,99
4348,1810,3508,966,0,4830,2196,3545,1203,0,3413,1387,3161,1031,2641,997,2333,675,0,1293,1366,0,5433,2288,1790,0,2317,737,596,0,1,1.12,0.95,0.99,0.96,0.59,1.05,1.01,2.44,1.69,2538,2634,1644,1580,2542,2342,2130,1658,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
4656,2452,3215,1325,0,4918,2957,3363,1742,0,2792,1675,2164,1243,3028,1429,2127,902,0,1685,1276,0,4401,2582,1731,0,2541,1211,850,0,1.17,1.21,1.21,1.31,1.4,1.17,0.83,0.76,1.01,0.85,2204,1961,1599,1330,1890,1621,921,1225,11/02/03/01@11/02/03/04
5577,1875,4570,992,0,5436,2009,4223,1112,0,2991,1215,2332,809,3256,979,2159,672,0,1330,1313,0,5678,2071,1405,0,2946,788,574,0,1.03,1.1,1.17,1.53,1.32,1.29,0.85,0.65,0.72,0.78,3702,3427,2277,2158,3578,3111,1523,1487,99
10845,2478,12082,1316,0,12565,2864,14172,1644,0,12588,1607,12987,1152,10556,1437,8049,955,0,1747,1285,0,9767,2496,1556,0,9908,1640,982,0,0.78,0.77,0.93,1.29,1.48,3.44,1.08,0.78,0.41,0.29,8367,9701,9119,8268,10766,12528,11835,7094,16/01@18/02/01/01@32/01/07@32/05/01
5110,1761,3798,956,0,6848,1960,5541,1055,0,3568,1185,3050,767,3874,961,2769,657,0,1495,1312,0,7549,1983,1344,0,3179,769,593,0,1.18,1.09,1.04,1.38,1.43,1.09,0.96,0.72,0.81,0.92,3349,4888,2913,2410,2842,4486,2283,2112,01/03@10/01/02@10/01/03@10/01/05/01@10/01/05/03@11/02/03/04@11/04/01@11/04/03/01@11/04/03/11@16/03/03@16/19/03
6016,2233,5231,1222,0,7211,2721,7464,1659,0,5423,1648,6213,1203,5361,1396,4265,884,0,1713,1188,0,5515,2411,1513,0,4915,1196,813,0,0.94,0.77,0.75,1.17,1.31,2.1,1.33,0.85,0.74,0.48,3783,4490,3965,3719,4009,5805,5010,3381,01/01/05@01/05@01/20/31@14/01
5004,2319,4604,1304,0,4912,2687,4395,1673,0,8073,2214,8988,1795,5026,1522,3396,1076,0,1338,976,0,4222,2296,1801,0,3809,976,692,0,0.81,0.82,0.81,1.51,1.43,1.74,1.23,0.66,0.72,0.57,2685,2225,3504,2833,3300,2722,7193,2320,01/06/06/11@01/20
7630,2193,7152,1215,0,8007,2689,7613,1613,0,5940,1852,5900,1488,4572,1294,3911,946,0,1345,1175,0,7372,2336,1781,0,4530,995,697,0,0.92,0.89,0.93,1.11,1.27,1.21,1.08,0.9,0.75,0.83,5437,5318,3278,3535,5937,6000,4412,2965,01/03/16/01@12/07@16/01
5065,2674,3710,1287,0,3507,2251,2419,1288,0,3306,1512,2683,1126,4938,1444,3368,994,0,1801,1048,0,4482,2225,1536,0,2083,1046,736,0,0.99,1.11,1.15,1.47,1.67,1.44,0.87,0.68,0.78,0.69,2391,1256,3494,1037,2423,1131,1557,2374,01/04@01/05@01/06/10@11/04/03@14/07/03@30/01@32/01/07
3267,2151,2130,1039,0,4380,2510,3796,1506,0,3069,1428,3441,968,2540,1174,2140,818,0,1849,1175,0,3181,1948,1235,0,2453,939,666,0,1.02,0.82,0.66,1.03,0.88,0.67,1.52,0.97,1.49,1.49,1116,1870,1366,1514,1091,2290,2473,1322,10/01/05@10/03/02@11/04/03/01@16/03/03
6522,2102,5400,1101,0,8029,2566,8248,1517,0,3744,1422,4864,1006,4518,1247,8419,893,0,1706,1232,0,4958,2173,1454,0,3902,998,799,0,1.03,0.81,0.6,0.43,0.44,0.52,1.67,2.33,3.45,1.92,4420,5463,3271,2904,4299,6731,3858,7526,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
7681,2596,6357,1273,0,4088,2444,2776,1435,0,3181,1597,2981,1248,4421,1498,3631,1105,0,1834,1223,0,4751,2239,1570,0,2725,1012,710,0,1,1.23,0.91,1.16,1.35,1.41,1.1,0.86,1.02,0.71,5085,1644,2923,1713,5084,1341,1733,2526,99
3375,2145,2286,1132,0,3586,2437,2751,1413,0,3167,1565,3571,1191,2008,1170,1599,819,0,1221,977,0,2951,2136,1622,0,1961,812,623,0,1.07,0.86,0.67,1.07,1.47,0.83,1.49,0.93,1.32,1.2,1230,1149,838,1149,1154,1338,2380,780,01/04@10/03/01@40/01@42/01
3851,2148,2979,1127,0,4402,2342,3706,1399,0,2858,1412,2735,965,2932,1255,2736,855,0,1603,1182,0,3174,2122,1403,0,2735,934,689,0,0.92,0.89,0.82,0.89,0.74,0.97,1.22,1.12,1.52,1.03,1703,2060,1677,1801,1852,2307,1770,1881,14/04@20/09/07/03@20/09/16
5754,2656,3920,1292,0,3937,2272,2635,1228,0,3864,1415,3893,1065,3609,1322,2820,819,0,1575,946,0,5244,2341,1279,0,3060,1046,717,0,1.18,1.18,0.87,1.14,1.34,1.41,1.15,0.88,1.03,0.71,3098,1665,2287,2014,2628,1407,2828,2001,01/07/01@14/07/07@18/02/01
3483,2127,2474,1149,0,3591,2445,2751,1525,0,3357,1585,3662,1272,2673,1196,2036,801,0,1196,1012,0,2913,2204,1662,0,2142,873,662,0,1.02,0.93,0.74,1.2,1.33,1.07,1.35,0.83,1.33,0.93,1356,1146,1477,1269,1325,1226,2390,1235,10/01/03/03@10/01/09/05@11/02/03/04@34/11/03/07
2976,2137,1967,1170,0,3161,2311,2268,1439,0,2585,1611,2825,1289,1683,1153,1304,794,0,1292,1041,0,2645,2132,1579,0,1493,856,629,0,1.05,1.03,0.63,1.04,1.17,0.53,1.59,0.96,1.43,1.89,839,850,530,637,797,829,1536,510,10/03/02@11/02/03/04
9919,2201,10294,1225,0,9980,2639,9429,1663,0,8466,1762,9291,1449,6395,1174,3998,822,0,1677,1151,0,7157,2426,1824,0,7770,970,669,0,0.85,0.95,0.85,1.64,1.59,5.08,1.18,0.61,0.27,0.2,7718,7341,5221,6800,9069,7766,7842,3176,01/03/04@01/04/04
3832,2418,2227,1151,0,3635,2349,2218,1261,0,2305,1343,2007,951,3057,1336,2255,864,0,1632,965,0,4465,2258,1371,0,5091,2486,3243,3,1.31,1.34,0.91,1.24,1.2,0.62,1.1,0.81,1.32,1.61,1414,1286,1721,2605,1076,957,1056,1391,32/01@34/11/12
11361,2599,9900,1324,0,7905,2623,6181,1595,0,11043,1918,9320,1482,13307,1856,10878,1540,0,1808,1127,0,7852,2467,1730,0,7854,1256,896,0,1.02,1.15,1.16,1.23,1.28,4.14,0.86,0.81,0.43,0.24,8762,5282,11451,6598,8576,4586,7838,9338,12/01/01@16/01
5299,2094,4836,1117,0,4978,2455,4422,1481,0,5453,1608,6699,1221,3741,1155,3443,780,0,1391,1061,0,3694,2129,1557,0,3779,835,649,0,0.86,0.86,0.7,0.97,1.14,1.35,1.43,1.03,1.1,0.74,3205,2523,2586,2944,3719,2941,5478,2663,01/05/03/03/04@20/09/07/03@42/01
3866,2437,2371,1249,0,6820,3203,7720,2524,1,3547,1888,3764,1387,3608,1626,2950,1214,0,1727,1012,0,4167,2378,1758,0,2757,1138,776,0,1.27,0.7,0.7,1.14,1.35,1.33,1.43,0.88,1.2,0.75,1429,3617,1982,1619,1122,5196,2377,1736,01/03/04
4299,2432,3020,1232,0,11681,3917,13977,2556,0,6429,1930,8243,1495,5172,1855,4942,1590,0,1585,976,0,4590,2450,1774,0,3764,1191,863,0,1.04,0.68,0.67,0.99,1.11,0.81,1.49,1.01,1.67,1.23,1867,7764,3317,2573,1788,11421,6748,3352,16/03/01@30/01/05/05@34/11/03/07
4413,1994,3661,1092,0,4391,2516,3613,1470,0,4064,1570,3884,1220,2789,1112,2725,748,0,1503,1114,0,3379,2069,1581,0,2614,769,608,0,0.94,0.87,0.94,0.85,0.93,0.76,1.06,1.18,1.96,1.32,2419,1875,1677,1845,2569,2143,2664,1977,12/01/01@42/16
4971,2504,3824,1306,0,12997,2540,16063,1473,0,5160,1935,4837,1497,4648,2060,3380,1494,0,1716,1032,0,3950,2436,1771,0,2839,1080,784,0,0.98,0.72,0.97,1.37,1.6,2.08,1.03,0.73,0.72,0.48,2467,10457,2588,1759,2518,14590,3340,1886,11/02/01@11/04/01@11/06/01@12/01/01@16/03/03
5383,2481,3982,1163,0,4271,2392,3168,1322,0,3254,1373,3159,982,4632,1694,4151,1218,0,1573,1024,0,4763,2218,1378,0,5087,2838,3262,0,1.03,1.02,0.86,1,1.24,0.86,1.16,1,1.18,1.16,2902,1879,2938,2249,2819,1846,2177,2933,10/03/01/01@10/03/02/01@43/01/03/09
4524,2516,3194,1212,0,4239,2447,3042,1359,0,3509,1356,3394,995,6049,1379,5504,886,0,1810,1140,0,4441,2241,1313,0,4872,2486,2116,0,1.01,1.06,0.9,1.01,1.28,0.77,1.11,0.99,0.89,1.3,2008,1792,4670,2386,1982,1683,2399,4618,99
2760,1841,1694,925,0,3503,2327,2308,1254,0,1736,1178,1422,844,1702,1065,1244,687,0,1406,1120,0,2902,2012,1267,0,1624,869,615,0,1.2,1.12,0.97,1.14,1.48,0.86,1.03,0.88,1.33,1.16,919,1176,637,755,769,1054,578,557,10/01/05/03/01@10/03/02/01
16673,2702,15823,1379,0,14254,2630,13027,1466,0,6259,1445,5354,1066,12136,1446,10294,920,0,1928,1135,0,12250,2354,1438,0,16835,9092,11260,3,0.97,1.01,1.12,1.14,1.13,1.04,0.89,0.88,0.8,0.96,13971,11624,10690,7743,14444,11561,4288,9374,99
4597,2450,3361,1256,0,4308,2513,3059,1601,0,6320,3573,8279,4588,6556,3608,6584,3189,0,1686,1088,0,4759,2579,1820,0,2832,1160,820,0,1.02,1.23,0.74,0.87,1.13,1.36,1.35,1.15,0.69,0.74,2147,1795,2948,1672,2105,1458,3691,3395,10/03/01@42/04/05
36822,2662,37994,1506,0,30707,2761,34896,1844,0,34824,4845,42407,6626,46938,7596,49046,8130,0,1804,1246,0,32170,2750,1925,0,38856,1338,1008,0,0.94,0.85,0.84,0.96,0.85,2.38,1.19,1.04,0.74,0.42,34160,27946,39342,37518,36488,33052,35781,40916,01/05/02/04@01/05/02/07@01/20/15@02/01@16/01@16/17/07
4116,1839,3574,940,0,4113,2197,3114,1303,0,3382,1320,3593,1030,2683,1080,2243,744,0,1386,1207,0,3740,2088,1538,0,2411,793,573,0,0.86,1.06,0.8,1.07,0.94,1.19,1.25,0.93,0.96,0.84,2277,1916,1603,1618,2634,1811,2563,1499,20/01/01/01/01@20/09/18/07@34/01/01/01
11876,3168,11488,1652,0,3636,2630,2187,1434,0,2018,1395,1688,948,2194,1338,1773,832,0,3818,4810,1,3689,2483,1614,0,6365,1126,824,3,0.89,1.34,0.84,0.91,0.64,0.65,1.19,1.1,1.49,1.54,8708,1006,856,5239,9836,753,740,941,01/02@01/06@01/20/33@14/01@16/21/05
22635,2975,22639,1621,0,3831,2499,2607,1432,0,2463,1335,2186,994,2489,1260,1934,785,0,1769,1143,0,4230,2424,1607,0,6635,1136,820,3,0.94,1.13,0.95,1.07,1,0.63,1.05,0.93,1.22,1.59,19660,1332,1229,5499,21018,1175,1192,1149,11/02/03/04@34/11/03
3138,2370,1532,1146,0,3931,2615,2807,1481,0,1939,1344,1653,921,2089,1293,1458,816,0,1600,1005,0,3430,2299,1467,0,4629,1086,790,3,1.99,0.99,0.81,1.24,1.31,0.59,1.23,0.81,1.52,1.69,768,1316,796,3543,386,1326,732,642,10/03/02@14/10@43/01/03/09
2662,1837,1616,946,0,3136,2209,2064,1281,0,2227,1411,1781,1065,1513,1060,1078,706,0,1433,1192,0,2986,2140,1539,0,1326,801,630,0,1.23,1.18,1.14,1.22,1.31,0.88,0.88,0.82,1.05,1.14,825,927,453,525,670,783,716,372,12/04/03
3182,1847,2327,1001,0,3343,2189,2569,1233,0,2258,1365,2378,1026,1923,1034,1665,690,0,1366,1181,0,3212,2147,1809,0,1703,773,592,0,1.01,0.86,0.66,0.91,0.89,0.43,1.52,1.1,4.35,2.33,1335,1154,889,930,1326,1336,1352,975,14/13/04@16/01@20/09@42/25
15274,2515,15422,1297,0,10867,2855,9534,1722,0,9131,1598,9428,1155,12238,1394,9820,889,0,1781,1376,0,13921,2599,1682,0,10431,1495,1074,0,0.9,1.03,0.91,1.21,1.27,2.15,1.1,0.83,0.68,0.47,12759,8012,10844,8936,14125,7812,8273,8931,01/05@14/13/01/01@16/13
