@RELATION 'derisi0.names'

@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1229,0,1824,0,2271,1616,1104,0,0,2510,0,1975,1023,1.68,655,952,01/01
1102,0,2051,0,3217,1077,748,0,0,2198,0,2901,833,1.03,2140,2068,01/04@01/06@14/04@20/09/13@32/01@42/25
1221,0,1914,0,2660,1458,1100,0,0,2547,0,2192,1097,1.64,1202,1095,32/07
1047,0,1837,0,2298,1082,727,0,0,2114,0,2181,785,0.94,1216,1396,01/01/09/07/01@01/04
1047,0,1836,0,1512,1046,707,0,0,2161,0,1443,869,1.49,466,574,10/01/03@10/01/05/01@10/03/01/01/09@10/03/04/03
1048,0,2243,0,1837,1142,806,0,0,2236,0,1700,781,1.28,695,919,11/02/03/04@16/11@18/02/09@34/11/03@34/11/12
1152,0,1397,0,4353,1082,754,0,0,2149,0,4789,892,1.08,3271,3897,01/04/04@11/02/03/04@16/03/01@32/01/11
1220,0,1563,0,4486,1796,1342,0,0,2539,0,2386,1158,1.6,2690,1228,10/01/09/05@10/03/01@11/02/03/04
1236,0,2158,0,3456,1580,1252,0,0,2485,0,2539,1139,1.11,1876,1400,14/01
1267,0,2210,0,3041,1554,1143,0,0,2526,0,2173,980,1.2,1487,1193,20/01/01/07@20/01/03@20/03@20/09/04@42/16
1234,0,2175,0,4283,1562,1204,0,0,2444,0,2827,1038,1.1,2721,1789,01/07/01
1004,0,2077,0,7319,1092,739,0,0,2159,0,6236,903,0.85,6227,5333,14/07/11@14/13/01/01@16/01@32/01
1248,0,1955,0,4956,1560,1211,0,0,2519,0,3607,1138,1.08,3396,2469,14/10@16/01@20/01/10@20/09/07/03@20/09/07/25@42/09
1068,0,2082,0,4639,1069,772,0,0,2154,0,3772,804,0.74,3570,2968,10/03/01@14/07/11@14/13/01/01@32/01
1291,0,1634,0,7778,1538,1112,0,0,2695,0,8154,1326,0.88,6240,6828,01/04@01/05/02/04@01/05/02/07@01/05/25@02/01/03@16/01@16/19/03@20/01/03@20/09/18@43/01/03/09
1343,0,2230,0,5802,1482,1082,0,0,2515,0,4559,1044,0.93,4320,3515,01/03/16/01@11/04@14/04@16/03/03@20/01/10@40/20
1347,0,2168,0,5325,1520,1150,0,0,2497,0,4105,1018,0.94,3805,3087,14/04@20/01/10@20/09/01@32/05/01/03@42/10
917,0,2091,0,4206,1108,756,0,0,2181,0,2977,764,1.12,3098,2213,01/04@10/03/01/01/03@10/03/01/01/09@11/02/01@11/02/02@11/02/03/04@14/07/03@16/01@30/01/05/01@30/05/02/20@32/01/09@34/01@34/07/01@34/11/11@40/01@42/04@43/01/03/05
947,0,1078,0,2870,995,690,0,0,2116,0,2814,835,1.09,1875,1979,10/01/05@11/02/03/01@11/02/03/04
993,0,1080,0,4424,1010,696,0,0,2159,0,4068,849,1.2,3414,3219,11/04/01@12/01
1308,0,1792,0,12726,1430,927,0,0,2591,0,11261,1785,1.06,11296,9476,11/04/01@11/04/03/01/10@12/01/01@12/04@12/07@16/01
951,0,2077,0,2953,1031,695,0,0,2185,0,2059,772,0.87,1922,1287,01/05/25@11/02/03/01@11/02/03/04
1243,0,2172,0,3823,1567,1190,0,0,2347,0,2886,924,1.05,2256,1962,01/05@14/07/02/02
1354,0,1331,0,6239,1378,983,0,0,2263,0,2501,928,0.96,4861,1573,01/07/01@01/20/19/01@16/17/09
1218,0,1654,0,3387,1302,942,0,0,2301,0,3946,929,0.91,2085,3017,10/01/05/03/01@11/02/03/01/04@16/01@16/03/01
933,0,1051,0,2017,977,664,0,0,2004,0,16438,825,1.02,1040,15613,12/04/01
1378,0,1164,0,5410,1279,818,0,0,2138,0,3226,942,1.01,4131,2284,20/09/07/03@20/09/16/02@30/01@43/01/03/05@43/01/03/09
1169,0,1526,0,1913,1227,904,0,0,2224,0,1817,854,1.35,686,963,01/03/04@01/03/10@11/06/02
1132,0,1429,0,2514,1226,888,0,0,2146,0,2550,918,0.94,1288,1632,01/05/02/04@01/05/03@01/06/02/02@14/07/02/02
1396,0,1261,0,16344,1347,824,0,0,2238,0,11305,1142,0.95,14997,10163,11/02/03/04@12/01/01@12/04@16/01@16/03/03
1122,0,1416,0,3340,1247,882,0,0,2183,0,3376,933,0.84,2093,2443,01/07/01@20/01/07@20/01/11@20/01/13@20/01/25@20/01/26@20/03@20/09/18
1458,0,1234,0,6810,1424,890,0,0,2418,0,5411,1298,1.01,5386,4113,01/03/16/01@11/04/01@11/04/02@11/04/03@12/01/01@16/19/03
1284,0,1608,0,14855,1710,1277,0,0,2538,0,8007,1174,0.97,13145,6833,10/03/01/03@20/09/01
1156,0,1652,0,1868,1204,858,0,0,2110,0,1547,825,1.24,664,722,30/05@34/11/03/07
1259,0,1355,0,2976,1620,1180,0,0,2398,0,2506,1214,1.36,1356,1292,10/01/05/01@10/03/02@16/07@43/01/03/09
1317,0,1184,0,2995,1414,843,0,0,2233,0,2530,1087,1.17,1581,1443,11/04/02@14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
1291,0,1264,0,4495,1380,942,0,0,2282,0,4357,1419,1.05,3115,2938,10/01/05/01@11/04/03@12/04
1150,0,1490,0,2368,1127,767,0,0,2176,0,2337,895,0.98,1241,1442,14/04@14/10@16/01@20/01/10@20/09/07/26@20/09/13@20/09/16/09/03@32/01/07@34/11/03/13@40/01/03@42/25@43/01/03/05
1360,0,1382,0,2660,1442,897,0,0,2379,0,2114,1211,1.54,1218,903,11/02/03/04@34/01/01/01
1119,0,1347,0,1489,1146,766,0,0,2231,0,1085,871,0.93,343,214,10/03/01@11/04/01@11/04/02@11/04/03@12/01@20/01/21@20/09/01@30/01@34/11/03/07
1165,0,1366,0,3561,1062,759,0,0,2236,0,4008,893,0.77,2499,3115,11/06/02@12/10@14/10@16/03/03@20/01/21
1261,0,1530,0,9431,1630,1348,0,0,2547,0,7050,1106,0.86,7801,5944,11/02/03/04
1089,0,1169,0,2617,1074,750,0,0,2166,0,2968,807,0.83,1543,2161,01/04@01/05/25@01/06/05@11/02/03/04@14/07/03@18/01/01@18/02/01/01/05@30/01/09/07@32/01/11@42/19
1110,0,1320,0,1701,1042,717,0,0,2036,0,1746,894,1.09,659,852,01/04@01/20/15/03@02/13@14/10
1298,0,1498,0,12475,4123,3974,1,0,2456,0,6522,1494,0.95,8352,5028,11/04/03/05@16/03/03@20/01/21
1171,0,1400,0,2152,1133,771,0,0,2235,0,2431,942,1.02,1019,1489,01/01/06/05/01@01/02@01/05/13/03@01/07/01@12/01/01@16/01@16/21/07@34/11/13/07
1390,0,1547,0,5094,1452,898,0,0,2542,0,4822,1265,1.09,3642,3557,01/06
1209,0,1378,0,2587,1052,670,0,0,2116,0,2564,898,1.02,1535,1666,10/01/05/01@11/02/03/01
1344,0,1574,0,4300,1746,1286,0,0,2568,0,2835,1089,1.18,2554,1746,11/04/03/01@32/01
1241,0,1484,0,2621,1576,1125,0,0,2565,0,2274,1118,1.81,1045,1156,01/05/25@02/19@18/02/01
1238,0,1539,0,2901,1540,980,0,0,2592,0,2294,1220,1.29,1361,1074,01/06
1138,0,1596,0,8138,1186,879,0,0,2310,0,10515,972,0.75,6952,9543,12/01/01@12/04@16/01@16/03/03
1182,0,1696,0,6443,1531,1107,0,0,2646,0,5501,1444,0.95,4912,4057,01/01/09/04/01@01/01/09/05/01@01/01/09/06/01@01/07@01/20/15@20/01/15
1262,0,1736,0,6002,1432,932,0,0,2668,0,4865,1206,1.03,4570,3659,01/04@10/01/05/01@10/01/09/05@11/02/03/01@11/02/03/04@16/19/03
1202,0,1578,0,2739,1562,1162,0,0,2380,0,2121,1038,1.43,1177,1083,01/04@02/13@10/03/01@10/03/02@14/07/03
990,0,1445,0,1853,1066,760,0,0,2134,0,1544,797,1.04,787,747,10/01/02@10/01/05/01@10/01/05/03/03@10/01/09/05@10/03/02@16/03/01@16/19/03@32/01/09@34/11/03/07@41/01/01@42/10/03
1289,0,1627,0,2587,1463,970,0,0,2436,0,1779,1068,1.4,1124,711,11/02/03/01/01@11/02/03/04@32/05/01/03/03@34/01/01/01
1041,0,1276,0,4538,1007,667,0,0,2110,0,4686,861,0.86,3531,3825,16/01@16/17/01@16/17/03@16/17/05@16/17/07@16/19/03@20/01/01/01/01@20/01/15@20/01/26@20/03/22@20/09/07@20/09/16@30/01/05/01/04@32/01@34/01/01/01@34/05@34/07/01@34/11/13/07@42/04/03
987,0,1180,0,2160,1030,686,0,0,2032,0,2054,802,0.93,1130,1252,01/04@11/04/01@16/03/03@16/19/03
1113,0,1339,0,2926,1357,894,0,0,2284,0,2602,1057,1.79,1569,1545,11/04/02@12/01@14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
1014,0,1237,0,4643,979,680,0,0,2082,0,4070,839,0.93,3664,3231,01/03/16/01@01/03/16/03@10/01/05@10/03/01@11/04/01@11/04/03@43/01/03/05
1162,0,1552,0,2521,1406,1020,0,0,2418,0,2043,1042,1.07,1115,1001,01/04@14/07/03@14/07/11/01@14/13/04@20/09/13@30/01/05/01@32/01/11@43/01/03/09
947,0,1326,0,1665,1074,780,0,0,2102,0,1362,745,1.45,591,617,10/03/01@11/02/03/04/01@20/01/27@32/01@34/11/11@40/01@40/20@43/01/03/05@43/01/03/09
969,0,1228,0,12925,1085,763,0,0,2165,0,13321,874,0.9,11840,12447,12/01/01@12/04@16/01
1019,0,1196,0,3320,1026,727,0,0,2125,0,2724,808,0.97,2294,1916,02/11@02/13/03@18/02/01@20/01/15
1098,0,1530,0,2897,1318,861,0,0,2183,0,2645,1112,1.07,1579,1533,10/03/02@11/02/03/04@11/06/03@43/01/03/09
1013,0,1184,0,3483,984,659,0,0,2127,0,3102,804,1.14,2499,2298,43/01/03/09
1251,0,1806,0,6985,1458,1020,0,0,2520,0,5490,906,0.91,5527,4584,16/01@20/01/10@20/09/07/03@20/09/07/25@42/09
907,0,1235,0,2437,1008,654,0,0,2124,0,1842,788,0.95,1429,1054,10/01/02@10/01/03/03@10/03/01/01@11/02/03/04@16/01@16/03/01@16/19/03
1328,0,1272,0,6514,1350,1008,0,0,2316,0,2904,978,1.04,5164,1926,14/04@16/01@16/07@20/09/07/25@20/09/13@20/09/18/09/01/01@42/09
1247,0,1595,0,4636,1316,915,0,0,2344,0,4694,955,0.79,3320,3739,10/01/03@10/01/05/01@10/01/09/05@10/03/01@11/02/03/01/04@11/02/03/04@14/13@16/17@32/01/09@42/10/03
944,0,1066,0,5800,975,669,0,0,2031,0,5260,836,1.04,4825,4424,10/03/01@18/02/01
1154,0,1138,0,2799,1190,775,0,0,2014,0,1995,902,1.14,1609,1093,99
1334,0,1370,0,9240,1618,1189,0,0,2181,0,5235,1062,1.01,7622,4173,99
1177,0,1641,0,2912,1220,863,0,0,2234,0,3246,945,0.86,1692,2301,10/03/03@16/01@20/09/07/27@20/09/16/09/03@40/01@42/04@43/01/03/05
1196,0,1446,0,1412,1201,850,0,0,2115,0,1380,921,1.11,211,459,01/05/25@11/02/03/04/01
1283,0,1231,0,6941,1307,816,0,0,2216,0,5037,1002,0.94,5634,4035,14/04@20/01/10@20/09/01@40/10/02@42/10
1122,0,1265,0,2234,1234,831,0,0,2081,0,2116,881,1.06,1000,1235,11/06/02
1209,0,1263,0,3455,1271,780,0,0,2296,0,3080,1360,1.27,2184,1720,11/02/03/01/04
1161,0,1495,0,5698,1226,829,0,0,2059,0,6015,920,0.81,4472,5095,11/02/02@12/10
1137,0,1641,0,2036,1203,846,0,0,2230,0,1626,897,1.13,833,729,10/01/05@10/03/02
1148,0,1398,0,1928,1162,824,0,0,2240,0,1643,936,1.12,766,707,10/01/02@10/01/05/03/01@10/03/02
1217,0,1329,0,3095,1566,1211,0,0,2364,0,2328,1224,1.29,1529,1104,01/02/07@11/02/03/04@20/01/01/07@32/07
1173,0,1505,0,2616,1158,816,0,0,2232,0,2271,841,0.92,1458,1430,20/01/01/01/01@20/09/18/07@34/01/01/01
1151,0,1514,0,3222,1158,798,0,0,2243,0,3502,892,0.91,2064,2610,01/05@14/07/02/01
1166,0,1182,0,3374,1378,840,0,0,2332,0,2832,1086,1.03,1996,1746,11/02/03/01/01@11/02/03/04
1114,0,1318,0,1883,1137,754,0,0,2102,0,1673,898,1.08,746,775,11/04/03/01@16/01
1212,0,1351,0,3751,1334,835,0,0,2294,0,3074,1140,1.04,2417,1934,01/04@01/06/02/01
1103,0,1531,0,1762,1054,719,0,0,2186,0,1920,852,0.97,708,1068,01/01/09/03/01@01/02
1433,0,1534,0,5150,1902,1544,0,0,2598,0,3293,1208,1.08,3248,2085,01/01@01/02/07@01/05@01/20/17@16/21/17
1108,0,1151,0,3595,1142,826,0,0,2122,0,5571,854,0.85,2453,4717,02/45/15@16/17@20/01/01/01@20/01/15@20/03/22@20/09/13@34/01/01/03
1072,0,1464,0,1732,1045,714,0,0,2149,0,1716,878,1.12,687,838,01/04@14/04@16/19/03@20/09/04
1054,0,1266,0,2372,1066,728,0,0,2162,0,1957,873,1.17,1306,1084,11/04/01@11/04/02
1444,0,1657,0,11063,1930,1477,0,0,2594,0,6775,1230,0.89,9133,5545,01/06@16/09@16/13/03@20/01/13
1101,0,1354,0,1956,1043,752,0,0,2096,0,1822,821,1.08,913,1001,01/04/04@01/05/02@01/05/25@01/06/05@02/19@02/25@10/01/03@10/03/01/01/03@10/03/01/01/05@10/03/01/01/09@10/03/01/01/11@10/03/01/02@10/03/01/03@10/03/02/01@10/03/03@11/02/03/04@14/07/03@16/01@16/17/07@16/19/03@18/01/01@18/02/01/01@18/02/05@18/02/09@30/01/05/01/02@30/01/05/01/03@30/01/05/01/06@30/05/01/18@32/01/03@32/01/09@34/05/01@34/11/03/03@34/11/03/07@34/11/03/13@40/01/03@42/01@43/01/03/05@43/01/03/09
1256,0,1556,0,2560,1760,1289,0,0,2457,0,2472,1142,1.35,800,1330,01/05/02/04@01/05/02/07@02/07@16/01
1084,0,1383,0,3224,1072,718,0,0,2208,0,2890,803,0.95,2152,2087,10/03/01@10/03/02@11/02/03/04/03
1251,0,1696,0,5913,1366,944,0,0,2604,0,5356,1208,0.88,4547,4148,01/01@20/01/07@20/09/18/07
997,0,1388,0,2533,1009,663,0,0,2094,0,2355,863,1.13,1524,1492,10/01/09/05@10/03/01/01/09@42/10/03
1290,0,1566,0,6173,1406,962,1,0,2451,0,1760,1098,1.5,4767,662,34/11/03/07@40/01@41/01/01@42/01@42/04@43/01/03/05@43/01/03/09
1384,0,1624,0,17486,1959,1445,0,0,2515,0,11959,1072,0.92,15527,10887,01/03/01/03
1290,0,1642,0,4926,1466,1080,0,0,2431,0,3659,1032,1.09,3460,2627,10/01/05@10/01/09/05@10/03/04/05@11/02/03/01/04@11/02/03/04@16/17/09
1196,0,1497,0,3948,1552,1113,0,0,2334,0,3283,1040,0.97,2396,2243,99
938,0,1258,0,2423,1015,691,0,0,2051,0,2242,807,1.08,1408,1435,99
1310,0,1698,0,9441,1384,915,0,0,2541,0,8137,1498,0.84,8057,6639,11/04/03/01
981,0,1054,0,2414,1031,714,0,0,1978,0,2037,789,1.17,1383,1248,10/03/01@14/01@16/01@42/04/03@42/04/05
1260,0,1683,0,5909,1579,1100,0,0,2498,0,4378,1128,0.92,4330,3250,12/04/01
1297,0,1705,0,9423,1506,1081,0,0,2513,0,6970,1044,0.86,7917,5926,01/01/09/04/02@01/01/11/04/02@01/05/06/07@01/07/01@01/07/07@02/13@02/16/01@11/02/03/04/01
967,0,1058,0,1450,928,645,0,0,1919,0,991,684,0.93,522,307,01/04@10/03/01@10/03/04/07@11/02/03/04@14/07/03
946,0,1094,0,8918,1021,682,0,0,2072,0,11487,879,0.93,7897,10608,12/04/02@12/10@16/19/03
1233,0,1681,0,4257,1405,912,0,0,2380,0,3759,1206,1.01,2852,2553,01/03/16/01@11/04/01
937,0,1135,0,2327,1001,651,0,0,2103,0,3467,1056,1.32,1326,2411,20/01/25@20/03@20/09/04
925,0,1164,0,7984,976,682,0,0,2088,0,7511,804,1.23,7008,6707,10/03/01@14/13/01
1182,0,1609,0,2834,1291,872,0,0,2460,0,2398,1154,1.17,1543,1244,16/03/01@32/01/09@42/10/03
936,0,1008,0,1778,956,620,0,0,1975,0,1508,742,1.06,822,766,11/02/03/04@18/02/01/01/01@32/01
928,0,1000,0,1864,951,654,0,0,1933,0,1608,774,1.18,913,834,11/02/03/01@11/02/03/04
1271,0,1196,0,3114,1330,915,0,0,2059,0,1753,939,1.26,1784,814,10/01/03@10/03/01/01/03@10/03/01/01/09@10/03/02@18/02/01
1242,0,1323,0,3274,1227,750,0,0,2125,0,2204,911,1.09,2047,1293,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
1214,0,1502,0,2311,1202,842,0,0,2246,0,2076,945,0.99,1109,1131,16/01@20/09/07/03@20/09/07/05@20/09/07/29
1218,0,1260,0,3744,1252,794,0,0,2090,0,2569,948,1.21,2492,1621,20/01/01/01@20/01/01/07@20/03@20/09/18/07@34/01/01@43/01/03/05
1256,0,1348,0,2794,1545,1090,0,0,2310,0,1786,1101,1.24,1249,685,14/04@20/01/10@20/09/16
1151,0,1561,0,3129,1158,848,0,0,2158,0,3022,892,0.81,1971,2130,10/01/03@10/03/01@14/10@14/13@16/01@18/01/07@18/02/01/02/03@40/01/03@40/20@42/16
1218,0,1408,0,7552,1676,1274,0,0,2344,0,3954,1146,0.95,5876,2808,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
1135,0,1498,0,2647,1192,820,0,0,2140,0,2493,917,0.83,1455,1576,20/01/11@20/01/27@32/07
1116,0,1309,0,2019,1190,827,0,0,2202,0,1768,879,0.97,829,889,10/03/01/03@10/03/04/05@16/03/01
1176,0,1282,0,2387,1282,890,0,0,2085,0,2336,921,1.16,1105,1415,20/01/10@34/01/01/03
1224,0,1243,0,2991,1284,832,0,0,2150,0,2785,1278,1.15,1707,1507,14/07/04
1229,0,1498,0,14752,1165,794,0,0,2288,0,18795,998,0.87,13587,17797,12/01/01@12/04@16/01@16/03/03
1137,0,1322,0,2517,1171,770,0,0,2104,0,2652,921,1.02,1346,1731,01/03/01@01/03/13@01/04@01/05/13@01/05/25@10/03/01@10/03/03@16/01@16/03@16/19/05@30/01/05/05/01@30/01/09/07@32/01@34/11/12@40/01@40/10@40/20@42/04/03@43/01/03/05@43/01/03/09
1151,0,1469,0,2898,1136,790,0,0,2208,0,2813,879,0.96,1762,1934,01/03/16/01@11/04/01@11/04/03@20/01/21
1303,0,1559,0,10892,1756,1331,0,0,2426,0,6404,1124,0.87,9136,5280,99
1199,0,1245,0,2622,1325,855,0,0,2282,0,2252,1109,1.4,1297,1143,01/03/04@01/03/10@11/06/02
1058,0,1264,0,2028,1035,695,0,0,2018,0,2036,883,1,993,1153,01/06/02/01@01/20/19
1099,0,1202,0,2520,1374,826,0,0,2250,0,2087,1052,1.34,1146,1035,12/04@12/10@16/19
1085,0,1182,0,2529,1067,695,0,0,2062,0,2744,884,0.93,1462,1860,20/09/07@20/09/13@40/01@42/04@43/01/03/05
1254,0,1249,0,10877,2139,1892,0,0,2506,0,8728,2331,0.85,8738,6397,01/06/06/09@01/06/06/11@16/21/05@20/01/15
