@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.149,0.394,0.519,0.586,0.089,-0.155,0.396,0.458,0.16,-0.08,0.365,-0.098,0.176,0.628,-0.278,0.133,0.168,0.78,-0.008,0.644,0.703,0.263,0.085,0.182,0.925,-0.344,14/07/05@14/13/01@16/01
-0.012,0.53,0.282,0.399,?,-0.251,-0.123,0.169,?,0.687,0.564,0.192,0.404,0.725,0.442,0.077,-0.142,1.008,0.396,0.592,0.741,0.235,0.117,0.175,1.024,0.2,14/07/05@14/10@14/13/01/01@16/01@16/19/03
-0.227,-0.23,-0.247,-0.04,0.186,-0.433,-0.21,-0.176,0.07,0.44,0.17,0.32,0.21,0.08,0.399,-0.601,-0.175,-0.09,-0.195,-0.234,0.173,0,0.11,-0.05,-0.014,0.048,10/01/03@10/01/05/01@10/03/01/01@10/03/03@11/02/03/04@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@30/01/05/01/04@32/01/07@32/01/09@34/11/03/07@42/04/05@43/01/03/09
0.16,-0.1,-0.16,-0.15,0.12,-0.22,-0.37,-0.25,0.13,0.27,0.19,-0.15,0.23,0.33,-0.03,0,-0.14,-0.21,0.29,0.17,0.14,-0.29,-0.14,-0.03,0.06,0.1,14/07/05@14/13/01@16/01
-0.181,0.14,0.128,-0.23,0.116,0.08,0.23,-0.04,-0.075,-0.04,0.06,0.03,0.046,0.112,0.45,-0.12,0.09,0.25,0.319,0.598,0.473,-0.151,-0.03,0.121,-0.133,-0.25,14/10@16/01@32/01/07
0.275,0.289,0.343,0.079,0.17,0.34,0.457,0.567,0.187,0,0.228,-0.632,0.6,0.555,0,-0.139,0.012,0.304,0.22,1.431,1.224,1.215,-0.023,-0.149,0.299,-0.419,14/01@14/13@16/01@32/01/07
0.526,0.841,0.503,-0.017,0.638,0.87,0.765,1.213,0.588,-0.854,-0.868,-0.458,0.046,0.646,-0.534,0.645,0.144,-0.73,0.269,2.147,2.224,1.604,-0.029,0.1,0.107,0.051,01/04@02/19@10/03/02@14/01@16/01@16/19/03@32/01/05@34/11/03/07@43/01/03/09
-0.23,0.106,0.167,0.372,0.41,0.355,0.374,0.852,0.26,-0.188,-0.012,-0.305,-0.004,0.744,-0.243,-0.307,-0.124,0.1,0.181,-0.29,-0.404,-0.364,-0.115,0.114,0.534,-0.029,14/01@14/07/05@14/13/01@16/01@16/19/03@20/03@32/01/07@42/04
0.283,0.357,0.235,0.29,0.482,0.323,0.366,0.826,0.098,-0.26,-0.21,-0.39,-0.205,0.471,-0.406,-0.209,-0.253,-0.115,0.078,-0.083,-0.36,-0.412,0.894,-0.655,-0.15,0.113,14/01@14/13/01@16/01@16/19/03@20/03@32/01/07@42/04
0.51,1.046,0.761,0.233,0.699,0.841,0.999,1.334,0.745,-1.029,-0.611,-0.215,0.377,0.85,0.008,0.711,0.527,-1.084,0.378,2.939,2.974,2.697,-0.157,0.074,0.057,0.023,01/04@02/19@10/03/02@14/01@16/01@16/19/03@32/01/05@32/01/07@34/11/03/07@43/01/03/09
0.71,1.78,1.676,1.01,0.482,1.11,0.59,1.28,1.51,0.14,-0.1,-0.31,0.74,0.66,1.01,-0.01,0.33,-0.12,0.68,4.94,3.33,2.03,0.34,-0.54,?,-0.68,01/04@14/01@14/04@14/13@16/01@16/19/03@20/01/10@20/09/04@32/01/05@32/01/07
0.43,0.942,0.363,0.45,0.317,0.152,0.548,0.372,0.472,-0.285,-0.359,-0.314,-0.006,0.965,-0.518,-0.198,-0.027,0.63,0.508,2.017,1.656,1.202,0.036,0.25,-0.015,-0.665,14/01@14/04@14/07@16/01@16/03/01@20/01/10@20/09/04@32/01/05@40/10
-0.49,-0.377,0.094,-0.086,-0.89,-0.69,-0.017,-0.38,-0.57,-0.253,-0.138,0.071,-0.124,-0.288,-0.658,-0.527,0.068,0.333,-0.61,-1.024,-0.271,-0.238,-0.062,0.175,-0.827,-0.355,01/04/04@10/03@11/02/03/01/04@11/02/03/01/07@11/02/03/04@11/04/03@14/01
-0.03,-0.418,-0.385,-0.281,0.25,0.286,0.008,0.173,0.07,-0.64,-0.573,-0.68,-0.641,-0.262,-0.079,-0.134,0.006,-1.048,0.181,0.053,-0.398,-0.348,-0.099,0.271,-0.185,0.11,11/02/03/04@14/01@16/01@16/02@32/01/05@32/01/07@40/01
0.195,0.5,0.61,0.9,-0.307,-0.23,0.36,0.26,0.118,0.81,0.369,0.21,0.427,0.51,0.443,-0.377,-0.069,1.023,-0.224,-0.15,-0.2,-0.04,0.109,0.186,0.082,-0.278,14/01
0.23,0.436,0.604,0.889,-0.1,0.107,0.05,0.543,0.18,0.411,0.424,0.15,0.006,0.282,-0.201,-0.697,-0.259,0.253,-0.32,0.075,-0.271,?,0.109,0.226,-0.332,-0.264,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
0.164,0.208,0.302,0.698,-0.079,-0.203,0.008,-0.03,0.321,0.274,0.072,0.469,-0.197,0.343,-0.226,-0.159,0.101,-0.283,-0.315,0.387,0.081,0.136,-0.075,0.23,?,-0.248,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@16/03/03@16/19@30/05@32/01/11@36/20/18@40/01/03@40/10/02
?,0.076,0.033,-0.185,?,-0.133,-0.247,-0.366,0.336,0.092,-0.043,0.072,0.17,-0.084,0.48,0.465,0.62,-0.206,-0.476,-0.215,-0.397,-0.517,-0.125,0.109,?,0.247,10/03@12/01@14/01@14/04@14/07/09@16/01@30/01/09/03@30/05@32/01/03@34/01/01/01
0.091,-0.136,-0.14,-0.092,0.394,0.287,0.025,0.074,-0.093,-0.461,-0.29,-0.318,-0.848,-0.346,-0.55,0.148,0.292,-1.018,-0.58,-0.403,-0.912,-0.719,-0.076,0.118,-0.286,0.088,10/01/09/05@11/02/03/04/03@14/01@14/04@16/01@18/02/09@42/04@42/10/03
0.34,1.01,0.56,0.12,0.556,0.83,0.94,1.33,1.306,0.01,-0.41,-0.7,-0.33,-0.48,-0.81,-0.03,-0.08,-1.231,-0.47,2.13,2.43,2.31,-0.08,0.12,-0.63,-0.28,14/01@14/07@20/01/15
0.041,0.433,0.793,1.019,-0.064,-0.01,0.215,0.149,0.465,0.078,-0.258,-0.253,0.002,-0.341,0.415,0.124,0.087,-0.028,-0.167,1.001,0.739,0.676,0.672,-0.49,0.561,-0.094,14/01@14/07@20/01/13
-0.25,-0.473,-0.506,-0.322,-0.41,-0.583,-0.183,-0.405,-0.33,0.034,0.032,-0.161,0.133,0.615,0.047,0.168,-0.421,-0.128,0.809,0.152,0.16,-0.112,-0.153,0.07,0.312,-0.042,01/04@01/05@01/06/10@11/04/03@14/07/03@30/01@32/01/07
-0.009,-0.401,-0.474,-0.159,0.149,0.207,-0.175,0.231,-0.12,-0.931,-0.58,0.423,-0.761,0.694,-1.701,0.299,0.045,-0.403,0.539,-0.857,-1.932,-1.31,-0.039,0.192,0.709,0.394,14/01
-0.066,-0.117,-0.23,0.192,0.096,-0.33,-0.428,-0.077,-0.105,0.339,0.352,-0.053,0.207,0.371,0.149,-0.294,-0.342,0.35,0.342,0.564,0.015,-0.063,-0.146,0.12,0.151,-0.233,01/03/01@01/04@02/45
0.153,0.17,0.26,0.33,-0.054,0.01,0.28,0.19,0.191,0,0.02,0.14,-0.279,0.18,-0.32,0.07,-0.3,-0.47,0.028,0.15,0.23,-0.02,-0.07,0.189,-0.373,-0.08,01/05/02@01/05/03@14/07/02/02
-0.13,0.012,0.038,-0.08,-0.676,-0.438,0.017,-0.196,-0.307,0.243,-0.217,0.122,-0.43,0.203,-0.883,-0.131,-0.152,0.598,-0.213,-0.094,-0.36,-0.252,-0.158,0.049,-0.331,-0.65,01/03/01@01/05/02/01@01/05/03@01/06/02/01@14/07/01@14/07/02/01@14/07/02/02@16/01
0.185,0.314,0.066,?,0.235,?,-0.174,-0.283,0.412,-0.207,?,-0.291,0.172,0.566,0.195,?,0.129,-0.139,0.785,?,-0.575,-0.749,0.627,-0.474,0.652,-0.509,01/05@14/07/02/01
0.22,-0.089,0.013,0.056,0.03,-0.192,-0.142,0.008,0.06,0.208,-0.331,0.207,-0.419,0.995,-0.616,-0.039,-0.286,-0.026,0.445,-0.607,-1.262,-1.047,-0.03,0.263,0.405,-0.388,01/05@14/07/02/01
0.122,0.612,0.815,1.069,0.273,-0.16,0.354,0.263,0.703,0.794,0.209,0.141,0.171,0.361,-0.268,-0.596,-0.084,0.554,0.377,0.872,0.994,0,-0.156,0.087,?,-0.388,01/05@14/07/02/01
-0.155,-0.092,0.287,0.203,0.108,0.116,0.189,0.34,0.16,0.527,0.268,0.182,-0.184,0.024,0.071,0.17,-0.245,0.187,0.234,0.749,0.606,0.347,-0.155,0.133,-0.092,-0.183,01/05@14/07/02/02
-0.093,-0.041,0.396,0.512,0.093,0.023,0.039,0.07,0.305,-0.245,-0.281,-0.04,-0.064,0.307,-0.317,-0.207,-0.073,-0.859,0.266,0.264,-0.089,-0.386,-0.083,0.173,0.058,-0.296,01/05/02/04@01/05/03@01/06/02/02@14/07/02/02
0.066,0.101,-0.038,0.132,0.566,0.336,-0.223,-0.092,0.047,0.206,0.005,-0.028,-0.096,0.061,-0.045,0.599,-0.189,-0.252,0.185,0.678,0.064,0.107,-0.172,0.093,0.055,0.165,01/05@14/07/02/01@14/07/02/02@42/01
-0.11,-0.23,-0.219,-0.42,0.27,0.13,-0.17,-0.161,-0.077,0.13,-0.11,-0.23,-0.14,-0.02,-0.18,0.55,-0.14,0.135,0.11,-0.35,-0.47,-0.44,-0.22,0.01,-0.02,-0.24,01/05@14/07/02/01
-0.09,-0.27,-0.229,-0.045,0.13,-0.081,-0.222,-0.042,-0.16,0.168,-0.051,-0.166,-0.373,-0.53,-0.286,-0.069,-0.43,-1.011,-0.001,0.396,0.406,-0.232,0.008,0.097,0.131,-0.216,01/05@14/07/02/01
-0.165,-0.063,0.07,0.044,-0.03,-0.035,0.099,-0.003,0.11,0.137,-0.05,0.031,-0.362,-0.093,-0.384,-0.052,-0.198,-0.25,0.036,0.361,0.102,0.185,-0.035,0.216,-0.339,-0.085,01/05@14/07/02/01@14/07/02/02@42/01
-0.04,-0.197,-0.061,-0.265,0.096,-0.134,0.295,-0.108,-0.241,?,0.193,-0.29,0.032,-0.392,-0.036,-0.05,-0.072,?,?,-0.108,0.231,-0.284,-0.348,0.074,-0.217,-0.078,01/05@14/07/02/01
0.149,-0.032,0.339,0.243,-0.016,-0.128,0.124,-0.095,0.143,0.23,0.035,0.134,0.017,0.652,-0.115,-0.137,0.11,-0.217,-0.747,0.034,-0.281,-0.022,0.036,0.203,0.055,-0.183,01/05@14/07/02/01@14/07/02/02@42/01
0.163,0.591,0.544,0.763,0.092,-0.03,0.214,0.276,0.216,0.117,-0.262,-0.151,0.127,0.673,0.194,-0.203,0.135,0.725,0.324,-0.192,-0.165,-0.27,-0.129,0.168,-0.026,-0.008,01/05@14/07/02/02
0.01,0.078,0.343,0.417,0.069,-0.113,0.082,0.26,0.165,?,0.382,0.168,-0.32,-0.03,-0.017,0.317,0.334,-0.286,-0.213,0.166,-0.025,-0.422,0.097,-0.067,-0.068,?,10/03@14/07/02/02
-0.15,-0.02,-0.36,-0.06,-0.01,-0.21,-0.13,-0.32,0.14,-0.17,-0.17,0.08,-0.11,0.52,-0.01,0.13,0.29,-0.2,-0.24,-0.01,-0.19,-0.53,-0.16,0.16,-0.159,-0.06,14/07/02/02
0.14,0.228,0.083,0.477,-0.04,-0.026,0.023,0.161,0.01,0.31,0.033,0.036,-0.106,0.069,-0.105,0.182,-0.336,0.032,0.155,-0.14,-0.193,-0.573,-0.059,0.127,-0.015,-0.295,14/07/02/02
0.08,0.42,0.59,0.48,0.09,0.24,0.2,0.32,0.12,0.39,-0.222,-0.01,0.14,0.38,0.38,0.38,-0.057,-0.23,-0.01,0.46,0.55,0.19,-0.44,0.05,-0.21,-0.16,01/05@14/07/02/01@14/07/02/02@42/01
?,-0.09,-0.312,-0.233,0.576,0.113,0.428,0.035,?,0.022,-0.078,0.011,0.306,0.473,-0.096,0.124,0.472,0.26,0.308,0.218,-0.352,-0.678,-0.133,0.026,?,0.406,01/05@14/07/02/02@42/01
-0.044,0.164,0.36,0.369,-0.202,-0.018,0.322,0.425,0.023,-0.042,0.059,0.293,-0.381,0.234,-0.332,-0.056,0.145,-0.253,0.114,0.673,-0.112,0.574,-0.132,0.131,-0.451,0.623,01/05@14/07/02/01@14/07/02/02@42/01
0.216,-0.046,-0.123,-0.059,0.034,0.224,0.189,0.132,-0.196,0.097,-0.025,0.111,-0.35,0.184,-0.221,0.276,-0.234,-0.112,0.123,-0.143,-0.534,-0.221,-0.139,0.095,-0.187,-0.138,14/07/02@14/10
0.1,0.068,0.222,0.474,0.4,-0.288,0,-0.299,0.12,0.072,0.016,-0.025,0.089,0.081,-0.113,-1.819,0,0.4,?,-0.242,-0.029,0.313,-0.042,0.157,0.168,-0.307,01/05@14/07/02/02
0.339,-0.108,0.015,-0.089,0.246,0.064,-0.191,0.408,-0.299,-0.082,-0.314,-0.417,0.036,0.433,-0.008,-0.106,-0.262,-0.13,-0.054,-0.33,-0.444,-0.27,0.066,0.108,-0.122,-0.303,01/05@10/03/01@14/07/02/02@20/09/16/02@42/01@43/01/03/09
?,0.468,0.895,0.855,0.194,0.051,0.334,0.25,0.529,0.53,0.232,0.196,0.131,-0.386,0.226,-0.212,-0.577,-0.253,-0.327,0.807,0.366,0.415,0.61,-0.464,-0.364,-0.009,14/07/09
-0.409,-0.946,-0.581,-0.616,-0.018,-0.456,-0.238,-0.337,-0.27,-0.44,-0.105,-0.319,-0.835,?,-1.491,0.004,-0.684,?,0.047,-0.949,-1.369,-0.267,-0.081,0.196,0.414,-0.005,14/07
0.168,0.181,-0.135,-0.089,-0.411,-0.41,0.093,-0.156,-0.379,0.029,-0.21,0.063,0.121,0.599,-0.347,-0.125,0.115,0.918,0.059,-0.298,-0.198,-0.195,0.887,-0.609,0.15,0.175,01/07/04@14/07/09
0.079,0.098,-0.165,0.089,0.14,-0.097,-0.05,-0.018,-0.103,0.06,-0.302,-0.357,0.093,-0.194,-0.177,-0.056,-0.462,-0.34,-0.054,0.538,-0.03,-0.1,-0.007,0.035,-0.165,-0.17,01/06/06/11
0.23,0.788,0.622,0.804,0.59,0.689,0.793,1.09,0.61,0.729,0.589,-0.457,-0.326,-0.942,0.473,0.282,0.136,-0.96,-0.462,0.366,0.543,0.284,-0.173,0.088,-0.682,0.053,01/06@14/07/01
0.31,-0.03,0.08,0.71,-0.31,-0.21,0.01,-0.24,0.17,0.02,-0.43,0.3,-0.26,0.3,-0.73,-0.35,-0.27,0.79,-0.375,-0.12,-0.31,-0.42,-0.04,0.08,-0.03,0.55,14/07/11@14/13/01
0.2,0.875,0.928,1.22,0.279,0.116,0.478,0.581,0.803,0.592,0.394,0.005,0.217,-0.049,0.556,-0.276,-0.129,0.194,-0.048,1.544,1.667,1.392,-0.067,0.29,?,-0.374,14/07
0.08,0.46,0.09,0.18,0.21,-0.07,-0.02,-0.07,0.36,0.14,0.14,-0.07,0.3,0.77,-0.17,-0.09,0.05,-0.09,0.3,-0.44,-1.23,-0.2,-0.03,0.17,0.384,-0.17,14/07/11@16/17/09
0.096,-0.019,0.26,0.645,0.23,0.222,0.332,0.362,0.04,0.12,0.03,0.09,-0.312,0.377,0.137,0.201,0.325,0.002,-0.325,0.036,-0.388,-0.352,-0.086,0.104,-0.42,-0.318,14/07/04
0.066,0.171,0.37,0.442,0.447,0.406,0.364,0.662,0.37,-0.067,-0.289,-0.241,-0.587,-0.027,-0.186,-0.004,-0.171,-0.156,-0.097,0.033,-0.474,-0.025,-0.002,0.129,-0.278,0.022,01/06@14/07/01
-0.121,-0.368,-0.063,0.03,-0.102,0.088,-0.301,-0.116,0.134,0.013,-0.349,0.374,-0.418,-0.224,-0.857,-0.004,-0.155,-0.426,-0.416,-0.24,-0.351,-0.119,-0.013,0.235,-0.386,-0.122,14/07/11@14/13
-0.32,-0.251,0.153,-0.12,-0.48,-0.395,-0.075,-0.244,-0.21,-0.184,-0.341,-0.463,0.011,0.243,0.305,-0.864,-0.295,0.502,0.188,-0.994,-0.579,0.064,-0.062,0.14,0.11,-0.43,01/06@14/07/01@14/07/11
0.054,0.051,-0.035,-0.07,?,0.163,-0.093,0.352,0.396,-0.307,-0.024,-0.276,-0.087,0.165,0.165,0.431,0.026,-1.557,-0.053,0.288,0.071,-0.205,-0.261,0.005,?,-0.083,01/05@01/06@14/07/04
?,0.404,0.143,-0.283,-0.224,0.13,0.277,0.34,-0.133,0.001,0.16,-0.021,0.026,0.084,-0.007,0.025,-0.197,-0.16,-0.37,0.656,0.284,0.28,0.058,0.129,-0.334,-0.094,01/06/02/01@01/06/02/02@14/07/01
0.01,-0.244,-0.489,-0.309,0.33,0.102,0.293,?,-0.04,0.298,0.552,-0.338,-0.129,-0.233,-0.23,-0.435,-0.361,-1,-0.381,0.501,0.012,-0.286,-0.089,0.181,-0.319,-0.256,12/04/03
0.072,0.087,0.088,0.226,0.556,0.144,-0.04,0.475,0.127,-0.29,-0.454,-0.355,-0.246,0.034,-0.309,-0.05,-0.65,0.176,0.271,0.26,-0.2,-0.473,0.245,0.143,0.535,0.004,01/04@16/19/03@18/02/01/01@20/03/25@32/01/11
-0.1,-0.163,-0.052,0.263,?,-0.134,-0.3,-0.145,0.322,-0.712,?,-0.393,0.204,0.244,-0.339,?,-0.07,0.26,0.008,0.12,0.099,-0.541,0.659,?,0.156,-0.22,01/01@01/04@12/07@14/07/03
0.105,-0.395,-0.357,-0.583,0.376,0.408,-0.092,0.045,0.007,-0.343,-0.713,-0.278,-0.756,-0.122,-0.492,0.368,0.078,-0.945,-0.613,-1.104,-1.605,-1.392,-0.128,0.169,-0.098,0.239,12/04@12/07
