@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.746,0.188,0.187,0.921,0.462,-0.269,-0.058,-0.458,-0.057,0.073,-0.258,0.415,0.259,01/01/06/05/01@01/02/03/01@01/03/01@32/01/03
0.194,0.303,0.415,-0.18,?,-0.189,0.729,?,-1.443,?,?,?,0.239,01/01/06/05@01/05/13/03@01/07/01@16/21/07
1.115,0.057,0.04,0.344,0.746,0.385,0.175,-0.595,0.983,0.394,0.278,0.702,0.177,01/01/06/05@01/02/03/01@01/02/03/04@01/03/10
-0.158,-0.564,-0.322,-0.149,0.033,-0.516,0.416,?,-0.098,-0.444,-0.396,0.348,-0.814,01/01/06/05/01@01/02@01/05/13/03@01/07/01@12/01/01@16/01@16/21/07@34/11/13/07
-0.69,-1.015,0.1,-0.76,-0.561,-0.419,-0.247,0.016,-0.435,-0.087,-0.432,0.2,0.032,01/01/06/05/02@01/03/01@01/04@01/05/05/04@01/05/13/01@01/07/01@01/20/21@16/17/03@16/17/07@16/19/03
0.106,0.185,-0.069,0.022,-0.428,-0.299,0.036,-0.174,1.382,0.935,0,-0.384,-0.122,01/01/06/05@01/01/09/03@01/01/13@01/02/07@11/02/03/01@11/02/03/04@16/03/01
0.152,0,0.451,0.872,0.558,0.275,0.228,-0.003,-0.21,0.39,-0.126,?,-0.28,01/01@01/05@01/20/37/01@16/17/09
-0.535,-0.281,-0.415,-1.074,-0.028,0.3,-0.053,0.285,-1.719,-1.309,-0.972,-0.093,-0.082,01/05/11/07/01@01/06/06/11@01/20/35/01@16/21/05@16/21/07@20/01/15@32/07/01
0.21,0.26,?,0.52,-0.069,-0.039,0.238,0.646,0.48,0.41,-0.03,-0.029,-0.033,42/16
0.133,0.267,-0.572,-0.082,0.249,0.613,0.242,0.269,0.163,1.15,1.233,0.141,0.925,02/13/03@11/02/03/04@42/16
?,?,?,?,?,?,?,?,?,?,?,?,?,10/01/03@16/03/01
0,0.07,0.007,0.13,0.348,0.094,-0.069,-0.137,0.06,-0.12,-0.22,-0.504,-0.15,12/01/01@42/16
-0.543,-0.859,0.288,0.083,-0.286,-0.448,-0.449,0.575,-0.132,-0.546,-0.747,0.228,0.021,10/03/01@14/07/04@42/04
0.544,0.333,-0.02,0.438,0.363,0.124,0.273,-0.073,0.512,0.675,0.345,-0.082,0.091,20/01/01/01@20/09/04@34/01/01/01
0.559,0.666,0.384,0.831,0.878,0.246,0.115,-0.528,0.502,0.72,0.377,-0.436,-0.325,01/04@14/04@16/19/03@20/09/04
-0.158,-0.209,0.18,0.208,-0.059,-0.11,-0.025,0.523,1.217,1.248,0.46,-0.431,-0.618,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
-0.34,-0.265,-0.364,-0.34,-0.31,-0.12,0.163,-0.209,-0.679,?,0.076,0.08,0.03,14/04@20/01/10@20/09/04@42/16
?,1,?,?,?,?,?,?,-1.649,?,?,?,?,14/04@20/01/10@20/03@20/09/04
0.437,0.645,-0.51,0.235,?,0.032,-0.275,-0.249,-0.712,-0.961,-0.338,0.117,-0.279,14/04@20/01/10@20/03@20/09/04
-0.2,0.19,0.38,0.23,0.18,0.22,0.09,0.02,-0.705,-1.07,-0.23,0.121,-0.1,14/04@20/01/10@20/03@20/09/04
-0.143,-0.075,0.14,-0.124,0.17,0.013,-0.692,?,-0.985,-0.637,-0.572,-0.898,-0.455,14/04@16/01@20/01/10@20/09/04
-0.528,-0.278,-0.508,-0.346,-0.081,-0.379,?,-0.419,-0.888,-1.331,-0.823,-0.481,-0.481,14/04@20/01/10@20/03@20/09/04
-0.25,-0.253,-0.143,-0.319,-0.374,-0.138,-0.476,-0.466,0.087,-0.24,-0.146,-0.227,0.016,14/04@20/01/10@20/09/04
0.066,0.131,?,0.193,0.455,0.554,0.407,0.684,0.768,0.438,0.291,?,-0.011,14/07/11@14/13@34/01/01/01
-0.01,-0.05,0.24,0.43,0.21,0.07,0.03,-0.35,0.49,0.14,-0.01,-0.73,-0.26,99
-0.17,0.05,0.6,0.38,-0.26,0.24,-0.22,0.16,0.27,0.18,-0.58,-0.15,0.07,14/04@20/01/10@20/03@20/09/04
-0.44,-0.557,0.031,-0.165,0.199,-0.028,-0.072,-0.577,0.335,0,-0.049,-0.378,-0.167,14/04@20/01/10@20/03@20/09/04
-0.02,0.17,-0.09,-0.39,0.45,0.4,0.33,-0.217,-0.95,-0.45,-0.92,0.363,0.2,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
-0.087,0.042,-0.031,0.424,0.91,0.511,0.322,0.437,-0.572,-0.096,-0.167,0.067,0.082,10/03/04/05@10/03/05/01@16/03/01
-1.073,-1.334,0.703,0.521,-0.723,-0.609,-1.179,-0.198,-1.615,-2.615,-2.244,-0.078,0.234,01/03/04@01/03/10@10/03/01@11/04/01@11/06/01@16/03/03@40/01@42/04@42/10/07
0.148,-0.139,-0.298,-0.064,-0.479,-0.122,0.328,-0.02,-0.324,-0.016,0.15,0.217,-0.256,99
0.17,-0.079,0.35,0.686,0.933,0.458,0.183,0.388,-0.318,-0.712,-0.248,-0.061,0.015,01/01/06/05/01@01/01/13@01/02/07@10/01/03@10/03/04/05@11/02/03/04@16/03/01@42/10
-0.279,-0.226,-0.21,0.036,0.086,?,-0.209,?,?,-1.065,?,-0.014,-0.907,10/03/01/03@10/03/04/05@16/03/01
-0.37,-0.2,?,-0.1,0.72,-0.17,0.14,-0.01,-0.239,-0.142,-0.31,-0.36,0.095,01/03@01/04@10/01/02@10/01/05/01@10/01/05/03@10/03/01/01/09@10/03/04/03@10/03/04/05@11/02@11/04/01@11/04/03/01@16/03/01@16/03/03@16/19/03
0.13,-0.06,0.26,-0.099,0.27,-0.15,0.02,0.319,0.185,-0.23,-0.15,0.17,0.01,01/04@01/06@14/04@20/09/13@32/01@42/25
-0.92,-0.717,0.337,-0.028,-0.477,0.126,-0.874,0.42,-0.504,-0.657,-0.406,0.224,0.167,01/03/16/01@10/01/02@10/01/03/05@10/03/01/01/09@10/03/04/03@11/04/01@11/04/02@16/03/01
-0.2,-0.17,-0.19,-0.36,0.08,0.42,0.43,0.314,-0.71,-0.54,-0.31,0.67,0.47,42/04/05
-0.131,-0.152,0.346,0.181,-1.127,0.17,0.091,0.052,0.37,-0.309,-0.022,-0.143,-0.282,10/03/01@14/01@16/01
0.12,-0.03,-0.14,-0.03,-0.22,1.24,0.34,0.254,-0.8,-0.61,-0.52,?,0.654,10/03/01/01/11@10/03/01/03@10/03/04/05@16/01
-0.348,-0.279,0.507,0.267,-0.004,-0.061,-0.526,-0.144,-0.154,-0.718,-0.718,-0.649,-0.281,10/03/01@10/03/02@10/03/04/05@10/03/05/01
0.068,0.007,-0.16,-0.07,0.266,0.192,0.035,0.186,-0.203,-0.237,-0.206,0.274,-0.16,01/04@10/03/01@40/01@42/01
-0.24,-0.12,-0.099,-0.299,0.11,-0.234,?,0.127,0.603,0.3,0.038,0.208,-0.089,10/03/01/01/09@10/03/03@11/02/03/01@11/02/03/04/01
0.521,0.78,-0.21,-0.012,0.32,0.466,0.476,0.419,1.364,1.241,0.284,0.991,-0.398,01/03/16/01@10/03/01@11/04@16/03/03
-0.109,-0.159,0.13,0.451,-0.216,-0.466,-0.475,0.232,-0.014,-0.46,-0.701,0.503,-0.27,01/03/16/01@10/01/02@10/01/03/05@10/03/01/01/09@10/03/04/03@11/04/01@11/04/02@16/03/01
-0.109,-0.394,0.425,0.023,-0.167,0.307,0.149,0.451,0.247,-0.325,-0.409,-0.012,-0.234,10/03/04/03
-0.432,-0.319,0.173,0.149,0.321,-0.05,0.464,0.617,-0.146,-0.566,-0.467,0.358,-0.369,01/04@10/03/01/01/11@10/03/04/03@10/03/04/05@16/01@16/19/03@42/10/03
-0.215,-0.183,0.053,-0.098,-0.206,-0.101,-0.522,0.666,0.429,0.577,-0.232,0.016,-0.177,14/04@20/01/10@20/09/01@40/10/02@42/10
0.338,0.086,0.174,0.238,-0.167,1.434,0.177,-0.101,0.152,0.312,0.529,?,0.104,10/03/01/01/11@11/02/03/01@11/02/03/04
0.166,0.1,0.474,0.086,0.048,?,0.556,0.526,-0.083,-0.05,-0.526,?,0.027,01/04@10/03/01/01/11@10/03/03@10/03/04/01@10/03/04/05@10/03/05/01@14/07/03@16/01@16/19/03@18/01/01@18/02@30/01/05/01/06@30/01/09/11@42/04/05
0.501,0.216,-0.09,0.304,0.198,0.17,0.362,0.193,0.924,1.129,0.078,?,-0.415,10/03/04/05@16/03/01
-0.259,-0.415,0.16,0.155,-0.137,0.35,-0.16,-0.401,-0.649,-0.376,-0.142,0.084,-0.035,10/03/04/05@16/01
0.283,0.56,0.476,0.843,0.941,0.546,0.197,-0.514,0.893,0.828,-0.103,-0.719,-0.396,01/05/03/01/04@01/05/25@18/02/01/01
0.052,-0.158,0.086,0.44,0.425,0.236,0.006,0.263,-0.237,-0.413,-0.508,-0.545,-0.421,10/03/01/01/09@10/03/04/03
-0.3,-0.09,0.33,-0.2,0.1,-0.05,0.24,0.578,-0.75,0,-0.34,-0.322,-0.1,10/03/01@10/03/04/09@16/01@42/04/05
-0.623,-0.354,0.046,0.519,0.141,0.204,0.099,-0.259,0.118,-0.304,-0.061,-0.373,-0.063,10/03/01/01/11@20/09/14@42/04
?,?,0.456,?,?,-0.415,0.042,0.493,-0.649,-2.249,?,0.255,-1.807,99
0.23,0.043,-0.147,?,0.21,0.297,0.403,0.168,0.022,-0.312,-0.233,0.274,-0.341,01/04@10/03/01/01/09@10/03/04/03@14/07/03
0.574,0.576,?,-0.018,0.669,0.611,0.119,0.009,-1.691,-0.693,0.081,0.372,0.05,10/01/03@10/01/05/01@10/03/01/01/09@10/03/04/03
-0.08,-0.45,0.08,0.06,0.02,0.21,0.17,0.48,-0.05,0.14,-0.38,0.123,-0.16,10/03/01/01/11@20/09/14@42/04/05
0.092,-0.234,0.234,0.617,0.223,0.35,0.086,-0.551,-0.14,-0.271,0.214,-0.401,0.132,10/03/04/05@16/01
0.361,0.425,0.171,0.512,-0.023,-0.054,0.101,-0.068,0.589,0.403,0.332,0.126,-0.203,10/01/05/01@10/03/01@34/01/01/01@40/01@41/01/01@42/04/03@43/01/03/05@43/01/03/09
0.4,0.292,-0.081,0.721,0.084,0.476,0.064,0.273,0.673,0.85,0.727,-0.247,-0.174,11/04/03/01@11/04/03/05@16/03/03
-0.18,-0.27,-0.201,-0.08,-0.05,0.12,0.44,0.29,0.14,0.15,-0.31,0.36,-0.33,11/02/03/01/07@11/04/03/01@11/04/03/05@16/03/03
-0.336,-0.365,0,0.327,-0.008,-0.295,-0.006,0.376,-0.014,-0.186,-0.14,0.059,-0.055,11/02/03/04/01@11/04/03/01@11/04/03/05@16/01@16/03/03@18/01/07@18/02/01/01
-0.297,-0.387,-0.056,-0.158,-0.496,-0.407,0.11,0.462,-0.929,-0.468,-0.822,0.355,-0.372,11/04/03/05
0.09,0.29,0.455,0.39,-0.045,-0.131,-0.196,-0.058,0.53,0.46,0,-0.144,0.073,01/05/13/01@11/04/03/03
0.066,0.142,-0.03,0.293,0.231,0.356,0.268,-0.013,0.121,-0.243,-0.446,0.2,-0.159,11/04/03/05@14/07/05@14/10@14/13/01/01@16/01@16/19/03
-1.115,-1.076,0.64,0.637,-1.261,-0.926,-1.31,-0.109,-1.051,-2.29,-1.535,0.156,0.618,01/03/16/01@11/04/01@11/04/03@12/01
-0.086,?,0.175,-0.185,0.239,0.159,-0.173,-0.075,0.254,0.188,0.028,0.075,-0.207,01/03/16/01@11/02/03/01@11/04/01@11/04/03/01@12/07@16/03@16/19/03@32/07
-0.45,-0.35,-0.01,-0.29,-0.13,0.295,0.18,0.03,0.22,-0.71,-0.53,0.698,0.12,01/03/16/01@12/07
-0.49,-0.3,0.01,-0.02,-0.047,0.871,-0.02,0.21,-0.53,-0.61,-0.47,0.1,-0.032,01/03/16/01@12/07@16/01
-0.553,-0.3,0.669,0.389,0.277,-0.077,-0.186,-0.529,0.084,-0.423,-0.492,-0.143,-0.096,99
0.14,0.01,-0.03,-0.26,-0.18,-0.19,-0.29,-0.19,0.49,0.09,0.032,-0.12,0.11,10/01/05/01@11/04/03@12/04@16/03/03@20/01/21
-0.703,-0.777,0.241,0.026,-0.776,-0.677,-0.886,0.316,-0.593,-1.252,-1.245,0.467,-0.021,11/04/02@20/01/10@20/01/21@20/09/01
0.197,0.421,0.073,0.219,0.14,-0.024,-0.114,0.45,0.566,0.288,0.026,-0.132,-0.589,01/03@11/02@11/04/03/05@11/04/03/11@16/03/03
0.456,0.261,-0.052,0.21,-0.118,0.232,0.214,0.596,0.175,0.266,-0.375,0.429,-0.205,10/01/05/01@11/04/03@12/04
0.23,0.33,0.403,0.41,-0.43,-0.21,0.23,-0.13,-0.128,-0.206,?,0.033,0.11,11/04/03/05@16/03/03@20/01/21
0.161,0.616,0.025,?,0.389,0.452,0.15,0.163,-0.443,0.303,0.291,-0.321,0.085,11/04/03/05@14/10
-0.45,-0.6,0.274,0.24,-0.21,-0.34,-0.125,-0.705,-0.21,-0.307,-0.3,-0.486,0.17,01/03@11/04/01@11/04/03/01@16/01@16/03/03
-0.251,-0.206,0.027,0.056,-0.229,-0.109,-0.183,?,-0.234,-0.214,0.278,?,0.166,01/03/07@11/02/03@11/04/03/01@16/01@16/03/03
0.038,-0.145,-0.027,-0.079,0.185,-0.411,-0.303,-0.367,-0.132,-0.524,-0.118,-0.435,-0.42,01/03/16/01@11/04/03/01@38/07@43/01/03/05
-1.09,-1.01,0.56,0.13,-0.89,-0.52,-1.341,0.456,?,?,-3.17,0.112,0.34,11/04/01@11/04/02@11/04/03/01@12/01/01@16/19/03
-0.204,-0.181,0.066,-0.103,-0.197,0.114,0.253,0.265,0.285,-0.16,-0.213,0.253,-0.193,10/01/02@10/01/05/01@10/01/05/03@11/02/03@11/04/01@11/04/03/01/10@12/04@12/07@16/03/03@16/19/03@42/10
-0.202,0.113,0.1,0.029,0.38,0.08,-0.108,-0.841,0.71,0.674,0.318,-0.506,-0.212,99
-0.072,0.008,0.118,0.538,0.524,0.487,0.091,-0.014,-0.116,-0.369,-0.064,-0.38,0,11/04/03/01
0.063,-0.03,0.217,-1.04,-0.18,0.17,0.18,-0.197,0.4,0.1,0,-0.698,-0.15,11/04/03/01@16/03/03
-0.31,-0.21,0.191,0.18,-0.03,-0.26,-0.31,-0.01,0.06,-0.62,-0.31,0.01,0.16,11/04/03/01@16/03/03
0.178,0.243,-0.75,-0.09,-0.077,0.022,-0.059,-0.173,-0.716,-0.453,0.188,0.157,-0.135,11/04/03/01@16/03/03
0.29,0.422,0.21,0.501,0.251,0.247,0.082,0.01,0.155,0.245,-0.166,-0.208,-0.154,11/04/03/01@16/03/03
-0.445,-0.328,0.385,0.355,0.186,-0.149,-0.268,-0.443,0.346,0.34,-0.028,-0.563,0.228,11/04/03/01@16/03/03
-0.242,-0.456,0.197,0.331,0.063,?,0.742,?,-1.234,-0.664,?,?,1.541,11/04/03/01@16/03/03
-0.146,-0.027,0.2,0.61,0.668,0.17,0.148,-0.421,-0.064,-0.057,0.008,-0.363,-0.025,11/04/03/01@14/10@16/03/03
-0.044,-0.085,0.19,0.521,-0.233,0.457,0.263,0.09,-0.859,-0.438,0.283,?,0.212,11/04/03/01@14/10@16/03/03
-0.174,0.025,0.554,0.381,-0.149,-0.082,?,?,0.005,0.2,-0.1,?,-0.192,11/04/03/01@14/10
0.04,-0.363,-0.019,-0.115,-0.089,-0.249,-0.34,-0.204,-0.12,-0.29,0.048,-0.583,0.075,11/04/03/01
0.278,0.154,0.08,0.648,0.417,0.315,0.437,-0.208,-0.351,-0.237,-0.152,?,-0.06,11/04/03/01@14/10
0.24,0.273,0.089,-0.077,0.34,0.169,-0.035,-0.006,-0.4,-0.215,-0.033,0.202,-0.273,11/04/03/01@16/01
-0.003,-0.074,0.448,0.815,-0.122,-0.192,-0.198,0.045,-0.157,-0.417,-0.582,-0.209,0.305,11/04/01@11/04/03/01
-0.046,-0.026,0.46,0.488,-0.063,-0.175,-0.187,-0.453,0.032,-0.217,-0.503,-0.26,-0.132,01/03/16/01@11/04/01@11/04/03@16/03/03
-0.19,-0.005,0.385,0.742,-0.033,-0.054,-0.095,-0.777,0.415,0.363,0.293,-0.234,0.255,01/03/16/01@11/04/03/01@16/01@16/03/03
-0.041,0.094,-0.12,0.393,-0.007,-0.188,-0.139,0.157,-0.566,-0.361,-0.294,0.047,-0.21,11/04/03/01
-0.049,0.534,0.025,-0.091,-0.475,-0.174,-0.399,0.294,-0.472,-0.239,-0.284,-0.381,-0.216,10/01/05@11/04/03/01@16/03/03
-0.254,0.021,0.301,0.444,-0.357,0.663,0.403,-0.122,0.697,0.198,?,-0.678,0.112,11/04/03@14/01@14/10@20/01/10@20/09/04
0.28,-0.01,0.34,0.22,0.21,0.04,0.27,-0.03,0.05,0.28,-0.17,-0.03,-0.31,11/04/03/01
0.29,0.16,-0.242,0,0.14,-0.06,0.598,?,-0.2,-0.01,-0.18,0.096,0,11/04/03/01@14/10
-0.564,-0.775,-0.05,-0.136,-0.028,-0.21,-0.318,0.09,0.317,-0.109,0.098,-0.449,-0.245,01/03/16/01@02/13/03@11/04/03@16/03/03
-0.523,-0.634,0.18,-0.186,-0.799,-0.677,-0.978,?,-0.557,-1.002,-0.601,-0.568,-0.131,01/03/16/01@11/04/01@11/04/03@20/01/21
0.01,-0.008,0.35,0.04,0.444,0.32,0.61,0.389,0.53,0.07,-0.384,?,-0.23,01/03/16/01@01/03/16/03@10/01/05@10/03/01@11/04/01@11/04/03@43/01/03/05
-1.127,-0.897,0.24,0.186,0.415,0.153,0.423,0.961,0.385,-0.006,-0.375,?,0.151,01/02/07/01@11/02/03/01@11/02/03/04
0.095,-0.143,0.612,-0.187,1.323,0.535,0.299,?,?,-0.537,0.039,?,0.185,01/02/07/01@11/02/03/04
-0.138,-0.285,-0.279,-0.011,-0.031,-0.157,0.594,0.107,1.594,0.708,0.25,?,-0.057,01/02/07@20/01/07@20/01/11
0.594,0.9,-0.508,-0.347,-0.048,-0.383,0.076,0.398,0.075,0.11,-0.263,-0.139,-0.537,32/07
-0.141,-0.274,0.156,0.185,-0.554,-0.485,-0.465,0.167,0.065,-0.246,-0.53,0.005,0.104,10/01/05/03@10/01/11@14/04@14/10@16/01@20/01/10@20/01/21@20/09/01@42/10
-0.884,-0.832,?,-0.968,?,-0.662,-0.493,?,-1.769,-1.543,-1.034,?,-0.227,99
-0.485,-0.537,-0.009,-0.127,-0.189,-0.082,-0.084,1.116,0.234,-0.785,-0.651,?,0.231,20/01/10@20/01/21@20/09/01
