@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1633,1038,1724,1517,798,2089,1667,0.774,0.863,0.793,1.107,0.68,0.727,1.307,0.992,1.218,0.86,1.55,1.2,1.05,01/01/03/05/01@01/20/17@02/13@14/07/04
4032,3918,3028,3282,1308,4055,5445,0.883,0.933,0.783,1.21,1.169,0.278,0.346,1.458,0.684,1.27,1.06,0.29,1.52,01/04@01/05/02@01/05/09/04@01/05/09/07@16/17/07
1573,832,2042,2501,976,1771,1638,0.587,0.943,0.658,0.579,0.683,1.735,0.914,0.677,0.559,0.87,1.11,2.08,0.74,01/02/07@20/01/07@20/01/11
3050,2380,1962,2069,1065,1624,1890,0.91,0.946,0.914,0.203,0.284,0.951,0.879,0.357,1.093,0.33,0.77,1.19,0.37,20/01/07@20/03@20/09/18/07
1426,774,1842,2188,1192,1457,1506,0.188,0.932,0.189,0.327,0.303,0.288,0.341,0.354,0.435,0.39,0.87,0.33,0.36,20/03
12906,11517,8129,7987,1106,7736,8377,0.934,0.938,1.045,2.128,1.547,3.762,2.965,3.01,13.321,1.65,3.68,3.64,3.02,01/07@20/01/01/01/01/01@20/01/27@20/03@20/09/18@32/07@34/01/01/01
2057,1348,2557,3467,1174,2054,3246,0.694,0.944,0.76,0.725,0.386,1.982,1.716,0.701,2.087,0.49,1.11,2.09,0.73,10/01/09/05@14/07/04@42/10/03
1849,1035,2000,2447,1052,1790,3362,0.579,0.931,0.755,1.221,1.012,1.333,1.625,0.945,0.596,1.19,1.29,1.51,0.95,10/03/01@14/01@16/01
2889,2161,3118,4178,1312,3047,3248,0.751,0.94,0.694,2.023,0.746,0.52,0.627,0.819,0.692,0.85,0.78,0.54,0.9,14/04@16/01@20/03/01/05@20/09/01
5817,4372,3378,3570,1144,2904,2127,0.925,0.916,1.111,0.749,0.604,0.915,1.32,0.395,0.221,0.66,0.6,0.94,0.41,14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
3120,2536,1869,2231,1035,1681,986,0.946,0.879,0.897,0.872,1.111,0.975,0.863,0.753,0.918,1.21,1.35,1.12,0.83,10/03/01@10/03/04/01@10/03/04/05@42/04/05@42/05
4351,4541,3766,3413,978,7325,2496,0.95,0.943,0.805,0.663,0.491,0.934,1.175,0.307,0.137,0.53,0.44,0.95,0.31,14/13/01/01
2367,2108,2266,2133,1112,4750,3231,0.873,0.872,0.682,0.214,0.84,1.086,1.75,0.714,0.683,0.94,1.23,1.94,0.79,11/02/03/01@11/02/03/04
3887,4292,3276,2801,1063,5608,3981,0.957,0.963,0.716,2.426,1.166,0.704,0.721,1.52,1.356,1.25,0.83,0.69,1.53,12/04/01@16/19/05
2512,1845,2495,2744,1272,2249,1954,0.781,0.913,0.824,0.659,0.711,0.901,0.914,0.49,0.537,0.81,0.95,1.02,0.51,11/04/03/05
5965,5647,6326,5372,1444,5683,7875,0.89,0.962,0.879,2.371,1.558,2.161,1.887,3.085,3.194,1.75,1.36,2.4,3.25,01/04@16/19/03@18/02/01/01@20/03/25@20/09/16/01@32/01/11
2384,2152,2091,1981,1131,4849,2701,0.805,0.929,0.605,0.421,0.542,0.436,0.434,0.609,0.608,0.61,0.93,0.49,0.61,18/01/01@18/02/01@20/01/15@32/01/01@32/07/07
3941,3348,2850,3009,1088,5315,2436,0.934,0.945,0.966,1.013,0.647,1.479,1.741,1.476,1.25,0.73,1.68,1.47,1.48,01/06/06/11
3296,3396,2932,2323,956,6660,4979,0.812,0.933,0.661,0.966,1.339,0.911,0.897,0.955,0.764,1.36,1.43,0.96,0.99,99
4751,4139,3707,3432,1013,6482,1913,0.923,0.941,0.942,1.208,0.708,0.89,0.992,0.917,0.613,0.79,1.12,0.93,0.92,14/01@16/01@20/01/10@20/09/03
2447,2268,2297,2072,945,2724,1212,0.893,0.915,0.708,1.357,1.007,0.711,0.722,1.253,0.836,1.11,1.07,0.78,1.33,12/01/01@42/16
1922,1148,1681,1972,1053,1554,1381,0.811,0.913,0.99,1.467,0.949,0.893,1.027,0.985,1.011,1.13,1.37,0.87,1.09,01/04/04@01/05/25@02/19@14/07/03@18/02/01
5624,5491,3910,4410,1201,2594,2547,0.919,0.913,0.819,5.851,2.858,2.16,1.168,7.736,9.61,2.87,4.71,2.05,7.95,12/01/01@12/04@16/01
3215,2606,2707,2279,1117,2367,4257,0.864,0.947,0.797,1.109,0.737,0.722,0.707,3.836,6.973,0.82,0.78,0.82,4.04,01/03/13@20/01/17@20/09/18
4266,3451,2621,3579,1324,2124,2406,0.908,0.931,0.983,1.027,0.812,2.583,1.838,1.768,4.61,0.85,2.11,2.52,1.79,01/01/11/02/01@01/03/01@11/02/03/04@32/01/05@34/11/03/07@42/16
13946,17391,10358,12844,1151,17796,5193,0.951,0.964,0.741,0.255,0.565,0.981,0.667,1.349,14.213,0.61,3.32,1.02,1.42,01/01/06/04/02@01/05/06/07@02/01@02/16/11
2224,1784,1972,1689,1071,3658,1916,0.828,0.93,0.721,0.483,0.627,0.748,0.765,0.747,0.786,0.72,1.26,0.95,0.76,10/03/01
2445,2172,2123,1797,1047,3779,3406,0.88,0.938,0.75,0.978,0.49,0.401,0.412,0.428,0.344,0.57,0.51,0.53,0.45,01/03/16/01@11/02/03/04/03@11/04@34/11/03/07@41/01/01
2947,2290,2438,2348,1134,3358,2113,0.906,0.903,1.063,0.184,0.37,0.326,0.414,0.51,1.601,0.45,0.75,0.38,0.54,01/01/03/05/01@01/04@01/20/17/01
2290,1886,2194,1787,1021,3572,1886,0.863,0.924,0.716,1.165,0.222,0.702,0.845,0.077,0.271,0.25,0.35,0.87,0.08,01/03/07@10/01/03@10/01/05/01@16/01@16/19/03
3983,4412,3073,2582,1172,7091,2756,0.825,0.939,0.563,0.52,0.74,0.884,0.698,0.815,1.793,0.76,0.97,0.94,0.84,16/01@18/02/01/02@40/01/03@42/25@43/01/03/05
3273,2934,3092,2859,967,4247,1415,0.91,0.951,0.78,0.824,0.655,0.759,0.574,1.829,2.71,0.68,1.01,0.78,1.89,01/01/03/02@01/01/03/03/01@01/01/05/01/02@01/01/09/04/01@01/01/11@01/02@01/05/06/07@01/05/11/07/01@01/06/06@01/07/01@01/20/05@01/20/17/01@01/20/29@01/20/31@02/11@02/13@02/16/01@02/45@16/13@16/21/07@20/01/15@32/01/03@32/05/01@32/05/03@32/07/03@32/07/09@42/16
2010,1448,1988,1823,1006,2116,1133,0.855,0.887,0.883,1.121,0.825,0.277,0.241,0.862,0.769,0.98,0.73,0.36,0.9,01/04@10/03/01@14/07/03@18/01/01@18/02/01/02/05@30/01/05/01/03@30/05@34/11/03/07@34/11/03/13
1818,1093,1647,1690,1173,1419,904,0.43,0.809,0.424,0.658,0.767,0.348,0.415,0.619,0.633,0.93,0.94,0.6,0.83,99
2482,1932,2478,1938,959,4294,3040,0.75,0.889,0.758,1.461,0.847,1.215,1.226,0.942,0.777,1.03,1.28,1.39,0.98,12/10
2967,2758,2440,2577,1015,4528,1494,0.901,0.929,0.734,1.02,0.952,1.534,1.319,1.602,3.23,1.11,2.14,1.63,1.64,01/01/09/06/01@01/07/01@01/20/33
4215,3314,2655,3567,1644,1598,3770,0.876,0.913,1.008,0.922,0.949,0.347,0.513,1.188,1.705,1.09,1.1,0.41,1.17,14/07/05@14/10@14/13/01/01@16/01@16/19/03@34/11/03/07
5212,4023,3682,2784,1351,2665,4699,0.789,0.94,0.982,1.199,0.977,0.384,0.49,0.784,0.637,1.1,0.72,0.5,0.85,10/03/03@10/03/04/05@14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
3481,2599,2842,4187,1530,1626,5856,0.883,0.928,1.095,2.229,1.349,-0.008,1.434,1.768,1.152,1.44,1.27,1.04,1.77,99
1164,656,1379,1416,1005,992,658,0.311,0.487,0.287,0.283,0.221,0.314,-0.278,0.143,-0.022,0.98,1.82,1.16,0.95,10/03/01/01/03@11/02/03/04
2420,2039,2436,2362,851,3327,877,0.897,0.906,0.757,0.763,0.468,0.471,0.438,0.452,0.547,0.62,0.57,0.49,0.49,11/04/01@11/04/03/01
3219,2647,3106,3270,926,4709,2101,0.903,0.932,0.912,0.869,0.711,0.689,0.563,0.418,0.452,0.78,0.59,0.72,0.44,16/09@30/01/05/05/01@40/01@42/04@43/01/03/05
1831,1163,1737,2293,1166,2412,2022,0.767,0.925,0.976,1.081,0.629,0.061,0.034,0.852,0.872,0.76,0.2,0.07,0.91,40/01@42/04@43/01/03/05@43/01/03/09
2179,1588,2090,2321,1046,2940,1290,0.88,0.902,0.905,0.922,0.815,0.528,0.432,0.939,1.024,0.93,0.87,0.63,0.96,99
3556,3581,4066,2816,991,5360,3014,0.899,0.88,0.756,4.39,2.407,2.28,1.324,5.284,7.21,2.6,3.95,2.25,5.36,12/01/01@12/04@16/01
1931,1298,1993,1958,1018,2231,696,0.86,0.859,0.907,1.35,0.525,1.004,0.734,0.473,0.784,0.77,0.87,1.16,0.56,30/05@32/01@34/11/03/13@43/01/03/05
4535,3533,2738,2510,1261,2033,4663,0.828,0.921,0.927,0.636,0.516,0.23,0.572,0.494,0.441,0.58,0.57,0.54,0.51,10/01/09/05@14/07/05@14/10@14/13/01/01@16/01@16/19/03@18/01/01@18/01/07@18/02/07@32/01@43/01/03/09
8333,9693,5863,4462,1365,4038,3406,0.87,0.88,0.679,3.289,3.085,2.141,1.253,4.934,6.206,3.45,4.56,2.62,5.65,12/01/01@12/04@16/01
4189,3877,4095,3328,982,7213,6881,0.953,0.936,0.926,1.536,1.717,2.132,2.231,1.502,0.961,1.8,2.37,2.17,1.57,14/07/05@14/13/01
3715,3475,3503,3568,1024,10730,6924,0.829,0.937,0.748,0.556,0.841,2.171,0.802,1.757,4.092,0.96,2.02,2.07,1.79,20/01/01/01/01/01@20/03@34/01/01/01
4678,3740,2801,2837,1172,2224,2184,0.934,0.938,1.026,1.099,0.789,0.635,0.814,0.755,0.838,0.86,0.68,0.68,0.8,10/01/09/05@11/02/01@11/02/02@11/02/03/01/01@11/02/03/04/01@14/07/03@16/01@16/03/01@18/02/09@42/10/03
2603,1891,4110,5886,1075,3924,4236,0.811,0.961,0.813,1.027,1.589,2.365,2.161,1.29,1.073,1.69,1.45,2.38,1.28,11/02/03/04@14/07/05@14/13/01
1607,919,1759,1781,927,1322,1019,0.508,0.834,0.644,0.804,0.6,0.432,1.068,1.089,0.774,1.17,1.52,1.07,0.96,12/07
3764,3674,3362,3475,1138,9312,3999,0.827,0.896,0.738,1.123,0.673,0.71,0.676,0.909,1.258,0.73,0.96,0.71,0.93,11/02/03/01@11/02/03/04@18/02/09
4047,4006,3470,3310,1311,9741,4104,0.821,0.927,0.695,1.067,1.317,0.317,0.342,1.19,1.04,1.45,0.92,0.32,1.22,11/02/03/04@16/03/01
3504,2895,3470,2828,894,5447,4440,0.902,0.943,0.952,1.092,1.137,1.702,1.105,1.12,1.04,1.2,1.59,1.79,1.16,10/01/05/01@10/03/01/03@32/01/09
2554,1966,2695,2379,1060,3531,4073,0.921,0.941,0.957,1.462,0.635,0.424,0.49,0.828,0.943,0.71,0.8,0.46,0.86,01/04@10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@11/02/03/01/04@11/02/03/04@11/04/01@11/04/03/01@16/03/01@16/19/03@42/10/03
2517,2154,2532,2253,1093,3229,2240,0.926,0.93,0.841,1.568,1.249,0.447,0.537,1.138,1.002,1.34,0.87,0.54,1.2,11/06/02
1823,1174,1919,2239,1123,1667,2063,0.793,0.925,0.751,0.988,0.784,0.715,0.738,0.828,0.394,0.93,0.87,0.86,0.91,10/01/02@10/01/05/01@11/02/03/01/01@11/02/03/04@16/01@16/03/01
1838,1116,2033,2381,1072,1876,1938,0.664,0.956,0.778,0.561,0.76,1.402,1.092,0.648,0.568,0.9,1.24,1.52,0.69,10/01/05/01@10/01/05/03/01@10/03/01/02@10/03/01/03@16/03/01@18/02/01@32/01/09
10641,9460,11298,15123,1800,13628,8440,0.887,0.921,0.977,1.489,1.064,1.324,1.672,1.704,1.75,1.17,1.23,1.37,1.67,02/19@10/03/01/02@10/03/01/03@11/02/03/04@14/04@14/07/03@16/01@16/02@16/03/01@18/01/01@18/01/03@18/01/07@18/02/01/01/05@18/02/01/02/05@20/09/07@20/09/16@30/01/05/01/03@30/01/05/05/01@34/07@40/01@40/10/02/01@43/01/03/05@43/01/03/09
2836,2028,1791,2267,1271,1447,1401,0.889,0.892,1.073,0.981,0.868,0.081,0.084,0.85,2.159,1,0.29,0.1,0.93,10/03/02@43/01/03/09
2081,1483,1622,1679,952,2565,1158,0.873,0.894,0.92,1.013,0.722,0.701,0.827,0.974,0.708,0.91,1.11,0.87,1.01,01/05/13/03@01/07/01@16/19/03
5178,4407,4728,4361,1252,5905,3966,0.87,0.923,0.932,0.832,0.605,1.006,1.04,0.468,0.758,0.62,0.79,1.14,0.48,10/01/02@10/01/05/03/03@32/01/09@42/10/03
3432,2932,2975,2806,909,4926,3754,0.887,0.921,0.868,3.116,1.857,2.093,1.773,2.294,1.897,1.98,2.34,2.15,2.31,11/02/01@11/04/01@12/01/01@16/03/03@16/19/03
3484,2881,3521,3515,1496,3090,1900,0.795,0.959,0.787,1.092,0.992,0.761,0.772,0.978,0.968,1.11,0.99,0.83,1.06,01/03/01@01/04@10/01/09/05@10/03/01@10/03/03@11/02/03/04@14/04@14/10@16/01@16/19/03@16/19/05@20/01/10@20/01/26@20/09/07/03@20/09/07/25@20/09/07/27@20/09/13@20/09/16/09/03@20/09/18/09/01@30/01/05/05/01@32/05@42/09@42/10/03@43/01/03/05
1841,1026,1463,3574,1429,1596,758,0.581,0.886,0.771,4.8,0.936,0.076,0.031,0.681,0.447,1.28,0.29,0.07,1.05,01/05/25@20/01/03/01@20/03@20/09/16@20/09/18/07@34/11/12
2602,2058,2302,2170,968,3253,1886,0.875,0.901,0.948,1.241,0.911,0.916,0.752,1.336,1.33,1.05,1.1,1.01,1.42,14/01@14/13@16/01@32/01/07
8700,8713,7717,5350,961,23039,9407,0.869,0.95,0.818,1.648,0.847,1.316,1.245,1.084,1.177,0.88,0.93,1.33,1.08,01/01/09/01/02@01/01/09/02/01@01/01/11/02/02@01/01/11/03/02@01/01/11/04/02@01/05/02/04@01/05/02/07@01/06@01/07/01@02/01@02/08@02/10@10/03/01/01/03@16/21/05@20/01/15
3642,3125,3162,2334,1052,8054,6333,0.858,0.925,0.818,1.514,1.544,0.475,0.589,2.52,4.639,1.67,1.06,0.51,2.61,12/10
1627,995,1679,1613,912,1705,965,0.78,0.547,1.01,0.349,0.554,0.243,0.984,0.677,0.846,1.15,1.44,1.34,0.94,99
2048,1209,1780,1748,929,1597,1441,0.618,0.951,0.806,2.167,1.154,0.668,0.868,1.452,0.682,1.28,1.16,1.11,1.72,18/01/07@30/05/02/24@34/11/03/07@40/01/03
2482,1544,2403,2075,1003,1939,1640,0.691,0.921,0.767,0.921,0.922,1,1.107,1.682,1.081,1.21,1.09,1.46,1.97,01/04@11/02/03/04@16/19/03@20/03/25
2463,1564,1847,2420,1085,1815,2786,0.9,0.899,1.165,1.438,1.004,0.456,0.778,1.157,0.777,1.16,0.8,0.52,1.24,01/04@10/03/01@10/03/02@14/07/03
12324,9477,6960,7828,1397,3704,5347,0.942,0.949,1.177,1.462,1.625,0.658,0.648,2.764,6.02,1.71,2.36,0.67,2.99,01/06/10@11/02/03/01@11/02/03/04@30/01@32/01/07
2107,1280,1631,2124,1235,1551,1323,0.681,0.913,0.857,1.109,1.087,0.909,0.926,1.054,1.056,1.22,1.33,1.3,1.08,01/04@10/03/02@14/07/03@32/01
3669,2614,3261,2444,1244,2522,3526,0.815,0.946,0.98,0.944,0.723,0.495,0.674,0.53,0.244,0.8,0.39,0.56,0.55,10/01/03@11/02/03/01@16/03/01@42/16
4926,4280,2512,3721,1435,1646,4667,0.918,0.929,0.854,1.32,0.47,0.409,0.461,0.275,0.273,0.53,0.27,0.4,0.27,01/03/01@01/04@10/03/01/01/11@10/03/02@10/03/04/05@10/03/04/09@10/03/05/01@14/10@16/01@16/07@16/19/05@20/09/14/01@30/01/09@30/05/02/24@32/05/01/07@34/05@34/11/01@41/01/01@42/04/05@42/05@42/10
9761,9508,9340,9464,1058,16712,6011,0.884,0.929,0.867,1.369,1.169,4.003,3.752,1.658,1.703,1.22,2.16,4.04,2.4,10/01/09/05@10/03/01/01/11@10/03/03@10/03/05/01@10/03/05/03@11/02/03/04@14/04@14/07/04@14/10@16/01@16/03/01@16/06@16/07@16/17/09@16/19/03@20/01/10@20/09/07@20/09/14/02@20/09/16/09/03@20/09/18/09/01@32/01/03@34/05@40/01@42/01@42/04/03@42/10/03@42/29@43/01/03/05@43/01/03/09
2684,2168,2502,1872,1085,5184,2690,0.807,0.862,0.857,1.348,1.432,1.061,0.943,1.585,1.262,1.49,1.98,1.23,1.61,20/09/07/03
3077,2230,1926,2763,1304,1571,2081,0.894,0.927,0.976,1.18,0.581,0.382,0.617,0.294,0.313,0.64,0.37,0.42,0.32,01/04@01/05/07@01/06@16/19/03@32/01
2111,1437,1954,1791,1100,1425,1810,0.566,0.922,0.576,0.57,0.233,0.398,0.334,0.379,0.356,0.31,0.49,0.75,0.39,20/01/13@20/03/01
3228,2516,3282,2340,976,2109,3368,0.934,0.947,1.007,1.373,0.796,1.274,5.016,1.842,2.31,1.25,2.29,2.46,1.99,01/03/04@01/07/01@16/01
5186,3913,3120,4095,1429,1739,5166,0.873,0.855,1.039,1.991,1.505,2.388,1.233,5.32,5.573,1.6,2.26,3.34,5.67,01/07/01@16/01@32/01
3228,2205,2069,2870,1238,1439,3485,0.869,0.938,1.053,0.69,1.222,1.181,1.376,2.542,2.576,1.39,1.27,1.13,2.5,01/02/02/09/01
5223,4817,4714,3189,1024,10506,3633,0.883,0.912,0.843,1.173,0.663,0.792,0.963,0.582,0.271,0.74,0.65,0.83,0.59,14/07/11@14/13/01/01@16/01@18/01/07@18/02/01@20/01/27@32/01@32/05/01
4318,3053,2718,4301,1363,1567,6818,0.855,0.904,1.166,2.112,1.411,2.682,1.657,2.032,1.83,1.64,1.98,3.83,2.2,01/04@16/19/03@18/02/01/01@20/03/25@32/01/11
10719,9954,6330,4527,1251,4664,5428,0.844,0.942,0.815,1.134,0.96,2.136,3.183,0.622,0.373,1.04,1.07,2.37,0.6,11/06/02@14/07/05@14/13/01/01
3317,2157,2360,2537,1144,1568,3939,0.803,0.558,1.425,1.159,0.725,0.865,2.63,0.863,1.675,1.02,1,1.08,0.9,10/01/09/05@16/01
7185,6083,4612,3304,1065,3209,2505,0.822,0.947,0.823,1.54,1.871,2.402,1.762,1.697,3.34,2.09,3.07,2.96,1.84,01/04@14/07/03@30/01/05@30/01/09/03@34/11/11@40/01
