@RELATION 'spo0.names'

@ATTRIBUTE t0_green_bkg                            numeric
@ATTRIBUTE t0_red_bkg                              numeric
@ATTRIBUTE t0_flag                                 numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red_bkg                        numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green_bkg                            numeric
@ATTRIBUTE t2_red_bkg                              numeric
@ATTRIBUTE t2_flag                                 numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t7_flag                                 numeric
@ATTRIBUTE t9_green_bkg                            numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t9_flag                                 numeric
@ATTRIBUTE t11Point5_green_bkg                     numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE t11Point5_red_bkg                       numeric
@ATTRIBUTE t11Point5_flag                          numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE gal_ndt80_red_bkg                       numeric
@ATTRIBUTE gal_ndt80_flag                          numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_green_bkg            numeric
@ATTRIBUTE ndt80_delete_early_red_bkg              numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green_green_bkg        numeric
@ATTRIBUTE ndt80_delete_mid_green_red_bkg          numeric
@ATTRIBUTE ndt80_delete_mid_green_flag             numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t0Point5_correlation                    numeric
@ATTRIBUTE t2_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t9_correlation                          numeric
@ATTRIBUTE t11Point5_correlation                   numeric
@ATTRIBUTE ndt80_delete_early_correlation          numeric
@ATTRIBUTE ndt80_delete_mid_correlation            numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t0Point5_g/r_ratio                      numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE failed_pcr                              {1,2,3,4,5}
@ATTRIBUTE overlaps_another_orf                    {no,yes}
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1317,710,0,1460,606,0,1338,838,0,7579,1583,0,1719,1283,0,1240,961,0,2699,17618,2022,0,1540,4227,0,9407,576,437,0,1035,533,0,0.869,0.918,0.914,0.954,0.95,0.967,0.95,0.981,0.986,0.818,1.648,0.847,0.914,0.984,1.316,1.084,1.177,0.92,1.75,0.88,0.93,0.99,1.33,1.3,1.2,1.08,?,no,01/01/09/01/02@01/01/09/02/01@01/01/11/02/02@01/01/11/03/02@01/01/11/04/02@01/05/02/04@01/05/02/07@01/06@01/07/01@02/01@02/08@02/10@10/03/01/01/03@16/21/05@20/01/15
1117,671,0,1247,547,0,1215,707,0,3791,1533,0,1650,1166,0,1317,1052,0,1951,12759,2212,0,1397,4139,0,6333,626,474,0,1033,534,0,0.858,0.887,0.922,0.93,0.925,0.941,0.962,0.954,0.941,0.818,1.514,1.544,0.957,0.408,0.475,2.52,4.639,1.02,1.7,1.67,1.06,0.42,0.51,0.57,0.95,2.61,?,no,12/10
1115,572,0,1072,370,0,1384,830,0,1912,1380,0,1470,922,0,1284,912,0,1011,1219,656,0,1342,3384,0,965,472,358,0,932,383,0,0.78,0.732,0.567,0.827,0.547,0.198,0.845,0.828,0.904,1.01,0.349,0.554,1.161,0.691,0.243,0.677,0.846,1.21,0.49,1.15,1.44,1.31,1.34,1.23,2.52,0.94,?,no,99
1462,784,0,1512,625,0,1156,632,0,2065,1487,1,2034,1480,1,1376,929,0,1169,1105,704,0,1854,3762,0,1441,663,522,0,926,476,0,0.618,0.845,0.848,0.859,0.951,0.544,0.822,0.824,0.697,0.806,2.167,1.154,1.074,0.944,0.668,1.452,0.682,1.37,2.18,1.28,1.16,1.02,1.11,1.06,1.82,1.72,?,no,18/01/07@30/05/02/24@34/11/03/07@40/01/03
1584,826,0,1864,1004,0,1424,816,0,2459,1738,1,2946,2186,1,1439,1003,0,1310,1184,712,0,1808,3686,0,1640,832,540,0,960,484,0,0.691,0.861,0.844,0.712,0.921,0.715,0.8,0.899,0.669,0.767,0.921,0.922,0.831,1.045,1,1.682,1.081,1.25,1.08,1.21,1.09,1.14,1.46,1.33,1.24,1.97,?,no,01/04@11/02/03/04@16/19/03@20/03/25
1280,630,0,1336,562,0,1071,560,0,2695,1505,0,1508,1052,0,1507,1085,0,963,1635,620,0,1187,3100,0,2786,573,442,0,1052,542,0,0.9,0.946,0.925,0.949,0.899,0.92,0.936,0.958,0.966,1.165,1.438,1.004,0.734,0.421,0.456,1.157,0.777,1.26,1.62,1.16,0.8,0.48,0.52,0.83,0.94,1.24,1,no,01/04@10/03/01@10/03/02@14/07/03
1478,835,0,1544,600,0,1160,586,0,11195,2076,0,1802,1327,0,1734,1397,0,1100,4291,767,0,1210,3095,0,5347,696,498,0,1108,516,0,0.942,0.942,0.94,0.945,0.949,0.986,0.941,0.948,0.984,1.177,1.462,1.625,2.209,0.647,0.658,2.764,6.02,1.25,1.51,1.71,2.36,0.69,0.67,0.73,1.46,2.99,?,yes,01/06/10@11/02/03/01@11/02/03/04@30/01@32/01/07
1378,662,0,1330,527,0,1084,575,0,2168,1456,0,1326,771,0,1552,1235,0,944,1135,602,0,1137,3059,0,1323,605,421,0,1108,546,0,0.681,0.902,0.854,0.916,0.913,0.664,0.877,0.939,0.951,0.857,1.109,1.087,1.106,1.105,0.909,1.054,1.056,1.17,1.32,1.22,1.33,1.11,1.3,1.13,0.68,1.08,1,no,01/04@10/03/02@14/07/03@32/01
2128,1236,0,2000,1028,0,1658,1150,0,3308,1944,0,3519,5246,0,1597,1244,0,1319,2597,1029,0,1680,3616,0,3526,1170,1576,0,1060,669,0,0.815,0.893,0.852,0.881,0.946,0.877,0.9,0.951,0.952,0.98,0.944,0.723,0.343,0.43,0.495,0.53,0.244,1.11,1.08,0.8,0.39,0.45,0.56,0.76,3,0.55,?,no,10/01/03@11/02/03/01@16/03/01@42/16
1468,734,0,1456,663,0,1133,596,0,3576,1840,0,1792,1556,0,1775,1435,0,1028,1810,670,0,1280,3183,0,4667,647,479,0,1096,550,0,0.918,0.927,0.909,0.924,0.929,0.934,0.867,0.977,0.985,0.854,1.32,0.47,0.264,0.213,0.409,0.275,0.273,0.97,1.43,0.53,0.27,0.23,0.4,0.54,0.98,0.27,?,no,01/03/01@01/04@10/03/01/01/11@10/03/02@10/03/04/05@10/03/04/09@10/03/05/01@14/10@16/01@16/07@16/19/05@20/09/14/01@30/01/09@30/05/02/24@32/05/01/07@34/05@34/11/01@41/01/01@42/04/05@42/05@42/10
1252,684,0,1115,390,0,1375,828,0,11975,1472,0,1635,1135,0,1415,1058,0,1110,4685,762,0,1259,3332,0,6011,449,360,0,964,448,0,0.884,0.962,0.923,0.959,0.929,0.934,0.96,0.78,0.954,0.867,1.369,1.169,2.105,3.021,4.003,1.658,1.703,0.96,1.35,1.22,2.16,2.95,4.04,3.97,1.18,2.4,?,no,10/01/09/05@10/03/01/01/11@10/03/03@10/03/05/01@10/03/05/03@11/02/03/04@14/04@14/07/04@14/10@16/01@16/03/01@16/06@16/07@16/17/09@16/19/03@20/01/10@20/09/07@20/09/14/02@20/09/16/09/03@20/09/18/09/01@32/01/03@34/05@40/01@42/01@42/04/03@42/10/03@42/29@43/01/03/05@43/01/03/09
1326,832,0,1236,586,1,1274,767,0,2698,1506,0,2559,1787,0,1307,1085,0,1619,4804,1157,0,1722,3993,0,2690,650,478,0,1003,577,0,0.807,0.519,0.886,0.899,0.862,0.813,0.956,0.964,0.911,0.857,1.348,1.432,1.791,1.374,1.061,1.585,1.262,1.01,1.45,1.49,1.98,1.47,1.23,0.97,1.01,1.61,?,no,20/09/07/03
1463,792,0,1419,607,0,1146,619,0,2364,1628,0,1624,1144,0,1642,1304,0,994,1540,739,0,1099,2992,0,2081,682,546,0,1065,506,0,0.894,0.952,0.925,0.903,0.927,0.944,0.874,0.974,0.971,0.976,1.18,0.581,0.334,0.242,0.382,0.294,0.313,1.12,1.19,0.64,0.37,0.26,0.42,0.72,1.18,0.32,?,no,01/04@01/05/07@01/06@16/19/03@32/01
1320,726,0,1360,657,0,1487,883,0,2084,1460,0,1973,1794,0,1480,1100,0,1095,1423,741,0,1202,3216,0,1810,628,488,0,1028,555,1,0.566,0.923,0.777,0.777,0.922,0.504,0.752,0.953,0.883,0.576,0.57,0.233,0.393,0.377,0.398,0.379,0.356,1.11,0.65,0.31,0.49,0.43,0.75,0.48,2.1,0.39,?,no,20/01/13@20/03/01
1268,730,0,1301,511,0,1453,728,1,2903,1354,0,1958,1164,0,1487,976,0,1090,878,668,0,1254,3273,0,3368,642,494,0,1026,560,0,0.934,0.941,0.958,0.935,0.947,0.421,0.887,0.953,0.934,1.007,1.373,0.796,2.223,2.726,1.274,1.842,2.31,1.09,1.49,1.25,2.29,2.81,2.46,4.85,0.79,1.99,?,no,01/03/04@01/07/01@16/01
1604,980,0,1559,592,0,1259,651,0,4762,2355,0,2556,1452,0,1780,1429,0,1102,1073,701,0,1216,3131,0,5166,1027,568,0,1364,552,0,0.873,0.898,0.897,0.893,0.855,0.679,0.79,0.953,0.95,1.039,1.991,1.505,2.013,2.313,2.388,5.32,5.573,1.22,2.19,1.6,2.26,2.72,3.34,1.71,2.45,5.67,?,no,01/07/01@16/01@32/01
1495,769,0,1301,508,0,1154,601,0,3239,1540,0,1576,989,0,1517,1238,0,984,865,582,0,1280,2988,0,3485,622,414,0,1054,462,0,0.869,0.924,0.918,0.923,0.938,0.914,0.781,0.961,0.975,1.053,0.69,1.222,1.163,0.977,1.181,2.542,2.576,1.2,0.79,1.39,1.27,1.03,1.13,1.6,0.43,2.5,?,no,01/02/02/09/01
1245,697,0,1454,752,0,1547,910,0,4646,1759,0,2089,2071,0,1342,1024,0,2259,10923,2696,0,1299,3511,0,3633,723,545,0,1063,580,0,0.883,0.925,0.917,0.922,0.912,0.922,0.968,0.987,0.946,0.843,1.173,0.663,0.636,0.552,0.792,0.582,0.271,0.96,1.19,0.74,0.65,0.61,0.83,1,0.78,0.59,?,no,14/07/11@14/13/01/01@16/01@18/01/07@18/02/01@20/01/27@32/01@32/05/01
1981,1460,0,2186,915,0,1432,793,1,3728,2574,1,3092,1528,0,2102,1363,0,1211,737,608,0,1169,2954,0,6818,2650,1328,0,1438,734,0,0.855,0.842,0.865,0.802,0.904,0.738,0.565,0.928,0.933,1.166,2.112,1.411,1.51,2.323,2.682,2.032,1.83,1.46,2.47,1.64,1.98,2.6,3.83,2.75,1.29,2.2,?,no,01/04@16/19/03@18/02/01/01@20/03/25@32/01/11
2620,1968,0,1502,679,0,1436,736,0,7348,1738,0,3718,2822,0,1802,1251,0,1221,1820,845,0,1352,3355,0,5428,673,494,1,948,510,0,0.844,0.938,0.923,0.95,0.942,0.928,0.909,0.928,0.907,0.815,1.134,0.96,1.016,1.06,2.136,0.622,0.373,1.01,1.21,1.04,1.07,1.16,2.37,3.53,1.33,0.6,?,no,11/06/02@14/07/05@14/13/01/01
1705,1108,0,1709,871,0,1283,735,1,3155,2076,0,2014,1403,1,1527,1144,0,1089,890,638,0,1181,3028,0,3939,811,722,0,1126,524,0,0.803,0.881,0.46,0.851,0.558,0.875,0.834,0.956,0.958,1.425,1.159,0.725,0.892,0.878,0.865,0.863,1.675,1.53,1.62,1.02,1,0.98,1.08,1.9,2.27,0.9,?,no,10/01/09/05@16/01
2008,1128,0,1858,826,0,1364,728,0,5564,2216,0,3899,1701,0,1542,1065,0,1272,1690,783,0,1284,3460,0,2505,683,464,0,1027,490,0,0.822,0.931,0.92,0.874,0.947,0.855,0.865,0.948,0.808,0.823,1.54,1.871,2.399,4.032,2.402,1.697,3.34,1.04,1.68,2.09,3.07,4.15,2.96,2.13,1.69,1.84,?,no,01/04@14/07/03@30/01/05@30/01/09/03@34/11/11@40/01
5507,4363,0,2401,1707,0,1470,795,0,17519,8444,0,11014,3560,0,1926,1402,0,2562,1771,1072,0,1125,3106,0,11523,5003,2628,0,6790,3918,0,0.862,0.929,0.888,0.923,0.917,0.965,0.892,0.941,0.928,1.088,1.348,2.298,2.778,3.294,2.932,1.533,1.28,1.31,1.47,2.53,3.2,3.65,3.1,3,1.42,1.81,?,no,01/03/04@01/05/02/07@01/05/03/01/04@01/05/25@02/19@16/01
1186,588,0,1204,575,0,1252,728,0,1898,1488,0,1583,1055,0,1195,1053,0,1158,961,732,0,1140,2986,0,1344,650,481,0,945,513,0,0.841,0.92,0.77,0.843,0.773,0.63,0.452,0.957,0.92,0.904,0.443,0.354,0.41,0.534,0.437,0.248,0.249,0.91,0.5,0.51,0.53,0.63,0.79,1.06,0.38,0.27,?,no,01/01
1291,780,0,1365,652,0,1645,1050,0,3674,1518,0,1762,1154,0,1180,831,0,1181,2876,890,0,1175,3167,0,2273,459,333,0,927,444,0,0.919,0.942,0.918,0.953,0.949,0.958,0.959,0.877,0.943,1.129,1.138,1.009,1.167,1.069,1.275,1.03,0.935,1.18,1.23,1.05,1.18,1.09,1.33,1.4,1.59,1.23,1,no,01/04@01/06@14/04@20/09/13@32/01@42/25
1247,629,0,1382,678,0,1400,782,0,2698,1605,0,1922,1239,0,1319,1029,0,1299,2270,797,0,1273,3453,0,2120,674,470,0,1025,488,0,0.836,0.846,0.834,0.892,0.894,0.638,0.943,0.956,0.874,0.815,0.7,1.484,1.872,1.495,1.057,1.389,0.809,1.05,0.81,1.71,2.14,1.67,1.61,1.63,1.97,1.43,?,no,32/07
1270,718,0,1380,655,0,1406,786,0,2917,1694,0,1599,942,0,1488,996,0,1262,1837,915,0,1142,3180,0,1518,399,317,0,945,439,0,0.864,0.922,0.853,0.937,0.908,0.914,0.93,0.835,0.959,0.978,1.134,0.487,1.121,1.315,1.665,0.638,0.993,1.12,1.22,0.63,1.23,1.31,1.71,2.27,2.39,0.84,?,no,01/01/09/07/01@01/04
1256,606,0,1302,517,0,1490,826,0,2235,1573,0,1614,1057,0,1345,1044,0,1231,1852,861,0,1159,3059,0,657,387,313,0,919,419,0,0.787,0.826,0.792,0.859,0.659,0.846,0.923,-0.091,0.919,0.843,0.671,0.349,0.565,0.629,0.679,-0.003,0.453,0.96,0.91,0.47,0.69,0.84,0.85,0.75,1,0.15,?,no,10/01/03@10/01/05/01@10/03/01/01/09@10/03/04/03
1320,750,0,1468,704,0,1689,1146,0,3231,1776,0,1853,1358,0,1470,1162,0,1309,3272,1041,0,1142,3308,0,1162,464,343,0,1081,564,0,0.85,0.912,0.761,0.886,0.842,0.917,0.959,0.737,0.946,1.046,0.45,0.46,0.811,0.94,0.932,0.486,0.882,1.25,0.5,0.56,0.88,1.15,1.04,0.87,1.39,0.77,?,no,11/02/03/04@16/11@18/02/09@34/11/03@34/11/12
2038,1335,0,1508,651,0,1456,768,0,5525,2182,0,2480,1819,0,2244,1920,0,1208,3206,994,0,1178,3017,0,5220,1267,750,0,1082,453,0,0.88,0.967,0.938,0.937,0.956,0.943,0.951,0.947,0.963,1.148,1.624,1.16,1.078,0.964,0.823,1.862,2.198,1.39,1.71,1.23,1.17,1,0.88,0.93,1.02,2.01,1,no,01/04/04@11/02/03/04@16/03/01@32/01/11
2096,1226,0,1774,828,0,1219,615,0,2878,1670,0,1933,1358,0,1570,1143,0,1064,1014,724,0,1373,3405,0,1456,600,480,0,1021,484,0,0.843,0.887,0.87,0.89,0.935,0.683,0.734,0.927,0.898,0.811,1.097,0.867,0.87,0.889,1.189,0.558,0.748,0.97,1.2,1,1.02,1.11,1.67,1.76,1.84,0.62,?,no,10/01/09/05@10/03/01@11/02/03/04
1062,555,0,1018,419,0,1195,683,0,1916,1635,0,1334,888,0,1233,1016,0,1058,894,773,0,1469,3444,0,731,582,469,0,798,527,0,0.387,0.311,0.211,0.319,0.493,0.331,0.106,0.68,0.102,0.385,0.45,0.271,0.441,0.505,0.264,0.766,0.115,1.04,1.36,1.3,1.31,1.23,0.77,1.49,1.15,1.09,?,no,14/01
1136,581,0,1051,429,0,1357,788,0,2826,2034,0,1656,1281,0,1314,1016,0,1232,3029,858,0,1358,3304,0,2294,681,508,0,941,620,0,0.851,0.89,0.873,0.91,0.914,0.876,0.906,0.972,0.95,1.101,1.079,0.822,0.996,1.181,1.307,0.985,0.543,1.26,1.2,0.97,1.06,1.31,1.25,1.29,1.53,1.04,?,no,20/01/01/07@20/01/03@20/03@20/09/04@42/16
1167,686,0,1107,529,0,1347,782,0,3411,2053,0,1815,1495,0,1346,1206,0,1278,10051,1060,0,1513,3419,0,5089,625,457,0,1097,653,0,0.879,0.933,0.918,0.886,0.933,0.938,0.954,0.973,0.975,0.786,0.721,0.593,0.833,0.5,0.438,1.112,1.071,0.96,0.75,0.64,0.97,0.53,0.49,0.5,0.62,1.12,?,no,01/07/01
1090,602,0,1246,524,0,1334,810,0,4695,1412,0,1586,1249,0,1222,887,0,1129,10083,848,0,1119,3203,0,7413,623,445,0,1004,587,0,0.951,0.958,0.966,0.955,0.956,0.915,0.971,0.94,0.958,1.041,0.854,0.716,0.624,0.621,0.788,0.438,0.273,1.07,0.82,0.74,0.65,0.62,0.85,1.01,0.97,0.45,?,no,14/07/11@14/13/01/01@16/01@32/01
1286,790,0,1204,587,0,1262,789,0,3403,2142,0,1799,1288,0,1359,1102,0,1263,2647,832,0,854,3302,0,2716,682,481,0,1003,563,0,0.821,0.906,0.909,0.893,0.917,0.911,0.887,0.966,0.955,0.789,0.822,1.22,1.484,1.814,1.164,1.055,1.302,1.08,0.9,1.39,1.62,1.77,1.22,1.97,1.28,1.07,5,no,14/10@16/01@20/01/10@20/09/07/03@20/09/07/25@42/09
1135,560,0,1132,456,0,1234,730,0,4388,1347,2,1476,1166,0,1299,963,0,1017,6032,782,0,1062,3227,0,2871,562,437,0,976,549,0,0.91,0.935,0.961,0.744,0.938,0.927,0.956,0.938,0.946,0.934,0.685,0.609,0.526,0.684,0.918,0.389,0.267,1.03,0.7,0.62,0.65,0.73,0.97,1.13,0.92,0.42,?,no,10/03/01@14/07/11@14/13/01/01@32/01
1466,780,0,1984,658,0,1617,717,0,10708,2094,0,2170,1047,0,2149,1322,0,1699,3349,756,0,1474,3530,0,12129,759,548,0,1158,628,0,0.839,0.935,0.919,0.929,0.949,0.957,0.928,0.972,0.939,0.774,6.325,2.937,2.01,3.809,4.8,2.039,2.549,0.94,6.71,3.13,2.28,4.44,5.13,4.91,0.65,2.1,?,no,01/04@01/05/02/04@01/05/02/07@01/05/25@02/01/03@16/01@16/19/03@20/01/03@20/09/18@43/01/03/09
