@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.19,-0.241,-0.042,-0.64,-1.23,-1.402,0.56,0.735,0.706,0.784,0.553,0.233,0.1,-0.6,-0.61,-0.596,-0.845,-0.587,-0.917,-0.694,0.388,0.532,-0.135,0.482,-0.071,-0.18,1.003,0.356,0.598,0.214,-0.827,-0.609,0.322,0.554,0.21,-0.607,0.787,0.055,0.659,99
0.014,0.199,0.205,0.084,0.103,0.34,0.354,-0.098,-0.263,-0.174,0.012,-0.142,-0.11,-0.29,-0.227,-0.282,0.117,-0.205,0.001,0.229,1.029,0.669,0.357,0.614,0.573,-0.078,0.196,?,-0.472,-0.212,-0.138,?,-0.014,1.631,0.748,-0.19,0.109,?,-0.913,99
0.03,-0.01,-0.3,-0.24,-0.33,-0.28,-0.434,-0.47,-0.49,-0.72,-0.39,-0.64,-0.423,-0.527,-0.565,0.18,0.31,0.25,0.22,0.21,0.196,0.311,0.129,-0.31,-0.21,-0.41,-0.41,-0.07,-0.35,-0.3,0.214,0.741,-0.67,-0.76,-0.4,0,-0.085,0.23,-0.66,01/07/04@01/20/19/01@14/07@14/10
?,-0.263,-0.086,-0.42,-0.318,-0.541,0.038,0.273,0.034,0.348,0.208,0.203,-0.043,-0.03,0.024,0.194,0.009,-0.205,-0.609,-0.404,0.203,0.221,0.273,0.532,0.281,-0.122,0.115,0.026,0.214,-0.039,0.044,0.273,0.366,0.163,-0.328,-0.137,0.13,0.101,-0.333,01/04@01/06@10/03/03@20/09/07/06@30/01/09/11@43/01/03/09
0.097,0.01,0.11,0.58,0.44,0.36,0.242,0.16,0.21,0.39,0.33,0.3,0.216,0.611,0.566,-0.292,-0.523,-0.386,-0.448,-0.318,-0.254,-0.2,-0.237,-0.12,-0.238,-0.304,-0.139,0.063,-0.179,-0.203,-0.601,-0.097,-0.01,-0.14,-0.33,0.148,0.136,-0.245,-0.205,01/03/01@01/04@01/05/25@10/03/01@10/03/03@10/03/05@16/01@16/09@16/19/05@20/01/26@20/09/16/09/03@34/11/03/07@40/01@41/01/01@42/01@42/04@43/01/03/05@43/01/03/09
0.03,-0.057,0.072,-0.277,-0.067,0.244,0.47,0.289,0.084,0.661,0.353,0.366,-0.01,0.08,0.09,-0.2,-0.383,-0.179,-0.559,-0.287,0.032,0.187,-0.019,-0.22,-0.189,-0.257,-0.184,0.021,-0.236,-0.24,-0.095,-0.034,-0.266,-0.244,-0.556,-0.006,0.208,0.047,-0.234,01/05/25@10/03/01@10/03/02@10/03/03@14/10@16/01@16/09@16/19/05@34/11/03/07@40/01@41/01/01@42/01@42/04@43/01/03/05@43/01/03/09
0.203,0.158,-0.07,0.082,0.178,0,0.261,0.352,0.344,0.474,0.608,0.371,0.19,-0.067,-0.241,0.485,0.389,0.308,-0.061,-0.098,-0.016,0.006,-0.473,-0.161,0.192,-0.173,-0.265,-0.101,-0.164,0.065,-0.452,0.138,0.221,-0.292,-0.739,-0.005,0.105,-0.455,-0.141,10/03/01@10/03/03@14/10@16/01@16/09@16/19/05@34/11/03/07@40/01@42/01@42/04@43/01/03/05
-0.06,-0.23,-0.99,-1.92,-1.92,-1.53,0.22,0.1,0.01,-0.54,-0.82,-0.67,-0.85,-1.19,-1.19,-0.88,-0.71,-0.43,-0.55,-0.51,0.4,0.39,0.1,-0.32,-0.08,0.39,0.47,0.38,-0.39,-0.16,0.533,0.46,-2.71,-0.83,-0.63,-0.24,0.17,0.491,-0.12,99
0.174,0.16,0.031,-0.061,-0.124,-0.247,0.015,0.12,0.175,0.28,0.192,0.195,0.029,-0.163,-0.141,-0.012,-0.163,-0.037,0.05,0.069,0.173,1.145,0.314,-0.437,-0.923,-1.031,-0.424,-0.041,0.047,0.029,0.692,-0.127,0.51,-0.164,-0.308,-0.012,0.029,0.395,-0.288,10/01/09/05@10/03/01/01/11@10/03/03@10/03/05/01@10/03/05/03@11/02/03/04@14/04@14/07/04@14/10@16/01@16/03/01@16/06@16/07@16/17/09@16/19/03@20/01/10@20/09/07@20/09/14/02@20/09/16/09/03@20/09/18/09/01@32/01/03@34/05@40/01@42/01@42/04/03@42/10/03@42/29@43/01/03/05@43/01/03/09
0.196,0.61,0.78,0.79,0.79,0.88,-0.61,-0.61,-0.1,-0.04,-0.17,-0.36,0.29,-0.496,-0.343,0.579,0.573,0.547,0.019,0.07,0.208,0.409,0.198,0.429,0.574,0.034,-0.636,-0.661,-0.607,-0.379,1.089,0.251,0.69,0.58,0.21,-0.002,0.297,-0.127,-0.628,14/10@16/01@40/01@42/04/03@43/01/03/05
0.11,0.105,0.633,0.787,0.927,0.898,0.31,0.529,0.663,1.114,0.845,0.844,0.41,0.72,0.85,0.67,0.335,0.364,0.204,-0.048,0.205,-0.407,-0.055,0.985,0.656,0.329,0.205,0.146,0.255,0.063,-0.351,-0.602,0.75,0.616,0.331,-0.002,0.173,-0.516,-0.074,16/01@20/09/14/02@20/09/18/09/01@32/01/03@34/05@34/11/03/07@40/01@42/01@42/04/03@43/01/03/05
-0.128,-0.43,-0.74,-0.64,-0.73,-0.74,-0.438,-0.83,-0.79,-0.67,-0.35,-0.46,-0.277,-0.398,-0.386,-0.983,-0.654,0.182,-0.405,-1.121,-0.273,1.78,-0.063,-0.739,-0.239,0.01,-0.035,-0.045,-0.499,-0.204,-0.904,0.186,-0.89,-1.17,-0.63,-0.104,0.086,0.59,0.078,12/07@16/03/03@34/01/01/01
0.1,-0.04,0.1,0.2,0.522,-0.18,-0.03,0.23,0.21,0.01,0.12,0.12,0.2,0.14,0.24,0.09,0.01,-0.31,-0.42,-0.55,-0.07,-0.24,-0.16,0.5,0.47,0.267,0.01,0.18,-0.13,0.01,-0.4,-0.28,0.39,0.24,0.11,0,-0.09,-0.34,0.08,16/01@20/09/07@20/09/14@20/09/18/09/01@32/01/03@34/11/03/07@40/01@42/04@43/01/03/05
0.105,0.327,0.57,0.719,0.715,0.711,-0.44,-0.237,0.342,0.278,0.126,0.176,0.2,0.51,0.55,0.399,0.41,-0.049,0.003,-0.202,0.395,0.614,0.498,0.246,0.231,-0.178,-0.353,-0.3,-0.476,-0.065,0.922,-0.045,0.765,0.417,0.234,-0.043,0.076,-0.315,-0.572,10/03/01@10/03/03@10/03/05/01@10/03/05/03@11/02/03/04@14/04@14/07/04@14/10@16/01@16/06@16/07@16/19/03@20/01/10@20/09/07@20/09/14/02@20/09/16/09/03@20/09/18/09/01@32/01/03@34/05@40/01@42/01@42/04/03@42/10/03@42/29@43/01/03/05@43/01/03/09
-0.146,-0.223,-0.058,0.366,0.562,0.442,0.016,-0.09,-0.052,0.088,0.084,0.027,-0.008,0.381,0.358,0.251,-0.141,-0.254,-0.153,-0.157,0.336,0.514,0.36,0.248,0.114,0.071,-0.116,-0.154,-0.037,0.332,0.029,-0.069,-0.356,0.006,-0.146,-0.217,-0.042,0.445,-0.274,01/03/01@01/04@10/03/01/01/11@10/03/02@10/03/04/05@10/03/04/09@10/03/05/01@14/10@16/01@16/07@16/19/05@20/09/14/01@30/01/09@30/05/02/24@32/05/01/07@34/05@34/11/01@41/01/01@42/04/05@42/05@42/10
0.013,0.374,0.396,0.236,0.365,0.152,-0.213,-0.399,0.242,0.056,-0.223,0.146,0.211,0.238,0.265,0.304,-0.15,-0.005,0.227,0.186,-0.002,0.78,-0.039,-0.665,-0.78,-1.079,-1.286,-0.916,-0.69,0.018,0.502,-0.435,-0.595,-0.759,-0.793,0.17,0.295,-0.064,-0.207,01/03/01@01/04@10/03/01/01/11@10/03/02@10/03/04/05@10/03/04/09@10/03/05/01@14/10@16/01@16/07@16/19/05@20/09/14/01@30/01/09@30/05/02/24@32/05/01/07@34/05@34/11/01@41/01/01@42/04/05@42/05@42/10
0.267,0.149,0.19,0.261,0.304,0.377,0.195,0.154,0.198,0.46,0.323,0.005,0.187,0.266,0.274,0.541,0.052,-0.1,-0.081,-0.131,0.046,0.101,0.089,0.416,-0.024,0.002,-0.102,-0.008,-0.068,0.299,-0.287,-0.802,0.291,-0.026,-0.081,0.027,0.22,-0.317,0.331,10/03/03@10/03/05/03@14/10@16/01@20/09/14/02@20/09/18@34/05/01@40/01@40/10/02/03@42/01@42/04/03@43/01/03/05
-0.055,0.238,0.448,0.186,0.06,0.143,0.363,0.401,0.243,0.641,0.629,0.367,0.313,0.371,0.152,0.573,0.018,0.122,-0.024,-0.13,-0.298,0.17,-0.178,0.055,-0.048,0.192,-0.802,-0.567,-0.61,-0.328,0.577,0.039,0.002,-0.349,-0.176,0.03,0.189,?,-0.177,16/01@16/06@40/01@42/04/03@42/04/05@43/01/03/05
?,-0.212,-0.158,1.83,-0.388,-0.262,?,-0.103,0.07,0.108,0.056,0.189,0.159,?,?,0.168,0.266,0.146,0.329,-0.244,0.192,?,0.342,-0.631,0,3.068,0.041,-0.153,-0.091,0.404,-0.634,0.86,-0.54,-0.801,-0.547,-0.397,0.076,?,-0.112,16/01@16/07@30/01/05/05/01@34/11/03/07@40/01/03@42/04/03@43/01/03/05
-0.389,0.247,0.03,0.17,0.149,0.233,-1.218,-0.81,0.014,-0.756,-0.967,-0.679,-0.436,-0.686,-0.858,0.409,0.204,-0.036,0.219,0.09,0.531,0.144,0.118,-0.875,-0.826,-0.731,-0.933,-0.312,-0.604,-0.4,1.381,0.108,-0.149,-0.37,-0.054,-0.044,0.127,?,-0.312,10/03/03@14/10@16/01@20/09/18/09/01@32/01/03@40/01@42/04/03@43/01/03/05
-0.06,0.058,0.388,0.611,0.651,0.415,0.03,0.25,0.427,0.753,0.387,0.516,0.26,0.61,0.44,0.371,0.247,-0.088,-0.026,-0.341,0.18,-0.024,0.239,0.776,0.506,0.288,0.183,0.268,0.156,0.303,-0.373,-0.385,1.074,0.904,0.875,-0.182,0.081,-0.375,-0.206,14/10@16/01@16/07@34/05@42/04/03
0.314,0.174,0.567,0.463,0.449,0.618,?,0.218,0.232,0.315,0.368,0.238,0.507,0.562,0.795,0.455,0.096,-0.178,-0.271,-0.165,0.171,0.402,-0.257,0.927,0.543,0.339,-0.087,-0.036,0.017,0.094,-0.112,-0.452,0.614,0.516,-0.093,-0.214,0.027,-0.277,-0.086,14/10@16/01@16/07@20/09/14@34/05@40/01@42/04/03
-0.094,0.148,-0.212,-0.272,-0.59,-0.692,-0.199,-0.141,-0.011,-0.214,-0.371,-0.305,-0.303,-0.641,-0.924,-0.059,-0.427,-0.429,-0.729,-0.553,0.007,-0.095,-0.181,0.052,-0.331,0.616,-0.383,-0.56,-0.345,-0.622,0.5,-0.002,-0.397,-0.087,-0.567,-0.109,0.182,-0.216,-0.294,10/03/01@10/03/03@10/03/04/09
-0.15,-0.08,-0.17,0.14,-0.21,-0.18,-0.18,-0.07,-0.19,-0.22,-0.21,-0.27,-0.24,-0.27,-0.05,-0.05,0.22,0.127,-0.08,-0.18,0.18,0.38,0.36,-0.02,0.027,0.1,-0.06,-0.21,0.22,0.19,0.51,0.23,-0.45,-1.14,0.1,-0.3,-0.06,0.062,-0.26,02/45/11@10/03/01/01/11@10/03/04/09@10/03/05/01@20/09/07@20/09/14
0.063,0.078,0.062,0.205,0.024,?,0.239,0.04,0.609,0.235,0.073,-0.026,0.13,-0.044,0.011,0.041,0.126,0.144,-0.112,-0.079,-0.147,-0.253,-0.188,0.431,0.354,0.328,0.198,0.257,0.365,0.583,-0.418,-0.749,-0.14,-0.009,0.3,0.772,-0.405,-0.69,0.167,01/02@10/03/05/03@16/01@16/06@20/09/14/01@34/05/02@42/04/03@42/04/05
0.16,0.068,0.361,0.318,0.441,0.559,-0.18,-0.24,0.19,0.441,0.223,0.165,0.04,0.34,0.23,0.413,-0.015,-0.016,-0.564,-0.454,0.13,-0.02,-0.091,0.593,0.299,-0.144,-0.708,-0.412,-0.669,-0.55,0.358,-0.385,1.161,1.061,0.98,0.037,0.238,-0.422,-0.36,16/01@20/09/18/09/01@32/01/03@34/05@34/11/03/07@40/01@42/01@42/04/03@43/01/03/05
0.255,0.48,0.462,0.476,0.04,0.214,0.293,-0.025,0.19,0.448,0.425,0.257,0.394,0.539,0.202,0.017,-0.162,-0.467,-0.59,-0.605,0.122,0.728,0.394,0.476,0,0.072,-0.629,-0.484,-0.505,-0.16,0.886,0.025,0.708,0.993,0.373,0.837,-0.387,0.121,-0.18,16/01@16/06@16/17/01@20/09/16@20/09/18/09/01@32/01/03@40/01/03@42/04/03@43/01/03/05
-0.27,-0.411,0.068,-0.329,-0.567,-0.353,0.53,0.48,0.216,0.272,-0.012,0.191,0.1,-0.26,-0.06,-0.449,-0.529,-0.43,-0.846,-0.587,-0.131,-0.134,-0.194,-0.078,0.123,0.312,0.36,0.126,0.121,0.045,-0.223,0.037,-0.481,-0.365,-0.598,-0.073,-0.002,-0.24,-0.165,01/03/01@01/04@01/05/25@10/03/01@10/03/03@10/03/04/09@11/02/03/04@16/01@16/19/05@18/02/01/01/05@20/09/16/09/03@20/09/18/09/01@30/01/05/05/01@30/05@32/01/03@32/05/03@34/05/01@34/07/02@34/11/03/03@34/11/03/07@34/11/03/13@40/01/03/01@40/01/03/03@40/10/02@42/01@42/04/03@42/04/05@42/29@43/01/03/05
-0.09,-0.24,-0.22,-0.32,-0.43,0.03,0.19,-0.03,-0.28,-0.31,-0.4,-0.45,-0.43,-0.74,-0.36,-0.06,0.38,0.266,0.6,0.34,0.42,0.72,0.61,0.2,0.27,0.31,0.33,0.795,-0.04,0.02,0.13,0.84,-0.51,-0.85,-0.94,-0.4,-0.1,0.421,0.01,10/03/03@16/01@32/01/03@40/01@42/04/03@43/01/03/05
0.241,-0.42,-0.14,-0.147,-0.304,-0.272,0.793,0.501,?,0.549,0.375,0.581,0.549,0.182,0.201,0.265,0.38,0.565,-0.083,-0.038,-0.372,-0.032,-0.134,-0.038,0.151,0.295,0.435,0.254,0.363,0.287,-0.986,-0.568,0.017,-0.161,-0.294,-0.197,0.138,-0.143,0.065,14/01@16/01@42/04/03@42/04/05
?,-0.087,-0.055,-0.051,-0.064,-0.158,0.517,0.146,1.329,0.104,0.363,0.149,?,0.131,?,-0.23,0.136,0.265,0.119,0.284,0.296,0.592,0.235,0.269,0.457,0.39,0.307,0.134,-0.032,0.193,-0.88,0.718,0.051,-0.474,-1.069,-0.328,-0.021,?,0.406,02/45/11@10/03/03@20/01/21@20/09/07@20/09/13@20/09/14@20/09/16@20/09/18/09/01@34/11/03/07@42/07@42/25@42/29@43/01/03/05
-0.029,0.039,0.022,-0.31,-0.549,-0.293,0.263,0.054,0.03,0.152,-0.115,-0.104,-0.046,-0.768,-0.463,-0.527,-0.588,-0.231,-0.817,-0.403,-0.146,-0.264,-0.091,-0.916,-0.426,-0.351,-0.591,-0.919,-0.952,-0.317,0.587,?,-0.95,-1.397,-0.967,0.103,0.36,?,-0.091,10/03/01@14/01@16/01@42/04/03@42/04/05
0.053,-0.067,0.092,0.011,0.006,0.041,-0.008,0.222,0.291,0.144,0.044,0.146,0.306,0.219,0.272,0.704,0.156,0.118,0.444,0.188,-0.007,0.366,0.114,0.474,0.294,0.142,0.427,0.435,0.051,0.176,-0.369,-0.395,1.003,0.987,0.485,-0.146,0.216,-0.171,0.148,10/03/03@16/01@32/01/03@40/01@42/04/03@43/01/03/05@43/03
-0.029,-0.18,-0.18,-0.42,-0.45,-0.43,-0.236,-0.13,-0.24,-0.16,-0.09,-0.03,-0.129,-0.307,-0.285,0.11,0.31,-0.12,-0.33,-0.32,0.322,0.338,0.494,-0.2,-0.15,-0.25,-0.26,0.04,-0.27,-0.01,-0.279,?,-0.255,-0.31,-0.49,-0.18,-0.11,-0.029,-0.08,10/03/01/01/11@10/03/04/09@42/04/05
-0.366,0.286,-0.278,0.046,-0.162,-0.034,-0.24,-0.607,0.585,-0.801,-0.418,-0.38,-0.152,-0.485,-0.424,-0.712,0.286,-0.691,-0.377,-0.309,-0.192,0.061,-0.35,-0.751,?,-0.192,-0.295,-0.088,-0.492,-0.164,0.369,?,-3.034,-1.353,-0.037,-0.091,0.073,?,-0.217,10/03/01@10/03/04/01@10/03/04/05@42/04/05@42/05
-0.03,0.04,0.13,0.07,-0.17,0.1,0.13,-0.15,1.07,-0.17,-0.06,-0.07,-0.06,0.03,-0.1,0.14,0.439,0.413,0.31,0.969,0.52,0.31,0.36,0.16,-0.22,0.1,0.02,-0.23,0.2,0.11,0.71,0.664,-1.25,-0.99,-0.16,0.03,-0.065,?,?,10/03/01@42/04/05
0.26,0.083,0.352,-0.102,-0.206,-0.152,0.31,0.113,0.018,0.187,0.195,0.132,0.05,0.26,-0.171,-0.062,-0.222,-0.314,-0.29,-0.276,0.287,0.622,0.464,-0.165,-0.331,-0.364,-0.794,-0.117,-0.349,-0.132,0.101,0.755,-0.205,-0.038,-0.377,-0.142,0.05,-0.047,-0.135,10/03/01@10/03/05/01@42/04/05
