@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.175,0.056,0.302,?,-0.267,-0.067,0.489,0.427,0.28,-0.111,0.157,-0.515,-0.009,01/07/01
0.33,-0.44,-0.11,0.13,0.2,0.03,0.15,-0.07,-0.03,0.45,0.2,-0.12,-0.335,32/07@42/16
0.053,0.089,0.299,0.03,-0.141,-0.027,-0.098,-0.119,0.019,3.153,3.257,2.81,-0.222,01/05@02/07/01@16/21/07
-0.59,-0.34,-0.26,0.326,-0.1,0.2,-1.19,-0.23,-1.304,-0.64,-1.26,-1,0.067,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
-0.33,-0.31,-0.35,-0.247,-1.39,-0.56,-0.23,-0.43,0.74,1.64,1.97,0.85,-0.427,01/01@01/05/02/04@01/05/02/07@01/06/06@02/01@02/07/03@16/21/11
0.408,0.591,0.806,0.506,0.742,0.691,0.461,-0.045,-0.187,0.435,0.597,-0.132,-0.138,14/04@20/09/03
0.21,0.08,0.16,0.32,0.35,0.26,0.86,0.42,0.7,0.55,-0.42,-0.01,0.386,14/04@16/01@16/02@20/09/03
0.1,-0.02,-0.04,-0.14,-0.05,-0.03,0.5,0.19,0.36,0.37,0.42,0.04,0.18,01/04@14/10@16/19/03@42/19
-0.279,-0.177,-0.366,0.014,-0.068,-0.128,-0.524,-0.354,-0.346,0.307,0.432,0.257,-0.262,14/04@16/01@20/09/03
0.573,0.234,-0.016,-0.3,-0.083,0.039,0.054,-0.536,0.194,-0.788,-0.412,-0.19,0.102,16/01@20/09/03
0.041,0.033,-0.151,0.417,0.368,0.352,0.113,0.003,-0.259,-0.341,?,?,-0.424,99
-0.007,0.248,0.333,-0.062,-0.048,-0.118,0.355,0.109,-0.062,-0.575,-0.799,-0.1,0.414,42/19
-0.019,0.357,-0.153,0.058,0.161,?,-0.374,-0.447,0.434,-0.472,-0.652,-0.61,0.324,14/04@20/09/03
0.12,-0.5,-0.325,0.59,0.588,0.531,0.066,-0.291,-0.281,0.167,-0.473,-0.848,-0.285,14/01@16/01@20/01/10@20/09/03
0.51,-0.22,-0.564,-0.276,-0.52,-0.05,0.32,0.431,0.08,-0.15,-0.1,-0.29,-0.167,01/06/10@11/02/03/04/01@16/03/01@42/19
0.257,0.116,0.288,0.121,-0.228,-0.166,-0.272,-0.55,-0.022,0.222,-0.151,-0.282,0.361,01/01/09/04/01
-0.161,-0.054,-0.11,0.169,0.141,0.127,0.008,-0.394,0.004,-0.321,-0.561,-0.415,0.288,01/04/04@01/05/02@01/05/25@01/06/05@02/19@02/25@10/01/03@10/03/01/01/03@10/03/01/01/05@10/03/01/01/09@10/03/01/01/11@10/03/01/02@10/03/01/03@10/03/02/01@10/03/03@11/02/03/04@14/07/03@16/01@16/17/07@16/19/03@18/01/01@18/02/01/01@18/02/05@18/02/09@30/01/05/01/02@30/01/05/01/03@30/01/05/01/06@30/05/01/18@32/01/03@32/01/09@34/05/01@34/11/03/03@34/11/03/07@34/11/03/13@40/01/03@42/01@43/01/03/05@43/01/03/09
-1.08,-1.09,-1.63,-0.08,-0.59,-0.7,-0.56,0.37,-0.113,-1.757,-0.99,-2.233,0.381,01/04@01/05@01/07/04@20/01/25@32/01/11@43/01/03/05
0.03,0.09,0.1,0.181,-0.16,-0.12,-0.26,-0.32,0.027,0.26,-0.18,-0.04,0.219,01/04@02/13/03@02/45@16/17
0.603,0.894,0.86,0.502,0.236,0.264,0.209,-0.362,0.474,-1.096,-0.484,-0.193,?,01/04/04@01/05/25@02/19@10/01/03@10/01/05/01@10/01/09/05@10/03/01/01/03@10/03/01/01/05@10/03/01/01/09@10/03/01/01/11@10/03/02/01@10/03/03@10/03/04/07@11/02/03/01/01@11/02/03/04@14/07/03@16/01@16/03/01@16/03/03@16/19/03@18/01/01@18/02/01/01@30/01/05/01/03@30/01/05/01/06@34/05/01@34/11/03/07@40/01@42/10/03@43/01/03/05
-0.27,-0.01,-0.13,?,-0.49,-0.68,-0.21,-0.71,-0.03,-1,-1.06,-0.41,0.055,01/04/04@11/02/03/04@16/03/01@32/01/11
-0.198,0.061,-0.094,-0.768,0.233,0.184,0.066,0.021,-0.138,-0.222,0.272,0.202,-0.106,10/01/09/05@11/02/03/04@14/07/04
0.141,-0.044,0.02,-0.303,0.362,0.225,0.165,-0.522,-0.226,0.484,?,?,-0.595,01/04/04@16/01@16/19/05@20/01/01/07/07@30/01/05/05/01@40/10/02
0.164,0.275,0.515,0.15,-0.179,0.184,-0.345,0.205,0.223,0.684,0.615,-0.139,0.252,01/04@01/06/02/01@20/09/18/09/01@30/01/09/11@42/01
-0.46,-0.334,-0.513,0.279,-1.068,-0.355,-0.165,-0.856,?,-0.632,-0.54,-0.035,-0.202,01/06/02/01@01/06/10@11/02/03/01@11/02/03/04
0.11,0.193,0.425,0.312,0.213,0.392,0.154,-0.326,-0.148,0.232,-0.15,-0.284,-0.375,01/04@01/06/02/01
0.252,0.334,0.333,0.085,0.328,0.319,0.091,-0.114,-0.148,0.863,0.57,0.555,?,01/04@01/06/02/01@20/09
0.488,0.445,0.77,-0.389,0.391,0.253,0.862,0.37,0.103,0.9,0.933,0.766,?,01/04@01/06/10@10/03/03@40/01
0.032,0.009,0.07,0.162,0.255,0.429,-0.265,-0.781,0.513,-0.064,-0.342,-0.298,0.085,01/04@01/06/02/01
0.529,0.149,0.455,?,-0.099,-0.112,0.609,0.223,0.501,0.926,-1.433,0.75,?,01/06
-0.15,-0.133,-0.34,-0.37,-0.48,-0.327,0.08,0.095,0.24,-0.37,-0.202,-0.206,0.04,01/06
-0.08,0.1,0,-0.432,-0.5,-0.37,-0.11,-0.323,-0.066,0.09,0.32,0.03,-0.097,01/01@01/06/02/01@10/03/01@42/01@42/16
-0.073,-0.002,0.063,0.053,-0.094,-0.128,0.213,-0.037,0.262,-0.06,-0.104,-0.125,?,01/06/02/01@16/17
0.147,-0.138,0.049,-0.155,-0.459,-0.532,-0.27,-0.338,0.294,0.859,0.757,0.09,-0.489,01/06/02/01@01/20/19
0.084,-0.053,0.006,-0.22,-0.149,-0.071,0.473,-0.538,0.246,0.768,0.707,-0.276,0.132,01/06/02/01@01/20/19
-0.315,0.15,0.581,-0.232,-0.776,-0.454,1.255,-0.566,0.698,-1.895,-0.643,-0.563,0.469,01/06/02/01
-0.33,-0.13,-0.02,-0.075,-0.13,-0.21,-0.78,-0.19,0.322,0.051,0.457,-0.322,?,14/04
-0.114,-0.173,-0.388,0.437,0.107,0.003,-0.032,-0.279,-0.434,0.299,0.189,-0.11,-0.466,20/09/07/03@20/09/16/02@30/01@43/01/03/05@43/01/03/09
-0.11,0.18,-0.144,0.18,-0.16,-0.29,0.35,0.13,-0.09,-0.89,-0.915,-0.31,0.21,01/01/05/01/01@01/07/01@01/20/17/03@42/01
0.79,0.82,0.7,-0.19,0.5,0.08,0.66,-0.15,0.8,1.21,1.78,1,-0.053,01/04@10/03/01/01/03@14/07/03@20/01/11@20/09@34/01@34/11/12
-0.312,-0.158,-0.056,0.384,0.292,0.347,-0.601,-0.489,-0.289,-0.911,-1.687,-0.532,0.444,01/01/03/03/01@01/04
-0.292,-1.119,-0.588,-0.361,-0.34,-0.936,1.341,0.319,0.711,2.855,1.379,0.921,?,01/01/03/02/01@01/01/03/03/02@01/01/03/05/01
0.931,0.616,0.665,0.392,1.144,0.958,0.419,-0.567,-0.139,0.62,0.643,0.505,-0.921,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
1.037,1.296,1.373,0.14,1.163,1.112,0.293,-0.176,-0.054,1.001,0.717,0.895,-0.374,14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
0.88,0.824,0.974,0.224,1.13,0.805,0.397,-0.061,?,0.121,-0.013,-0.105,-0.512,14/07/11@14/13/01/01@16/01@32/01
1.11,0.952,1.002,0.66,?,0.831,-0.08,-0.582,-0.088,0.943,0.877,?,-0.361,14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
1.234,0.793,1.042,0.64,1.453,1.282,0.396,-0.146,-0.161,0.995,0.618,0.706,-0.408,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
0.922,0.717,0.78,0.47,1.266,1.181,?,-0.391,-0.236,0.921,0.922,0.546,-0.305,14/13/01/01
1.062,0.971,1.098,0.482,1.248,1.096,?,-0.549,-0.126,1.134,0.876,0.775,-0.554,10/03/01@14/07/11@14/13/01/01@32/01
0.67,0.62,0.81,0.42,0.59,0.73,0.18,-0.02,0.14,0.92,1.16,0.39,-0.055,14/07/11@14/13/01/01
1.279,1.237,1.579,?,0.952,0.891,0.325,-0.307,0.201,0.764,0.452,-0.037,0.333,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
1.016,0.855,1.203,0.739,1.318,1.133,0.636,-0.232,-0.024,1.383,1.082,0.627,-0.142,12/04@14/07/11@14/13/01/01@16/01@16/07@18/01/07@18/02/01@32/01
1.33,1.16,1.45,0.942,1.6,1.52,0.771,-0.042,-0.041,0.73,0.74,0.36,0.138,01/04@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
0.856,0.633,0.961,0.598,1.208,1.135,0.685,-0.601,-0.115,0.957,0.454,0.5,-0.524,14/07/11@14/10@14/13/01/01@16/01@18/01/07@18/02/01@32/01
0.92,1.143,1.121,0.479,1.323,1.185,0.406,-0.399,0.13,0.056,0.424,0.352,-0.051,01/04@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
0.556,0.569,0.663,-0.086,0.457,0.405,0.826,0.314,0.136,0.938,1.552,0.619,0.209,11/02/03/04@14/07/11@14/13/01@16/19@32/05/01/01@32/07@34/11/03
0.279,0.408,0.361,-0.06,0.187,0.249,0.397,0.349,0.292,0.537,0.793,0.061,-0.098,14/07@14/13/01
0.301,-0.08,-0.289,0.08,-0.027,-0.152,-0.047,-0.449,0.108,-0.22,-0.128,-0.68,0.668,01/01@01/05/25@02/19@14/07/11@14/13/01@16/17/09
0.34,0.607,0.649,0.41,0.288,0.405,0.782,-0.014,0.285,1.203,1.142,0.131,0.031,14/07/11@14/13/04/02
0.229,0.166,0.166,0.208,0.121,0.103,0.506,-0.053,0.5,0.426,0.167,-0.155,?,14/07/05@14/10@14/13/01/01@16/01@16/19/03
0.836,0.621,0.665,-0.022,0.69,0.537,?,-0.64,0.011,0.969,0.868,0.806,-0.255,14/07/11@14/13/01/01@16/01@32/01
0.094,0.222,0.234,0.409,0.423,0.176,0.221,-0.149,0.02,0.501,0.191,-0.134,-0.736,10/01/05@14/07/05@14/07/07@14/10@16/01@20/09/01
0.478,0.304,0.372,0.09,0.256,0.192,0.291,0.183,0.78,1.638,1.726,1.051,0.423,14/07/05@14/10@14/13/01/01@16/01@16/19/03
-0.05,0.28,0.51,-0.12,0.12,0.06,0.65,-0.05,0.39,0.01,1.02,0.22,0.15,14/07/11@14/13/04/02
1.064,1.5,1.607,-0.094,0.865,0.823,1.443,1.03,0.645,1.958,1.835,1.389,-0.444,14/07/11@14/13/01@14/13/04/01@14/13/04/02@16/01@30/01/09/08@32/01/11@34/11/12@34/11/13/07@38/05@40/10/02/03@43/01/03/09@43/03
0.198,0.166,-0.141,-0.24,-0.084,0.091,0.227,0.313,0.156,0.465,0.818,0.347,0.126,01/02@14/13/01@14/13/04
0.69,0.522,0.773,0.079,-0.005,0.109,0.873,0.374,0.66,1.5,0.863,-0.228,-0.117,14/07/07@18/02/01
0.434,0.156,0.207,0.282,0.686,0.33,0.334,-0.524,0.245,0.547,0.236,0.117,?,14/07/05@14/07/07@14/13/01@16/01@18/02/01/01
0.828,0.95,0.924,0.533,1.219,1.119,0.566,-0.23,-0.219,0.994,0.976,0.493,-0.534,11/06/02@14/07/05@14/13/01/01
-0.069,-0.082,-0.037,0.341,0.269,0.195,-0.098,-0.474,-0.388,0.127,-0.139,-0.587,-0.058,11/04/03@14/07/05@14/07/07@14/13/01@16/01@16/19/03@18/02/01/01
0.827,0.772,1.059,0.154,0.754,0.706,0.654,0.134,0.336,0.837,0.703,0.573,0.198,10/01/03@14/07/05@14/10@14/13/01/01@16/01@16/19/03@18/01/01@18/02/01/01@32/01
0.58,0.36,0.16,0.417,0.98,0.54,-0.53,-0.63,0.281,1.183,0.884,1.19,0.136,10/01/03@10/01/05/01@10/03/01/01/09@10/03/01/01/11@11/02/03/04@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@30/01/05/01/04@32/01/07@32/01/09@34/11/03/07@40/01/05@42/04/05@43/01/03/09
-0.305,-0.007,-0.205,-0.222,-0.194,-0.247,-0.084,-0.362,-0.218,-0.267,-0.522,-0.33,-0.144,10/01/03@10/01/05/01@10/03/01/01/09@10/03/01/01/11@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@32/01/09@34/11/03/07@42/04/05@43/01/03/09
0.535,0.308,0.595,0.791,1.439,1.122,0.256,-0.429,-0.012,0.253,0.201,0.062,-0.318,14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@34/11/03/07@43/01/03/09
0.772,1.076,1.031,?,1.041,0.672,?,-0.171,0.954,1.814,1.869,1.081,-0.312,02/01/03@10/03/01/01@10/03/02@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@34/11/03/07@40/01@42/10@43/01/03/09
-0.065,0.113,0.05,0.18,0.038,-0.083,-0.06,-0.385,-0.331,-0.39,-0.045,-0.285,-0.603,14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03
-0.255,-0.172,-0.286,-0.094,0.168,0.156,-0.056,-0.005,-0.452,0.023,-0.257,-0.067,0.004,14/07/05@14/13/01
-0.102,-0.095,-0.12,-0.222,-0.357,-0.181,0.412,-0.348,-0.145,0.225,-0.021,-0.375,-0.646,14/07/05@14/13/01
0.184,0.217,?,-0.381,0.106,0.076,0.047,-0.096,-0.574,-0.626,-0.829,-0.504,?,99
0.62,1.08,1.2,0.57,0.88,0.72,0.9,0.56,0.39,1.88,1.97,2.48,-0.47,14/07/05@14/10@14/13/01@16/01@32/01@43/01/03/09
-0.661,-0.975,-0.388,0.209,-0.197,-0.131,-0.048,-0.332,-0.103,0.119,-0.887,-0.753,0.263,11/02/03/04@14/07/05@14/13/01
0.391,0.208,0.46,0.421,0.757,0.763,0.21,-0.653,-0.08,0.101,0.166,0.207,-0.075,14/07/05@14/10@14/13/01/01@16/01@16/19/03@34/11/03/07
-0.01,0.62,0.29,0.2,-0.28,0,0.16,-0.029,0.26,0.685,1.037,0.099,-0.01,14/07/05@14/10@14/13/01/01@16/01@16/19/03
0.108,0.201,0.25,-0.221,0.045,0.008,0.542,0.453,0.382,0.307,0.027,0.069,0.378,10/01/09/05@14/07/05@14/10@14/13/01/01@16/01@16/19/03@18/01/01@18/01/07@18/02/07@32/01@43/01/03/09
-0.318,-0.402,-0.725,0.142,0.294,0.172,-0.228,-0.459,0.156,-0.074,-0.11,0,0.326,11/02/03/04@14/07/05@14/13/01
0.297,0.164,-0.143,0.09,0.377,0.084,-0.041,0.073,0.069,0.947,0.714,0.962,-0.055,14/07/05@14/13/01
0.313,0.135,0.324,0.18,0.545,0.304,0.271,0.01,-0.04,0.453,0.636,0.164,-0.35,14/07/05@14/13/01/01
0.73,0.631,0.792,-0.055,0.047,-0.051,1.58,0.668,1.03,1.112,0.48,0.42,-0.541,14/07/05@14/13/01
0.394,0.519,0.586,0.089,0.458,0.082,-0.08,-0.098,0.176,0.644,0.703,0.263,0.925,14/07/05@14/13/01@16/01
0.53,0.282,0.399,?,0.169,0.181,0.687,0.192,0.404,0.592,0.741,0.235,1.024,14/07/05@14/10@14/13/01/01@16/01@16/19/03
-0.23,-0.247,-0.04,0.186,-0.176,-0.14,0.44,0.32,0.21,-0.234,0.173,0,-0.014,10/01/03@10/01/05/01@10/03/01/01@10/03/03@11/02/03/04@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@30/01/05/01/04@32/01/07@32/01/09@34/11/03/07@42/04/05@43/01/03/09
-0.1,-0.16,-0.15,0.12,-0.25,-0.08,0.27,-0.15,0.23,0.17,0.14,-0.29,0.06,14/07/05@14/13/01@16/01
0.14,0.128,-0.23,0.116,-0.04,-0.02,-0.04,0.03,0.046,0.598,0.473,-0.151,-0.133,14/10@16/01@32/01/07
0.289,0.343,0.079,0.17,0.567,0.46,0,-0.632,0.6,1.431,1.224,1.215,0.299,14/01@14/13@16/01@32/01/07
0.841,0.503,-0.017,0.638,1.213,0.925,-0.854,-0.458,0.046,2.147,2.224,1.604,0.107,01/04@02/19@10/03/02@14/01@16/01@16/19/03@32/01/05@34/11/03/07@43/01/03/09
0.106,0.167,0.372,0.41,0.852,0.724,-0.188,-0.305,-0.004,-0.29,-0.404,-0.364,0.534,14/01@14/07/05@14/13/01@16/01@16/19/03@20/03@32/01/07@42/04
0.357,0.235,0.29,0.482,0.826,0.719,-0.26,-0.39,-0.205,-0.083,-0.36,-0.412,-0.15,14/01@14/13/01@16/01@16/19/03@20/03@32/01/07@42/04
1.046,0.761,0.233,0.699,1.334,1.144,-1.029,-0.215,0.377,2.939,2.974,2.697,0.057,01/04@02/19@10/03/02@14/01@16/01@16/19/03@32/01/05@32/01/07@34/11/03/07@43/01/03/09
1.78,1.676,1.01,0.482,1.28,1.23,0.14,-0.31,0.74,4.94,3.33,2.03,?,01/04@14/01@14/04@14/13@16/01@16/19/03@20/01/10@20/09/04@32/01/05@32/01/07
0.942,0.363,0.45,0.317,0.372,0.009,-0.285,-0.314,-0.006,2.017,1.656,1.202,-0.015,14/01@14/04@14/07@16/01@16/03/01@20/01/10@20/09/04@32/01/05@40/10
-0.377,0.094,-0.086,-0.89,-0.38,-0.485,-0.253,0.071,-0.124,-1.024,-0.271,-0.238,-0.827,01/04/04@10/03@11/02/03/01/04@11/02/03/01/07@11/02/03/04@11/04/03@14/01
-0.418,-0.385,-0.281,0.25,0.173,0.394,-0.64,-0.68,-0.641,0.053,-0.398,-0.348,-0.185,11/02/03/04@14/01@16/01@16/02@32/01/05@32/01/07@40/01
0.5,0.61,0.9,-0.307,0.26,0.09,0.81,0.21,0.427,-0.15,-0.2,-0.04,0.082,14/01
0.436,0.604,0.889,-0.1,0.543,0.408,0.411,0.15,0.006,0.075,-0.271,?,-0.332,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
