@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
C,20,0.65,1.53,0.63,1.57,0.28,0.0,0.23,1.1,0.15,0.0,0,0.2,1.4,1,0.2,1.15,1,?,?,?,?,5,?,?,0,GO0000248@GO0005506@GO0005788@GO0005789@GO0006696@GO0016021
B,20,0.19,0.54,0.56,0.6,0.26,0.42,0.39,0.47,0.3,1.4,1,0.3,0.9,0,0.33,1.18,1,?,?,?,?,?,?,?,0,GO0005634@GO0005829@GO0006508@GO0070682
B,20,4.77,8.84,5.2,3.77,0.26,0.11,-0.09,5.65,0.13,0.8,0,0.13,2.0,1,0.23,0.39,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003729@GO0003735@GO0006412@GO0022625
C,21,0.77,1.74,1.09,1.29,0.25,0.14,0.06,1.22,0.21,0.7,0,0.29,0.9,0,0.22,0.27,0,?,?,?,?,?,?,?,0,GO0000723@GO0003677@GO0005634@GO0005737@GO0005844@GO0006414@GO0031929@GO0042162@GO0043022@GO0043066@GO0043558@GO0045142@GO0048471
C,20,1.16,2.37,0.72,2.02,0.24,-0.23,0.17,1.57,0.16,1.4,1,0.24,1.0,1,0.17,1.0,0,?,?,?,?,?,2,?,0,GO0000054@GO0000467@GO0003924@GO0005525@GO0005634@GO0005737@GO0006606@GO0006913@GO0006997@GO0031938
D,20,0.48,0.86,0.68,0.6,0.23,0.14,-0.04,0.66,0.17,0.8,0,0.14,1.6,1,0.17,0.24,0,?,?,?,?,?,?,?,0,GO0000137@GO0000139@GO0005783@GO0005794@GO0005829@GO0006888@GO0015031@GO0016021@GO0030134@GO0042147
B,52,2.22,5.11,5.37,2.57,0.22,0.14,0.01,3.82,0.25,0.6,0,0.18,1.2,1,0.15,0.07,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0019843@GO0022625
C,20,0.4,1.25,1.27,0.4,0.22,0.24,0.0,0.82,0.32,0.8,0,0.24,0.9,0,0.17,0.0,0,1,?,?,?,2,2,5,0,GO0004512@GO0005737@GO0006021@GO0008654
B,50,1.82,3.53,1.68,1.83,0.21,0.03,0.07,2.22,0.22,0.1,0,0.18,1.2,1,0.15,0.47,0,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0005634@GO0005829@GO0022625@GO0070180
D,21,0.54,0.64,0.51,1.2,0.21,0.01,0.43,0.72,0.09,0.1,0,0.23,0.9,0,0.11,3.91,1,?,?,?,?,?,?,?,0,GO0005634@GO0030433@GO0030474@GO0030674
D,20,0.1,0.21,0.16,0.11,0.21,0.1,-0.02,0.15,0.23,0.4,0,0.21,1.0,1,0.33,0.06,0,1,?,?,?,2,2,?,0,GO0000049@GO0000175@GO0000176@GO0000177@GO0000467@GO0004521@GO0005730@GO0005739@GO0016075@GO0016973@GO0043628@GO0070478@GO0070481@GO0070651@GO0071028@GO0071035@GO0071038@GO0071039@GO0071042@GO0071051
D,20,0.42,0.76,0.87,0.66,0.21,0.22,0.11,0.68,0.19,1.2,1,0.2,1.1,1,0.11,1.0,0,?,?,?,?,?,?,2,0,GO0000154@GO0000447@GO0000451@GO0000472@GO0000480@GO0005654@GO0005730@GO0006364@GO0017069@GO0030515@GO0031167@GO0031428@GO0032040
A,26,1.45,3.12,2.91,2.15,0.2,0.23,0.01,2.41,0.08,2.9,1,0.07,2.9,1,0.11,0.09,0,?,?,?,?,?,?,?,0,GO0000447@GO0002181@GO0003735@GO0005829@GO0006407@GO0006412@GO0015935@GO0019843@GO0022627
B,26,8.69,15.9,13.1,7.97,0.2,0.05,-0.14,11.42,0.12,0.4,0,0.15,1.3,1,0.2,0.7,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0019843@GO0022625
C,20,1.04,1.8,0.83,1.68,0.19,-0.18,0.14,1.34,0.11,1.6,0,0.11,1.7,0,0.1,1.4,0,?,?,?,?,?,?,?,0,GO0001933@GO0003746@GO0005524@GO0005840@GO0006414@GO0006415@GO0006469@GO0010494@GO0016887@GO0019843@GO0022626@GO0042788
B,21,1.89,1.66,1.81,2.69,0.18,0.14,0.29,2.01,0.18,0.8,0,0.16,1.1,0,0.24,1.21,1,?,?,?,?,?,?,?,0,GO0004338@GO0005576@GO0005975@GO0008061@GO0009277@GO0031505@GO0042124@GO0042973
C,21,1.14,2.89,1.57,3.83,0.18,-0.03,0.3,2.36,0.2,0.2,0,0.15,1.2,0,0.22,1.36,1,?,?,?,?,?,?,?,0,GO0006897@GO0007015@GO0015629@GO0016363@GO0030042@GO0030479@GO0043001@GO0051014@GO0051015
C,20,4.08,7.94,3.51,3.94,0.18,-0.24,-0.1,4.87,0.1,2.4,1,0.13,1.4,0,0.13,0.77,0,?,?,?,?,?,?,?,0,GO0000028@GO0002109@GO0002181@GO0003735@GO0005634@GO0022627@GO0031386@GO0042254@GO0046872
D,20,7.0,11.3,9.27,5.75,0.18,0.15,-0.08,8.32,0.15,1.0,0,0.06,3.0,0,0.09,0.89,0,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0022627
B,20,6.83,6.49,7.25,4.63,0.17,0.05,-0.09,6.3,0.14,0.4,0,0.16,1.1,0,0.18,0.5,0,?,?,?,?,?,?,?,0,GO0000220@GO0007035@GO0008553@GO0015991@GO0016021@GO0016471@GO0046961
B,21,2.45,3.98,4.11,3.06,0.17,0.12,0.02,3.4,0.19,0.6,0,0.2,0.9,0,0.28,0.07,0,?,?,?,?,?,?,?,0,GO0005759@GO0009097@GO0032543
C,29,2.86,8.27,4.07,5.08,0.17,-0.12,-0.09,5.07,0.21,0.6,0,0.16,1.1,0,0.15,0.6,0,?,?,?,?,?,?,?,0,GO0000447@GO0000461@GO0002181@GO0003735@GO0022627
D,21,1.57,2.13,2.34,2.31,0.17,0.15,0.19,2.09,0.09,1.7,0,0.09,1.9,0,0.1,1.9,0,?,?,?,?,?,?,?,0,GO0000920@GO0005576@GO0005933@GO0007049@GO0008810@GO0009277@GO0030428@GO0031225
D,20,0.32,0.48,0.66,0.47,0.17,0.34,0.23,0.48,0.11,3.1,1,0.11,1.5,0,0.12,1.92,1,?,?,?,?,?,?,?,0,GO0000906@GO0005758@GO0009231@GO0009349
B,21,0.41,1.08,0.46,0.64,0.16,0.0,-0.09,0.65,0.05,0.0,0,0.14,1.1,0,0.09,1.0,0,?,?,?,?,5,?,?,0,GO0000991@GO0001128@GO0001129@GO0001135@GO0010689@GO0010691@GO0016592@GO0019904@GO0045944@GO0051123@GO0070847
D,34,1.48,1.54,2.52,1.93,0.16,0.27,0.22,1.87,0.1,2.7,1,0.14,1.1,0,0.15,1.47,1,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0019843@GO0022625
D,20,0.18,0.28,0.12,0.44,0.16,-0.22,0.2,0.26,0.14,1.6,1,0.21,0.8,0,0.14,1.43,1,?,?,?,?,?,2,?,0,GO0000752@GO0005576@GO0009277@GO0031225@GO0050839
D,20,0.47,0.68,0.7,0.86,0.16,0.13,0.21,0.68,0.11,1.2,0,0.12,1.3,0,0.1,2.1,1,?,?,?,?,?,?,?,0,GO0004175@GO0004298@GO0005634@GO0005789@GO0010499@GO0019774@GO0034515@GO0043161
A,21,5.12,7.72,8.36,5.04,0.15,0.21,-0.01,6.56,0.08,2.6,1,0.07,2.1,0,0.11,0.09,0,?,?,?,?,?,?,?,0,GO0000448@GO0002181@GO0003723@GO0003735@GO0006412@GO0019843@GO0022625@GO0030687@GO0046872
C,41,2.25,3.36,1.27,2.04,0.15,-0.19,-0.05,2.23,0.13,1.5,0,0.11,1.4,0,0.17,0.29,0,?,?,?,?,?,?,?,0,GO0000028@GO0000447@GO0000461@GO0002181@GO0003735@GO0006407@GO0022627@GO0030686
C,20,4.37,6.39,3.19,3.25,0.15,-0.26,-0.1,4.3,0.14,1.9,1,0.12,1.3,0,0.14,0.71,0,?,?,?,?,?,?,?,0,GO0000027@GO0002181@GO0003723@GO0003735@GO0022625
D,21,0.42,0.43,0.49,0.7,0.15,0.17,0.37,0.51,0.16,1.1,0,0.12,1.3,0,0.13,2.85,1,?,?,?,?,2,?,?,0,GO0000837@GO0000839@GO0030176@GO0030433@GO0043130@GO0097027@GO0097051
D,20,0.29,0.4,0.33,0.49,0.15,0.1,0.22,0.38,0.23,0.4,0,0.11,1.4,0,0.15,1.47,1,?,?,?,?,?,?,?,0,GO0003743@GO0005851@GO0006446@GO0032045@GO1903574
C,19,0.84,2.28,0.97,1.38,0.14,-0.06,-0.02,1.37,0.09,0.7,0,0.19,0.7,0,0.25,0.08,0,?,?,?,?,?,?,?,0,GO0000447@GO0002181@GO0003735@GO0005829@GO0006407@GO0006412@GO0015935@GO0019843@GO0022627
D,20,1.65,2.6,2.59,2.87,0.14,0.13,0.24,2.43,0.11,1.2,0,0.12,1.2,0,0.14,1.71,1,?,?,?,?,?,?,?,0,GO0000324@GO0000328@GO0004185@GO0005576@GO0007039@GO0016236@GO0031638@GO0046938@GO0051603
D,20,0.48,0.67,0.62,0.73,0.14,0.03,-0.02,0.63,0.33,0.1,0,0.25,0.6,0,0.26,0.08,0,?,?,?,?,?,?,?,0,GO0015075@GO0016021@GO0031966@GO0055072
B,26,1.35,2.2,0.73,1.46,0.13,0.14,-0.03,1.44,0.18,0.8,0,0.18,0.7,0,0.19,0.16,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0019843@GO0022625
D,20,0.1,0.16,0.1,0.08,0.13,0.0,0.0,0.11,0.19,0.0,0,0.18,0.7,0,0.24,0.0,0,1,?,?,?,4,2,4,0,GO0005654@GO0006364@GO0030515@GO0031167@GO0032040@GO0034457@GO0042134@GO0042274@GO0043047
D,20,4.35,9.95,7.86,6.05,0.13,0.07,0.0,7.05,0.12,0.6,0,0.12,1.1,0,0.09,0.0,0,?,?,?,?,?,?,?,0,GO0003755@GO0005527@GO0005528@GO0005737@GO0006325@GO0006457@GO0061077@GO1901710
D,21,0.45,0.74,0.57,0.93,0.13,0.07,0.17,0.67,0.08,0.9,0,0.13,1.0,0,0.14,1.21,0,?,?,?,?,?,?,?,0,GO0000287@GO0002189@GO0004749@GO0005524@GO0005737@GO0006015@GO0009116@GO0009156@GO0009165@GO0016301@GO0031505
D,21,1.27,1.24,1.21,0.99,0.13,0.18,0.05,1.18,0.13,1.4,0,0.24,0.5,0,0.12,0.42,0,?,?,?,?,?,?,?,0,GO0000184@GO0003743@GO0005634@GO0005737@GO0005840@GO0006413@GO0006417@GO0010494@GO0016281@GO0032266@GO0051726@GO0098808
D,20,1.16,1.62,1.59,0.81,0.13,0.11,-0.07,1.3,0.12,0.9,0,0.07,1.9,0,0.16,0.44,0,?,?,?,?,?,?,?,0,GO0005199@GO0005576@GO0009277@GO0031225@GO0071497
D,20,0.65,0.75,0.74,0.58,0.13,0.08,-0.09,0.68,0.09,0.9,0,0.13,1.0,0,0.15,0.6,0,?,?,?,?,?,?,?,0,GO0003743@GO0005737@GO0005845@GO0010606@GO0017148
A,21,0.28,0.5,0.55,0.36,0.12,0.18,0.0,0.42,0.11,1.6,0,0.05,2.4,0,0.1,0.0,0,?,?,?,?,?,?,5,0,GO0000794@GO0005634@GO0005940@GO0016925@GO0031386@GO0042802
B,21,0.88,1.37,1.32,1.06,0.12,0.0,0.03,1.16,0.06,0.0,0,0.11,1.1,0,0.11,0.27,0,?,?,?,?,?,?,?,0,GO0000054@GO0003677@GO0005730@GO0005737@GO0005840@GO0005844@GO0006364@GO0006450@GO0006452@GO0006457@GO0036003@GO0043022@GO0051082@GO0051083@GO0060548@GO0071409
B,29,0.39,0.61,0.66,0.98,0.12,0.14,0.27,0.66,0.19,0.7,0,0.17,0.7,0,0.16,1.69,1,?,?,?,?,?,?,?,0,GO0004175@GO0004298@GO0005634@GO0005789@GO0010499@GO0019774@GO0034515@GO0043161
C,20,1.33,2.24,0.68,1.53,0.12,-0.23,0.02,1.45,0.16,1.4,1,0.1,1.2,0,0.12,0.17,0,?,?,?,?,?,?,?,0,GO0005783@GO0006633@GO0006892@GO0009922@GO0019367@GO0030148@GO0030176@GO0030497@GO0032511@GO0034625@GO0034626@GO0042761@GO0102336@GO0102337@GO0102338@GO0102756
D,21,2.73,4.46,4.22,3.77,0.12,0.09,0.07,3.8,0.11,0.8,0,0.24,0.5,0,0.11,0.64,0,?,?,?,?,?,?,?,0,GO0003785@GO0005546@GO0005829@GO0005938@GO0015629@GO0019897@GO0042989@GO0046907@GO0070064@GO0090338
A,20,2.42,4.59,2.31,2.23,0.11,-0.05,-0.03,2.89,0.06,0.8,0,0.09,1.2,0,0.06,0.5,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0006412@GO0022625
B,20,0.56,0.64,0.39,1.0,0.11,0.03,0.23,0.65,0.2,0.2,0,0.18,0.6,0,0.16,1.44,1,?,?,?,?,?,?,?,0,GO0000049@GO0002161@GO0004826@GO0005524@GO0006432@GO0009328
B,20,0.4,0.55,0.7,0.24,0.11,0.26,-0.2,0.47,0.16,1.6,1,0.1,1.1,0,0.1,2.0,1,?,?,?,?,?,?,?,0,GO0000329@GO0005375@GO0006878@GO0015677@GO0015680@GO0016021
B,20,0.16,0.2,0.21,0.14,0.11,0.08,0.0,0.18,0.12,0.7,0,0.1,1.1,0,0.18,0.0,0,?,?,?,?,?,2,5,0,GO0005887@GO0006855@GO0008324@GO0010107@GO0015238@GO0060003
D,20,0.37,0.56,1.89,0.93,0.11,0.6,0.2,0.94,0.19,3.2,1,0.16,0.7,0,0.19,1.05,1,?,?,?,?,?,?,?,0,GO0006066@GO0006081@GO0008106@GO0008270@GO0033833@GO0033845@GO0033859
D,20,0.14,0.15,0.19,0.26,0.11,0.03,0.27,0.19,0.25,0.1,0,0.2,0.6,0,0.13,2.08,1,?,?,?,?,2,2,?,0,GO0003873@GO0005524@GO0005737@GO0006000@GO0006003@GO0006110
D,20,0.12,0.21,0.24,0.33,0.11,0.01,0.23,0.23,0.25,0.0,0,0.22,0.5,0,0.13,1.77,1,?,?,?,?,?,?,2,0,GO0005789@GO0016021@GO0016887@GO0055085@GO0071555
D,66,1.2,1.65,1.14,1.08,0.11,-0.11,-0.16,1.27,0.13,0.8,0,0.1,1.1,0,0.14,1.14,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0006412@GO0022625
D,20,0.12,0.24,0.22,0.29,0.11,0.13,0.12,0.22,0.15,0.9,0,0.24,0.5,0,0.19,0.63,0,?,?,?,?,?,2,?,0,GO0005342@GO0005524@GO0005886@GO0015849@GO0016021@GO0042626
B,20,0.55,1.02,0.16,0.99,0.1,-0.43,0.21,0.68,0.25,1.7,1,0.08,1.3,0,0.15,1.4,1,?,?,?,?,?,?,?,0,GO0000139@GO0006888@GO0006890@GO0015031@GO0030126@GO0048313@GO0051645
B,21,0.1,0.21,0.16,0.25,0.1,0.0,0.07,0.18,0.09,0.0,0,0.15,0.7,0,0.23,0.3,0,?,?,?,?,5,2,?,0,GO0004489@GO0005829@GO0006730@GO0009086@GO0035999
B,20,0.4,0.56,0.28,0.94,0.1,-0.1,0.27,0.55,0.21,0.5,0,0.17,0.6,0,0.17,1.59,1,?,?,?,?,?,?,?,0,GO0004298@GO0005634@GO0010499@GO0019773@GO0034515@GO0042175@GO0043161@GO0080129
B,20,3.39,5.46,3.79,3.35,0.1,0.09,-0.25,4.0,0.15,0.6,0,0.2,0.5,0,0.11,2.27,1,?,?,?,?,?,?,?,0,GO0000462@GO0002181@GO0003723@GO0003735@GO0022627
C,21,4.61,6.54,2.7,7.27,0.1,-0.23,0.08,5.28,0.19,1.2,1,0.07,1.4,0,0.17,0.47,0,?,?,?,?,?,?,?,0,GO0000272@GO0000422@GO0000917@GO0001308@GO0005576@GO0005741@GO0009272@GO0009277@GO0009986@GO0016798@GO0031314@GO0031505
C,20,0.6,1.41,0.33,1.28,0.1,0.0,0.23,0.91,0.13,0.0,0,0.26,0.4,0,0.16,1.44,1,?,?,?,?,5,2,?,0,GO0004478@GO0005524@GO0005829@GO0006555@GO0006556@GO0006730@GO0010494@GO0046872
C,21,4.04,7.95,6.35,6.44,0.1,0.08,0.14,6.2,0.14,0.6,0,0.14,0.7,0,0.24,0.58,0,?,?,?,?,?,?,?,0,GO0000077@GO0001302@GO0005622@GO0005737@GO0005829@GO0005844@GO0006111@GO0006457@GO0008379@GO0019207@GO0033194@GO0034599@GO0034605@GO0042262@GO0042802@GO0043022@GO0045454@GO0050821@GO0051082@GO0051258@GO0051920@GO0060548@GO0061077@GO0071447@GO0090344@GO1903206
D,56,1.8,1.97,1.74,1.52,0.1,0.07,-0.01,1.76,0.15,0.5,0,0.17,0.6,0,0.22,0.05,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0006412@GO0022625
D,40,7.79,6.78,8.19,7.15,0.1,0.11,-0.02,7.48,0.15,0.7,0,0.18,0.6,0,0.12,0.17,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0006412@GO0022625
D,21,9.79,15.1,11.5,9.28,0.1,-0.05,-0.11,11.42,0.12,0.4,0,0.18,0.6,0,0.11,1.0,0,?,?,?,?,?,?,?,0,GO0000027@GO0002181@GO0003735@GO0005634@GO0006412@GO0008097@GO0022625
B,21,0.1,0.13,0.18,0.13,0.09,0.11,0.15,0.14,0.12,0.9,0,0.07,1.3,0,0.15,1.0,0,?,?,?,?,?,?,?,0,GO0004029@GO0004030@GO0005759@GO0006068@GO0019413
B,21,0.12,0.16,0.2,0.18,0.09,0.0,0.16,0.17,0.16,0.0,0,0.22,0.4,0,0.14,1.14,0,?,?,?,?,5,?,?,0,GO0000139@GO0005388@GO0005509@GO0005524@GO0005794@GO0006816@GO0006828@GO0006874@GO0015410@GO0016021@GO0016236
B,41,1.38,1.64,2.3,1.27,0.09,0.14,-0.04,1.65,0.14,1.0,0,0.22,0.4,0,0.15,0.27,0,?,?,?,?,?,?,?,0,GO0000028@GO0000447@GO0000461@GO0002181@GO0003735@GO0006407@GO0010494@GO0022627
B,20,0.11,0.19,0.21,0.24,0.09,0.12,0.15,0.19,0.14,0.9,0,0.07,1.3,0,0.17,0.88,0,?,?,?,?,2,?,2,0,GO0000287@GO0002189@GO0004749@GO0005524@GO0005737@GO0006015@GO0009116@GO0009156@GO0009165@GO0016301@GO0031505
B,20,0.57,0.96,0.4,0.6,0.09,0.0,-0.01,0.63,0.14,0.0,0,0.09,1.0,0,0.18,0.06,0,?,?,?,?,5,?,?,0,GO0004579@GO0006487@GO0008250@GO0016021@GO0018279
C,20,0.4,0.43,0.3,0.2,0.09,0.0,0.0,0.32,0.13,0.0,0,0.33,0.3,0,0.17,0.0,0,1,?,1,1,5,2,5,0,GO0000750@GO0000755@GO0004933@GO0005775@GO0005887
C,20,0.4,0.63,0.36,0.82,0.09,0.0,0.14,0.54,0.13,0.0,0,0.3,0.3,0,0.28,0.5,0,1,?,?,?,5,?,?,0,GO0003729@GO0005634@GO0005737@GO0006166@GO0006537@GO0017061@GO0019509
D,20,0.1,0.24,0.28,0.25,0.09,0.13,0.04,0.23,0.12,1.1,0,0.19,0.5,0,0.28,0.14,0,1,?,?,?,2,?,?,0,GO0000176@GO0000177@GO0000467@GO0003723@GO0005730@GO0030145@GO0034427@GO0034475@GO0043628@GO0043928@GO0070478@GO0070481@GO0070651@GO0071034@GO0071035@GO0071038@GO0071042@GO0071049@GO0071051
D,50,3.03,3.22,3.27,2.24,0.09,0.02,-0.2,2.94,0.13,0.2,0,0.18,0.5,0,0.12,1.67,1,?,?,?,?,?,?,?,0,GO0000028@GO0002181@GO0003723@GO0003735@GO0006407@GO0022627@GO0034198@GO0045860
B,20,0.17,0.26,0.2,0.27,0.08,0.0,0.05,0.23,0.05,0.0,0,0.06,1.3,0,0.16,0.31,0,?,?,?,?,5,?,2,0,GO0005524@GO0005829@GO0006448@GO0016887@GO0022626@GO0031369@GO0042327@GO0043022@GO0071232@GO0071264
C,55,1.33,2.85,1.27,2.5,0.08,0.0,0.1,1.99,0.18,0.0,0,0.17,0.5,0,0.17,0.59,0,?,?,?,?,5,?,2,0,GO0002181@GO0003735@GO0006450@GO0022625
C,20,1.59,2.25,1.25,2.25,0.08,0.0,0.07,1.84,0.17,0.0,0,0.11,0.7,0,0.17,0.41,0,?,?,?,?,5,?,2,0,GO0000139@GO0005789@GO0006888@GO0015031@GO0016021@GO0030134
D,21,0.54,0.58,2.43,0.87,0.08,0.45,0.07,1.11,0.22,2.0,1,0.18,0.4,0,0.14,0.5,0,?,?,?,?,?,?,?,0,GO0004129@GO0005751@GO0006123@GO0016021
D,20,0.29,0.24,0.35,0.6,0.08,0.09,0.27,0.37,0.18,0.5,0,0.19,0.4,0,0.17,1.59,1,?,?,?,?,?,?,?,0,GO0000060@GO0005634@GO0005737@GO0006406@GO0006606@GO0006607@GO0006610@GO0007088@GO0008139@GO0008565@GO0031965@GO0034399@GO0060188
D,20,0.35,0.54,0.56,0.94,0.08,0.05,0.13,0.6,0.15,0.3,0,0.2,0.4,0,0.17,0.76,0,?,?,?,?,?,2,?,0,GO0005741@GO0005742@GO0030150@GO0031307@GO0045040
D,20,0.16,0.26,0.29,0.36,0.08,0.01,0.23,0.27,0.27,0.0,0,0.14,0.6,0,0.26,0.88,0,?,?,?,?,2,2,2,0,GO0000001@GO0000226@GO0005198@GO0005200@GO0005829@GO0005885@GO0006898@GO0030036@GO0030041@GO0030479@GO0034314@GO0051015
D,20,0.52,0.58,0.8,0.69,0.08,0.12,0.04,0.65,0.11,1.1,0,0.2,0.4,0,0.06,0.67,0,?,?,?,?,?,?,?,0,GO0004792@GO0005739
D,21,0.1,0.15,0.17,0.11,0.08,0.03,-0.08,0.14,0.17,0.2,0,0.19,0.4,0,0.2,0.4,0,1,?,?,?,2,2,?,0,GO0000463@GO0003723@GO0005634@GO0005730@GO0005737@GO0030687@GO0042255@GO0042273@GO1902626
B,21,1.02,1.05,0.91,1.14,0.07,0.11,0.16,1.03,0.2,0.6,0,0.26,0.3,0,0.18,0.89,0,?,?,?,?,?,?,?,0,GO0003729@GO0005783@GO0006797@GO0006799@GO0007034@GO0016021@GO0016237@GO0031310@GO0033254@GO0042144
B,21,1.24,1.12,2.5,2.29,0.07,0.21,0.1,1.79,0.22,1.0,0,0.12,0.6,0,0.17,0.59,0,?,?,?,?,?,?,?,0,GO0000139@GO0005783@GO0005789@GO0006621@GO0006888@GO0015031@GO0016021@GO0016050@GO0030134
