@RELATION 'eisen0.names'

@ATTRIBUTE alpha_0                                 numeric
@ATTRIBUTE alpha_7                                 numeric
@ATTRIBUTE alpha_14                                numeric
@ATTRIBUTE alpha_21                                numeric
@ATTRIBUTE alpha_28                                numeric
@ATTRIBUTE alpha_35                                numeric
@ATTRIBUTE alpha_42                                numeric
@ATTRIBUTE alpha_49                                numeric
@ATTRIBUTE alpha_56                                numeric
@ATTRIBUTE alpha_63                                numeric
@ATTRIBUTE alpha_70                                numeric
@ATTRIBUTE alpha_77                                numeric
@ATTRIBUTE alpha_84                                numeric
@ATTRIBUTE alpha_91                                numeric
@ATTRIBUTE alpha_98                                numeric
@ATTRIBUTE alpha_105                               numeric
@ATTRIBUTE alpha_112                               numeric
@ATTRIBUTE alpha_119                               numeric
@ATTRIBUTE elu_0                                   numeric
@ATTRIBUTE elu_30                                  numeric
@ATTRIBUTE elu_60                                  numeric
@ATTRIBUTE elu_90                                  numeric
@ATTRIBUTE elu_120                                 numeric
@ATTRIBUTE elu_150                                 numeric
@ATTRIBUTE elu_180                                 numeric
@ATTRIBUTE elu_210                                 numeric
@ATTRIBUTE elu_240                                 numeric
@ATTRIBUTE elu_270                                 numeric
@ATTRIBUTE elu_300                                 numeric
@ATTRIBUTE elu_330                                 numeric
@ATTRIBUTE elu_360                                 numeric
@ATTRIBUTE elu_390                                 numeric
@ATTRIBUTE cdc15_10                                numeric
@ATTRIBUTE cdc15_30                                numeric
@ATTRIBUTE cdc15_50                                numeric
@ATTRIBUTE cdc15_70                                numeric
@ATTRIBUTE cdc15_90                                numeric
@ATTRIBUTE cdc15_110                               numeric
@ATTRIBUTE cdc15_130                               numeric
@ATTRIBUTE cdc15_150                               numeric
@ATTRIBUTE cdc15_170                               numeric
@ATTRIBUTE cdc15_190                               numeric
@ATTRIBUTE cdc15_210                               numeric
@ATTRIBUTE cdc15_230                               numeric
@ATTRIBUTE cdc15_250                               numeric
@ATTRIBUTE cdc15_270                               numeric
@ATTRIBUTE cdc15_290                               numeric
@ATTRIBUTE spo_0                                   numeric
@ATTRIBUTE spo_2                                   numeric
@ATTRIBUTE spo_5                                   numeric
@ATTRIBUTE spo_7                                   numeric
@ATTRIBUTE spo_9                                   numeric
@ATTRIBUTE spo_11                                  numeric
@ATTRIBUTE spo5_2                                  numeric
@ATTRIBUTE spo5_7                                  numeric
@ATTRIBUTE spo5_11                                 numeric
@ATTRIBUTE spo__early                              numeric
@ATTRIBUTE spo__mid                                numeric
@ATTRIBUTE heat_0                                  numeric
@ATTRIBUTE heat_10                                 numeric
@ATTRIBUTE heat_20                                 numeric
@ATTRIBUTE heat_40                                 numeric
@ATTRIBUTE heat_80                                 numeric
@ATTRIBUTE heat_160                                numeric
@ATTRIBUTE dtt_15                                  numeric
@ATTRIBUTE dtt_30                                  numeric
@ATTRIBUTE dtt_60                                  numeric
@ATTRIBUTE dtt_120                                 numeric
@ATTRIBUTE cold_0                                  numeric
@ATTRIBUTE cold_20                                 numeric
@ATTRIBUTE cold_40                                 numeric
@ATTRIBUTE cold_160                                numeric
@ATTRIBUTE diau_540                                numeric
@ATTRIBUTE diau_660                                numeric
@ATTRIBUTE diau_780                                numeric
@ATTRIBUTE diau_900                                numeric
@ATTRIBUTE diau_1020                               numeric
@ATTRIBUTE diau_1140                               numeric
@ATTRIBUTE diau_1260                               numeric
@ATTRIBUTE class string

@DATA
-0.27,-0.23,-0.62,-0.54,-0.64,-0.45,0.16,-0.17,0.03,-0.42,-0.34,-0.67,-0.29,-0.81,-0.27,-0.71,-0.36,-0.36,-0.27,-0.15,-0.29,-0.23,-0.04,0.28,0.41,0.28,-0.2,0.03,0.32,0.24,-0.42,0.08,-0.36,-0.51,-0.64,0.15,0.41,0.29,0.18,0.21,0.01,0.26,0.42,-0.81,-0.12,-0.27,-0.15,-0.4,0.03,-0.04,0.58,0.36,0.74,-0.1,0.03,-0.12,-0.18,-0.74,0.07,-0.2,-0.36,-0.4,0.14,0.01,-0.06,-0.2,-0.25,-0.3,0.01,-0.04,-0.25,-0.34,-0.04,?,0.61,0.51,0.56,1.11,-1.03,GO0003881@GO0005741@GO0005789@GO0005794@GO0006661@GO0016021
-0.43,-0.42,-0.69,-0.4,-0.62,-0.3,-0.38,-0.74,-0.27,0.1,-0.32,-0.43,0.03,-0.79,-0.79,-0.51,-0.74,-0.38,-0.2,0.06,-0.12,-0.38,-0.1,-0.51,-0.03,0.31,0.18,0.2,-0.12,0.26,0.11,0.42,-0.3,-0.69,-0.22,-0.09,-0.89,-0.06,0.37,0.26,0.82,-0.17,0.07,0.49,-0.14,0.18,-0.09,-0.15,0.94,0.6,1.34,0.28,1.33,0.24,0.69,-0.1,0.32,-0.04,-0.12,0.5,0.21,-0.15,?,0.12,-0.45,-0.74,-0.36,-0.69,-0.18,0.57,-0.3,-0.34,-0.2,-0.2,?,0.31,0.01,0.46,0.21,GO0000209@GO0004842@GO0005778@GO0016558@GO0046872@GO1990429
-0.32,0.33,-0.22,0.03,-0.34,0.26,-0.04,0.07,-0.23,0.26,0.19,0.1,-0.2,-0.03,-0.34,0.15,0.03,-0.03,0.57,-0.03,0.4,-0.86,0.12,0.03,0.11,-0.23,-0.18,-0.23,?,-0.15,-0.27,-0.15,-0.15,0.2,0.07,-0.03,-0.43,-0.47,-0.36,-0.03,0.34,0.04,-0.6,0.34,-0.25,-0.32,-0.25,?,0.24,?,0.76,0.82,0.37,-0.23,0.37,-0.25,0.46,1.4,-0.3,-0.3,-0.3,-0.92,-0.42,-0.06,0.37,0.03,-0.09,-0.14,-0.27,-0.17,-0.54,-0.06,-0.23,-0.43,0.14,0.11,-0.43,0.49,-0.45,GO0000001@GO0000188@GO0000750@GO0004722@GO0005634@GO0005737@GO0006388@GO0006470@GO0035970@GO0043409@GO0046872@GO0051389@GO1990439
-0.45,-0.34,-0.25,0.15,0.18,0.2,0.03,-0.36,0.04,0.31,0.03,0.24,0.03,-0.03,-0.04,0.1,-0.23,-0.3,-0.74,0.38,-0.18,-0.15,-0.06,0.07,0.14,0.55,0.26,0.23,0.04,0.07,0.14,0.15,-0.29,-0.2,0.08,-0.1,-0.45,-0.17,-0.38,-0.09,0.41,-0.42,-0.43,0.15,-0.43,-0.36,-0.38,-0.12,0.42,0.18,0.91,0.72,1.01,0.59,0.57,0.01,0.6,-0.25,-0.3,-0.81,-0.01,-0.29,-0.27,-0.69,-0.12,-0.54,0.11,-0.09,0.06,0.11,-0.79,-0.71,0.01,-0.18,?,-0.25,-0.43,-0.45,0.06,GO0005524@GO0005743@GO0005774@GO0015421@GO0016021@GO0016887@GO0090374
-0.07,-0.34,-0.18,-0.03,-0.1,0.08,?,0.01,0.08,-0.3,0.03,-0.23,0.06,-0.23,-0.04,-0.18,-0.22,-0.23,0.04,0.07,0.12,0.14,-0.01,0.08,0.3,0.45,0.26,0.31,0.29,0.15,0.15,0.08,-0.56,-0.51,-0.38,0.16,0.16,0.1,0.07,0.19,0.25,0.06,0.33,-0.69,-0.07,-0.29,-0.06,0.08,0.98,0.32,0.23,0.38,0.38,0.36,0.06,-0.18,0.5,0.1,0.31,-0.22,-0.36,-0.54,-0.18,-0.06,0.34,-0.47,0.07,-0.34,0.14,0.07,-0.09,0.1,0.11,0.23,0.9,0.29,0.26,0.28,-0.4,GO0000220@GO0007035@GO0008553@GO0015991@GO0016021@GO0016471@GO0046961
0.07,0.1,-0.04,-0.04,-0.25,-0.12,-0.03,0.04,0.39,-0.22,0.24,0.07,-0.03,-0.29,0.08,0.42,-0.36,-0.2,-0.03,-0.2,0.06,0.16,-0.07,0.01,0.26,0.14,0.18,0.14,0.08,0.33,0.21,0.06,0.19,0.23,-0.18,-0.09,-1.64,0.23,-0.01,0.49,1,-0.18,0.06,0.42,0.3,0.08,0.2,0.06,0.14,0.53,0.94,1.12,0.73,-0.38,0.39,0.03,-0.32,0.03,?,0.25,-0.09,0.26,-0.15,0.12,-0.07,-0.23,-0.06,-0.23,?,0.3,0.21,0.4,-0.2,-0.51,-0.04,-0.49,-0.51,0.44,0.38,GO0003723@GO0003735@GO0005762@GO0032543
0.03,-0.1,0.04,-0.3,-0.2,-0.51,-0.07,-0.04,-0.04,0.03,0.24,0.21,-0.04,-0.22,0.15,0.25,-0.18,0.16,0.4,-0.1,-0.22,-0.07,-0.74,-0.69,-0.71,-0.25,-0.1,-0.17,-0.58,0.32,0.14,-0.12,-0.04,0.33,0.08,-0.74,-0.43,0.26,-1.94,0.52,1.01,?,-0.84,0.03,-1.29,-0.18,-0.94,0.29,0.03,0.1,0.6,0.83,0.81,0.14,0.68,0.54,-0.03,-0.06,-0.29,0.03,0.24,-0.51,-0.58,-0.76,0.66,0.23,0.38,0.14,-0.22,0.26,-0.58,-0.32,0.07,-0.03,0.24,0.14,0.11,1.55,0.85,GO0001671@GO0005483@GO0005829@GO0006886@GO0006914@GO0019898@GO0019905@GO0031201@GO0035494@GO0042144@GO0048280
0.01,-0.01,-0.2,-0.45,0.01,-0.6,?,0.31,-0.1,0.34,-0.32,0.32,?,-0.06,-0.25,0.57,-0.29,0.15,-0.6,-0.47,0.11,0.21,-0.06,-0.14,0.19,-0.01,0.43,0.83,-0.07,0.29,-0.56,0.42,-0.34,-0.36,-0.29,-0.27,-0.56,-0.29,-0.3,-0.43,-0.89,?,-0.49,0.33,-0.42,-0.47,-0.51,0.28,-0.15,0.61,0.77,1.32,1.47,-0.62,0.43,?,-0.01,0.21,0.98,1.56,0.93,0.38,0.2,0.25,-0.32,-0.36,-0.2,-0.51,0.48,0.56,1.01,-0.6,0.19,0.6,0.46,0.78,0.73,1.52,0.75,GO0000028@GO0000139@GO0000287@GO0000749@GO0004012@GO0005524@GO0005802@GO0005886@GO0006886@GO0006892@GO0006897@GO0016021@GO0032456@GO0045332@GO0048194@GO1990530
-0.01,0.06,?,-0.04,-0.2,-0.23,?,-0.09,-0.23,0.08,-0.2,0.2,-0.12,-0.3,-0.09,?,0.15,-0.03,0.18,0.12,0.1,-0.23,-0.12,-0.1,-0.32,-0.04,-0.06,-0.04,0.12,-0.04,-0.81,-0.06,-0.18,-0.12,-0.54,-0.1,-1.36,-0.97,0.07,0.4,0.29,-0.89,-0.43,-0.03,-0.69,-0.3,-0.76,-0.09,0.15,-0.06,0.81,1.05,1.32,0.37,0.32,0.9,0.19,0.1,0.23,0.8,0.33,-0.49,0.07,-0.15,-0.1,-0.84,0.04,-0.07,-0.06,0.01,0.18,0.26,0.12,0.39,0.52,0.39,-0.01,0.08,?,GO0000011@GO0000329@GO0005634@GO0016021@GO0016236@GO0034727@GO0042144@GO0042802@GO0043495@GO0045121@GO0071255@GO0071561@GO0071562@GO0071563@GO1903044
0.06,-0.23,0.4,0.3,0.32,0.24,0.21,0.21,-0.03,-0.27,-0.06,-0.23,-0.01,-0.23,0.21,-0.29,0.18,-0.15,0.82,0.12,0.11,0.3,-0.17,-0.58,-0.4,-0.2,-0.14,-0.43,-0.62,-0.1,0.3,-0.09,-0.58,-1.06,-0.74,-0.32,-0.4,-0.25,-0.51,-0.34,-0.22,-0.42,-0.32,-0.25,-0.51,-0.58,-0.14,-0.04,0.24,0.41,0.25,0.56,1.28,-0.32,0.15,0.41,-0.06,-0.34,0.04,0.9,0.33,0.14,0.39,-0.03,0.04,-0.43,-0.03,?,0.08,0.03,-0.56,-0.38,0.23,0.16,0.34,-0.6,-0.07,1.74,1.43,GO0004616@GO0005829@GO0009051@GO0019521
0.15,-0.01,-0.2,-0.03,-0.18,-0.04,-0.12,-0.22,?,-0.32,?,-0.25,-0.03,-0.18,-0.29,0.01,0.01,-0.29,1.63,0.21,0.18,-0.25,-0.45,-0.36,-0.45,-0.74,-0.47,-0.62,-0.74,-0.54,-0.4,-0.32,0.24,0.03,-0.03,-0.47,-1.89,0.11,-0.22,-0.69,-0.06,-0.27,-0.45,-0.18,-0.45,-0.42,-0.38,-0.15,0.72,0.58,0.67,1.25,1.14,-0.12,-0.01,0.77,0.11,0.57,-0.01,0.25,0.36,0.2,0.01,0.32,-0.23,-0.58,-0.42,-0.69,-0.36,0.38,-0.2,-0.1,0.03,-0.17,-0.17,-0.17,-0.01,2.05,1.37,GO0005507@GO0005737@GO0010038
0.04,0.37,0.14,0.16,-0.4,-0.25,-0.1,-0.56,-0.17,-0.25,-0.18,-0.18,-0.03,-0.58,-0.36,-0.47,-0.49,-0.27,0.28,0.07,-0.2,-0.29,-0.81,-0.56,-0.42,-0.27,-0.1,0.06,-0.18,0.25,0.06,-0.06,-0.18,-0.34,-0.54,-0.47,-0.76,0.08,-0.34,0.04,0.24,-0.94,-0.62,0.01,-0.25,-0.2,0.25,-0.03,0.52,0.21,0.21,0.38,0.58,0.44,-0.22,0.33,0.01,0.14,0.12,0.72,0.98,0.18,0.08,0.14,-0.25,-0.14,0.16,0.14,-0.04,0.99,?,-0.2,0.06,0.44,0.46,-0.03,-0.25,0.97,0.48,GO0005739@GO0005811@GO0006974
-0.06,0.2,0.04,-0.22,-0.3,-0.54,-0.17,-0.67,-0.34,0.08,-0.25,-0.15,-0.17,-0.67,-0.47,-0.45,-0.36,-0.36,0.87,-0.01,0.15,-0.27,-0.42,-0.71,-0.2,0.08,0.12,-0.03,-0.15,0.29,0.42,0.44,-0.49,-0.25,-0.43,-0.32,-0.34,-0.14,-0.1,0.03,-0.32,-0.1,-0.01,0.03,0.5,0.57,0.82,-0.12,0.39,0.42,1.32,1.18,1.37,-0.09,0.68,0.77,0.43,0.24,0.15,1.67,0.91,0.59,0.62,0.26,-0.07,-0.1,0.41,0.16,-0.1,0.19,0.28,-0.06,-0.56,0.16,0.03,-0.3,-0.1,0.8,0.3,GO0005743@GO0006744@GO0031314
-0.18,-0.29,0.21,-0.17,0.03,-0.45,0.07,-0.38,-0.23,-0.07,-0.1,-0.12,-0.03,-0.47,-0.25,-0.56,-0.15,-0.51,0.29,0.28,-0.22,-0.25,-0.15,-0.71,-0.3,-0.22,0.23,-0.27,-0.15,0.46,0.88,0.1,-0.27,-0.4,-0.09,0.2,0.41,0.4,0.42,-1.12,0.12,-0.12,0.08,-0.14,-0.03,0.01,0.1,-0.54,1.08,1.63,2.83,2.45,1.14,-0.51,0.78,?,1.32,1.42,0.4,1.82,0.99,0.53,0.89,0.46,1.52,1.53,0.12,0.04,0.28,-0.29,-0.49,-1.43,-0.07,0.32,0.76,0.08,0.44,1.26,0.51,GO0000302@GO0004130@GO0005758@GO0005759@GO0020037@GO0034599@GO0042744@GO0046872
-0.25,0.3,0.12,0.32,-0.22,0.28,-0.14,0.23,0.49,-0.04,0.03,0.04,0.01,-0.1,-0.34,0.3,0.1,0.21,0.29,-0.04,0.26,0.21,0.1,0.11,0.26,0.19,-0.23,?,0.32,-0.04,-0.09,0.07,?,?,0.08,-0.1,0.2,0.54,-0.07,0.7,0.65,0.86,0.76,1.51,1.34,0.99,1.58,0.16,0.08,0.63,1.27,1.43,1.34,-0.47,0.75,0.31,0.07,0.5,-0.03,-0.27,-0.03,-0.43,-0.51,-0.03,0.21,0.67,0.04,-0.1,-0.07,0.32,-0.1,0.1,-0.12,0.25,0.28,0.2,0.07,0.95,0.06,GO0003735@GO0005762@GO0006412@GO0032543
0.1,0.56,0.39,-0.58,-0.29,-0.34,-0.2,-0.42,-0.29,-0.27,-0.25,-0.49,-0.25,-0.92,-0.3,-0.67,-0.09,-0.67,1.51,0.04,-0.12,-0.67,-0.71,-0.62,-0.79,-0.42,-0.3,-0.69,-0.06,0.01,0.23,-0.1,-0.1,-0.32,-0.25,-0.17,-0.12,-0.32,0.01,-0.04,-0.01,-0.06,0.15,-0.17,0.95,1.06,1.45,-0.15,-0.29,0.18,1.82,1.8,1.77,-0.23,1.53,0.83,-0.49,-0.81,-0.29,1.06,0.67,-0.38,-0.25,-0.07,0.23,1.04,0.7,0.93,-0.3,0.99,0.19,-0.4,-0.06,0.23,0.23,0.5,1.02,2.48,1.14,GO0005737
