@RELATION 'gasch10.names'

@ATTRIBUTE Heat_Shock_000_minutes__hs_2                                     numeric
@ATTRIBUTE Heat_Shock_000_minutes__hs_2                                     numeric
@ATTRIBUTE Heat_Shock_030inutes__hs_2                                       numeric
@ATTRIBUTE heat_shock_17_to_37_20_minutes                                   numeric
@ATTRIBUTE heat_shock_21_to_37_20_minutes                                   numeric
@ATTRIBUTE heat_shock_29_to_37_20_minutes                                   numeric
@ATTRIBUTE 33C_vs_30C___90_minutes                                          numeric
@ATTRIBUTE 29C_Plus1M_sorbitol_to_33C_Plus_NO_sorbitol___15_minutes         numeric
@ATTRIBUTE dtt_120_min_dtt_2                                                numeric
@ATTRIBUTE dtt_240_min_dtt_2                                                numeric
@ATTRIBUTE 1point5_mM_diamide_5_min                                         numeric
@ATTRIBUTE 1point5_mM_diamide_10_min                                        numeric
@ATTRIBUTE 1point5_mM_diamide_30_min                                        numeric
@ATTRIBUTE 1point5_mM_diamide_40_min                                        numeric
@ATTRIBUTE 1point5_mM_diamide_90_min                                        numeric
@ATTRIBUTE steady_state_1M_sorbitol                                         numeric
@ATTRIBUTE aa_starv_0point5_h                                               numeric
@ATTRIBUTE aa_starv_2_h                                                     numeric
@ATTRIBUTE Nitrogen_Depletion_2_h                                           numeric
@ATTRIBUTE Nitrogen_Depletion_4_h                                           numeric
@ATTRIBUTE Nitrogen_Depletion_8_h                                           numeric
@ATTRIBUTE Nitrogen_Depletion_1_d                                           numeric
@ATTRIBUTE diauxic_shift_timecourse_15point5_h                              numeric
@ATTRIBUTE diauxic_shift_timecourse_18point5_h                              numeric
@ATTRIBUTE diauxic_shift_timecourse_20point5_h                              numeric
@ATTRIBUTE YPD_6_h_ypd_2                                                    numeric
@ATTRIBUTE YPD_8_h_ypd_2                                                    numeric
@ATTRIBUTE YPD_10_h__ypd_2                                                  numeric
@ATTRIBUTE YPD_2_d_ypd_2                                                    numeric
@ATTRIBUTE YPD_stationary_phase_2_h_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_4_h_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_8_h_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_12_h_ypd_1                                  numeric
@ATTRIBUTE YPD_stationary_phase_1_d_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_2_d_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_5_d_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_22_d_ypd_1                                  numeric
@ATTRIBUTE YPD_stationary_phase_28_d_ypd_1                                  numeric
@ATTRIBUTE DBYmsn2/4_real_strain_Plus_37degrees_20_min                      numeric
@ATTRIBUTE DBYyap1_Plus_37degree_heat_repeat                                numeric
@ATTRIBUTE YP_ethanol_vs_reference_pool_car_2                               numeric
@ATTRIBUTE YP_raffinose_vs_reference_pool_car_2                             numeric
@ATTRIBUTE YP_sucrose_vs_reference_pool_car_2                               numeric
@ATTRIBUTE steady_state_15_dec_C_ct_2                                       numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
-0.25,-0.25,-0.22,-0.68,-0.49,-0.47,-0.04,-0.56,-0.21,-0.48,0.06,0.03,-0.43,-0.38,-0.35,0.15,-0.71,-0.61,-0.41,-0.34,-0.11,-0.82,0.01,-0.6,-0.74,-0.18,-0.34,-0.66,0.14,-0.22,-0.02,0.06,-0.37,-0.34,-0.45,-0.16,0.35,-0.6,-0.16,-0.08,-0.18,-0.63,-0.02,-0.01,20/01/09@20/01/10@20/01/13@20/03/22
0.7,0.7,0,-0.15,-0.18,0.19,-0.01,0.37,0.73,0.04,0.3,0.41,0.14,0.37,0.75,0.01,0.04,0.37,0.88,0.53,-0.92,-1.22,-0.64,0.15,-0.45,-1.36,-0.54,-0.62,-0.62,0.2,0.1,0.03,-1.32,-1.06,-1.56,-1.4,-2.64,-2.74,0.26,-0.3,-0.49,0.01,0.24,-0.04,14/07@20/01/15@32/01/01@32/07
-0.32,-0.32,0.15,0.96,0.45,0.67,0.18,-0.17,0.12,0,-0.43,-0.58,-0.36,-0.03,-0.06,-0.29,0.07,0.48,-0.06,-0.07,0,-0.45,-0.4,-0.17,-0.6,0.24,-0.27,0.18,-0.07,-0.03,0.04,0.07,0.2,-0.3,-0.07,-0.84,-1.74,-1.51,0.34,0.55,0,-0.32,0.08,-0.23,16/01@30/01/05/01/03@30/05@34/11/03/07
-0.17,-0.17,0.28,0.23,0.1,0.06,-0.04,0.04,0.04,0.53,-0.29,-0.17,0.26,0.37,0.2,0,0.59,0.5,0.3,0.06,0.54,0.75,-0.58,0.4,-0.07,-0.06,0.5,0.81,0.33,-0.32,-0.34,-0.22,0.58,0.59,0.5,-0.06,-0.1,0.1,0.53,0.62,0.23,-0.64,-0.4,0.15,43/01/03/09
0.89,0.89,-0.43,-1.51,-1.22,-0.38,-0.71,-1.32,-0.03,-0.1,-0.29,-0.84,-1.43,-1.18,-0.71,-0.45,0.43,-0.04,-0.81,-0.43,-0.94,-1.15,0.06,0.36,0.69,0.12,-0.43,0.6,-0.51,0.19,-0.18,-0.69,-0.25,-0.18,-0.29,2.39,3.59,3.48,-0.89,-1.43,-0.15,-0.47,0.15,0.34,01/01/03/02@01/01/11/01@01/02@02/01/03@16/21/17
0.06,0.06,0.54,0.18,0.44,0.6,-0.15,0.58,0.14,-0.22,0.38,0.9,0.64,0.36,-0.34,-0.04,-0.23,-0.45,-0.15,-0.14,-0.09,0.14,-0.29,0.66,-0.2,2.01,1.43,0.38,0.43,0.23,0.32,0.79,1.26,0.1,-0.29,-0.6,-1.43,-1.18,0.23,0.11,0.43,0.45,-0.62,0.43,02/13/03@12/01/01@42/16
0.33,0.33,-0.4,-0.43,-0.64,-0.4,-0.58,-0.34,0.41,-0.4,-0.27,0,0.25,0.34,0.23,0.01,-0.01,-0.14,0.04,-0.29,-0.62,-1.12,-0.45,0.08,-0.51,-0.64,-1.29,-0.89,-0.74,0.04,-0.36,-0.2,-0.94,-1.25,-0.97,-1.69,-1.6,-1.89,0.19,0,-0.62,-0.43,0.23,-0.14,14/04@16/03/03@20/09
0.43,0.43,-0.23,-0.81,-1.06,-1,0.24,-0.56,-0.34,-0.71,-0.36,-0.89,-1.25,-1,-0.76,-0.22,-0.56,0.15,-0.32,-0.29,-0.74,-1.32,-0.34,-0.97,-1.36,-1.36,-1.47,-1.6,-1.06,0.11,0.18,0.44,-1.43,-1.4,-1.43,-1.94,-2.74,-2.74,-0.27,-0.56,-0.62,-0.25,0.15,-0.25,99
0.77,0.77,-0.6,-2,-1.84,-1.03,-0.38,-0.17,-0.54,-0.84,-0.34,-0.6,-1.12,-0.81,-0.64,-0.29,-1.18,-0.18,0.24,0.14,-0.36,-0.69,-0.71,-0.03,-0.27,-1.79,-0.76,-1,-1.09,-0.15,-0.23,-0.58,-0.67,-0.74,-0.69,0.08,0.77,0.81,0.25,-0.06,-0.34,-0.42,-0.25,-0.34,10/01/03/05@10/01/09/05@11/02/03/01
-0.09,-0.09,-0.4,0.4,0.23,0.08,-0.22,-0.06,0.16,0.07,-0.43,-0.56,-0.01,0.24,0.42,-0.07,-0.51,0.3,0.62,0.16,0.46,1.75,-0.51,-0.03,0.03,-0.76,0.1,-0.32,-0.47,-0.38,-0.79,-0.71,0.08,-0.36,0.15,0.55,0.81,0.86,-0.22,0.46,0.1,-0.45,-0.3,-0.2,01/06/02/01@01/06/10@11/02/03/01@11/02/03/04
-0.56,-0.56,-0.06,1.13,0.65,0.55,-0.25,-0.54,0.2,0.14,-0.17,-0.2,0.26,0.2,-0.03,0.2,0.4,-0.25,0.21,-0.15,0.53,0.81,-0.12,1.03,1.45,2.01,2.33,1.52,0.2,-0.64,-0.12,0.48,2.46,1.14,1.23,0.73,0.58,0.41,0.06,0.29,0.58,-0.71,-0.43,-0.1,01/06@42/01
-0.14,-0.14,-0.04,-0.8,-0.63,-0.68,0.26,-0.02,0.03,-0.59,-0.27,-0.25,-0.46,-0.43,-0.24,0.57,0.34,0.51,0.51,0.33,-1.28,-1.75,0.01,-0.64,-0.56,-0.36,0.15,-0.03,-0.1,-0.13,0.01,0.61,-0.55,-0.43,-0.91,-1.59,-2.21,-2.04,0.08,0.09,0.16,-0.11,-0.11,-0.17,01/01/09/04@01/01/09/05@01/01/09/06@01/04@01/05/11/04@01/20/15@16/19/03@16/21/07
-0.54,-0.54,0.28,1.86,1.93,1.79,0.1,0.31,0.82,0.33,0.33,0.5,1.04,1.07,0.18,0,0.53,-0.22,0.01,-0.23,0.66,-0.84,0.14,1.08,0.67,1.45,0.65,0.04,-0.71,0.52,0.57,0.58,0.83,0.72,0.38,0.2,-0.97,-0.56,-0.12,0.23,-0.42,0.33,0.18,-0.04,16/01@16/06@16/17/01@20/09/16@20/09/18/09/01@32/01/03@40/01/03@42/04/03@43/01/03/05
-0.03,-0.03,0.01,1.5,1.13,0.67,0.64,0.04,-0.1,0.23,0.91,1.23,0.88,0.58,0.25,0.32,-0.07,0.01,-0.14,-0.25,0.15,-0.71,0.31,0.14,-0.76,0.14,-0.12,0.88,-1.64,0.53,0.75,1.06,0.3,0.72,0.15,0.14,-1.06,-1.36,-0.67,-1.25,0.33,0.5,0.18,0.33,34/11/03/07@41/01/01@42/01
0.45,0.45,0.57,-0.23,-0.47,-0.03,-0.17,-0.36,-0.03,0.08,-0.42,-0.6,-0.4,-0.3,-0.22,0.15,0.18,-0.06,0.25,0.08,0.18,0,-0.69,0.16,-0.38,-0.54,-0.25,-0.3,0.24,?,?,?,?,?,?,?,?,?,0.24,-1,?,?,0,0.04,99
0.11,0.11,-0.03,0.58,0.32,0.49,0.16,-0.34,0,0.3,0.1,0.14,0.11,0.07,0.06,-0.86,0.04,-0.01,0.08,-0.3,0.53,0.41,-0.56,0.74,0.18,1.93,1.17,1.17,1.38,0.48,0.32,0.85,2.08,0.93,0.83,1.37,1.32,1.44,-0.15,0,0.2,0.41,-0.1,0.03,14/04@16/01@20/09/03
0.24,0.24,-0.51,0.38,0.14,0.2,-0.23,-0.09,-0.12,-0.23,-0.43,-0.4,-0.6,-0.34,-0.23,0.77,0.28,0.04,0.2,0.19,0.16,0.16,-0.45,0.15,0.03,0.21,-0.14,-0.1,0,0.25,-0.27,-0.12,-0.47,-0.4,-0.09,0.06,0.18,0.28,0.41,0.25,0.04,0.26,0.01,-0.25,10/01/09/05@10/03/01/01/01@11/02/03/01/01@11/02/03/04@14/07/04@42/10/03
0.23,0.23,-0.45,0.37,0,-0.47,-0.17,-0.47,-0.12,0.16,-0.4,-0.43,-0.67,-0.4,-0.07,0.29,0.18,-0.01,0.72,0.21,0.87,0.33,-0.29,-0.27,-0.27,-1.6,-1.47,-1.22,-1.47,0.04,-0.22,-0.32,-1.56,-0.97,-0.97,-1.12,1.38,1.9,0.38,-0.12,-0.12,-0.25,0.11,-0.38,01/04@01/06/02/01
-0.82,-0.82,0.14,0.24,0,0.3,0.1,0.03,-0.54,-0.26,0.14,0.08,-0.43,-0.19,-0.5,0.64,0.03,-0.13,-0.16,-0.25,-0.04,-0.15,-0.22,-0.67,-0.25,0.09,0.37,0.95,0.37,-0.19,-0.07,-0.28,-0.02,0.49,0.34,0.55,1.43,1.41,0.33,0.07,0.78,-1.15,-0.3,-0.64,10/03/01@10/03/04/09@16/01@42/04/05
-0.36,-0.36,-0.6,1.28,1.4,0.65,-0.22,-0.27,0.19,0.34,0.48,0.43,-0.23,-0.04,0.19,-0.47,0.23,-0.18,-0.3,0.19,0.56,1.1,-0.47,0.29,-0.2,0.57,0,-0.4,0.64,0.4,0.07,-0.34,0.31,-0.23,0.23,-0.56,-0.6,-0.74,-0.01,0.26,0.11,-0.09,0.2,0.06,11/02/03/04@11/06/02@40/01
0.41,0.41,-0.22,0.37,0.16,0.14,0.43,-0.22,0.24,-0.29,0.21,0.4,-0.06,-0.1,0.18,-0.15,0.67,0.74,1.24,0.62,-1.29,-1.69,-0.03,-0.49,-1.09,-1.4,-1.12,-0.76,-0.38,0.54,0.58,1.17,-1.4,-0.47,-1,-3.18,-3.64,-4.32,0.07,-0.74,-0.47,0.62,0.64,0,01/01/06/04@01/01/06/05@01/01/06/06/01/01@01/01/09/02
0.31,0.31,0.58,0.03,-0.22,-0.01,-0.2,0.44,-0.15,0,-0.01,0.12,0.18,0.16,0.15,-0.42,0.4,0.32,0.64,0.57,0.46,0.85,-0.51,0.24,-0.18,1.22,0.58,0.83,0.31,0.18,0.11,0.07,0.1,0.08,0.01,0.23,0.67,0.12,0.46,0.25,0.31,-0.15,0.16,-0.03,14/10
0.3,0.3,0.49,-0.6,-0.58,-0.43,-0.17,0.16,0.24,0.26,-0.18,-0.3,-0.17,0.11,0.08,-0.04,-0.17,0.33,0.44,0.16,0.49,0.19,-0.6,0.24,-0.18,0.69,0.19,0.29,-0.3,0.23,0.1,0.28,-0.1,0,-0.18,-0.86,-1.06,-1.89,0.51,0.33,0.25,-0.01,0.04,0.08,16/01@20/09/07/27@20/09/16/09/03
-0.23,-0.23,0.1,-1.32,0.5,-2,-0.63,0.42,-0.23,-0.05,-0.04,-0.15,-0.07,-0.09,-0.46,-0.22,-0.09,0.12,-0.14,-0.13,-0.25,-0.43,-0.43,-0.09,-0.3,0.6,-0.08,0.02,0.18,-0.14,0,0.77,-0.04,-0.15,0.18,0,-0.04,-0.32,0.19,0,0.14,-0.29,0.42,-0.1,10/03/03@16/01@20/09/07/27@20/09/16/09/03@43/01/03/05
0.65,0.65,-0.2,-0.6,-0.54,-0.62,-0.42,0.11,-0.36,-0.47,-0.1,0.32,-0.03,0.01,0.06,-0.49,-0.69,-0.06,0.75,0.7,1,0.82,-0.04,0.24,0.07,-0.62,0.12,0.3,-0.6,0,-0.12,?,-0.17,0.16,-0.04,-0.29,0.86,0.54,0.5,-0.51,0.32,-0.04,0.12,-0.15,10/01/09/05@10/03/01/01/01@11/02/03/01/01@11/02/03/04@14/07/04@42/10/03
0.12,0.12,0.39,1.18,0.86,0.74,-0.38,0.7,0.63,0.33,-0.09,0.34,0.89,0.96,0.4,-0.07,0.85,0.33,0.59,0.12,0.72,0.59,-0.1,0.81,0.3,1.98,1.03,0.92,0.77,0.19,0.26,0.28,0.29,0.33,0.19,0.11,0.74,0.68,1.21,0.79,0.28,-0.09,0.23,-0.12,10/03/01@10/03/05/01@14/01@16/01@32/01/07@42/04/05
-0.51,-0.51,0.19,0.65,1.14,0.84,-0.04,0,0.32,0.75,0,0.25,0.6,0.76,0.25,-0.15,0.89,0.26,0.36,0.06,1.33,1.32,-0.18,0.43,0.79,1.18,1.77,1.69,1.23,0.36,0.14,?,1.46,1.46,1.3,0.48,0.79,0.9,0.56,0.66,0.64,0.03,-0.71,0.24,11/02/03/04
1.04,1.04,-0.12,-2.12,-1.69,-1.36,-0.09,0.06,-0.15,-0.51,-0.25,-0.54,-0.74,-0.47,-0.04,0.67,-0.69,0.25,-0.17,0.14,-0.6,-1.29,-0.38,-0.17,-0.92,-0.42,-0.71,-0.56,-0.58,0.25,0.19,-0.36,-1.84,-0.74,-0.97,-1.94,-2.06,-1.79,0.44,0.01,-0.32,-0.03,0.38,0.12,01/03/16/01@10/03/01/01/03@12/04/03@16/01@16/19/05
-0.18,-0.18,0.01,0.01,0.34,0.31,-0.04,-0.18,-0.07,-0.1,-0.01,0.41,0.11,0.2,-0.01,0.16,0.3,-0.14,0.04,-0.01,0.77,1,-0.15,0.65,0.81,0.2,1.01,0.56,0.77,0.16,0.29,?,0.9,0.62,0.9,?,1.26,1.16,-0.58,0.24,0.28,-0.18,0.45,-0.4,01/01/03/05@01/01/13@01/04@01/06/02/01@11/02/03/04@30/01/09/11@43/01/03/09
0.33,0.33,-0.12,-0.49,-0.32,0.19,-0.38,0.03,0.19,0.2,0.03,0.61,0.64,0.59,-0.1,-0.49,-0.38,-0.09,0.23,0.15,0.62,0.41,0.06,0.96,0.51,1.91,1.38,0.52,0.23,0.03,-0.14,?,1.51,0.44,0.33,-0.69,-0.62,-0.67,0.2,-0.25,0.26,0.23,0.16,0.32,02/13/03@12/01/01@42/16
0.06,0.06,0.11,-0.23,-0.01,0.16,-0.36,0.12,-0.04,-0.1,-0.32,-0.15,0.01,0.2,-0.04,0.03,-0.14,0.31,1.1,0.76,0.83,0.73,-0.22,0.51,-0.03,0.53,0.41,0.99,0.37,-0.03,-0.18,?,-0.47,0.33,0.32,-0.71,-0.62,-0.79,0.67,-0.01,0.58,0.21,0,0.2,99
0.31,0.31,-0.34,-0.58,-0.3,0.2,-0.4,0.36,0.46,0.15,0.06,0.76,0.73,0.86,0.54,-0.3,-0.18,0.06,0.6,0.38,0.86,0.58,0.14,0.33,0.56,1.13,0.51,0.5,0.1,0.12,-0.18,?,0.29,0.63,0.29,-0.42,-0.45,-0.45,0.59,0.14,0.3,-0.94,-0.01,0.01,14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@34/11/03/07@43/01/03/09
0,0,0.11,-0.09,0.55,-0.54,0.56,0.01,0.01,-0.03,0,0.36,0.01,0.23,-0.25,0.59,-0.6,-0.3,-0.42,-0.56,-0.12,-0.09,-0.09,-0.69,-0.86,-0.56,0.32,0,-0.34,-0.29,0.04,-0.07,-1,-0.38,-0.71,-0.29,-0.89,-0.06,-0.29,0.08,0.34,-0.3,0,0.25,01/04@10/03/01/01/09@10/03/04/03@14/07/03
0.2,0.2,-0.4,-0.43,-0.15,-0.04,-0.6,-0.06,-0.3,-0.18,-0.51,-0.2,-0.27,-0.07,-0.27,-0.74,0.81,-0.07,0.86,0.61,0.7,0.9,0.12,0.39,0.53,1.16,0.39,0.03,0.49,-0.25,-0.62,?,-0.51,0.33,0.14,-0.79,-0.56,-0.29,0.46,-0.15,0.18,-0.71,0.16,0.08,10/01/09/05@14/07/04@42/10
0,0,0.68,0.2,1.01,0.3,-0.14,0,?,?,0.37,0.51,0.21,0.23,-0.09,-0.49,-0.79,?,0.38,0.07,1.05,0.43,-0.45,0.66,0.04,?,?,?,?,0.4,0.55,0.64,0.06,0.24,0.3,-0.3,-0.18,-0.15,0.16,-0.17,-0.14,0.39,0.15,?,10/01/05/01@10/03/01@34/01/01/01@40/01@41/01/01@42/04/03@43/01/03/05@43/01/03/09
0.33,0.33,-0.07,-0.18,-0.01,-0.17,-0.1,0,0.57,-0.25,-0.14,-0.34,-0.23,0.15,0.42,0.11,0.23,0.1,0.1,0.16,-0.27,-0.76,-0.38,-0.69,-0.22,-0.94,-0.89,-0.51,-1.15,0.29,0,-0.1,-0.94,-0.79,-0.69,-1.6,-1.69,-1.32,0.31,-0.18,-0.23,-0.47,0.33,-0.22,16/01@20/01/10@20/09/07/03@20/09/07/26@20/09/16/09/03
0.92,0.92,-0.03,-1.51,-1.15,-0.56,-0.29,0.42,-0.38,-0.3,-0.09,-0.2,-0.49,-0.29,0.08,0.06,-0.58,0.29,0.23,0.43,-0.45,-0.94,-0.1,-0.04,-0.92,-0.64,-0.36,-0.3,-0.18,0.46,0.38,0.04,-1.74,-0.32,-0.51,-1.25,-1.56,-1.47,0.49,-0.07,-0.04,-0.58,0.15,0.15,01/04@10/01/02@10/01/03@10/01/05@10/01/09/05@11/02/03/01@11/02/03/04@11/04/01@16/01@16/03/01@16/19/03
0.37,0.37,0.33,-0.12,-0.4,0.31,-0.17,0.03,0,-0.15,-0.07,0.7,0.21,0.4,-0.2,-0.12,0.9,0.14,0.11,0.4,0.51,0.3,-0.76,0.11,0.03,-0.15,0.1,0.04,0.2,0.08,-0.06,-0.15,-0.42,0.06,0.54,-0.1,-0.42,-0.79,0.45,0.1,0.32,-1.03,0.32,0,01/06@10/01/09/05@11/02/03/04@16/03/01@34/11/03/07
