@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t0_red_bkg                              numeric
@ATTRIBUTE t0_flag                                 numeric
@ATTRIBUTE t0Point5_green                          numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red                            numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t2_red                                  numeric
@ATTRIBUTE t2_flag                                 numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_red                                  numeric
@ATTRIBUTE t5_red_bkg                              numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red                                  numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t9_flag                                 numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE t11Point5_red_bkg                       numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE gal_ndt80_flag                          numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_red                  numeric
@ATTRIBUTE ndt80_delete_early_red_bkg              numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green                  numeric
@ATTRIBUTE ndt80_delete_mid_green_red              numeric
@ATTRIBUTE ndt80_delete_mid_green_flag             numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t0Point5_correlation                    numeric
@ATTRIBUTE t2_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t11Point5_correlation                   numeric
@ATTRIBUTE ndt80_delete_mid_correlation            numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t0Point5_g/r_ratio                      numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE blast_homology_within_genome            {no,yes}
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
5298,4540,1076,0,4831,1299,6049,0,3135,3141,0,3517,1514,3710,854,0,1887,10368,1414,2533,1092,0,3008,1861,841,1782,0,2790,4272,565,0,1785,2719,0,0.882,0.901,0.905,0.933,0.961,0.921,0.927,0.878,0.559,0.681,0.64,0.78,1.319,1.441,0.544,0.299,1.01,0.64,0.74,0.7,0.79,1.5,1.58,0.96,0.55,?,01/04@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
3293,2351,755,0,4629,1546,1576,0,2320,1325,0,3835,1854,2446,1009,0,1611,3164,1134,3057,1142,0,1449,1041,643,1162,0,6138,2534,478,0,7900,2436,0,0.89,0.903,0.9,0.933,0.902,0.824,0.971,1.015,2.982,1.412,1.21,1.081,0.767,0.835,2.594,3.574,1.16,3.14,1.51,1.37,1.17,0.86,0.98,1.46,2.65,?,11/04/02@20/01/10@20/01/21@20/09/01
6085,4469,875,0,5660,1677,3031,0,3135,1948,0,6774,2360,3329,1337,0,2578,3519,1480,5950,1234,0,2461,1370,746,1208,0,5148,2215,458,0,9155,2050,0,0.898,0.92,0.946,0.928,0.905,0.851,0.942,1.098,1.691,1.416,2.027,2.28,2.242,1.687,2.502,5.08,1.25,1.83,1.49,2.21,2.55,2.29,2.07,1.06,2.52,?,11/02/03/01@11/02/03/04@18/02/09
3592,2750,1066,0,4502,1310,2530,0,2279,1635,0,2867,1594,2254,892,0,1705,7010,1156,2051,1186,0,1848,1690,783,1338,0,2632,4088,575,0,1611,1982,0,0.805,0.893,0.893,0.903,0.966,0.902,0.894,0.94,1.363,0.916,0.829,0.601,0.449,0.616,0.43,0.396,1.13,1.55,1.04,0.93,0.66,0.62,0.77,1.41,0.53,?,01/03/01@01/03/04/01@01/03/04/03
3356,3014,834,0,3138,1588,2318,0,2468,2008,0,3202,1694,3094,938,0,1639,3555,1095,3122,996,0,2602,3482,972,1113,0,2250,1764,330,0,4720,4226,0,0.873,0.889,0.91,0.913,0.823,0.904,0.97,0.821,0.978,0.784,0.618,0.361,0.402,0.487,1.236,0.942,0.93,1.06,0.9,0.69,0.47,0.42,0.55,0.87,1.28,?,12/01/01@42/16
2271,1739,667,0,3278,1207,1640,0,2441,1793,0,2624,1523,1758,891,0,1580,2772,1107,2043,989,0,3048,3069,629,1488,0,2867,1718,463,0,2952,2004,0,0.896,0.905,0.92,0.917,0.898,0.684,0.934,0.936,1.558,0.948,1.118,1.03,0.859,0.679,1.76,1.185,1.01,1.74,1.04,1.26,1.15,0.99,0.85,1.38,1.79,?,01/03/01/03@01/05/13/03
2401,1631,677,0,3929,1282,2419,0,1874,1093,0,2451,1504,1519,806,0,1624,2142,1044,1911,1021,0,1612,1138,760,1279,0,2528,2150,506,0,2268,1799,0,0.819,0.9,0.824,0.854,0.909,0.808,0.896,1.037,1.232,1.177,1.03,1.317,0.234,0.665,1.08,0.856,1.21,1.37,1.46,1.32,1.4,1.41,1.32,3.09,1.11,?,01/05/03@01/05/25@02/19@42/01@43/01/03/05
4611,3607,1121,0,5679,1631,3877,0,3443,2523,0,5110,1798,2883,916,0,1882,3348,1160,4901,1295,0,2330,1623,736,1251,0,6145,5220,496,0,9190,5884,0,0.866,0.903,0.926,0.925,0.914,0.891,0.947,0.998,1.227,1.035,1.607,1.752,1.637,1.117,1.106,1.441,1.15,1.29,1.13,1.68,1.89,1.66,1.31,1.65,1.14,?,01/01/09@11/02/03/01@11/02/03/04
5611,4211,1033,0,5871,1936,3328,0,4026,2534,0,6102,1868,3886,1044,0,2028,4760,1294,7083,1393,0,2108,1354,770,1179,0,6416,5890,452,0,8524,10902,0,0.91,0.938,0.916,0.93,0.943,0.821,0.948,1.064,1.627,1.343,1.428,1.468,1.509,1.065,1.054,0.715,1.19,1.64,1.45,1.48,1.56,1.54,1.46,1.52,1.06,?,11/02/03/01@11/02/03/04@32/05/01/03/03@32/07
3859,2739,822,0,5677,1607,2842,0,2762,2074,0,3544,1592,2389,1042,1,1830,5102,1458,2450,1377,0,2052,1889,1115,1293,0,2416,1460,513,0,2244,1137,0,0.862,0.89,0.835,0.863,0.936,0.822,0.778,0.978,1.814,0.917,1.323,0.965,0.683,1.068,1.991,1.722,1.2,1.85,1.09,1.44,0.99,0.9,1.22,0.99,1.78,?,01/02@10/03/05/03@16/01@16/06@20/09/14/01@34/05/02@42/04/03@42/04/05
3334,2839,626,0,4278,1183,3185,0,3307,2407,0,3625,1675,2539,1048,0,1563,4414,1157,2772,1002,0,6088,5332,725,1172,0,4243,4066,412,0,3413,4218,0,0.904,0.959,0.93,0.93,0.936,0.977,0.971,0.927,1.121,1.066,1.22,0.95,1.006,1.103,0.94,0.624,1.01,1.14,1.26,1.3,0.99,1.07,1.1,1.1,1,?,14/07/09
2679,1801,618,0,3433,1140,2873,0,2161,1520,0,2884,1657,2150,872,0,1750,2906,1190,2327,1067,0,1965,1603,748,1220,0,2408,2167,425,0,2915,2653,0,0.846,0.941,0.928,0.926,0.917,0.901,0.964,1.046,0.895,0.946,0.903,1.127,1.075,0.966,0.954,0.844,1.22,0.94,1.08,0.96,1.22,1.11,1.1,1.83,1.03,?,01/05/25@11/02/03/01@11/02/03/04
1785,1064,592,0,3284,1393,4217,0,2113,2598,0,2162,1318,3342,772,0,1509,10863,1310,2484,1192,0,1915,2111,690,1614,0,2275,7642,510,0,2178,4982,0,0.695,0.837,0.881,0.917,0.733,0.724,0.894,0.871,0.463,0.392,0.297,0.234,0.337,0.454,0.199,0.215,1.39,0.53,0.47,0.32,0.32,0.46,0.6,0.49,0.22,?,01/06
1462,757,518,0,2366,1356,3119,0,1768,5394,0,2297,1288,16418,892,0,1470,40004,1497,2231,1371,0,1537,6212,726,1399,0,1749,19390,518,0,1989,25911,0,0.137,0.803,0.885,0.878,0.907,0.736,0.943,0.131,0.334,0.104,0.057,0.06,0.039,0.061,0.052,0.034,1.06,0.41,0.13,0.06,0.06,0.05,0.09,0.92,0.05,?,42/01
7042,5443,651,0,8909,1254,2229,0,5440,2313,0,8354,2632,3448,1214,0,2755,5383,1494,4901,1080,0,4167,2714,774,1206,0,3438,2344,502,0,3688,2239,0,0.885,0.924,0.95,0.92,0.947,0.948,0.962,1.052,4.078,2.356,2.381,2.276,1.921,1.47,1.414,1.422,1.19,4.28,2.43,2.56,2.42,1.94,1.54,2.87,1.5,yes,12/01/01@12/04@16/01
1221,698,552,0,1223,1024,551,0,1498,943,0,1946,1664,1276,1066,0,1348,1140,968,1643,1128,0,1134,784,671,1399,0,603,500,409,0,1011,649,0,0.143,0.629,0.445,0.221,0.056,0.344,0.191,0.136,0.96,0.502,0.321,0.072,0.274,0.425,0.086,0.226,0.97,1.27,1.15,1.34,1.41,0.75,1.17,2.47,1.07,yes,12/01/01@12/04@16/01
1539,941,549,0,1803,1120,1823,0,1612,1328,0,2042,1598,1301,938,0,1339,1813,957,1600,942,0,1688,1650,607,991,0,1282,967,391,0,1474,764,0,0.827,0.939,0.875,0.821,0.898,0.948,0.917,0.944,0.393,0.496,1.059,0.627,0.409,0.665,1.285,1.469,1.1,0.49,0.64,1.22,0.76,0.67,0.68,1.38,1.3,?,10/03/02@11/02/03/01@11/02/03/04
5567,6025,763,0,6691,1166,9747,0,5523,6427,0,5718,1720,5236,1139,0,1623,9642,1195,5584,1206,0,13143,13163,1118,1296,0,8851,8379,478,0,8313,7434,0,0.878,0.941,0.952,0.938,0.964,0.936,0.975,0.739,0.571,0.71,0.946,1.15,1.287,0.935,1.041,1.033,0.83,0.6,0.73,0.97,1.17,1.28,0.96,1.97,1.04,?,01/04
3179,2590,588,0,3636,1260,4498,0,2889,2239,0,3745,1638,2712,990,0,1511,3121,1041,2871,1034,0,4735,3103,635,1116,0,2609,2523,373,0,2676,2403,0,0.904,0.932,0.959,0.949,0.959,0.964,0.97,0.957,0.569,0.994,1.176,1.543,1.243,1.484,0.947,0.885,1.02,0.59,1.04,1.22,1.53,1.42,1.51,0.69,0.96,yes,01/20/37/01@16/14@20/01/10@20/09/01@30/01/05@32/01/01@32/07/07/05@40/10/02/01
2710,2522,714,0,4783,1190,3454,0,2618,2318,0,3011,1599,1977,887,0,1764,3237,1126,2669,1057,0,6311,4765,952,1401,0,4157,4968,495,0,3708,3197,0,0.861,0.244,0.946,0.913,0.943,0.93,0.971,0.774,0.684,0.804,1.248,1.43,1.903,1.215,0.752,0.975,0.89,1.26,0.86,1.29,1.53,1.78,1.26,2.56,0.78,?,20/01/01/01@20/03/02/03/01@20/09/07@20/09/13@32/01@34/01/01/01@34/01/01/03
3560,2909,532,0,6442,1118,5764,0,4047,3444,0,5104,1612,4404,982,0,1511,5721,982,3984,1114,0,5002,6420,655,1141,0,4864,5001,381,0,5840,6394,0,0.908,0.964,0.975,0.969,0.973,0.969,0.97,0.988,1.004,1.009,0.978,0.85,0.791,0.665,0.898,0.809,1.01,0.99,1,1.02,0.87,0.82,0.69,1.39,0.93,?,10/03/01/01/11@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/01@42/10
2633,2163,663,0,2645,1333,2081,0,2064,1760,0,2491,1558,1806,933,0,1763,5603,1499,2252,1067,0,5375,7976,1745,1439,0,2905,3603,585,0,2449,2840,0,0.864,0.908,0.887,0.914,0.91,0.917,0.963,0.709,0.831,0.672,0.953,0.556,0.581,0.57,0.669,0.573,0.87,0.91,0.77,1.06,0.57,0.67,0.6,1.04,0.7,?,10/01/05/01@11/02/03/01/01@11/02/03/04@14/10
2753,1809,813,0,4747,1336,3147,0,2884,2017,0,2721,1346,1915,665,0,1734,10106,1158,3278,1319,0,2726,2237,727,1695,0,2206,1822,488,0,1587,1048,0,0.778,0.897,0.92,0.917,0.95,0.905,0.91,0.874,1.23,1.08,0.979,0.714,0.674,0.941,1.081,1.067,1.24,1.33,1.2,1.1,0.76,0.83,1.03,1.25,1.12,?,14/04@20/09/07/27@20/09/13@20/09/18@42/07@42/25
2065,1350,760,0,2975,1272,2084,0,2060,1406,0,2152,1322,1240,672,0,1760,3368,1108,2189,1063,0,1936,1283,640,1481,0,1644,1246,468,0,1373,969,0,0.752,0.778,0.888,0.895,0.943,0.902,0.817,0.877,0.831,0.883,1.204,1.321,0.923,1.029,1.106,0.773,1.26,1.1,1,1.46,1.38,1.2,1.32,1.48,1.18,?,20/09/07/03
2753,2282,689,0,3507,1247,2104,0,2147,1427,0,2886,1605,2021,902,0,1764,4311,1393,2203,1069,0,5299,6714,1041,1370,0,2718,2278,473,0,2238,1790,0,0.791,0.92,0.919,0.903,0.952,0.922,0.966,0.773,1.423,1.124,1.096,0.778,0.639,0.676,1.087,0.944,0.96,1.47,1.25,1.14,0.84,0.72,0.71,1.15,1.11,?,11/04/01
2461,1905,671,0,3085,1235,2140,0,2280,1763,0,2703,1733,1880,1005,0,1769,3041,1338,1970,935,0,3967,2772,792,1412,0,2528,3152,426,0,2285,3595,0,0.829,0.926,0.886,0.835,0.918,0.92,0.973,0.77,1.168,0.845,0.923,1.006,1.252,1.253,0.645,0.391,0.96,1.16,0.96,1.1,1.1,1.35,1.4,1.78,0.69,?,10/03/05/03@16/01@20/09/07@42/04/03
2587,2186,693,0,3107,1314,2364,0,2205,1621,0,2697,1696,1863,1009,0,1756,3075,1255,1986,945,0,5262,3778,715,1543,0,3328,3556,438,0,2531,3328,0,0.808,0.927,0.906,0.875,0.911,0.933,0.961,0.712,0.952,0.925,1.017,1.153,1.371,1.18,0.846,0.528,0.89,1.01,0.98,1.17,1.28,1.36,1.34,1.75,0.86,?,14/04@20/09/07/27
4009,3850,719,0,5722,1443,1987,0,4287,2200,0,4453,1846,2328,1100,0,2267,4016,1413,3346,1116,0,7493,6779,1060,1504,0,3098,1046,426,0,2628,1019,0,0.89,0.894,0.941,0.871,0.892,0.932,0.949,0.762,3.64,1.957,1.828,1.826,1.409,0.973,3.911,3.533,0.87,3.5,2,2.12,2.11,1.36,1.08,1.73,3.97,yes,12/01/01@12/04@16/01@16/03/03@16/17/09
2888,2262,626,0,3988,1000,3509,0,2472,3171,0,3365,1540,3293,896,0,1394,2893,975,2647,966,0,3793,2058,631,1527,0,1813,4010,346,0,3077,3634,0,0.87,0.95,0.922,0.926,0.944,0.956,0.96,0.961,0.904,0.408,0.689,0.973,1.719,1.772,0.349,0.639,1.05,0.94,0.46,0.76,1.12,1.86,1.96,3.46,0.36,?,01/04@10/03/01/03@10/03/03@14/07/03@42/29@43/01/03/05
5228,4448,809,0,8449,1459,6774,0,3709,4735,0,4333,1634,6327,1122,0,2310,25430,2198,3211,1224,0,3976,4351,883,1554,0,3817,7808,508,0,2304,4311,0,0.892,0.935,0.93,0.937,0.967,0.928,0.956,0.928,1.028,0.521,0.484,0.456,0.604,0.763,0.421,0.321,1.03,1.12,0.59,0.51,0.47,0.67,0.78,1.4,0.43,?,10/01/05@14/07/05@14/07/07@14/10@16/01@20/09/01
2656,1888,684,0,2913,1218,2342,0,1885,1413,0,2619,1468,3650,906,0,1528,5310,1052,2348,1373,0,1472,1346,647,1223,0,2148,2119,470,0,2398,3266,0,0.903,0.927,0.939,0.914,0.936,0.881,0.97,0.976,0.831,0.842,0.378,0.316,0.32,0.601,0.866,0.469,1.1,0.89,0.92,0.41,0.34,0.4,0.68,1.17,0.91,?,12/07@16/03/03@34/01/01/01
2090,1315,675,0,2906,1280,1838,0,1852,1604,0,2057,1450,1643,839,0,1702,5357,1236,1759,1059,0,1488,1209,677,1754,0,1298,2225,468,0,1273,1140,0,0.667,0.899,0.88,0.877,0.948,0.851,0.694,0.71,1.048,0.496,0.625,0.471,0.489,0.637,0.332,0.424,1.12,1.23,0.61,0.75,0.5,0.75,0.72,0.24,0.38,?,14/01@14/07@20/01/13
6730,6214,624,0,11590,1153,4893,0,4669,6359,0,6863,1560,8265,986,0,1411,7239,1037,6025,1062,0,11920,9756,689,1570,0,7542,4993,357,0,12670,6542,0,0.897,0.952,0.912,0.936,0.942,0.982,0.973,0.91,2.383,0.544,0.707,0.917,1.415,1.179,1.473,1.89,1,2.36,0.6,0.72,0.98,1.47,1.19,2.4,1.52,?,02/11@02/13/03@14/10@20/01/15@20/03
3904,3453,813,0,5452,1335,4211,0,3700,2517,0,3981,1505,2408,773,0,1885,5104,1350,2810,1101,0,6721,5260,889,1560,0,3773,3276,449,0,2625,2346,0,0.839,0.947,0.959,0.921,0.937,0.941,0.956,0.817,1.125,1.316,1.433,1.048,1.197,1.155,1.1,0.815,0.97,1.12,1.35,1.51,1.15,1.19,1.22,1.28,1.11,?,01/03/01/01@01/03/04@01/03/10@01/04
2104,1284,658,0,2692,1257,1662,0,1834,1039,0,2133,1438,1203,738,0,1681,3104,1140,1730,1023,0,1536,1368,743,1968,0,1217,807,418,0,1219,702,0,0.688,0.89,0.879,0.871,0.947,0.798,0.874,0.842,1.103,1.34,1.258,0.912,0.608,0.538,1.491,1.1,1.32,1.28,1.54,1.49,0.92,0.84,0.74,5.93,1.52,?,20/01/03@20/03@20/09/18
3090,2596,633,0,3601,1294,2192,0,2698,2229,0,3317,1448,2140,790,0,1634,2542,1135,2626,1002,0,4764,4071,834,1211,0,919,870,313,0,1963,996,0,0.887,0.959,0.934,0.94,0.9,0.965,0.923,0.826,1.38,0.841,1.254,1.245,1.361,1.099,0.801,1.792,0.95,1.4,0.9,1.38,1.36,1.42,1.11,1.17,0.91,?,10/03@14/07/02/02
8980,9742,1750,0,9444,1641,6316,0,8551,7985,0,7844,1931,5643,1201,0,4345,9440,2281,6910,1082,0,18220,7566,851,2368,0,6363,3991,482,0,6117,2401,0,0.845,0.936,0.952,0.911,0.896,0.936,0.979,0.721,1.486,0.926,1.204,1.638,2.86,2.346,1.582,2.713,0.85,1.48,0.97,1.33,1.83,2.84,2.44,1.43,1.6,?,01/01/13@11/02/03/04/01@16/03/01
3572,2831,766,0,3497,1198,2618,0,3089,3379,0,3544,1642,3065,1005,0,1585,3546,1082,3431,1292,0,5245,6207,893,1195,0,1454,1983,314,0,2689,3127,0,0.908,0.94,0.935,0.936,0.938,0.979,0.956,1.04,1.017,0.555,0.857,0.838,0.982,0.729,0.599,0.635,1.1,1.08,0.61,0.92,0.87,1,0.76,0.55,0.6,?,02/01/03@10/03/01/01@10/03/02@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@34/11/03/07@40/01@42/10@43/01/03/09
3405,2677,996,0,4069,1470,4402,0,2494,1989,0,2866,1608,2108,910,0,1854,9177,1417,1965,1265,0,1931,2738,919,1302,0,2794,2908,530,0,2133,1679,0,0.734,0.909,0.906,0.906,0.972,0.846,0.939,0.752,0.656,0.851,0.956,0.523,0.351,0.311,0.862,0.854,1.04,0.72,0.89,1.05,0.52,0.44,0.36,0.97,0.9,?,14/04@14/13/04@16/01@20/09/13@42/25
